Date,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-05-17 12:00:00,2.35,2.35,1.812,1.843,6709.66,1652792399999,12333.2319,56,5166.36,9503.1853,0
2022-05-17 13:00:00,1.843,1.872,1.838,1.848,11227.83,1652795999999,20786.3544,66,4066.57,7538.0921,0
2022-05-17 14:00:00,1.854,1.858,1.811,1.811,1557.86,1652799599999,2869.2814,18,867.67,1598.9677,0
2022-05-17 15:00:00,1.814,1.82,1.81,1.82,232.65,1652803199999,421.969,7,140.0,254.2,0
2022-05-17 16:00:00,1.82,1.847,1.82,1.841,904.45,1652806799999,1660.7167,15,904.45,1660.7167,0
2022-05-17 17:00:00,1.827,1.836,1.825,1.835,466.95,1652810399999,854.2327,15,155.92,285.9967,0
2022-05-17 18:00:00,1.835,4.496,1.835,3.988,98607.07,1652813999999,361258.2928,1051,58938.86,217070.5665,0
2022-05-17 19:00:00,4.011,4.157,3.0860000000000003,3.132,62416.33,1652817599999,221843.9058,768,25417.05,90278.5355,0
2022-05-17 20:00:00,3.154,3.354,2.882,2.9160000000000004,21395.97,1652821199999,66897.7821,287,8974.55,28468.2412,0
2022-05-17 21:00:00,2.924,3.67,2.924,3.154,38914.87,1652824799999,129760.6976,510,25853.59,86262.9219,0
2022-05-17 22:00:00,3.154,3.4130000000000003,3.122,3.276,19273.74,1652828399999,63211.9307,307,11982.93,39483.2571,0
2022-05-17 23:00:00,3.255,3.255,3.082,3.123,8350.16,1652831999999,26278.2297,137,3584.41,11298.8194,0
2022-05-18 00:00:00,3.138,3.2910000000000004,3.112,3.2110000000000003,8894.62,1652835599999,28631.5022,132,5016.62,16289.6501,0
2022-05-18 01:00:00,3.2110000000000003,3.585,3.0980000000000003,3.33,19786.31,1652839199999,66269.9446,358,8623.84,28750.5744,0
2022-05-18 02:00:00,3.366,3.548,3.182,3.297,30541.21,1652842799999,102673.0426,345,16415.18,55244.8225,0
2022-05-18 03:00:00,3.2460000000000004,4.0,3.198,3.734,58627.24,1652846399999,213764.548,637,37718.37,138991.1091,0
2022-05-18 04:00:00,3.71,3.955,3.705,3.733,48291.37,1652849999999,186332.0576,454,20325.85,78624.7737,0
2022-05-18 05:00:00,3.733,4.26,3.57,4.239,45546.13,1652853599999,175574.0963,445,32543.94,127461.3718,0
2022-05-18 06:00:00,4.248,4.575,3.913,4.438,49440.26,1652857199999,210075.143,628,26515.3,113708.8541,0
2022-05-18 07:00:00,4.454,6.7639999999999985,4.454,5.175,108138.02,1652860799999,602286.0444,1260,62346.79,349977.2347,0
2022-05-18 08:00:00,5.178,5.817,4.761,5.539,61213.48,1652864399999,335956.6807,807,28961.33,159212.0278,0
2022-05-18 09:00:00,5.527,5.794,4.75,5.284,37626.83,1652867999999,204734.5612,521,18918.23,103430.4505,0
2022-05-18 10:00:00,5.294,5.392,5.0539999999999985,5.189,23981.69,1652871599999,124798.292,322,11513.26,60124.6317,0
2022-05-18 11:00:00,5.17,5.7120000000000015,4.95,5.327000000000001,37966.03,1652875199999,203564.4206,528,18301.39,96625.9708,0
2022-05-18 12:00:00,5.3210000000000015,5.364,4.909,5.101,19659.1,1652878799999,100253.754,220,12702.86,64477.1463,0
2022-05-18 13:00:00,5.12,5.485,5.11,5.2429999999999986,33685.39,1652882399999,177265.9865,324,12561.28,66453.7439,0
2022-05-18 14:00:00,5.2620000000000005,5.742000000000001,5.24,5.506,45510.49,1652885999999,249413.5634,496,27099.93,148515.5121,0
2022-05-18 15:00:00,5.5120000000000005,6.49,5.4510000000000005,5.527,125046.72,1652889599999,747880.5316,1419,57614.12,347550.4966,0
2022-05-18 16:00:00,5.528,5.956,5.32,5.487,57953.29,1652893199999,326568.4791,539,29938.83,169308.1037,0
2022-05-18 17:00:00,5.487,5.68,5.266,5.363,23554.04,1652896799999,128625.9613,204,11227.2,61864.9214,0
2022-05-18 18:00:00,5.362,5.362,4.686,4.6930000000000005,73655.88,1652900399999,366665.3173,497,33662.16,167863.7806,0
2022-05-18 19:00:00,4.704,5.124,4.508,4.566,58937.98,1652903999999,281859.8722,504,28835.39,138891.4014,0
2022-05-18 20:00:00,4.552,4.552,4.05,4.416,39263.84,1652907599999,169536.7821,434,17043.22,73838.6449,0
2022-05-18 21:00:00,4.417,4.833,4.357,4.434,28018.29,1652911199999,130231.9457,383,14649.68,68354.9675,0
2022-05-18 22:00:00,4.434,4.668,4.242,4.467,19357.95,1652914799999,85721.9097,268,7220.01,32243.2671,0
2022-05-18 23:00:00,4.49,4.671,4.39,4.423,10758.82,1652918399999,48874.5573,208,5742.78,26088.5516,0
2022-05-19 00:00:00,4.4289999999999985,4.912,4.3580000000000005,4.421,59468.65,1652921999999,280868.3058,537,30642.06,144541.7021,0
2022-05-19 01:00:00,4.414,4.85,4.4,4.555,31928.08,1652925599999,147478.1995,435,17526.75,80808.2991,0
2022-05-19 02:00:00,4.559,5.089,4.525,4.9510000000000005,31964.51,1652929199999,152294.544,325,17234.75,82554.2203,0
2022-05-19 03:00:00,4.944,5.362,4.76,4.849,49336.28,1652932799999,250474.2632,619,23039.09,117315.9826,0
2022-05-19 04:00:00,4.849,5.099,4.711,4.791,17952.92,1652936399999,87250.1483,249,7550.3,37064.8319,0
2022-05-19 05:00:00,4.798,4.962,4.511,4.546,20982.64,1652939999999,99809.4692,286,9473.26,45570.1447,0
2022-05-19 06:00:00,4.546,4.565,4.082,4.082,16216.21,1652943599999,70075.7982,240,10034.6,43393.7309,0
2022-05-19 07:00:00,4.087,4.133,3.848,4.016,36461.63,1652947199999,145767.6133,277,16584.55,66685.3648,0
