Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,9.04E-06,9.07E-06,9.01E-06,9.05E-06,19.22
2020-10-02 06-AM,9.08E-06,9.12E-06,9E-06,9.04E-06,28.75
2020-10-02 05-AM,9.28E-06,9.29E-06,9.07E-06,9.08E-06,67.2
2020-10-02 04-AM,9.4E-06,9.41E-06,9.27E-06,9.28E-06,16.61
2020-10-02 03-AM,9.27E-06,9.42E-06,9.27E-06,9.4E-06,21.98
2020-10-02 02-AM,9.28E-06,9.31E-06,9.25E-06,9.27E-06,8.067
2020-10-02 01-AM,9.16E-06,9.34E-06,9.15E-06,9.28E-06,20.1
2020-10-02 12-AM,9.23E-06,9.23E-06,9.15E-06,9.16E-06,18.64
2020-10-01 11-PM,9.17E-06,9.23E-06,9.15E-06,9.23E-06,11.38
2020-10-01 10-PM,9.17E-06,9.2E-06,9.12E-06,9.17E-06,13.12
2020-10-01 09-PM,9.17E-06,9.21E-06,9.13E-06,9.17E-06,9.669
2020-10-01 08-PM,9.25E-06,9.25E-06,9.15E-06,9.17E-06,15.01
2020-10-01 07-PM,9.25E-06,9.27E-06,9.18E-06,9.25E-06,18.87
2020-10-01 06-PM,9.19E-06,9.3E-06,9.17E-06,9.25E-06,36.21
2020-10-01 05-PM,9.13E-06,9.22E-06,9.09E-06,9.19E-06,32.4
2020-10-01 04-PM,9.25E-06,9.28E-06,9.06E-06,9.13E-06,124.83
2020-10-01 03-PM,9.4E-06,9.41E-06,9.25E-06,9.25E-06,22.37
2020-10-01 02-PM,9.36E-06,9.41E-06,9.36E-06,9.4E-06,9.526
2020-10-01 01-PM,9.46E-06,9.46E-06,9.35E-06,9.36E-06,21.38
2020-10-01 12-PM,9.42E-06,9.48E-06,9.41E-06,9.46E-06,16.03
2020-10-01 11-AM,9.45E-06,9.47E-06,9.41E-06,9.42E-06,12.45
2020-10-01 10-AM,9.48E-06,9.5E-06,9.42E-06,9.45E-06,15.97
2020-10-01 09-AM,9.52E-06,9.54E-06,9.46E-06,9.48E-06,23.7
2020-10-01 08-AM,9.58E-06,9.58E-06,9.51E-06,9.52E-06,28.79
2020-10-01 07-AM,9.49E-06,9.59E-06,9.49E-06,9.58E-06,22.99
2020-10-01 06-AM,9.54E-06,9.55E-06,9.48E-06,9.49E-06,13.05
2020-10-01 05-AM,9.53E-06,9.56E-06,9.49E-06,9.54E-06,14.06
2020-10-01 04-AM,9.53E-06,9.56E-06,9.47E-06,9.53E-06,8.428
2020-10-01 03-AM,9.63E-06,9.67E-06,9.5E-06,9.53E-06,40.16
2020-10-01 02-AM,9.49E-06,9.65E-06,9.47E-06,9.63E-06,35.28
2020-10-01 01-AM,9.51E-06,9.59E-06,9.46E-06,9.49E-06,30.5
2020-10-01 12-AM,9.4E-06,9.52E-06,9.36E-06,9.51E-06,34.74
2020-09-30 11-PM,9.37E-06,9.45E-06,9.35E-06,9.4E-06,20.81
2020-09-30 10-PM,9.34E-06,9.41E-06,9.33E-06,9.37E-06,22.33
