Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,1.069E-05,1.103E-05,1.069E-05,1.103E-05,2.973
2020-10-02 06-AM,1.069E-05,1.103E-05,1.06E-05,1.069E-05,9.647
2020-10-02 05-AM,1.152E-05,1.152E-05,1.062E-05,1.069E-05,40.86
2020-10-02 04-AM,1.177E-05,1.18E-05,1.151E-05,1.152E-05,5.286
2020-10-02 03-AM,1.188E-05,1.188E-05,1.151E-05,1.177E-05,4.452
2020-10-02 02-AM,1.181E-05,1.188E-05,1.181E-05,1.188E-05,1.271
2020-10-02 01-AM,1.173E-05,1.188E-05,1.173E-05,1.181E-05,1.654
2020-10-02 12-AM,1.179E-05,1.181E-05,1.154E-05,1.173E-05,2.304
2020-10-01 11-PM,1.18E-05,1.181E-05,1.171E-05,1.179E-05,0.6575
2020-10-01 10-PM,1.161E-05,1.18E-05,1.161E-05,1.18E-05,1.544
2020-10-01 09-PM,1.163E-05,1.18E-05,1.161E-05,1.161E-05,2.351
2020-10-01 08-PM,1.186E-05,1.186E-05,1.155E-05,1.163E-05,4.52
2020-10-01 07-PM,1.18E-05,1.199E-05,1.175E-05,1.186E-05,8.919
2020-10-01 06-PM,1.177E-05,1.193E-05,1.157E-05,1.18E-05,4.223
2020-10-01 05-PM,1.177E-05,1.193E-05,1.16E-05,1.177E-05,7.749
2020-10-01 04-PM,1.184E-05,1.2E-05,1.153E-05,1.177E-05,23.35
2020-10-01 03-PM,1.283E-05,1.297E-05,1.166E-05,1.184E-05,34.53
2020-10-01 02-PM,1.291E-05,1.297E-05,1.274E-05,1.283E-05,5.431
2020-10-01 01-PM,1.28E-05,1.312E-05,1.274E-05,1.291E-05,8.635
2020-10-01 12-PM,1.283E-05,1.305E-05,1.266E-05,1.28E-05,17.84
2020-10-01 11-AM,1.27E-05,1.29E-05,1.265E-05,1.283E-05,2.761
2020-10-01 10-AM,1.27E-05,1.275E-05,1.253E-05,1.27E-05,3.784
2020-10-01 09-AM,1.28E-05,1.28E-05,1.259E-05,1.27E-05,5.412
2020-10-01 08-AM,1.284E-05,1.321E-05,1.278E-05,1.28E-05,8.549
2020-10-01 07-AM,1.285E-05,1.306E-05,1.27E-05,1.284E-05,7.6
2020-10-01 06-AM,1.245E-05,1.291E-05,1.241E-05,1.285E-05,14.27
2020-10-01 05-AM,1.242E-05,1.254E-05,1.232E-05,1.245E-05,3.308
2020-10-01 04-AM,1.239E-05,1.252E-05,1.23E-05,1.242E-05,2.317
2020-10-01 03-AM,1.241E-05,1.256E-05,1.234E-05,1.239E-05,4.294
2020-10-01 02-AM,1.247E-05,1.258E-05,1.241E-05,1.241E-05,2.983
2020-10-01 01-AM,1.25E-05,1.258E-05,1.243E-05,1.247E-05,2.627
2020-10-01 12-AM,1.249E-05,1.253E-05,1.238E-05,1.25E-05,3.947
2020-09-30 11-PM,1.247E-05,1.26E-05,1.24E-05,1.249E-05,2.336
2020-09-30 10-PM,1.258E-05,1.26E-05,1.237E-05,1.247E-05,6.194
2020-09-30 09-PM,1.254E-05,1.267E-05,1.248E-05,1.258E-05,5.526
2020-09-30 08-PM,1.286E-05,1.29E-05,1.229E-05,1.254E-05,12.22
2020-09-30 07-PM,1.277E-05,1.294E-05,1.272E-05,1.286E-05,3.009
2020-09-30 06-PM,1.288E-05,1.29E-05,1.268E-05,1.277E-05,4.308
2020-09-30 05-PM,1.308E-05,1.31E-05,1.28E-05,1.288E-05,11.37
2020-09-30 04-PM,1.332E-05,1.332E-05,1.302E-05,1.308E-05,3.843
2020-09-30 03-PM,1.327E-05,1.338E-05,1.311E-05,1.332E-05,5.655
2020-09-30 02-PM,1.348E-05,1.359E-05,1.325E-05,1.327E-05,5.619
2020-09-30 01-PM,1.337E-05,1.348E-05,1.332E-05,1.348E-05,1.999
2020-09-30 12-PM,1.319E-05,1.35E-05,1.316E-05,1.337E-05,2.516
2020-09-30 11-AM,1.326E-05,1.329E-05,1.313E-05,1.319E-05,1.501
2020-09-30 10-AM,1.343E-05,1.352E-05,1.32E-05,1.326E-05,2.938
2020-09-30 09-AM,1.367E-05,1.371E-05,1.326E-05,1.343E-05,4.643
2020-09-30 08-AM,1.362E-05,1.376E-05,1.348E-05,1.367E-05,2.912
2020-09-30 07-AM,1.365E-05,1.388E-05,1.352E-05,1.362E-05,5.069
2020-09-30 06-AM,1.344E-05,1.374E-05,1.343E-05,1.365E-05,8.038
2020-09-30 05-AM,1.365E-05,1.378E-05,1.341E-05,1.344E-05,6.137
2020-09-30 04-AM,1.411E-05,1.414E-05,1.363E-05,1.365E-05,7.157
2020-09-30 03-AM,1.407E-05,1.451E-05,1.401E-05,1.411E-05,7.227
2020-09-30 02-AM,1.437E-05,1.437E-05,1.404E-05,1.407E-05,4.808
2020-09-30 01-AM,1.399E-05,1.49E-05,1.397E-05,1.437E-05,18.08
2020-09-30 12-AM,1.396E-05,1.403E-05,1.37E-05,1.399E-05,7.584
2020-09-29 11-PM,1.41E-05,1.425E-05,1.383E-05,1.396E-05,5.173
2020-09-29 10-PM,1.412E-05,1.451E-05,1.401E-05,1.41E-05,11.79
2020-09-29 09-PM,1.489E-05,1.5E-05,1.375E-05,1.412E-05,35.2
2020-09-29 08-PM,1.347E-05,1.514E-05,1.346E-05,1.489E-05,48.8
2020-09-29 07-PM,1.323E-05,1.39E-05,1.312E-05,1.347E-05,15.78
2020-09-29 06-PM,1.288E-05,1.365E-05,1.271E-05,1.323E-05,31.02
2020-09-29 05-PM,1.191E-05,1.3E-05,1.188E-05,1.288E-05,22.11
2020-09-29 04-PM,1.206E-05,1.21E-05,1.173E-05,1.191E-05,3.062
2020-09-29 03-PM,1.205E-05,1.217E-05,1.204E-05,1.206E-05,1.273
