Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,0.000731,0.000731,0.00073,0.00073,0.1207
2020-10-02 06-AM,0.000736,0.000736,0.00073,0.000731,0.7412
2020-10-02 05-AM,0.000736,0.000739,0.000736,0.000736,2.121
2020-10-02 04-AM,0.000736,0.000736,0.000735,0.000736,0.3365
2020-10-02 03-AM,0.000737,0.000737,0.000735,0.000736,0.09182
2020-10-02 02-AM,0.000736,0.000737,0.000735,0.000737,0.3048
2020-10-02 01-AM,0.000736,0.000736,0.000735,0.000736,0.3062
2020-10-02 12-AM,0.000737,0.000738,0.000734,0.000736,0.2597
2020-10-01 11-PM,0.00074,0.000741,0.000736,0.000737,0.403
2020-10-01 10-PM,0.000744,0.000744,0.000739,0.00074,0.5125
2020-10-01 09-PM,0.000742,0.000745,0.000742,0.000744,0.3236
2020-10-01 08-PM,0.000743,0.000744,0.000742,0.000742,0.2434
2020-10-01 07-PM,0.000744,0.000745,0.000743,0.000743,0.2994
2020-10-01 06-PM,0.000747,0.000747,0.000744,0.000744,0.2605
2020-10-01 05-PM,0.000752,0.000752,0.000744,0.000747,2.029
2020-10-01 04-PM,0.000745,0.000752,0.000745,0.000752,5.268
2020-10-01 03-PM,0.000744,0.000747,0.000744,0.000745,0.3504
2020-10-01 02-PM,0.000744,0.000745,0.000744,0.000744,0.1339
2020-10-01 01-PM,0.000746,0.000746,0.000744,0.000744,0.03589
2020-10-01 12-PM,0.000745,0.000747,0.000745,0.000746,0.229
2020-10-01 11-AM,0.000745,0.000747,0.000745,0.000745,0.9685
2020-10-01 10-AM,0.000745,0.000748,0.000744,0.000745,0.6584
2020-10-01 09-AM,0.000742,0.000746,0.000742,0.000745,1.152
2020-10-01 08-AM,0.000744,0.000744,0.00074,0.000742,2.522
2020-10-01 07-AM,0.000744,0.000744,0.000743,0.000744,0.4632
2020-10-01 06-AM,0.000743,0.000744,0.000742,0.000744,0.3665
2020-10-01 05-AM,0.00074,0.000743,0.00074,0.000743,0.9792
2020-10-01 04-AM,0.000741,0.000743,0.00074,0.00074,1.282
2020-10-01 03-AM,0.000741,0.000745,0.00074,0.000741,1.063
2020-10-01 02-AM,0.000739,0.000743,0.000738,0.000741,0.3583
2020-10-01 01-AM,0.000741,0.000742,0.000738,0.000739,0.06529
2020-10-01 12-AM,0.000741,0.000741,0.000737,0.000741,0.315
2020-09-30 11-PM,0.000741,0.000743,0.00074,0.000741,0.2901
2020-09-30 10-PM,0.000741,0.000743,0.000739,0.000741,0.09292
2020-09-30 09-PM,0.000738,0.000741,0.000737,0.000741,0.0322
2020-09-30 08-PM,0.000739,0.000739,0.000737,0.000738,0.1612
2020-09-30 07-PM,0.00074,0.000741,0.000738,0.000739,0.1717
2020-09-30 06-PM,0.000739,0.000741,0.000739,0.00074,0.2325
2020-09-30 05-PM,0.00074,0.000742,0.000739,0.000739,0.3138
2020-09-30 04-PM,0.00074,0.000742,0.000739,0.00074,0.07944
2020-09-30 03-PM,0.00074,0.000742,0.000737,0.00074,0.2699
2020-09-30 02-PM,0.00074,0.000741,0.000739,0.00074,0.3528
2020-09-30 01-PM,0.000743,0.000743,0.000739,0.00074,0.5556
2020-09-30 12-PM,0.000745,0.000745,0.000741,0.000743,0.2417
2020-09-30 11-AM,0.000744,0.000746,0.000742,0.000745,0.4279
2020-09-30 10-AM,0.000746,0.000746,0.000741,0.000744,0.4996
2020-09-30 09-AM,0.000745,0.00075,0.000743,0.000746,0.2383
2020-09-30 08-AM,0.000746,0.000747,0.000743,0.000745,0.406
2020-09-30 07-AM,0.000744,0.000749,0.000743,0.000746,0.6063
2020-09-30 06-AM,0.000744,0.000744,0.000742,0.000744,0.05573
2020-09-30 05-AM,0.000745,0.000746,0.000741,0.000744,0.2012
2020-09-30 04-AM,0.000741,0.000745,0.000741,0.000745,0.04839
2020-09-30 03-AM,0.000741,0.000744,0.000741,0.000741,0.05536
2020-09-30 02-AM,0.000743,0.000745,0.000741,0.000741,0.03244
2020-09-30 01-AM,0.000741,0.000746,0.000739,0.000743,0.7375
2020-09-30 12-AM,0.000743,0.000744,0.000741,0.000741,0.1661
2020-09-29 11-PM,0.000745,0.000745,0.000741,0.000743,0.1146
2020-09-29 10-PM,0.000743,0.000745,0.000742,0.000745,0.2929
2020-09-29 09-PM,0.000744,0.000745,0.000741,0.000743,0.06783
2020-09-29 08-PM,0.000738,0.000747,0.000738,0.000744,1.358
