Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,0.006282,0.006286,0.006264,0.00627,1.754
2020-10-02 06-AM,0.006271,0.006293,0.006254,0.006282,4.192
2020-10-02 05-AM,0.00646,0.006465,0.006269,0.006271,25.05
2020-10-02 04-AM,0.006429,0.006476,0.006428,0.00646,13.37
2020-10-02 03-AM,0.006416,0.006433,0.006409,0.006429,0.7145
2020-10-02 02-AM,0.006416,0.006441,0.006411,0.006416,3.188
2020-10-02 01-AM,0.006381,0.00642,0.00638,0.006416,1.863
2020-10-02 12-AM,0.006405,0.006439,0.006376,0.006381,2.742
2020-10-01 11-PM,0.006392,0.006414,0.006387,0.006405,1.553
2020-10-01 10-PM,0.006373,0.006393,0.006365,0.006392,2.124
2020-10-01 09-PM,0.006377,0.006389,0.006368,0.006373,0.7623
2020-10-01 08-PM,0.006419,0.006428,0.006366,0.006377,7.243
2020-10-01 07-PM,0.006422,0.00643,0.006414,0.006419,6.807
2020-10-01 06-PM,0.006425,0.006446,0.006418,0.006422,4.714
2020-10-01 05-PM,0.006467,0.006472,0.006422,0.006425,6.762
2020-10-01 04-PM,0.006479,0.006479,0.006396,0.006467,22.63
2020-10-01 03-PM,0.006478,0.006503,0.006465,0.006479,14.65
2020-10-01 02-PM,0.006468,0.006487,0.006444,0.006478,3.918
2020-10-01 01-PM,0.006474,0.006479,0.006453,0.006468,4.745
2020-10-01 12-PM,0.006487,0.006504,0.00647,0.006474,1.452
2020-10-01 11-AM,0.006484,0.006494,0.006476,0.006487,3.066
2020-10-01 10-AM,0.006469,0.006494,0.006464,0.006484,2.926
2020-10-01 09-AM,0.006467,0.006481,0.006464,0.006469,4.724
2020-10-01 08-AM,0.006508,0.006512,0.006466,0.006467,9.033
2020-10-01 07-AM,0.006517,0.006552,0.006499,0.006508,12.07
2020-10-01 06-AM,0.006545,0.006554,0.006515,0.006517,5.022
2020-10-01 05-AM,0.006533,0.006545,0.006516,0.006545,2.004
2020-10-01 04-AM,0.006537,0.00657,0.006529,0.006533,6.272
2020-10-01 03-AM,0.006518,0.006549,0.006508,0.006537,3.755
2020-10-01 02-AM,0.006481,0.006532,0.006481,0.006518,13.5
2020-10-01 01-AM,0.006513,0.006526,0.006477,0.006481,13.86
2020-10-01 12-AM,0.00642,0.006513,0.006413,0.006513,17.69
2020-09-30 11-PM,0.006396,0.00642,0.006387,0.00642,9.584
2020-09-30 10-PM,0.006331,0.006399,0.006331,0.006396,8.948
2020-09-30 09-PM,0.006322,0.006333,0.006322,0.006331,3.374
2020-09-30 08-PM,0.006312,0.006333,0.006299,0.006322,2.863
2020-09-30 07-PM,0.006286,0.006312,0.006281,0.006312,1.853
2020-09-30 06-PM,0.006295,0.006311,0.006282,0.006286,1.088
2020-09-30 05-PM,0.00631,0.006311,0.006294,0.006295,2.359
2020-09-30 04-PM,0.006308,0.006315,0.006296,0.00631,1.248
2020-09-30 03-PM,0.00629,0.006309,0.006282,0.006308,3.4
2020-09-30 02-PM,0.006255,0.006292,0.006249,0.00629,4.25
2020-09-30 01-PM,0.006252,0.00626,0.006238,0.006255,2.712
2020-09-30 12-PM,0.00625,0.006258,0.006236,0.006252,3.311
2020-09-30 11-AM,0.006268,0.006271,0.006248,0.00625,4.302
2020-09-30 10-AM,0.006258,0.006275,0.006249,0.006268,3.099
2020-09-30 09-AM,0.006281,0.006285,0.006251,0.006258,1.852
2020-09-30 08-AM,0.006279,0.006295,0.006264,0.006281,0.901
2020-09-30 07-AM,0.006276,0.006289,0.006267,0.006279,1.071
2020-09-30 06-AM,0.006274,0.006279,0.006264,0.006276,0.9382
2020-09-30 05-AM,0.006279,0.006288,0.006263,0.006274,0.762
2020-09-30 04-AM,0.006284,0.006287,0.006261,0.006279,2.629
2020-09-30 03-AM,0.006285,0.006299,0.006272,0.006284,4.078
2020-09-30 02-AM,0.006301,0.006309,0.00628,0.006285,1.324
2020-09-30 01-AM,0.006312,0.006318,0.006295,0.006301,1.724
2020-09-30 12-AM,0.006314,0.006323,0.006307,0.006312,1.518
2020-09-29 11-PM,0.00633,0.006355,0.006313,0.006314,1.563
2020-09-29 10-PM,0.006341,0.006349,0.006323,0.00633,1.899
2020-09-29 09-PM,0.006351,0.006351,0.006315,0.006341,4.943
2020-09-29 08-PM,0.006277,0.006353,0.006273,0.006351,7.547
2020-09-29 07-PM,0.006273,0.006282,0.006264,0.006277,1.094
2020-09-29 06-PM,0.006282,0.006296,0.006255,0.006273,5.295
2020-09-29 05-PM,0.006269,0.006299,0.006264,0.006282,7.519
