Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,0.000238,0.000238,0.0002371,0.0002374,16.63
2020-10-02 06-AM,0.0002384,0.0002387,0.0002375,0.000238,28.03
2020-10-02 05-AM,0.0002397,0.0002398,0.0002376,0.0002384,48.18
2020-10-02 04-AM,0.0002392,0.0002398,0.0002389,0.0002397,15.32
2020-10-02 03-AM,0.0002393,0.0002396,0.0002392,0.0002392,7.491
2020-10-02 02-AM,0.00024,0.00024,0.0002393,0.0002393,7.75
2020-10-02 01-AM,0.0002393,0.0002402,0.0002393,0.00024,10.41
2020-10-02 12-AM,0.0002395,0.0002398,0.0002392,0.0002393,7.268
2020-10-01 11-PM,0.0002394,0.0002399,0.0002392,0.0002395,14.83
2020-10-01 10-PM,0.0002388,0.0002396,0.0002383,0.0002394,7.6
2020-10-01 09-PM,0.0002388,0.000239,0.0002385,0.0002388,4.692
2020-10-01 08-PM,0.000239,0.0002395,0.0002387,0.0002388,9.908
2020-10-01 07-PM,0.0002391,0.0002392,0.0002382,0.000239,9.146
2020-10-01 06-PM,0.0002393,0.0002396,0.0002388,0.0002391,14.11
2020-10-01 05-PM,0.0002386,0.0002394,0.0002383,0.0002393,17.62
2020-10-01 04-PM,0.0002398,0.00024,0.0002376,0.0002386,62.69
2020-10-01 03-PM,0.0002398,0.0002401,0.0002393,0.0002398,22.5
2020-10-01 02-PM,0.0002395,0.00024,0.0002392,0.0002398,11.82
2020-10-01 01-PM,0.0002396,0.0002398,0.0002391,0.0002395,14.65
2020-10-01 12-PM,0.00024,0.0002405,0.0002396,0.0002396,6.321
2020-10-01 11-AM,0.0002401,0.0002402,0.0002398,0.00024,7.047
2020-10-01 10-AM,0.0002398,0.0002405,0.0002395,0.0002401,17.02
2020-10-01 09-AM,0.0002401,0.0002402,0.0002395,0.0002398,12.11
2020-10-01 08-AM,0.0002401,0.0002407,0.0002392,0.0002401,31.64
2020-10-01 07-AM,0.0002398,0.0002403,0.0002396,0.0002401,17.02
2020-10-01 06-AM,0.0002398,0.0002404,0.0002397,0.0002398,23.21
2020-10-01 05-AM,0.0002396,0.00024,0.0002392,0.0002398,16.62
2020-10-01 04-AM,0.0002393,0.0002396,0.000239,0.0002396,6.099
2020-10-01 03-AM,0.0002393,0.0002395,0.0002389,0.0002393,8.153
2020-10-01 02-AM,0.0002391,0.0002397,0.000239,0.0002393,8.475
2020-10-01 01-AM,0.0002392,0.0002395,0.0002388,0.0002391,11.65
2020-10-01 12-AM,0.0002393,0.0002394,0.0002384,0.0002392,25.28
2020-09-30 11-PM,0.0002399,0.0002402,0.000239,0.0002393,29.14
2020-09-30 10-PM,0.0002402,0.0002402,0.0002395,0.0002399,15.31
2020-09-30 09-PM,0.00024,0.0002402,0.0002396,0.0002402,5.33
2020-09-30 08-PM,0.0002392,0.00024,0.0002392,0.00024,10.58
2020-09-30 07-PM,0.0002392,0.0002396,0.0002391,0.0002392,7.941
2020-09-30 06-PM,0.0002393,0.0002398,0.0002392,0.0002392,15.78
2020-09-30 05-PM,0.0002394,0.0002395,0.000239,0.0002393,8.404
2020-09-30 04-PM,0.0002392,0.0002398,0.000239,0.0002394,13.45
2020-09-30 03-PM,0.0002393,0.0002396,0.0002389,0.0002392,11.36
2020-09-30 02-PM,0.0002391,0.0002396,0.000239,0.0002393,14.98
2020-09-30 01-PM,0.0002394,0.0002395,0.0002389,0.0002391,17.11
2020-09-30 12-PM,0.0002397,0.0002398,0.000239,0.0002394,26.62
2020-09-30 11-AM,0.00024,0.0002403,0.0002395,0.0002397,18.27
2020-09-30 10-AM,0.0002403,0.0002403,0.0002399,0.00024,14.47
2020-09-30 09-AM,0.0002407,0.0002408,0.0002401,0.0002403,14.79
2020-09-30 08-AM,0.0002407,0.0002408,0.0002404,0.0002407,12.15
2020-09-30 07-AM,0.0002408,0.000241,0.0002403,0.0002407,12.95
2020-09-30 06-AM,0.0002408,0.0002411,0.0002405,0.0002408,5.205
2020-09-30 05-AM,0.0002404,0.0002409,0.0002402,0.0002408,6.896
2020-09-30 04-AM,0.0002399,0.0002404,0.0002397,0.0002404,15.77
2020-09-30 03-AM,0.0002397,0.0002401,0.0002394,0.0002399,10.02
2020-09-30 02-AM,0.0002398,0.0002399,0.0002391,0.0002397,6.485
2020-09-30 01-AM,0.0002394,0.0002398,0.0002393,0.0002398,6.716
2020-09-30 12-AM,0.0002398,0.0002398,0.0002393,0.0002394,13.31
2020-09-29 11-PM,0.0002407,0.0002409,0.0002394,0.0002398,17.01
2020-09-29 10-PM,0.0002407,0.0002412,0.0002406,0.0002407,13.57
2020-09-29 09-PM,0.000241,0.0002411,0.0002403,0.0002407,11.67
2020-09-29 08-PM,0.0002409,0.0002414,0.0002408,0.000241,13.47
2020-09-29 07-PM,0.000241,0.0002411,0.0002405,0.0002409,8.196
2020-09-29 06-PM,0.0002415,0.0002417,0.0002407,0.000241,7.832
2020-09-29 05-PM,0.0002414,0.0002419,0.0002412,0.0002415,21.7
2020-09-29 04-PM,0.00024,0.0002418,0.00024,0.0002414,31.99
2020-09-29 03-PM,0.00024,0.0002403,0.0002397,0.00024,18.47
2020-09-29 02-PM,0.00024,0.0002403,0.0002397,0.00024,16.36
2020-09-29 01-PM,0.0002402,0.0002403,0.0002398,0.00024,15.35
2020-09-29 12-PM,0.0002403,0.0002406,0.0002401,0.0002402,10.41
2020-09-29 11-AM,0.0002397,0.0002406,0.0002393,0.0002403,13.9
2020-09-29 10-AM,0.0002404,0.0002406,0.0002397,0.0002397,20.04
2020-09-29 09-AM,0.0002401,0.0002406,0.0002396,0.0002404,27.96
2020-09-29 08-AM,0.0002405,0.0002405,0.0002398,0.0002401,20.84
2020-09-29 07-AM,0.0002405,0.0002407,0.0002402,0.0002405,13.68
2020-09-29 06-AM,0.0002401,0.0002408,0.00024,0.0002405,20.38
2020-09-29 05-AM,0.0002401,0.0002404,0.0002399,0.0002401,17.65
2020-09-29 04-AM,0.0002405,0.0002408,0.00024,0.0002401,14.29
2020-09-29 03-AM,0.0002405,0.0002408,0.0002402,0.0002405,17.73
2020-09-29 02-AM,0.0002405,0.0002416,0.0002404,0.0002405,20.38
2020-09-29 01-AM,0.0002401,0.0002406,0.0002399,0.0002405,18.08
2020-09-29 12-AM,0.0002396,0.0002401,0.0002391,0.0002401,22.85
2020-09-28 11-PM,0.0002389,0.000241,0.0002386,0.0002396,55.4
2020-09-28 10-PM,0.0002386,0.0002393,0.0002386,0.0002389,17.67
2020-09-28 09-PM,0.000239,0.000239,0.0002383,0.0002386,8.076
2020-09-28 08-PM,0.0002391,0.0002391,0.0002387,0.000239,8.072
2020-09-28 07-PM,0.000239,0.0002394,0.0002389,0.0002391,9.116
2020-09-28 06-PM,0.0002399,0.00024,0.0002388,0.000239,19.61
2020-09-28 05-PM,0.0002405,0.0002408,0.0002398,0.0002399,10.7
2020-09-28 04-PM,0.0002397,0.0002414,0.0002396,0.0002405,32.09
2020-09-28 03-PM,0.0002399,0.0002402,0.0002394,0.0002397,8.12
2020-09-28 02-PM,0.0002398,0.0002401,0.0002395,0.0002399,10.91
2020-09-28 01-PM,0.0002396,0.0002401,0.000239,0.0002398,19.32
2020-09-28 12-PM,0.0002392,0.000241,0.0002388,0.0002396,39.1
2020-09-28 11-AM,0.0002389,0.0002396,0.0002385,0.0002392,16.23
2020-09-28 10-AM,0.0002386,0.000239,0.0002384,0.0002389,15.15
2020-09-28 09-AM,0.0002384,0.0002389,0.0002381,0.0002386,8.383
2020-09-28 08-AM,0.0002389,0.0002392,0.000238,0.0002384,19.82
2020-09-28 07-AM,0.0002382,0.0002395,0.0002377,0.0002389,26.65
2020-09-28 06-AM,0.0002379,0.0002387,0.0002379,0.0002382,17.46
2020-09-28 05-AM,0.0002388,0.0002388,0.0002378,0.0002379,11.92
2020-09-28 04-AM,0.0002387,0.0002389,0.0002385,0.0002388,15.2
2020-09-28 03-AM,0.0002385,0.0002388,0.0002382,0.0002387,16.71
2020-09-28 02-AM,0.0002388,0.000239,0.0002382,0.0002385,18.78
