Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,0.0004994,0.0004994,0.0004968,0.0004968,1.209
2020-10-02 06-AM,0.0004995,0.0005008,0.0004979,0.0004994,3.618
2020-10-02 05-AM,0.0005027,0.0005028,0.0004989,0.0004995,1.234
2020-10-02 04-AM,0.0005007,0.0005033,0.0005007,0.0005027,0.6254
2020-10-02 03-AM,0.0005016,0.0005022,0.0005007,0.0005007,0.8884
2020-10-02 02-AM,0.0005045,0.0005045,0.0005016,0.0005016,5.774
2020-10-02 01-AM,0.0005028,0.0005049,0.0005028,0.0005045,8.576
2020-10-02 12-AM,0.0005018,0.0005033,0.0004998,0.0005028,15.46
2020-10-01 11-PM,0.0004986,0.0005019,0.0004982,0.0005018,12.87
2020-10-01 10-PM,0.0004977,0.0004986,0.0004963,0.0004986,4.138
2020-10-01 09-PM,0.0004965,0.0004985,0.0004957,0.0004977,4.419
2020-10-01 08-PM,0.0004966,0.0004975,0.000496,0.0004965,1.153
2020-10-01 07-PM,0.0004954,0.0004973,0.0004948,0.0004966,1.406
2020-10-01 06-PM,0.0004957,0.0004959,0.0004941,0.0004954,2.558
2020-10-01 05-PM,0.0004948,0.0004963,0.0004944,0.0004957,8.125
2020-10-01 04-PM,0.0004977,0.0004986,0.0004948,0.0004948,11.05
2020-10-01 03-PM,0.0005,0.0005,0.0004974,0.0004977,1.965
2020-10-01 02-PM,0.0005009,0.0005018,0.0004988,0.0005,2.634
2020-10-01 01-PM,0.0005027,0.0005027,0.0005006,0.0005009,1.158
2020-10-01 12-PM,0.0005032,0.0005043,0.0005,0.0005027,11.18
2020-10-01 11-AM,0.0005006,0.0005038,0.0005003,0.0005032,13.48
2020-10-01 10-AM,0.0004997,0.0005015,0.0004989,0.0005006,0.9645
2020-10-01 09-AM,0.0004995,0.0005014,0.0004993,0.0004997,0.9627
2020-10-01 08-AM,0.0005001,0.0005012,0.0004989,0.0004995,1.755
2020-10-01 07-AM,0.0005001,0.0005013,0.0004996,0.0005001,1.057
2020-10-01 06-AM,0.0004996,0.0005003,0.0004992,0.0005001,0.738
2020-10-01 05-AM,0.000499,0.0004996,0.0004978,0.0004996,0.5193
2020-10-01 04-AM,0.0005,0.0005002,0.0004976,0.000499,0.6063
2020-10-01 03-AM,0.0005009,0.0005011,0.0004992,0.0005,0.3339
2020-10-01 02-AM,0.0004988,0.0005016,0.0004988,0.0005009,5.222
2020-10-01 01-AM,0.0005008,0.0005009,0.0004982,0.0004988,0.5173
2020-10-01 12-AM,0.0005009,0.0005011,0.000498,0.0005008,5.359
2020-09-30 11-PM,0.0005025,0.0005033,0.0005004,0.0005009,1.242
2020-09-30 10-PM,0.0005025,0.0005055,0.000501,0.0005025,7.307
2020-09-30 09-PM,0.0005039,0.0005042,0.000502,0.0005025,2.824
2020-09-30 08-PM,0.0005021,0.000504,0.0005015,0.0005039,0.8563
2020-09-30 07-PM,0.0005012,0.0005024,0.0005006,0.0005021,0.5958
2020-09-30 06-PM,0.0005013,0.0005028,0.0005007,0.0005012,1.247
2020-09-30 05-PM,0.0005003,0.0005036,0.0004996,0.0005013,1.942
2020-09-30 04-PM,0.0004966,0.0005004,0.000495,0.0005003,3.073
2020-09-30 03-PM,0.0004967,0.0004974,0.0004958,0.0004966,1.106
2020-09-30 02-PM,0.0004969,0.0004986,0.0004962,0.0004967,2.035
2020-09-30 01-PM,0.0004948,0.000497,0.0004945,0.0004969,3.633
2020-09-30 12-PM,0.0004944,0.0004953,0.0004941,0.0004948,1.707
2020-09-30 11-AM,0.0004941,0.0004951,0.0004938,0.0004944,4.633
2020-09-30 10-AM,0.000494,0.0004943,0.0004932,0.0004941,2.905
2020-09-30 09-AM,0.0004935,0.0004948,0.0004922,0.000494,5.664
2020-09-30 08-AM,0.0004966,0.0004966,0.000491,0.0004935,10.38
2020-09-30 07-AM,0.0004965,0.0004986,0.0004941,0.0004966,6.941
2020-09-30 06-AM,0.0004974,0.0004983,0.000496,0.0004965,0.8292
2020-09-30 05-AM,0.0004988,0.0004992,0.0004962,0.0004974,2.136
2020-09-30 04-AM,0.0004978,0.0004997,0.0004968,0.0004988,1.324
