Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,0.03277,0.03279,0.03264,0.03267,205.01
2020-10-02 06-AM,0.03283,0.03283,0.03267,0.03277,493.93
2020-10-02 05-AM,0.03318,0.0332,0.03281,0.03283,934.63
2020-10-02 04-AM,0.03317,0.03325,0.03313,0.03318,237.05
2020-10-02 03-AM,0.03315,0.0332,0.03313,0.03317,177.08
2020-10-02 02-AM,0.03324,0.03325,0.03315,0.03315,248.49
2020-10-02 01-AM,0.03314,0.03332,0.03314,0.03324,239.4
2020-10-02 12-AM,0.03323,0.03324,0.03306,0.03314,298.87
2020-10-01 11-PM,0.03317,0.03325,0.03313,0.03323,221.92
2020-10-01 10-PM,0.03316,0.03323,0.03311,0.03317,254.81
2020-10-01 09-PM,0.03315,0.03324,0.03309,0.03316,245.73
2020-10-01 08-PM,0.03326,0.03326,0.03306,0.03315,388.81
2020-10-01 07-PM,0.03327,0.03331,0.03316,0.03326,463.39
2020-10-01 06-PM,0.03304,0.0333,0.03299,0.03327,657.2
2020-10-01 05-PM,0.03328,0.0333,0.03304,0.03304,736.39
2020-10-01 04-PM,0.0337,0.03371,0.0331,0.03328,1537.3
2020-10-01 03-PM,0.03368,0.03373,0.03359,0.0337,453.48
2020-10-01 02-PM,0.0337,0.03376,0.0336,0.03368,299.46
2020-10-01 01-PM,0.03378,0.03379,0.03369,0.0337,276.02
2020-10-01 12-PM,0.03381,0.03384,0.03376,0.03378,270.82
2020-10-01 11-AM,0.03374,0.03381,0.03372,0.03381,231.38
2020-10-01 10-AM,0.03374,0.03379,0.03371,0.03374,200.78
2020-10-01 09-AM,0.03376,0.03379,0.03372,0.03374,412.14
2020-10-01 08-AM,0.03362,0.03389,0.03356,0.03376,684.28
2020-10-01 07-AM,0.03352,0.03363,0.03351,0.03362,209.87
2020-10-01 06-AM,0.03344,0.03356,0.03343,0.03352,325.88
2020-10-01 05-AM,0.03354,0.03354,0.03336,0.03344,276.2
2020-10-01 04-AM,0.03355,0.03361,0.03353,0.03354,176.38
2020-10-01 03-AM,0.03352,0.03357,0.0335,0.03355,184.12
2020-10-01 02-AM,0.03334,0.0336,0.03334,0.03352,357.18
2020-10-01 01-AM,0.0333,0.03335,0.03325,0.03334,298.86
2020-10-01 12-AM,0.03338,0.03342,0.03324,0.0333,310.03
2020-09-30 11-PM,0.03342,0.03355,0.03335,0.03338,291.45
2020-09-30 10-PM,0.03336,0.03348,0.03336,0.03342,239.4
2020-09-30 09-PM,0.03332,0.0334,0.03331,0.03336,186.85
2020-09-30 08-PM,0.03318,0.03334,0.03316,0.03332,193.99
2020-09-30 07-PM,0.03317,0.03323,0.03313,0.03318,258.05
2020-09-30 06-PM,0.03318,0.03326,0.03316,0.03317,262.1
2020-09-30 05-PM,0.03318,0.0332,0.03312,0.03318,254.42
2020-09-30 04-PM,0.03316,0.03328,0.03314,0.03318,334.82
2020-09-30 03-PM,0.03308,0.03318,0.03307,0.03316,281.95
2020-09-30 02-PM,0.03312,0.03318,0.03307,0.03308,354.79
2020-09-30 01-PM,0.0331,0.03313,0.03307,0.03312,250.63
2020-09-30 12-PM,0.03304,0.03314,0.03295,0.0331,401.35
2020-09-30 11-AM,0.03313,0.03314,0.03301,0.03304,393.45
2020-09-30 10-AM,0.03314,0.03317,0.0331,0.03313,197.98
2020-09-30 09-AM,0.0332,0.0332,0.0331,0.03314,285.78
2020-09-30 08-AM,0.03317,0.03321,0.03311,0.0332,199.94
2020-09-30 07-AM,0.03319,0.03322,0.03315,0.03317,286.83
2020-09-30 06-AM,0.03309,0.03321,0.03307,0.03319,404.26
2020-09-30 05-AM,0.03311,0.03313,0.03304,0.03309,238.34
2020-09-30 04-AM,0.03311,0.03312,0.03305,0.03311,261.62
2020-09-30 03-AM,0.03308,0.03311,0.03305,0.03311,217.85
2020-09-30 02-AM,0.03304,0.0331,0.03301,0.03308,164.74
2020-09-30 01-AM,0.03309,0.03315,0.03296,0.03304,281.51
2020-09-30 12-AM,0.03319,0.03319,0.03306,0.03309,226.18
2020-09-29 11-PM,0.03322,0.03325,0.03313,0.03319,191.19
2020-09-29 10-PM,0.0332,0.03328,0.03317,0.03322,120.69
2020-09-29 09-PM,0.03325,0.03326,0.03316,0.0332,121.25
2020-09-29 08-PM,0.03318,0.03331,0.03318,0.03325,313.37
2020-09-29 07-PM,0.03312,0.03323,0.03311,0.03318,283.93
2020-09-29 06-PM,0.03313,0.03318,0.03308,0.03312,348.84
2020-09-29 05-PM,0.03316,0.03318,0.03303,0.03313,362.34
2020-09-29 04-PM,0.03312,0.0332,0.033,0.03316,447.78
2020-09-29 03-PM,0.03319,0.03326,0.0331,0.03312,385.86
2020-09-29 02-PM,0.03323,0.03335,0.03313,0.03319,373
2020-09-29 01-PM,0.03324,0.03326,0.0331,0.03323,289.63
2020-09-29 12-PM,0.03324,0.03328,0.0332,0.03324,305.16
2020-09-29 11-AM,0.03315,0.03328,0.03311,0.03324,238.34
2020-09-29 10-AM,0.03309,0.03326,0.03308,0.03315,313.91
2020-09-29 09-AM,0.03311,0.03318,0.03308,0.03309,293.11
2020-09-29 08-AM,0.03311,0.03313,0.03305,0.03311,305.82
2020-09-29 07-AM,0.03309,0.03313,0.03307,0.03311,308.46
2020-09-29 06-AM,0.03294,0.03315,0.03284,0.03309,408.97
2020-09-29 05-AM,0.03304,0.03305,0.03292,0.03294,239.19
2020-09-29 04-AM,0.03304,0.03309,0.03301,0.03304,197.11
2020-09-29 03-AM,0.03311,0.03317,0.03301,0.03304,396.65
2020-09-29 02-AM,0.03311,0.03319,0.03308,0.03311,411.92
2020-09-29 01-AM,0.03311,0.03318,0.03308,0.03311,442.36
2020-09-29 12-AM,0.0331,0.03315,0.03297,0.03311,433.45
2020-09-28 11-PM,0.03325,0.03347,0.03294,0.0331,865.84
2020-09-28 10-PM,0.0334,0.03341,0.03323,0.03325,179.92
2020-09-28 09-PM,0.03338,0.03344,0.0333,0.0334,120.78
2020-09-28 08-PM,0.03341,0.03342,0.03333,0.03338,227.76
2020-09-28 07-PM,0.03342,0.03348,0.03332,0.03341,313.31
2020-09-28 06-PM,0.03354,0.03355,0.03341,0.03342,240.15
2020-09-28 05-PM,0.03348,0.0337,0.03344,0.03354,442.74
2020-09-28 04-PM,0.03347,0.03356,0.03342,0.03348,369.98
2020-09-28 03-PM,0.03338,0.0335,0.03334,0.03347,431.77
2020-09-28 02-PM,0.03335,0.03339,0.0333,0.03338,287.78
2020-09-28 01-PM,0.03338,0.03345,0.03329,0.03335,468.74
2020-09-28 12-PM,0.03291,0.03356,0.03286,0.03338,891.42
2020-09-28 11-AM,0.03301,0.03307,0.03284,0.03291,359.65
2020-09-28 10-AM,0.03293,0.03302,0.0329,0.03301,286.95
2020-09-28 09-AM,0.03293,0.03302,0.03291,0.03293,282.47
2020-09-28 08-AM,0.03293,0.03302,0.03283,0.03293,347.46
2020-09-28 07-AM,0.03281,0.03294,0.03273,0.03293,419.26
2020-09-28 06-AM,0.03287,0.03292,0.03277,0.03281,319.32
2020-09-28 05-AM,0.0329,0.03304,0.03286,0.03287,281.4
2020-09-28 04-AM,0.03289,0.03295,0.03288,0.0329,219.53
2020-09-28 03-AM,0.03286,0.03289,0.0328,0.03289,266.19
2020-09-28 02-AM,0.03288,0.03293,0.03281,0.03286,282.06
2020-09-28 01-AM,0.03287,0.03293,0.03282,0.03288,244.98
2020-09-28 12-AM,0.03318,0.03325,0.03281,0.03287,589.82
2020-09-27 11-PM,0.03298,0.0332,0.03294,0.03318,295.92
2020-09-27 10-PM,0.03293,0.03308,0.03293,0.03298,128.09
2020-09-27 09-PM,0.03295,0.03301,0.03289,0.03293,83.07
2020-09-27 08-PM,0.03299,0.03302,0.0329,0.03295,214.95
2020-09-27 07-PM,0.03285,0.033,0.03282,0.03299,205.36
2020-09-27 06-PM,0.03288,0.03295,0.03284,0.03285,196.82
2020-09-27 05-PM,0.03301,0.03304,0.03286,0.03288,303.05
2020-09-27 04-PM,0.03306,0.03313,0.03297,0.03301,377.64
2020-09-27 03-PM,0.03294,0.03313,0.03282,0.03306,464.12
2020-09-27 02-PM,0.03301,0.03304,0.03289,0.03294,283.64
2020-09-27 01-PM,0.03303,0.03304,0.03295,0.03301,224.33
2020-09-27 12-PM,0.03287,0.03304,0.03275,0.03303,361.26
2020-09-27 11-AM,0.03309,0.0331,0.03284,0.03287,268.03
2020-09-27 10-AM,0.03298,0.0331,0.03295,0.03309,260.18
2020-09-27 09-AM,0.03311,0.03312,0.03296,0.03298,299.67
2020-09-27 08-AM,0.03321,0.03321,0.03299,0.03311,511.91
2020-09-27 07-AM,0.03313,0.03323,0.03313,0.03321,314.99
2020-09-27 06-AM,0.03343,0.03346,0.03313,0.03313,765.06
2020-09-27 05-AM,0.03349,0.03357,0.0334,0.03343,349.08
2020-09-27 04-AM,0.03333,0.03355,0.03333,0.03349,524.19
2020-09-27 03-AM,0.03335,0.03342,0.03328,0.03333,329.55
2020-09-27 02-AM,0.03339,0.03347,0.03327,0.03335,304.48
2020-09-27 01-AM,0.03339,0.03356,0.03328,0.03339,520.07
2020-09-27 12-AM,0.03299,0.03344,0.03298,0.03339,557.03
2020-09-26 11-PM,0.03292,0.03305,0.03292,0.03299,253.14
2020-09-26 10-PM,0.0329,0.03299,0.0328,0.03292,256.27
2020-09-26 09-PM,0.03299,0.03312,0.03289,0.0329,161.51
2020-09-26 08-PM,0.03288,0.03301,0.03285,0.03299,199.85
2020-09-26 07-PM,0.03293,0.03295,0.03282,0.03288,200.07
2020-09-26 06-PM,0.03298,0.03306,0.03286,0.03293,255.81
2020-09-26 05-PM,0.03299,0.03302,0.03293,0.03298,238.19
2020-09-26 04-PM,0.03286,0.03302,0.0328,0.03299,377.5
2020-09-26 03-PM,0.03284,0.03303,0.03284,0.03286,344.48
2020-09-26 02-PM,0.03254,0.03298,0.03243,0.03284,633.65
2020-09-26 01-PM,0.03271,0.03272,0.03254,0.03254,318.16
