Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,0.001732,0.001738,0.001723,0.001723,4.516
2020-10-02 06-AM,0.001722,0.001739,0.001716,0.001732,12.31
2020-10-02 05-AM,0.001772,0.001772,0.001719,0.001722,34.4
2020-10-02 04-AM,0.001781,0.001784,0.001771,0.001772,4.302
2020-10-02 03-AM,0.001778,0.001786,0.001773,0.001781,4.943
2020-10-02 02-AM,0.00177,0.001796,0.001767,0.001778,4.527
2020-10-02 01-AM,0.001758,0.001797,0.001758,0.00177,17.51
2020-10-02 12-AM,0.00177,0.00177,0.001756,0.001758,3.797
2020-10-01 11-PM,0.001762,0.001771,0.001754,0.00177,13.58
2020-10-01 10-PM,0.001762,0.00177,0.001753,0.001762,8.874
2020-10-01 09-PM,0.001756,0.001767,0.001751,0.001762,5.572
2020-10-01 08-PM,0.00177,0.00177,0.001752,0.001756,4.248
2020-10-01 07-PM,0.001764,0.001775,0.001764,0.00177,8.21
2020-10-01 06-PM,0.001752,0.001772,0.001749,0.001764,12.62
2020-10-01 05-PM,0.001752,0.001757,0.001733,0.001752,26.81
2020-10-01 04-PM,0.00179,0.001804,0.00175,0.001752,46.06
2020-10-01 03-PM,0.001815,0.001825,0.001786,0.00179,15.89
2020-10-01 02-PM,0.001813,0.001825,0.001806,0.001815,10.06
2020-10-01 01-PM,0.001833,0.001836,0.001809,0.001813,9.576
2020-10-01 12-PM,0.001843,0.001844,0.001831,0.001833,5.985
2020-10-01 11-AM,0.00184,0.001845,0.001837,0.001843,4.916
2020-10-01 10-AM,0.00185,0.001851,0.001832,0.00184,11.58
2020-10-01 09-AM,0.001859,0.001861,0.001846,0.00185,7.315
2020-10-01 08-AM,0.00184,0.001866,0.001834,0.001859,18.12
2020-10-01 07-AM,0.001861,0.001862,0.001838,0.00184,14.52
2020-10-01 06-AM,0.001817,0.001863,0.001815,0.001861,24.32
2020-10-01 05-AM,0.001807,0.001821,0.001805,0.001817,3.782
2020-10-01 04-AM,0.001809,0.001824,0.001803,0.001807,10.57
2020-10-01 03-AM,0.001821,0.001828,0.001803,0.001809,3.927
2020-10-01 02-AM,0.001801,0.001837,0.001801,0.001821,19.56
2020-10-01 01-AM,0.001804,0.001806,0.001784,0.001801,5.241
2020-10-01 12-AM,0.001772,0.001804,0.001767,0.001804,14.18
2020-09-30 11-PM,0.001768,0.001774,0.001761,0.001772,4.75
2020-09-30 10-PM,0.00176,0.001778,0.001759,0.001768,7.618
2020-09-30 09-PM,0.001761,0.001766,0.001755,0.00176,2.295
2020-09-30 08-PM,0.001755,0.001763,0.001751,0.001761,15.05
2020-09-30 07-PM,0.001767,0.001769,0.001753,0.001755,9.306
2020-09-30 06-PM,0.001772,0.001776,0.001763,0.001767,5.255
2020-09-30 05-PM,0.001763,0.001778,0.001761,0.001772,5.122
2020-09-30 04-PM,0.001775,0.001775,0.001757,0.001763,7.899
2020-09-30 03-PM,0.001765,0.001789,0.001763,0.001775,16.96
2020-09-30 02-PM,0.001762,0.001783,0.001762,0.001765,8.45
2020-09-30 01-PM,0.001774,0.001775,0.001751,0.001762,13.46
2020-09-30 12-PM,0.001758,0.001776,0.001757,0.001774,9.645
2020-09-30 11-AM,0.001781,0.001782,0.001753,0.001758,35.15
2020-09-30 10-AM,0.001781,0.001785,0.001778,0.001781,9.3
2020-09-30 09-AM,0.001805,0.001805,0.001774,0.001781,15.3
2020-09-30 08-AM,0.001804,0.001808,0.001798,0.001805,7.053
2020-09-30 07-AM,0.001801,0.001816,0.001794,0.001804,10.36
2020-09-30 06-AM,0.001795,0.00183,0.001788,0.001801,38.19
2020-09-30 05-AM,0.001821,0.001821,0.001792,0.001795,16.26
2020-09-30 04-AM,0.001833,0.001836,0.001806,0.001821,43.3
2020-09-30 03-AM,0.001843,0.001849,0.001828,0.001833,23.53
2020-09-30 02-AM,0.001831,0.001861,0.001828,0.001843,31.34
2020-09-30 01-AM,0.001814,0.001833,0.001807,0.001831,9.633
2020-09-30 12-AM,0.001815,0.001821,0.00181,0.001814,6.136
2020-09-29 11-PM,0.00182,0.001836,0.001811,0.001815,8.536
2020-09-29 10-PM,0.001798,0.001825,0.001797,0.00182,14.47
2020-09-29 09-PM,0.001803,0.001803,0.001792,0.001798,8.956
2020-09-29 08-PM,0.001803,0.00181,0.001798,0.001803,9.86
2020-09-29 07-PM,0.001803,0.001809,0.001796,0.001803,5.632
2020-09-29 06-PM,0.001794,0.001807,0.001794,0.001803,6.007
2020-09-29 05-PM,0.001808,0.001814,0.001783,0.001794,25.9
2020-09-29 04-PM,0.001831,0.001832,0.001802,0.001808,34.9
2020-09-29 03-PM,0.001834,0.001839,0.001829,0.001831,3.516
2020-09-29 02-PM,0.001849,0.001851,0.001831,0.001834,6.546
2020-09-29 01-PM,0.001845,0.001851,0.001824,0.001849,37.76
2020-09-29 12-PM,0.001857,0.001858,0.001836,0.001845,19.74
2020-09-29 11-AM,0.001854,0.001866,0.00185,0.001857,10.57
2020-09-29 10-AM,0.001849,0.001864,0.001843,0.001854,11.66
2020-09-29 09-AM,0.001859,0.001862,0.001843,0.001849,8.692
2020-09-29 08-AM,0.001866,0.001866,0.001852,0.001859,15.11
2020-09-29 07-AM,0.001874,0.001883,0.001861,0.001866,9.436
2020-09-29 06-AM,0.001838,0.001892,0.001834,0.001874,31.1
2020-09-29 05-AM,0.001837,0.001841,0.001827,0.001838,18.77
2020-09-29 04-AM,0.00185,0.001851,0.001834,0.001837,8.062
2020-09-29 03-AM,0.001836,0.001866,0.001833,0.00185,39
2020-09-29 02-AM,0.001843,0.001855,0.001824,0.001836,25.03
2020-09-29 01-AM,0.001883,0.001883,0.001833,0.001843,18.7
2020-09-29 12-AM,0.001879,0.001885,0.001868,0.001883,8.994
2020-09-28 11-PM,0.001881,0.001902,0.001866,0.001879,31.96
2020-09-28 10-PM,0.001889,0.00189,0.001881,0.001881,7.517
2020-09-28 09-PM,0.001881,0.001889,0.001875,0.001889,6.732
2020-09-28 08-PM,0.001876,0.001883,0.001875,0.001881,10.68
2020-09-28 07-PM,0.001881,0.001881,0.001866,0.001876,11.36
2020-09-28 06-PM,0.001881,0.001883,0.001875,0.001881,15.71
2020-09-28 05-PM,0.001877,0.001885,0.001874,0.001881,13.92
2020-09-28 04-PM,0.001875,0.001883,0.001867,0.001877,18.17
2020-09-28 03-PM,0.001889,0.00189,0.001868,0.001875,12.9
2020-09-28 02-PM,0.001872,0.001906,0.00187,0.001889,21.37
2020-09-28 01-PM,0.001866,0.001885,0.001863,0.001872,24.57
2020-09-28 12-PM,0.001845,0.001882,0.001843,0.001866,27.97
2020-09-28 11-AM,0.001856,0.001859,0.001835,0.001845,32.32
2020-09-28 10-AM,0.001872,0.001872,0.001852,0.001856,33.63
2020-09-28 09-AM,0.001871,0.001873,0.001856,0.001872,32.53
2020-09-28 08-AM,0.001827,0.00188,0.001825,0.001871,55.7
2020-09-28 07-AM,0.001895,0.001895,0.001821,0.001827,194.44
2020-09-28 06-AM,0.001925,0.001926,0.001869,0.001895,120.82
2020-09-28 05-AM,0.001913,0.001938,0.001911,0.001925,23.23
2020-09-28 04-AM,0.001927,0.001931,0.001912,0.001913,14.4
2020-09-28 03-AM,0.00192,0.00193,0.001909,0.001927,16.15
2020-09-28 02-AM,0.001931,0.001936,0.001917,0.00192,22.62
2020-09-28 01-AM,0.001955,0.001957,0.001931,0.001931,22.61
2020-09-28 12-AM,0.001963,0.001983,0.00195,0.001955,36.76
2020-09-27 11-PM,0.001963,0.001969,0.001953,0.001963,21.06
2020-09-27 10-PM,0.00196,0.001973,0.001955,0.001963,18.31
