Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,4.019E-05,4.037E-05,4E-05,4.004E-05,0.2204
2020-10-02 06-AM,4.003E-05,4.04E-05,4E-05,4.019E-05,2.431
2020-10-02 05-AM,4.112E-05,4.113E-05,4.003E-05,4.003E-05,1.126
2020-10-02 04-AM,4.099E-05,4.114E-05,4.099E-05,4.112E-05,0.02894
2020-10-02 03-AM,4.092E-05,4.1E-05,4.076E-05,4.099E-05,0.07184
2020-10-02 02-AM,4.112E-05,4.116E-05,4.075E-05,4.092E-05,0.3118
2020-10-02 01-AM,4.112E-05,4.124E-05,4.097E-05,4.112E-05,0.1815
2020-10-02 12-AM,4.111E-05,4.125E-05,4.082E-05,4.112E-05,0.184
2020-10-01 11-PM,4.088E-05,4.116E-05,4.084E-05,4.111E-05,0.1415
2020-10-01 10-PM,4.1E-05,4.119E-05,4.088E-05,4.088E-05,0.04163
2020-10-01 09-PM,4.099E-05,4.121E-05,4.07E-05,4.1E-05,0.3054
2020-10-01 08-PM,4.097E-05,4.133E-05,4.094E-05,4.099E-05,0.3337
2020-10-01 07-PM,4.098E-05,4.123E-05,4.07E-05,4.097E-05,0.1577
2020-10-01 06-PM,4.045E-05,4.098E-05,4E-05,4.098E-05,1.47
2020-10-01 05-PM,4.089E-05,4.092E-05,4E-05,4.045E-05,3.364
2020-10-01 04-PM,4.167E-05,4.167E-05,4.002E-05,4.089E-05,5.726
2020-10-01 03-PM,4.204E-05,4.245E-05,4.15E-05,4.167E-05,0.9044
2020-10-01 02-PM,4.202E-05,4.234E-05,4.192E-05,4.204E-05,0.3565
2020-10-01 01-PM,4.222E-05,4.243E-05,4.198E-05,4.202E-05,0.9758
2020-10-01 12-PM,4.253E-05,4.278E-05,4.218E-05,4.222E-05,2.07
2020-10-01 11-AM,4.275E-05,4.278E-05,4.251E-05,4.253E-05,0.2572
2020-10-01 10-AM,4.23E-05,4.275E-05,4.23E-05,4.275E-05,1.135
2020-10-01 09-AM,4.229E-05,4.23E-05,4.201E-05,4.23E-05,0.0743
2020-10-01 08-AM,4.212E-05,4.252E-05,4.197E-05,4.229E-05,0.8666
2020-10-01 07-AM,4.202E-05,4.242E-05,4.177E-05,4.212E-05,1.02
2020-10-01 06-AM,4.206E-05,4.212E-05,4.179E-05,4.202E-05,0.071
2020-10-01 05-AM,4.146E-05,4.211E-05,4.142E-05,4.206E-05,1.375
2020-10-01 04-AM,4.144E-05,4.159E-05,4.132E-05,4.146E-05,0.3623
2020-10-01 03-AM,4.137E-05,4.163E-05,4.127E-05,4.144E-05,0.1881
2020-10-01 02-AM,4.123E-05,4.151E-05,4.123E-05,4.137E-05,0.07091
2020-10-01 01-AM,4.134E-05,4.146E-05,4.123E-05,4.123E-05,0.3823
2020-10-01 12-AM,4.134E-05,4.138E-05,4.111E-05,4.134E-05,0.04714
2020-09-30 11-PM,4.122E-05,4.146E-05,4.113E-05,4.134E-05,0.3368
2020-09-30 10-PM,4.122E-05,4.139E-05,4.122E-05,4.122E-05,0.4815
2020-09-30 09-PM,4.122E-05,4.145E-05,4.117E-05,4.122E-05,0.1455
2020-09-30 08-PM,4.133E-05,4.138E-05,4.109E-05,4.122E-05,0.1688
2020-09-30 07-PM,4.118E-05,4.133E-05,4.093E-05,4.133E-05,0.2584
2020-09-30 06-PM,4.161E-05,4.161E-05,4.085E-05,4.118E-05,1.342
2020-09-30 05-PM,4.116E-05,4.211E-05,4.116E-05,4.161E-05,1.817
2020-09-30 04-PM,4.11E-05,4.131E-05,4.106E-05,4.116E-05,0.09436
2020-09-30 03-PM,4.123E-05,4.126E-05,4.103E-05,4.11E-05,0.1428
2020-09-30 02-PM,4.113E-05,4.126E-05,4.099E-05,4.123E-05,0.1868
2020-09-30 01-PM,4.095E-05,4.119E-05,4.065E-05,4.113E-05,0.6407
2020-09-30 12-PM,4.091E-05,4.097E-05,4.066E-05,4.095E-05,4.215
2020-09-30 11-AM,4.057E-05,4.091E-05,4.057E-05,4.091E-05,0.2287
2020-09-30 10-AM,4.094E-05,4.094E-05,4.017E-05,4.057E-05,1.052
2020-09-30 09-AM,4.089E-05,4.101E-05,4.077E-05,4.094E-05,0.03084
2020-09-30 08-AM,4.082E-05,4.089E-05,4.073E-05,4.089E-05,0.3235
2020-09-30 07-AM,4.08E-05,4.097E-05,4.08E-05,4.082E-05,0.07904
2020-09-30 06-AM,4.113E-05,4.114E-05,4.08E-05,4.08E-05,0.5171
2020-09-30 05-AM,4.095E-05,4.113E-05,4.095E-05,4.113E-05,0.1488
2020-09-30 04-AM,4.11E-05,4.113E-05,4.095E-05,4.095E-05,0.2348
2020-09-30 03-AM,4.124E-05,4.124E-05,4.091E-05,4.11E-05,0.05577
2020-09-30 02-AM,4.085E-05,4.14E-05,4.084E-05,4.124E-05,0.5648
2020-09-30 01-AM,4.12E-05,4.12E-05,4.085E-05,4.085E-05,0.363
2020-09-30 12-AM,4.123E-05,4.134E-05,4.1E-05,4.12E-05,0.24
2020-09-29 11-PM,4.11E-05,4.144E-05,4.098E-05,4.123E-05,1.351
2020-09-29 10-PM,4.072E-05,4.11E-05,4.072E-05,4.11E-05,1.1
2020-09-29 09-PM,4.096E-05,4.104E-05,4.059E-05,4.072E-05,2.345
2020-09-29 08-PM,4.092E-05,4.111E-05,4.07E-05,4.096E-05,0.6008
2020-09-29 07-PM,4.1E-05,4.114E-05,4.086E-05,4.092E-05,0.6903
2020-09-29 06-PM,4.123E-05,4.136E-05,4.085E-05,4.1E-05,2.941
2020-09-29 05-PM,4.151E-05,4.17E-05,4.117E-05,4.123E-05,0.781
2020-09-29 04-PM,4.156E-05,4.18E-05,4.121E-05,4.151E-05,0.7704
