Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,6.76E-06,6.79E-06,6.76E-06,6.76E-06,3.366
2020-10-02 06-AM,6.79E-06,6.83E-06,6.76E-06,6.76E-06,6.336
2020-10-02 05-AM,6.87E-06,6.87E-06,6.77E-06,6.79E-06,25.55
2020-10-02 04-AM,6.89E-06,6.89E-06,6.85E-06,6.87E-06,2.433
2020-10-02 03-AM,6.91E-06,6.92E-06,6.88E-06,6.89E-06,1.786
2020-10-02 02-AM,6.91E-06,6.92E-06,6.89E-06,6.91E-06,0.9997
2020-10-02 01-AM,6.88E-06,6.96E-06,6.87E-06,6.91E-06,3.835
2020-10-02 12-AM,6.89E-06,6.91E-06,6.86E-06,6.88E-06,1.119
2020-10-01 11-PM,6.89E-06,6.89E-06,6.86E-06,6.89E-06,2.888
2020-10-01 10-PM,6.88E-06,6.91E-06,6.86E-06,6.89E-06,2.334
2020-10-01 09-PM,6.87E-06,6.9E-06,6.86E-06,6.88E-06,2.725
2020-10-01 08-PM,6.95E-06,6.97E-06,6.85E-06,6.87E-06,11.51
2020-10-01 07-PM,6.89E-06,6.97E-06,6.85E-06,6.95E-06,20.37
2020-10-01 06-PM,6.86E-06,6.93E-06,6.85E-06,6.89E-06,5.595
2020-10-01 05-PM,6.87E-06,6.9E-06,6.84E-06,6.86E-06,5.182
2020-10-01 04-PM,6.97E-06,6.98E-06,6.83E-06,6.87E-06,44.71
2020-10-01 03-PM,6.98E-06,6.98E-06,6.94E-06,6.97E-06,6.141
2020-10-01 02-PM,6.97E-06,6.98E-06,6.94E-06,6.98E-06,8.149
2020-10-01 01-PM,6.99E-06,6.99E-06,6.95E-06,6.97E-06,5.847
2020-10-01 12-PM,6.97E-06,7E-06,6.96E-06,6.99E-06,9.083
2020-10-01 11-AM,6.95E-06,6.98E-06,6.94E-06,6.97E-06,5.322
2020-10-01 10-AM,6.97E-06,6.98E-06,6.94E-06,6.95E-06,3.962
2020-10-01 09-AM,6.98E-06,7.02E-06,6.95E-06,6.97E-06,12.19
2020-10-01 08-AM,6.98E-06,7E-06,6.94E-06,6.98E-06,10.29
2020-10-01 07-AM,6.95E-06,7.03E-06,6.94E-06,6.98E-06,10.45
2020-10-01 06-AM,6.91E-06,6.95E-06,6.9E-06,6.95E-06,7.558
2020-10-01 05-AM,6.89E-06,6.93E-06,6.89E-06,6.91E-06,4.372
2020-10-01 04-AM,6.91E-06,6.93E-06,6.89E-06,6.89E-06,7.59
2020-10-01 03-AM,6.98E-06,6.99E-06,6.89E-06,6.91E-06,13.62
2020-10-01 02-AM,6.93E-06,7.03E-06,6.92E-06,6.98E-06,10.65
2020-10-01 01-AM,6.95E-06,6.96E-06,6.92E-06,6.93E-06,3.993
2020-10-01 12-AM,6.95E-06,6.97E-06,6.91E-06,6.95E-06,3.507
2020-09-30 11-PM,6.93E-06,6.97E-06,6.91E-06,6.95E-06,6.033
2020-09-30 10-PM,6.95E-06,6.96E-06,6.91E-06,6.93E-06,9.154
2020-09-30 09-PM,6.88E-06,6.99E-06,6.85E-06,6.95E-06,18.64
2020-09-30 08-PM,6.8E-06,6.88E-06,6.8E-06,6.88E-06,4.747
2020-09-30 07-PM,6.79E-06,6.82E-06,6.78E-06,6.8E-06,2.22
2020-09-30 06-PM,6.79E-06,6.81E-06,6.78E-06,6.79E-06,7.334
2020-09-30 05-PM,6.8E-06,6.81E-06,6.79E-06,6.79E-06,1.664
2020-09-30 04-PM,6.79E-06,6.82E-06,6.79E-06,6.8E-06,1.479
2020-09-30 03-PM,6.79E-06,6.81E-06,6.78E-06,6.79E-06,4.396
2020-09-30 02-PM,6.79E-06,6.83E-06,6.77E-06,6.79E-06,7.47
2020-09-30 01-PM,6.79E-06,6.79E-06,6.77E-06,6.79E-06,2.853
2020-09-30 12-PM,6.77E-06,6.79E-06,6.75E-06,6.79E-06,20.06
2020-09-30 11-AM,6.8E-06,6.81E-06,6.75E-06,6.77E-06,3.922
2020-09-30 10-AM,6.79E-06,6.81E-06,6.79E-06,6.8E-06,2.69
2020-09-30 09-AM,6.85E-06,6.86E-06,6.79E-06,6.79E-06,2.903
2020-09-30 08-AM,6.83E-06,6.91E-06,6.81E-06,6.85E-06,20.8
2020-09-30 07-AM,6.8E-06,6.83E-06,6.76E-06,6.83E-06,8.642
2020-09-30 06-AM,6.78E-06,6.81E-06,6.76E-06,6.8E-06,1.574
2020-09-30 05-AM,6.81E-06,6.83E-06,6.76E-06,6.78E-06,4.055
2020-09-30 04-AM,6.79E-06,6.83E-06,6.78E-06,6.81E-06,2.397
