Date,Open,High,Low,Close,Volume USD
2020-10-02 07-AM,2.223E-05,2.225E-05,2.22E-05,2.225E-05,20.01
2020-10-02 06-AM,2.227E-05,2.228E-05,2.22E-05,2.223E-05,42.09
2020-10-02 05-AM,2.243E-05,2.245E-05,2.217E-05,2.227E-05,138.9
2020-10-02 04-AM,2.241E-05,2.247E-05,2.24E-05,2.243E-05,34.96
2020-10-02 03-AM,2.24E-05,2.243E-05,2.236E-05,2.241E-05,22.28
2020-10-02 02-AM,2.242E-05,2.244E-05,2.239E-05,2.24E-05,17.8
2020-10-02 01-AM,2.236E-05,2.246E-05,2.235E-05,2.242E-05,35.19
2020-10-02 12-AM,2.243E-05,2.243E-05,2.233E-05,2.236E-05,26.53
2020-10-01 11-PM,2.245E-05,2.246E-05,2.24E-05,2.243E-05,28.42
2020-10-01 10-PM,2.239E-05,2.247E-05,2.234E-05,2.245E-05,33.73
2020-10-01 09-PM,2.236E-05,2.241E-05,2.234E-05,2.239E-05,27.76
2020-10-01 08-PM,2.238E-05,2.242E-05,2.234E-05,2.236E-05,22.76
2020-10-01 07-PM,2.235E-05,2.238E-05,2.23E-05,2.238E-05,39.02
2020-10-01 06-PM,2.239E-05,2.243E-05,2.234E-05,2.235E-05,38.63
2020-10-01 05-PM,2.24E-05,2.245E-05,2.237E-05,2.239E-05,60.21
2020-10-01 04-PM,2.233E-05,2.245E-05,2.225E-05,2.24E-05,145.03
2020-10-01 03-PM,2.232E-05,2.236E-05,2.226E-05,2.233E-05,68.84
2020-10-01 02-PM,2.233E-05,2.237E-05,2.23E-05,2.232E-05,33.9
2020-10-01 01-PM,2.237E-05,2.238E-05,2.231E-05,2.233E-05,24.52
2020-10-01 12-PM,2.241E-05,2.241E-05,2.236E-05,2.237E-05,21.9
2020-10-01 11-AM,2.241E-05,2.243E-05,2.236E-05,2.241E-05,23.74
2020-10-01 10-AM,2.238E-05,2.245E-05,2.236E-05,2.241E-05,45.95
2020-10-01 09-AM,2.238E-05,2.242E-05,2.236E-05,2.238E-05,25.37
2020-10-01 08-AM,2.236E-05,2.238E-05,2.228E-05,2.238E-05,49.73
2020-10-01 07-AM,2.239E-05,2.244E-05,2.233E-05,2.236E-05,30.87
2020-10-01 06-AM,2.236E-05,2.242E-05,2.234E-05,2.239E-05,16.23
2020-10-01 05-AM,2.237E-05,2.239E-05,2.233E-05,2.236E-05,13.37
2020-10-01 04-AM,2.24E-05,2.241E-05,2.234E-05,2.237E-05,15.49
2020-10-01 03-AM,2.24E-05,2.242E-05,2.238E-05,2.24E-05,12.16
2020-10-01 02-AM,2.237E-05,2.243E-05,2.237E-05,2.24E-05,18.75
2020-10-01 01-AM,2.24E-05,2.243E-05,2.237E-05,2.237E-05,15.44
2020-10-01 12-AM,2.244E-05,2.244E-05,2.236E-05,2.24E-05,35.27
2020-09-30 11-PM,2.241E-05,2.252E-05,2.236E-05,2.244E-05,33.8
2020-09-30 10-PM,2.236E-05,2.241E-05,2.233E-05,2.241E-05,35.99
2020-09-30 09-PM,2.233E-05,2.238E-05,2.23E-05,2.236E-05,27.73
2020-09-30 08-PM,2.234E-05,2.235E-05,2.229E-05,2.233E-05,42.55
2020-09-30 07-PM,2.244E-05,2.246E-05,2.232E-05,2.234E-05,47.66
2020-09-30 06-PM,2.24E-05,2.246E-05,2.238E-05,2.244E-05,46.35
2020-09-30 05-PM,2.241E-05,2.242E-05,2.238E-05,2.24E-05,28.93
2020-09-30 04-PM,2.239E-05,2.244E-05,2.238E-05,2.241E-05,29.16
2020-09-30 03-PM,2.242E-05,2.244E-05,2.236E-05,2.239E-05,23.98
2020-09-30 02-PM,2.236E-05,2.244E-05,2.235E-05,2.242E-05,45.62
2020-09-30 01-PM,2.235E-05,2.239E-05,2.234E-05,2.236E-05,39.83
2020-09-30 12-PM,2.235E-05,2.236E-05,2.225E-05,2.235E-05,31.61
2020-09-30 11-AM,2.241E-05,2.243E-05,2.234E-05,2.235E-05,31.67
2020-09-30 10-AM,2.241E-05,2.242E-05,2.238E-05,2.241E-05,27.56
2020-09-30 09-AM,2.242E-05,2.244E-05,2.238E-05,2.241E-05,51.05
2020-09-30 08-AM,2.247E-05,2.247E-05,2.24E-05,2.242E-05,26.01
2020-09-30 07-AM,2.247E-05,2.248E-05,2.241E-05,2.247E-05,28.38
2020-09-30 06-AM,2.24E-05,2.247E-05,2.239E-05,2.247E-05,24.2
2020-09-30 05-AM,2.243E-05,2.244E-05,2.237E-05,2.24E-05,27.56
2020-09-30 04-AM,2.239E-05,2.243E-05,2.234E-05,2.243E-05,21.96
2020-09-30 03-AM,2.24E-05,2.241E-05,2.232E-05,2.239E-05,26.37
2020-09-30 02-AM,2.237E-05,2.241E-05,2.232E-05,2.24E-05,25.28
2020-09-30 01-AM,2.238E-05,2.242E-05,2.232E-05,2.237E-05,22.44
2020-09-30 12-AM,2.241E-05,2.241E-05,2.231E-05,2.238E-05,37.42
2020-09-29 11-PM,2.246E-05,2.251E-05,2.238E-05,2.241E-05,49.9
2020-09-29 10-PM,2.243E-05,2.249E-05,2.242E-05,2.246E-05,23.32
2020-09-29 09-PM,2.242E-05,2.247E-05,2.239E-05,2.243E-05,12.92
2020-09-29 08-PM,2.237E-05,2.243E-05,2.236E-05,2.242E-05,21.64
2020-09-29 07-PM,2.238E-05,2.241E-05,2.235E-05,2.237E-05,25.63
2020-09-29 06-PM,2.244E-05,2.245E-05,2.236E-05,2.238E-05,19.92
2020-09-29 05-PM,2.246E-05,2.249E-05,2.237E-05,2.244E-05,30.14
2020-09-29 04-PM,2.25E-05,2.251E-05,2.239E-05,2.246E-05,44.11
2020-09-29 03-PM,2.262E-05,2.263E-05,2.246E-05,2.25E-05,43.94
2020-09-29 02-PM,2.273E-05,2.274E-05,2.257E-05,2.262E-05,29.2
2020-09-29 01-PM,2.272E-05,2.276E-05,2.264E-05,2.273E-05,37.55
2020-09-29 12-PM,2.284E-05,2.286E-05,2.272E-05,2.272E-05,28.18
2020-09-29 11-AM,2.278E-05,2.288E-05,2.274E-05,2.284E-05,22.57
2020-09-29 10-AM,2.279E-05,2.289E-05,2.276E-05,2.278E-05,24.77
2020-09-29 09-AM,2.264E-05,2.287E-05,2.261E-05,2.279E-05,45.89
2020-09-29 08-AM,2.269E-05,2.27E-05,2.262E-05,2.264E-05,17.01
2020-09-29 07-AM,2.269E-05,2.272E-05,2.264E-05,2.269E-05,23.78
2020-09-29 06-AM,2.259E-05,2.269E-05,2.255E-05,2.269E-05,32.79
2020-09-29 05-AM,2.262E-05,2.263E-05,2.256E-05,2.259E-05,34.41
2020-09-29 04-AM,2.26E-05,2.264E-05,2.257E-05,2.262E-05,9.605
2020-09-29 03-AM,2.258E-05,2.263E-05,2.256E-05,2.26E-05,25.08
2020-09-29 02-AM,2.257E-05,2.267E-05,2.256E-05,2.258E-05,21.68
2020-09-29 01-AM,2.262E-05,2.264E-05,2.255E-05,2.257E-05,15.38
2020-09-29 12-AM,2.253E-05,2.263E-05,2.248E-05,2.262E-05,33.85
2020-09-28 11-PM,2.267E-05,2.284E-05,2.25E-05,2.253E-05,89.34
2020-09-28 10-PM,2.263E-05,2.283E-05,2.263E-05,2.267E-05,42.62
2020-09-28 09-PM,2.255E-05,2.264E-05,2.251E-05,2.263E-05,17.26
2020-09-28 08-PM,2.253E-05,2.26E-05,2.252E-05,2.255E-05,29.66
2020-09-28 07-PM,2.254E-05,2.257E-05,2.251E-05,2.253E-05,22.62
2020-09-28 06-PM,2.26E-05,2.26E-05,2.253E-05,2.254E-05,20.52
2020-09-28 05-PM,2.262E-05,2.264E-05,2.258E-05,2.26E-05,26.08
2020-09-28 04-PM,2.254E-05,2.266E-05,2.254E-05,2.262E-05,45.95
