Date,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-11-16 12:00:00,4.69,4.69,4.2378,4.2805,984.61,1668603599999,4187.2574,20,568.87,2421.0109,0
2022-11-16 13:00:00,4.2473,4.2473,4.1619,4.2082,401.95,1668607199999,1680.2812,8,39.68,167.2897,0
2022-11-16 14:00:00,4.1881,4.2796,4.1881,4.2796,174.83,1668610799999,742.0118,4,115.94,495.3746,0
2022-11-16 15:00:00,4.2788,4.2974,4.2592,4.2974,75.86,1668614399999,324.6154,6,60.11,257.533,0
2022-11-16 16:00:00,4.2785,4.7263,4.2785,4.676,1612.62,1668617999999,7512.1422,26,1394.93,6504.3441,0
2022-11-16 17:00:00,4.667,4.7289,4.65,4.6553,364.41,1668621599999,1698.7058,10,17.95,84.2387,0
2022-11-16 18:00:00,4.7115,4.7253,4.7061,4.7089,145.02,1668625199999,683.3035,6,128.85,607.1606,0
2022-11-16 19:00:00,4.667,4.69,4.667,4.69,1064.48,1668628799999,4989.585999999998,12,167.6,783.2188,0
2022-11-16 20:00:00,4.6968,4.7327,4.6908,4.7325,603.27,1668632399999,2837.7273,13,603.27,2837.7273,0
2022-11-16 21:00:00,4.8486,4.8486,4.809,4.809,72.93,1668635999999,352.1686,3,20.7,99.5463,0
2022-11-16 22:00:00,4.7903,4.7903,4.6681,4.7206,123.12,1668639599999,578.3003,9,23.14,109.389,0
2022-11-16 23:00:00,4.7491,4.7625,4.6,4.6,378.84,1668643199999,1754.1896,13,374.3,1733.0532,0
2022-11-17 00:00:00,4.5463,4.6,4.5117,4.5117,1022.04,1668646799999,4669.2926,13,903.38,4131.8979,0
2022-11-17 01:00:00,4.5073,4.55,4.4813,4.4813,930.14,1668650399999,4191.4531,16,319.31,1445.2229,0
2022-11-17 02:00:00,4.4775,4.5176,4.4775,4.5176,338.28,1668653999999,1515.5986,11,322.69,1445.7474,0
2022-11-17 03:00:00,4.4849,4.4849,4.4598,4.462,179.24,1668657599999,801.0181,6,179.24,801.0181,0
2022-11-17 04:00:00,4.3748,4.4099,4.3748,4.4099,104.66,1668661199999,458.2964,3,104.66,458.2964,0
2022-11-17 05:00:00,4.4312,4.4763,4.4098,4.4763,44.64,1668664799999,197.918,6,22.01,97.6981,0
2022-11-17 06:00:00,4.4846,4.4846,4.4646,4.4763,350.18,1668668399999,1568.56,13,350.18,1568.56,0
2022-11-17 07:00:00,4.4688,4.4688,4.4688,4.4688,34.81,1668671999999,155.5589,1,34.81,155.5589,0
2022-11-17 08:00:00,4.5618,4.5871,4.5092,4.5522,38.24,1668675599999,173.2728,7,12.09,55.1303,0
2022-11-17 09:00:00,4.5835,4.6249,4.5486,4.5586,335.61,1668679199999,1540.8292,16,297.38,1366.156,0
2022-11-17 10:00:00,4.6155,4.6953,4.5732,4.6953,589.77,1668682799999,2728.1423,12,362.65,1686.9858,0
2022-11-17 11:00:00,4.6764,4.7344,4.6764,4.7344,237.64,1668686399999,1122.7405,4,214.56,1014.8092,0
2022-11-17 12:00:00,4.7046,4.7977,4.7046,4.7485,269.77,1668689999999,1282.4921,7,146.58,697.4423,0
2022-11-17 13:00:00,4.7102,4.8427,4.6127,4.6179,1142.2,1668693599999,5392.5399,22,789.99,3750.0168,0
2022-11-17 14:00:00,4.6011,4.6148,4.6,4.6148,168.17,1668697199999,773.8316,4,84.6,389.3177,0
2022-11-17 15:00:00,4.6538,4.6682,4.5555,4.5593,245.1,1668700799999,1128.012,6,86.01,400.5519,0
2022-11-17 16:00:00,4.574,4.6113,4.574,4.6113,328.87,1668704399999,1506.2906,7,3.0,13.8339,0
