Date,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-11-09 12:00:00,0.69,0.69,0.69,0.69,63.6,1667998799999,43.88399999999999,3,63.6,43.88399999999999,0
2022-11-09 13:00:00,0.69,0.69,0.366,0.677,763.3,1668002399999,443.1705,10,425.5,290.2841,0
2022-11-09 14:00:00,0.679,0.682,0.679,0.682,580.8,1668005999999,395.7301,8,580.8,395.7301,0
2022-11-09 15:00:00,0.6809999999999999,0.6809999999999999,0.6779999999999999,0.6779999999999999,374.9,1668009599999,254.6646,4,14.7,9.9666,0
2022-11-09 16:00:00,0.679,0.679,0.679,0.679,165.0,1668013199999,112.035,2,165.0,112.035,0
2022-11-09 17:00:00,0.679,0.679,0.679,0.679,15.8,1668016799999,10.7282,1,15.8,10.7282,0
2022-11-09 18:00:00,0.679,0.679,0.679,0.679,142.0,1668020399999,96.418,3,142.0,96.418,0
2022-11-09 19:00:00,0.6779999999999999,0.6779999999999999,0.6779999999999999,0.6779999999999999,24.5,1668023999999,16.611,1,0.0,0.0,0
2022-11-09 20:00:00,0.6779999999999999,0.6779999999999999,0.627,0.627,9276.4,1668027599999,6152.4138,18,4797.6,3151.4763,0
2022-11-09 21:00:00,0.63,0.652,0.603,0.638,3371.2,1668031199999,2080.7588,30,1238.9,778.7921,0
2022-11-09 22:00:00,0.639,0.649,0.639,0.647,639.3,1668034799999,412.7217,10,562.8,363.3378,0
2022-11-09 23:00:00,0.647,0.647,0.647,0.647,32.8,1668038399999,21.2216,2,32.8,21.2216,0
2022-11-10 00:00:00,0.65,0.65,0.65,0.65,37.6,1668041999999,24.44,2,37.6,24.44,0
2022-11-10 01:00:00,0.65,0.67,0.65,0.6659999999999999,555.3,1668045599999,365.1329,20,349.3,229.5377,0
2022-11-10 02:00:00,0.667,0.708,0.647,0.6920000000000001,5191.8,1668049199999,3485.0415,65,2319.3,1560.9146,0
2022-11-10 03:00:00,0.6940000000000001,0.715,0.6940000000000001,0.715,4115.7,1668052799999,2911.7972,24,2982.1,2123.9091,0
2022-11-10 04:00:00,0.7140000000000001,0.746,0.677,0.685,758.8,1668056399999,527.1727,12,514.1,361.1922,0
2022-11-10 05:00:00,0.688,0.7170000000000001,0.685,0.7020000000000001,359.6,1668059999999,251.3457,19,232.6,163.0222,0
2022-11-10 06:00:00,0.7,0.7,0.6990000000000001,0.6990000000000001,44.2,1668063599999,30.9243,3,15.7,10.9743,0
2022-11-10 07:00:00,0.6990000000000001,0.6990000000000001,0.6990000000000001,0.6990000000000001,30.0,1668067199999,20.97,1,30.0,20.97,0
2022-11-10 08:00:00,0.6990000000000001,0.6990000000000001,0.6970000000000001,0.6970000000000001,2665.0,1668070799999,1860.129,2,0.0,0.0,0
2022-11-10 09:00:00,0.701,0.705,0.7,0.705,79.9,1668074399999,56.0545,3,14.9,10.5045,0
2022-11-10 10:00:00,0.705,0.705,0.705,0.705,0.0,1668077999999,0.0,0,0.0,0.0,0
2022-11-10 11:00:00,0.705,0.705,0.705,0.705,0.0,1668081599999,0.0,0,0.0,0.0,0
2022-11-10 12:00:00,0.743,0.743,0.743,0.743,39.0,1668085199999,28.977,2,0.0,0.0,0
2022-11-10 13:00:00,0.6970000000000001,0.7340000000000001,0.6970000000000001,0.7340000000000001,5139.2,1668088799999,3724.5314,24,107.2,74.821,0
2022-11-10 14:00:00,0.738,0.745,0.713,0.7440000000000001,4737.9,1668092399999,3428.5207,17,4534.9,3279.2084,0
2022-11-10 15:00:00,0.741,0.7440000000000001,0.7340000000000001,0.7340000000000001,177.9,1668095999999,131.4146,9,70.4,52.2813,0
2022-11-10 16:00:00,0.735,0.74,0.735,0.74,172.7,1668099599999,127.298,3,0.0,0.0,0
2022-11-10 17:00:00,0.7290000000000001,0.7290000000000001,0.728,0.728,539.2,1668103199999,392.8777,2,539.2,392.8777,0
2022-11-10 18:00:00,0.728,0.738,0.728,0.738,216.7,1668106799999,158.1496,3,180.7,131.7256,0
2022-11-10 19:00:00,0.738,0.74,0.7340000000000001,0.737,87.0,1668110399999,64.1533,5,87.0,64.1533,0
2022-11-10 20:00:00,0.733,0.733,0.733,0.733,112.0,1668113999999,82.096,1,112.0,82.096,0
2022-11-10 21:00:00,0.726,0.7290000000000001,0.726,0.7290000000000001,524.9,1668117599999,382.5441,2,0.0,0.0,0
2022-11-10 22:00:00,0.72,0.72,0.72,0.72,22.1,1668121199999,15.912,1,22.1,15.912,0
2022-11-10 23:00:00,0.722,0.73,0.722,0.7240000000000001,551.7,1668124799999,399.7624,13,426.0,308.9422,0
2022-11-11 00:00:00,0.7070000000000001,0.7070000000000001,0.685,0.685,357.4,1668128399999,249.3426,9,113.0,78.5266,0
2022-11-11 01:00:00,0.695,0.7020000000000001,0.6940000000000001,0.7020000000000001,485.7,1668131999999,339.6484,8,44.5,31.0198,0
2022-11-11 02:00:00,0.705,0.7140000000000001,0.6859999999999999,0.688,424.6,1668135599999,297.237,9,392.6,275.251,0
2022-11-11 03:00:00,0.69,0.69,0.684,0.685,49.7,1668139199999,34.1018,3,49.7,34.1018,0
2022-11-11 04:00:00,0.682,0.6829999999999999,0.68,0.68,240.0,1668142799999,163.7147,6,165.0,112.68,0
2022-11-11 05:00:00,0.68,0.6890000000000001,0.68,0.6890000000000001,92.3,1668146399999,63.0576,5,30.9,21.2277,0
2022-11-11 06:00:00,0.688,0.688,0.679,0.679,277.1,1668149999999,189.5675,5,59.1,40.4835,0
2022-11-11 07:00:00,0.679,0.679,0.679,0.679,0.0,1668153599999,0.0,0,0.0,0.0,0
2022-11-11 08:00:00,0.679,0.679,0.679,0.679,0.0,1668157199999,0.0,0,0.0,0.0,0
2022-11-11 09:00:00,0.6709999999999999,0.6970000000000001,0.6679999999999999,0.6970000000000001,209.6,1668160799999,142.4862,5,0.0,0.0,0
2022-11-11 10:00:00,0.6970000000000001,0.6970000000000001,0.6970000000000001,0.6970000000000001,0.0,1668164399999,0.0,0,0.0,0.0,0
2022-11-11 11:00:00,0.6970000000000001,0.6970000000000001,0.6970000000000001,0.6970000000000001,0.0,1668167999999,0.0,0,0.0,0.0,0
2022-11-11 12:00:00,0.6970000000000001,0.6970000000000001,0.6970000000000001,0.6970000000000001,0.0,1668171599999,0.0,0,0.0,0.0,0
2022-11-11 13:00:00,0.6970000000000001,0.6970000000000001,0.6970000000000001,0.6970000000000001,0.0,1668175199999,0.0,0,0.0,0.0,0
2022-11-11 14:00:00,0.6940000000000001,0.6940000000000001,0.6859999999999999,0.6859999999999999,250.0,1668178799999,172.8653,4,210.5,145.4918,0
2022-11-11 15:00:00,0.6890000000000001,0.7040000000000001,0.6890000000000001,0.7040000000000001,576.1,1668182399999,404.1036,6,0.0,0.0,0
2022-11-11 16:00:00,0.7040000000000001,0.7040000000000001,0.7040000000000001,0.7040000000000001,0.0,1668185999999,0.0,0,0.0,0.0,0
2022-11-11 17:00:00,0.7040000000000001,0.7040000000000001,0.7040000000000001,0.7040000000000001,0.0,1668189599999,0.0,0,0.0,0.0,0
2022-11-11 18:00:00,0.7040000000000001,0.7040000000000001,0.7040000000000001,0.7040000000000001,0.0,1668193199999,0.0,0,0.0,0.0,0
2022-11-11 19:00:00,0.7040000000000001,0.7040000000000001,0.7040000000000001,0.7040000000000001,0.0,1668196799999,0.0,0,0.0,0.0,0
2022-11-11 20:00:00,0.7040000000000001,0.7040000000000001,0.7040000000000001,0.7040000000000001,0.0,1668200399999,0.0,0,0.0,0.0,0
2022-11-11 21:00:00,0.6829999999999999,0.687,0.6829999999999999,0.687,118.9,1668203999999,81.4379,3,42.0,28.686,0
2022-11-11 22:00:00,0.6890000000000001,0.6890000000000001,0.6890000000000001,0.6890000000000001,71.9,1668207599999,49.5391,1,71.9,49.5391,0
2022-11-11 23:00:00,0.6890000000000001,0.6890000000000001,0.6890000000000001,0.6890000000000001,0.0,1668211199999,0.0,0,0.0,0.0,0
2022-11-12 00:00:00,0.6890000000000001,0.6890000000000001,0.6890000000000001,0.6890000000000001,0.0,1668214799999,0.0,0,0.0,0.0,0
2022-11-12 01:00:00,0.684,0.684,0.684,0.684,85.7,1668218399999,58.6188,1,85.7,58.6188,0
2022-11-12 02:00:00,0.687,0.687,0.687,0.687,84.0,1668221999999,57.708,2,0.0,0.0,0
2022-11-12 03:00:00,0.69,0.69,0.69,0.69,144.9,1668225599999,99.981,2,144.9,99.981,0
2022-11-12 04:00:00,0.688,0.688,0.685,0.685,72.3,1668229199999,49.5951,2,23.2,15.9616,0
2022-11-12 05:00:00,0.685,0.685,0.685,0.685,0.0,1668232799999,0.0,0,0.0,0.0,0
2022-11-12 06:00:00,0.684,0.684,0.684,0.684,36.9,1668236399999,25.2396,1,36.9,25.2396,0
2022-11-12 07:00:00,0.684,0.684,0.684,0.684,0.0,1668239999999,0.0,0,0.0,0.0,0
2022-11-12 08:00:00,0.684,0.684,0.684,0.684,0.0,1668243599999,0.0,0,0.0,0.0,0
2022-11-12 09:00:00,0.684,0.684,0.684,0.684,20.0,1668247199999,13.68,1,20.0,13.68,0
2022-11-12 10:00:00,0.684,0.684,0.684,0.684,0.0,1668250799999,0.0,0,0.0,0.0,0
2022-11-12 11:00:00,0.684,0.684,0.684,0.684,82.4,1668254399999,56.3616,2,82.4,56.3616,0
2022-11-12 12:00:00,0.684,0.684,0.684,0.684,36.5,1668257999999,24.966,1,36.5,24.966,0
2022-11-12 13:00:00,0.684,0.684,0.684,0.684,0.0,1668261599999,0.0,0,0.0,0.0,0
2022-11-12 14:00:00,0.6829999999999999,0.6829999999999999,0.6829999999999999,0.6829999999999999,37.6,1668265199999,25.6808,1,0.0,0.0,0
