Date,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-05-19 12:00:00,3.6,4.0,1.9201,1.9202,78887.83,1652965199999,170721.1477,469,25463.55,57834.4662,0
2022-05-19 13:00:00,1.9202,1.9762,1.8926,1.9762,46616.23,1652968799999,89775.8954,367,19895.95,38466.6786,0
2022-05-19 14:00:00,1.9761,2.79,1.95,2.2,41119.29,1652972399999,92670.5329,221,23577.63,54804.443,0
2022-05-19 15:00:00,2.2,2.65,2.01,2.02,54677.74,1652975999999,119994.0329,248,25891.35,59394.6734,0
2022-05-19 16:00:00,2.1099,2.1099,1.9101,2.0,14598.8,1652979599999,29346.8749,113,4064.75,8384.7848,0
2022-05-19 17:00:00,2.0011,2.13,1.942,2.1299,5392.83,1652983199999,11024.7836,38,2561.05,5394.7736,0
2022-05-19 18:00:00,2.12,2.12,1.85,1.99,12169.98,1652986799999,23660.5142,73,2179.96,4348.3384,0
2022-05-19 19:00:00,1.99,2.049,1.86,1.9001,6252.34,1652990399999,12086.285,52,2532.11,5034.3478,0
2022-05-19 20:00:00,1.9001,2.06,1.861,2.06,4803.94,1652993999999,9629.8516,41,2303.96,4694.5941,0
2022-05-19 21:00:00,2.06,2.06,1.92,2.02,812.56,1652997599999,1581.4696,22,124.14,254.5565,0
2022-05-19 22:00:00,2.03,2.0949,1.95,2.0,10696.86,1653001199999,22041.3338,56,3625.6,7473.6709999999985,0
2022-05-19 23:00:00,2.05,2.0599,1.6,2.0589,15318.32,1653004799999,30542.6637,59,9765.52,19699.988,0
2022-05-20 00:00:00,2.03,2.03,1.8505,1.99,18386.97,1653008399999,36679.1859,148,17906.91,35731.5215,0
2022-05-20 01:00:00,1.9394,2.049,1.9394,2.0449,10164.31,1653011999999,20256.0261,60,7797.61,15521.2288,0
2022-05-20 02:00:00,2.0449,2.0471,1.9931,2.0196,12754.82,1653015599999,25780.5398,57,1766.35,3599.777,0
2022-05-20 03:00:00,2.0389,2.0389,2.0165,2.0194,2300.19,1653019199999,4663.441,21,2003.86,4063.7214,0
2022-05-20 04:00:00,2.0357,2.198,2.0357,2.19,19935.09,1653022799999,42365.4917,138,12941.38,27455.1812,0
2022-05-20 05:00:00,2.25,2.85,2.233,2.6199,141915.29,1653026399999,373306.4328,865,80473.56,209852.7487,0
2022-05-20 06:00:00,2.62,2.8502,2.5943,2.6616,57923.66,1653029999999,158172.3171,450,33913.06,92643.5234,0
2022-05-20 07:00:00,2.6354,2.6354,2.4586,2.5452,29750.06,1653033599999,76106.8768,202,17276.78,44412.1049,0
2022-05-20 08:00:00,2.5401,2.6998,2.5035,2.5114,21670.51,1653037199999,56594.405,152,9761.02,25531.4385,0
2022-05-20 09:00:00,2.4933,2.6006,2.4933,2.5126,13672.92,1653040799999,34786.5746,105,7309.62,18639.4753,0
2022-05-20 10:00:00,2.5483,2.764,2.5428,2.6709,21338.75,1653044399999,56207.8665,133,13389.47,35029.0089,0
2022-05-20 11:00:00,2.6459,2.6654,2.5919,2.6032,21711.73,1653047999999,56962.6718,166,6098.83,16045.1578,0
2022-05-20 12:00:00,2.57,2.6316,2.5435,2.568,3975.31,1653051599999,10280.4292,51,1079.14,2793.2617,0
2022-05-20 13:00:00,2.568,2.5803,2.3368,2.3566,17357.35,1653055199999,42523.5054,129,6051.01,14966.7263,0
2022-05-20 14:00:00,2.3567,2.4139,2.2637,2.29,10447.58,1653058799999,24342.6883,79,3385.21,7961.9769,0
2022-05-20 15:00:00,2.29,2.4099,2.265,2.265,28957.61,1653062399999,68199.2173,136,11979.83,28275.8235,0
2022-05-20 16:00:00,2.265,2.4123,2.2228,2.4019,13285.75,1653065999999,31382.9566,80,9696.21,23005.2549,0
2022-05-20 17:00:00,2.3734,2.3907,2.2661,2.2859,4553.82,1653069599999,10585.6967,41,1512.25,3493.963,0
2022-05-20 18:00:00,2.2917,2.329,2.2879,2.3049,3282.37,1653073199999,7569.4369,23,324.71,752.075,0
2022-05-20 19:00:00,2.3504,2.385,2.3454,2.3454,7050.11,1653076799999,16660.7684,47,4297.91,10167.7661,0
2022-05-20 20:00:00,2.3679,2.3679,2.3,2.3029,8121.01,1653080399999,18803.3519,36,1227.17,2847.8686,0
2022-05-20 21:00:00,2.3235,2.3237,2.3133,2.3136,283.38,1653083999999,657.7529,5,283.38,657.7529,0
2022-05-20 22:00:00,2.3648,2.4529,2.3647,2.4416,4267.24,1653087599999,10393.6645,59,1111.12,2674.805,0
2022-05-20 23:00:00,2.459,2.5997,2.459,2.5074,17035.41,1653091199999,43062.0119,114,10051.18,25424.1397,0
2022-05-21 00:00:00,2.4656,2.4656,2.3421,2.3569,9717.56,1653094799999,23254.5597,87,4585.16,11000.7517,0
2022-05-21 01:00:00,2.3585,2.3833,2.3275,2.3698,4232.88,1653098399999,9923.4452,40,2246.79,5267.6762,0
2022-05-21 02:00:00,2.3773,2.4248,2.3643,2.4184,3989.65,1653101999999,9532.8162,45,2267.42,5412.6624,0
2022-05-21 03:00:00,2.4111,2.5025,2.4111,2.454,9077.21,1653105599999,22380.1985,64,1318.7,3267.0814,0
2022-05-21 04:00:00,2.4474,2.4508,2.3680000000000003,2.4221,3909.2,1653109199999,9372.0252,39,2481.71,5934.1317,0
2022-05-21 05:00:00,2.4384,2.4384,2.3375,2.3639,4853.36,1653112799999,11609.2064,48,1078.29,2575.4995,0
2022-05-21 06:00:00,2.3784,2.3964,2.3032,2.3032,1027.63,1653116399999,2428.5955,14,940.84,2222.4806,0
2022-05-21 07:00:00,2.3276,2.338,2.3209,2.3209,963.62,1653119999999,2243.1864,9,824.17,1918.338,0
2022-05-21 08:00:00,2.3168,2.3699,2.3092,2.3699,4791.72,1653123599999,11224.2964,20,4312.47,10116.6386,0
2022-05-21 09:00:00,2.3526,2.3628,2.3302,2.3575,4313.18,1653127199999,10125.67,23,0.0,0.0,0
2022-05-21 10:00:00,2.3563,2.3563,2.325,2.325,40.78,1653130799999,95.5113,4,8.76,20.4011,0
2022-05-21 11:00:00,2.33,2.382,2.3294,2.3537,3438.81,1653134399999,8050.118,22,1222.45,2849.9084,0
2022-05-21 12:00:00,2.3605,2.3664,2.33,2.3591,5032.76,1653137999999,11787.0259,28,2450.39,5743.9874,0
2022-05-21 13:00:00,2.3608,2.447,2.3426,2.4369,3216.34,1653141599999,7607.08,33,2200.75,5212.762,0
2022-05-21 14:00:00,2.4342,2.4342,2.3834,2.3997,310.02,1653145199999,746.7760000000002,13,54.55,131.8791,0
2022-05-21 15:00:00,2.3871,2.3871,2.3523,2.3635,1496.96,1653148799999,3544.6466,18,459.69,1094.1464,0
2022-05-21 16:00:00,2.3663,2.3663,2.3080000000000003,2.3080000000000003,5193.15,1653152399999,12135.3039,30,440.98,1025.3671,0
