Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,AAVE/USD,Sell,1000000.0,1000000.0,58.63,58.63,0.0
2022-11-17 01:00:00,AAVE/USD,Sell,1000000.0,1000000.0,58.55,58.63,0.0
2022-11-17 02:00:00,AAVE/USD,Buy,1000000.0,1000000.0,58.34,58.34,0.0
2022-11-17 03:00:00,AAVE/USD,Buy,1000000.0,1000000.0,57.56,58.34,0.0
2022-11-17 04:00:00,AAVE/USD,Buy,1000000.0,1000000.0,57.43,58.34,0.0
2022-11-17 05:00:00,AAVE/USD,Buy,1000000.0,1000000.0,57.76,58.34,0.0
2022-11-17 06:00:00,AAVE/USD,Sell,1000000.0,994343.5035995885,58.01,58.34,-0.0056564964004114735
2022-11-17 07:00:00,AAVE/USD,Buy,994343.5035995885,994343.5035995885,57.72,57.72,0.0
2022-11-17 08:00:00,AAVE/USD,Sell,994343.5035995885,1007608.3077882872,58.49,57.72,0.013340263340263388
2022-11-17 09:00:00,AAVE/USD,Sell,1007608.3077882872,1007608.3077882872,57.93,57.72,0.0
2022-11-17 10:00:00,AAVE/USD,Sell,1007608.3077882872,1007608.3077882872,58.23,57.72,0.0
2022-11-17 11:00:00,AAVE/USD,Sell,1007608.3077882872,1007608.3077882872,58.97,57.72,0.0
2022-11-17 12:00:00,AAVE/USD,Sell,1007608.3077882872,1007608.3077882872,58.68,57.72,0.0
2022-11-17 13:00:00,AAVE/USD,Buy,1007608.3077882872,1007608.3077882872,57.99,57.99,0.0
2022-11-17 14:00:00,AAVE/USD,Buy,1007608.3077882872,1007608.3077882872,58.27,57.99,0.0
2022-11-17 15:00:00,AAVE/USD,Buy,1007608.3077882872,1007608.3077882872,58.38,57.99,0.0
2022-11-17 16:00:00,AAVE/USD,Sell,1007608.3077882872,1026721.415885668,59.09,57.99,0.018968787722021024
2022-11-17 17:00:00,AAVE/USD,Sell,1026721.415885668,1026721.415885668,58.98,57.99,0.0
2022-11-17 18:00:00,AAVE/USD,Sell,1026721.415885668,1026721.415885668,59.06,57.99,0.0
2022-11-17 19:00:00,AAVE/USD,Buy,1026721.415885668,1026721.415885668,58.75,58.75,0.0
2022-11-17 20:00:00,AAVE/USD,Buy,1026721.415885668,1026721.415885668,58.74,58.75,0.0
2022-11-17 21:00:00,AAVE/USD,Buy,1026721.415885668,1026721.415885668,58.85,58.75,0.0
2022-11-17 22:00:00,AAVE/USD,Sell,1026721.415885668,1033711.8595682938,59.15,58.75,0.006808510638297822
2022-11-17 23:00:00,AAVE/USD,Buy,1033711.8595682938,1033711.8595682938,58.58,58.58,0.0
2022-11-18 00:00:00,AAVE/USD,Sell,1033711.8595682938,1056475.401713106,59.87,58.58,0.022021167634004867
2022-11-18 01:00:00,AAVE/USD,Sell,1056475.401713106,1056475.401713106,59.65,58.58,0.0
2022-11-18 02:00:00,AAVE/USD,Sell,1056475.401713106,1056475.401713106,60.73,58.58,0.0
2022-11-18 03:00:00,AAVE/USD,Sell,1056475.401713106,1056475.401713106,60.42,58.58,0.0
2022-11-18 04:00:00,AAVE/USD,Sell,1056475.401713106,1056475.401713106,60.6,58.58,0.0
2022-11-18 05:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,59.94,59.94,0.0
2022-11-18 06:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,59.98,59.94,0.0
2022-11-18 07:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,59.76,59.94,0.0
2022-11-18 08:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,59.31,59.94,0.0
2022-11-18 09:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,59.61,59.94,0.0
2022-11-18 11:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,59.33,59.94,0.0
2022-11-18 12:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,59.44,59.94,0.0
2022-11-18 13:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,59.14,59.94,0.0
2022-11-18 14:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,58.79,59.94,0.0
2022-11-18 15:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,58.77,59.94,0.0
2022-11-18 16:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,58.38,59.94,0.0
2022-11-18 17:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,57.9,59.94,0.0
2022-11-18 18:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,57.69,59.94,0.0
2022-11-18 19:00:00,AAVE/USD,Buy,1056475.401713106,1056475.401713106,57.59,59.94,0.0
2022-11-18 20:00:00,AAVE/USD,Sell,1056475.401713106,1024044.3917172417,58.1,59.94,-0.030697364030697272
2022-11-18 21:00:00,AAVE/USD,Sell,1024044.3917172417,1024044.3917172417,58.13,59.94,0.0
2022-11-18 22:00:00,AAVE/USD,Sell,1024044.3917172417,1024044.3917172417,57.97,59.94,0.0
2022-11-18 23:00:00,AAVE/USD,Sell,1024044.3917172417,1024044.3917172417,58.29,59.94,0.0
2022-11-19 00:00:00,AAVE/USD,Sell,1024044.3917172417,1024044.3917172417,58.03,59.94,0.0
2022-11-19 01:00:00,AAVE/USD,Buy,1024044.3917172417,1024044.3917172417,58.05,58.05,0.0
2022-11-19 03:00:00,AAVE/USD,Buy,1024044.3917172417,1024044.3917172417,57.74,58.05,0.0
2022-11-19 04:00:00,AAVE/USD,Buy,1024044.3917172417,1024044.3917172417,57.8,58.05,0.0
2022-11-19 05:00:00,AAVE/USD,Buy,1024044.3917172417,1024044.3917172417,57.18,58.05,0.0
2022-11-19 06:00:00,AAVE/USD,Buy,1024044.3917172417,1024044.3917172417,57.3,58.05,0.0
2022-11-19 07:00:00,AAVE/USD,Buy,1024044.3917172417,1024044.3917172417,57.45,58.05,0.0
2022-11-19 08:00:00,AAVE/USD,Sell,1024044.3917172417,1017693.7288228712,57.69,58.05,-0.006201550387596908
2022-11-19 09:00:00,AAVE/USD,Sell,1017693.7288228712,1017693.7288228712,57.84,58.05,0.0
2022-11-19 10:00:00,AAVE/USD,Sell,1017693.7288228712,1017693.7288228712,57.75,58.05,0.0
2022-11-19 11:00:00,AAVE/USD,Sell,1017693.7288228712,1017693.7288228712,57.9,58.05,0.0
2022-11-19 13:00:00,AAVE/USD,Sell,1017693.7288228712,1017693.7288228712,57.83,58.05,0.0
2022-11-19 14:00:00,AAVE/USD,Buy,1017693.7288228712,1017693.7288228712,57.75,57.75,0.0
2022-11-19 15:00:00,AAVE/USD,Sell,1017693.7288228712,1022628.001447467,58.03,57.75,0.004848484848484898
2022-11-19 16:00:00,AAVE/USD,Sell,1022628.001447467,1022628.001447467,58.21,57.75,0.0
2022-11-19 17:00:00,AAVE/USD,Sell,1022628.001447467,1022628.001447467,58.05,57.75,0.0
2022-11-19 18:00:00,AAVE/USD,Buy,1022628.001447467,1022628.001447467,57.82,57.82,0.0
2022-11-19 19:00:00,AAVE/USD,Buy,1022628.001447467,1022628.001447467,57.97,57.82,0.0
2022-11-19 20:00:00,AAVE/USD,Sell,1022628.001447467,1025988.4186089166,58.01,57.82,0.0032860601867864886
