Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 02:00:00,ACH/USD,Sell,1000000.0,1000000.0,0.01,0.01,0.0
2022-11-17 03:00:00,ACH/USD,Buy,1000000.0,1000000.0,0.0098,0.0098,0.0
2022-11-17 11:00:00,ACH/USD,Sell,1000000.0,1020408.1632653062,0.01,0.0098,0.020408163265306152
2022-11-17 12:00:00,ACH/USD,Buy,1020408.1632653062,1020408.1632653062,0.0099,0.0099,0.0
2022-11-17 15:00:00,ACH/USD,Buy,1020408.1632653062,1020408.1632653062,0.0098,0.0099,0.0
2022-11-17 16:00:00,ACH/USD,Buy,1020408.1632653062,1020408.1632653062,0.0097,0.0099,0.0
2022-11-17 23:00:00,ACH/USD,Sell,1020408.1632653062,1010101.01010101,0.0098,0.0099,-0.010101010101010255
2022-11-18 00:00:00,ACH/USD,Sell,1010101.01010101,1010101.01010101,0.0099,0.0099,0.0
2022-11-18 01:00:00,ACH/USD,Sell,1010101.01010101,1010101.01010101,0.0101,0.0099,0.0
2022-11-18 04:00:00,ACH/USD,Sell,1010101.01010101,1010101.01010101,0.01,0.0099,0.0
2022-11-18 05:00:00,ACH/USD,Buy,1010101.01010101,1010101.01010101,0.0099,0.0099,0.0
2022-11-18 16:00:00,ACH/USD,Sell,1010101.01010101,1020304.0506070807,0.01,0.0099,0.010101010101010006
2022-11-18 19:00:00,ACH/USD,Buy,1020304.0506070807,1020304.0506070807,0.0099,0.0099,0.0
2022-11-18 22:00:00,ACH/USD,Sell,1020304.0506070807,1030610.1521283643,0.01,0.0099,0.01010101010101008
2022-11-19 02:00:00,ACH/USD,Buy,1030610.1521283643,1030610.1521283643,0.0099,0.0099,0.0
2022-11-19 04:00:00,ACH/USD,Buy,1030610.1521283643,1030610.1521283643,0.0098,0.0099,0.0
2022-11-19 05:00:00,ACH/USD,Buy,1030610.1521283643,1030610.1521283643,0.0097,0.0099,0.0
2022-11-19 06:00:00,ACH/USD,Buy,1030610.1521283643,1030610.1521283643,0.0096,0.0099,0.0
2022-11-19 18:00:00,ACH/USD,Sell,1030610.1521283643,1020199.948571512,0.0098,0.0099,-0.01010101010101023
2022-11-19 22:00:00,ACH/USD,Sell,1020199.948571512,1020199.948571512,0.0097,0.0099,0.0
2022-11-20 00:00:00,ACH/USD,Sell,1020199.948571512,1020199.948571512,0.0098,0.0099,0.0
2022-11-20 01:00:00,ACH/USD,Sell,1020199.948571512,1020199.948571512,0.0099,0.0099,0.0
2022-11-20 02:00:00,ACH/USD,Sell,1020199.948571512,1020199.948571512,0.01,0.0099,0.0
2022-11-20 04:00:00,ACH/USD,Sell,1020199.948571512,1020199.948571512,0.0101,0.0099,0.0
2022-11-20 05:00:00,ACH/USD,Buy,1020199.948571512,1020199.948571512,0.01,0.01,0.0
2022-11-20 08:00:00,ACH/USD,Buy,1020199.948571512,1020199.948571512,0.0101,0.01,0.0
2022-11-20 09:00:00,ACH/USD,Sell,1020199.948571512,1040603.9475429424,0.0102,0.01,0.020000000000000108
2022-11-20 10:00:00,ACH/USD,Sell,1040603.9475429424,1040603.9475429424,0.0103,0.01,0.0
2022-11-20 11:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.0101,0.0101,0.0
2022-11-20 12:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.0099,0.0101,0.0
2022-11-20 13:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.01,0.0101,0.0
2022-11-20 17:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.0099,0.0101,0.0
2022-11-20 21:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.0097,0.0101,0.0
2022-11-20 22:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.0096,0.0101,0.0
2022-11-20 23:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.0095,0.0101,0.0
2022-11-21 00:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.0094,0.0101,0.0
2022-11-21 01:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.0093,0.0101,0.0
2022-11-21 02:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.009,0.0101,0.0
2022-11-21 03:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.0092,0.0101,0.0
2022-11-21 05:00:00,ACH/USD,Buy,1040603.9475429424,1040603.9475429424,0.0093,0.0101,0.0
2022-11-21 09:00:00,ACH/USD,Sell,1040603.9475429424,937573.8537268095,0.0091,0.0101,-0.09900990099009897
2022-11-21 11:00:00,ACH/USD,Sell,937573.8537268095,937573.8537268095,0.0092,0.0101,0.0
2022-11-21 15:00:00,ACH/USD,Buy,937573.8537268095,937573.8537268095,0.0093,0.0093,0.0
2022-11-21 17:00:00,ACH/USD,Buy,937573.8537268095,937573.8537268095,0.0091,0.0093,0.0
2022-11-21 21:00:00,ACH/USD,Buy,937573.8537268095,937573.8537268095,0.009,0.0093,0.0
2022-11-22 02:00:00,ACH/USD,Sell,937573.8537268095,917410.9751520396,0.0091,0.0093,-0.02150537634408586
2022-11-22 03:00:00,ACH/USD,Buy,917410.9751520396,917410.9751520396,0.009,0.009,0.0
2022-11-22 12:00:00,ACH/USD,Sell,917410.9751520396,927604.4304315068,0.0091,0.009,0.011111111111111299
2022-11-22 16:00:00,ACH/USD,Buy,927604.4304315068,927604.4304315068,0.0093,0.0093,0.0
