Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,ALPINE/USD,Sell,1000000.0,1000000.0,3.1188,3.1188,0.0
2022-11-17 01:00:00,ALPINE/USD,Sell,1000000.0,1000000.0,3.3079,3.1188,0.0
2022-11-17 02:00:00,ALPINE/USD,Sell,1000000.0,1000000.0,3.2217,3.1188,0.0
2022-11-17 03:00:00,ALPINE/USD,Sell,1000000.0,1000000.0,3.2097,3.1188,0.0
2022-11-17 05:00:00,ALPINE/USD,Sell,1000000.0,1000000.0,3.1889,3.1188,0.0
2022-11-17 06:00:00,ALPINE/USD,Buy,1000000.0,1000000.0,3.205,3.205,0.0
2022-11-17 08:00:00,ALPINE/USD,Sell,1000000.0,1027051.4820592824,3.2917,3.205,0.027051482059282365
2022-11-17 09:00:00,ALPINE/USD,Sell,1027051.4820592824,1027051.4820592824,3.3411,3.205,0.0
2022-11-17 10:00:00,ALPINE/USD,Sell,1027051.4820592824,1027051.4820592824,3.3699,3.205,0.0
2022-11-17 11:00:00,ALPINE/USD,Sell,1027051.4820592824,1027051.4820592824,3.4,3.205,0.0
2022-11-17 12:00:00,ALPINE/USD,Sell,1027051.4820592824,1027051.4820592824,3.3704,3.205,0.0
2022-11-17 13:00:00,ALPINE/USD,Buy,1027051.4820592824,1027051.4820592824,3.209,3.209,0.0
2022-11-17 15:00:00,ALPINE/USD,Buy,1027051.4820592824,1027051.4820592824,3.2634,3.209,0.0
2022-11-17 16:00:00,ALPINE/USD,Buy,1027051.4820592824,1027051.4820592824,3.2719,3.209,0.0
2022-11-17 17:00:00,ALPINE/USD,Buy,1027051.4820592824,1027051.4820592824,3.2503,3.209,0.0
2022-11-17 18:00:00,ALPINE/USD,Buy,1027051.4820592824,1027051.4820592824,3.24,3.209,0.0
2022-11-17 20:00:00,ALPINE/USD,Buy,1027051.4820592824,1027051.4820592824,3.2369,3.209,0.0
2022-11-17 21:00:00,ALPINE/USD,Sell,1027051.4820592824,1038669.4218532218,3.2453,3.209,0.011311935182299723
2022-11-17 22:00:00,ALPINE/USD,Sell,1038669.4218532218,1038669.4218532218,3.2525,3.209,0.0
2022-11-17 23:00:00,ALPINE/USD,Sell,1038669.4218532218,1038669.4218532218,3.2837,3.209,0.0
2022-11-18 00:00:00,ALPINE/USD,Sell,1038669.4218532218,1038669.4218532218,3.3309,3.209,0.0
2022-11-18 02:00:00,ALPINE/USD,Sell,1038669.4218532218,1038669.4218532218,3.3322,3.209,0.0
2022-11-18 08:00:00,ALPINE/USD,Sell,1038669.4218532218,1038669.4218532218,3.2853,3.209,0.0
2022-11-18 09:00:00,ALPINE/USD,Sell,1038669.4218532218,1038669.4218532218,3.2869,3.209,0.0
2022-11-18 12:00:00,ALPINE/USD,Buy,1038669.4218532218,1038669.4218532218,3.2573,3.2573,0.0
2022-11-18 13:00:00,ALPINE/USD,Sell,1038669.4218532218,1051966.4822686822,3.299,3.2573,0.01280201393792397
2022-11-19 03:00:00,ALPINE/USD,Sell,1051966.4822686822,1051966.4822686822,3.3034,3.2573,0.0
2022-11-19 04:00:00,ALPINE/USD,Buy,1051966.4822686822,1051966.4822686822,3.26,3.26,0.0
2022-11-19 07:00:00,ALPINE/USD,Buy,1051966.4822686822,1051966.4822686822,3.2218,3.26,0.0
2022-11-19 08:00:00,ALPINE/USD,Buy,1051966.4822686822,1051966.4822686822,3.17,3.26,0.0
2022-11-19 10:00:00,ALPINE/USD,Buy,1051966.4822686822,1051966.4822686822,3.2212,3.26,0.0
2022-11-19 12:00:00,ALPINE/USD,Buy,1051966.4822686822,1051966.4822686822,3.2113,3.26,0.0
2022-11-19 14:00:00,ALPINE/USD,Buy,1051966.4822686822,1051966.4822686822,3.1487,3.26,0.0
2022-11-19 19:00:00,ALPINE/USD,Sell,1051966.4822686822,1018245.4707971861,3.1555,3.26,-0.03205521472392636
2022-11-19 22:00:00,ALPINE/USD,Sell,1018245.4707971861,1018245.4707971861,3.1663,3.26,0.0
2022-11-19 23:00:00,ALPINE/USD,Buy,1018245.4707971861,1018245.4707971861,3.1522,3.1522,0.0
2022-11-20 02:00:00,ALPINE/USD,Buy,1018245.4707971861,1018245.4707971861,3.1482,3.1522,0.0
2022-11-20 08:00:00,ALPINE/USD,Sell,1018245.4707971861,1014821.3853995431,3.1416,3.1522,-0.0033627307911935174
2022-11-20 12:00:00,ALPINE/USD,Buy,1014821.3853995431,1014821.3853995431,3.0605,3.0605,0.0
2022-11-20 17:00:00,ALPINE/USD,Sell,1014821.3853995431,1014688.7506816342,3.0601,3.0605,-0.00013069759843176875
2022-11-20 18:00:00,ALPINE/USD,Buy,1014688.7506816342,1014688.7506816342,2.9634,2.9634,0.0
2022-11-21 00:00:00,ALPINE/USD,Sell,1014688.7506816342,1007018.8350390382,2.941,2.9634,-0.0075588850644530865
2022-11-21 01:00:00,ALPINE/USD,Buy,1007018.8350390382,1007018.8350390382,2.9405,2.9405,0.0
2022-11-21 02:00:00,ALPINE/USD,Buy,1007018.8350390382,1007018.8350390382,2.662,2.9405,0.0
2022-11-21 03:00:00,ALPINE/USD,Buy,1007018.8350390382,1007018.8350390382,2.6401,2.9405,0.0
2022-11-21 04:00:00,ALPINE/USD,Buy,1007018.8350390382,1007018.8350390382,2.72,2.9405,0.0
2022-11-21 10:00:00,ALPINE/USD,Sell,1007018.8350390382,931060.0601328459,2.7187,2.9405,-0.0754293487502125
2022-11-21 11:00:00,ALPINE/USD,Buy,931060.0601328459,931060.0601328459,2.6827,2.6827,0.0
2022-11-21 18:00:00,ALPINE/USD,Sell,931060.0601328459,925437.6748589978,2.6665,2.6827,-0.0060386923621724925
2022-11-21 21:00:00,ALPINE/USD,Buy,925437.6748589978,925437.6748589978,2.6561,2.6561,0.0
2022-11-21 23:00:00,ALPINE/USD,Sell,925437.6748589978,940733.3015019367,2.7,2.6561,0.016527992168969583
2022-11-22 01:00:00,ALPINE/USD,Buy,940733.3015019367,940733.3015019367,2.6476,2.6476,0.0
2022-11-22 02:00:00,ALPINE/USD,Buy,940733.3015019367,940733.3015019367,2.627,2.6476,0.0
2022-11-22 11:00:00,ALPINE/USD,Sell,940733.3015019367,935687.8214893489,2.6334,2.6476,-0.005363347937754988
2022-11-22 12:00:00,ALPINE/USD,Buy,935687.8214893489,935687.8214893489,2.53,2.53,0.0
2022-11-22 16:00:00,ALPINE/USD,Buy,935687.8214893489,935687.8214893489,2.5687,2.53,0.0
2022-11-22 20:00:00,ALPINE/USD,Buy,935687.8214893489,935687.8214893489,2.59,2.53,0.0
2022-11-22 23:00:00,ALPINE/USD,Sell,935687.8214893489,969453.947221356,2.6213,2.53,0.03608695652173929
2022-11-23 01:00:00,ALPINE/USD,Sell,969453.947221356,969453.947221356,2.6318,2.53,0.0
2022-11-23 04:00:00,ALPINE/USD,Sell,969453.947221356,969453.947221356,2.6321,2.53,0.0
2022-11-23 06:00:00,ALPINE/USD,Buy,969453.947221356,969453.947221356,2.6262,2.6262,0.0
2022-11-23 07:00:00,ALPINE/USD,Sell,969453.947221356,1011647.4534917851,2.7405,2.6262,0.04352296093214529
2022-11-23 08:00:00,ALPINE/USD,Sell,1011647.4534917851,1011647.4534917851,2.7248,2.6262,0.0
2022-11-23 09:00:00,ALPINE/USD,Sell,1011647.4534917851,1011647.4534917851,2.7078,2.6262,0.0
2022-11-23 15:00:00,ALPINE/USD,Sell,1011647.4534917851,1011647.4534917851,2.6883,2.6262,0.0
2022-11-24 00:00:00,ALPINE/USD,Sell,1011647.4534917851,1011647.4534917851,2.6665,2.6262,0.0
2022-11-24 06:00:00,ALPINE/USD,Sell,1011647.4534917851,1011647.4534917851,2.668,2.6262,0.0
2022-11-24 15:00:00,ALPINE/USD,Sell,1011647.4534917851,1011647.4534917851,2.6498,2.6262,0.0
2022-11-24 19:00:00,ALPINE/USD,Buy,1011647.4534917851,1011647.4534917851,2.6559,2.6559,0.0
2022-11-24 20:00:00,ALPINE/USD,Buy,1011647.4534917851,1011647.4534917851,2.6553,2.6559,0.0
2022-11-24 21:00:00,ALPINE/USD,Sell,1011647.4534917851,1018884.6618265657,2.6749,2.6559,0.007153883805866186
2022-11-25 10:00:00,ALPINE/USD,Sell,1018884.6618265657,1018884.6618265657,2.6646,2.6559,0.0
2022-11-25 15:00:00,ALPINE/USD,Sell,1018884.6618265657,1018884.6618265657,2.6333,2.6559,0.0
2022-11-25 19:00:00,ALPINE/USD,Buy,1018884.6618265657,1018884.6618265657,2.59,2.59,0.0
2022-11-25 21:00:00,ALPINE/USD,Sell,1018884.6618265657,1019081.3577072273,2.5905,2.59,0.0001930501930502941
2022-11-26 01:00:00,ALPINE/USD,Sell,1019081.3577072273,1019081.3577072273,2.6716,2.59,0.0
2022-11-26 05:00:00,ALPINE/USD,Buy,1019081.3577072273,1019081.3577072273,2.6665,2.6665,0.0
2022-11-26 11:00:00,ALPINE/USD,Sell,1019081.3577072273,1015985.7046048726,2.6584,2.6665,-0.003037689855616102
2022-11-26 18:00:00,ALPINE/USD,Sell,1015985.7046048726,1015985.7046048726,2.6491,2.6665,0.0
2022-11-27 03:00:00,ALPINE/USD,Sell,1015985.7046048726,1015985.7046048726,2.6264,2.6665,0.0
2022-11-27 06:00:00,ALPINE/USD,Buy,1015985.7046048726,1015985.7046048726,2.6014,2.6014,0.0
2022-11-27 09:00:00,ALPINE/USD,Sell,1015985.7046048726,1017469.8076561136,2.6052,2.6014,0.0014607519028215113
2022-11-27 14:00:00,ALPINE/USD,Sell,1017469.8076561136,1017469.8076561136,2.6083,2.6014,0.0
2022-11-27 22:00:00,ALPINE/USD,Sell,1017469.8076561136,1017469.8076561136,2.6188,2.6014,0.0
2022-11-28 05:00:00,ALPINE/USD,Sell,1017469.8076561136,1017469.8076561136,2.6261,2.6014,0.0
2022-11-28 19:00:00,ALPINE/USD,Sell,1017469.8076561136,1017469.8076561136,2.5882,2.6014,0.0
2022-11-28 20:00:00,ALPINE/USD,Sell,1017469.8076561136,1017469.8076561136,2.6287,2.6014,0.0
2022-11-29 18:00:00,ALPINE/USD,Sell,1017469.8076561136,1017469.8076561136,2.5882,2.6014,0.0
2022-11-29 23:00:00,ALPINE/USD,Sell,1017469.8076561136,1017469.8076561136,2.6335,2.6014,0.0
2022-11-30 01:00:00,ALPINE/USD,Buy,1017469.8076561136,1017469.8076561136,2.631,2.631,0.0
2022-11-30 03:00:00,ALPINE/USD,Sell,1017469.8076561136,1020215.5452594426,2.6381,2.631,0.002698593690612012
2022-11-30 16:00:00,ALPINE/USD,Sell,1020215.5452594426,1020215.5452594426,2.6392,2.631,0.0
2022-11-30 18:00:00,ALPINE/USD,Buy,1020215.5452594426,1020215.5452594426,2.6072,2.6072,0.0
2022-12-01 00:00:00,ALPINE/USD,Sell,1020215.5452594426,1033089.5447374403,2.6401,2.6072,0.012618901503528623
2022-12-01 06:00:00,ALPINE/USD,Sell,1033089.5447374403,1033089.5447374403,2.6261,2.6072,0.0
2022-12-01 07:00:00,ALPINE/USD,Sell,1033089.5447374403,1033089.5447374403,2.6588,2.6072,0.0
2022-12-01 09:00:00,ALPINE/USD,Sell,1033089.5447374403,1033089.5447374403,2.6404,2.6072,0.0
2022-12-01 16:00:00,ALPINE/USD,Sell,1033089.5447374403,1033089.5447374403,2.6484,2.6072,0.0
2022-12-01 17:00:00,ALPINE/USD,Buy,1033089.5447374403,1033089.5447374403,2.6453,2.6453,0.0
2022-12-01 23:00:00,ALPINE/USD,Sell,1033089.5447374403,1042540.5586045427,2.6695,2.6453,0.009148300759838222
2022-12-02 03:00:00,ALPINE/USD,Buy,1042540.5586045427,1042540.5586045427,2.6447,2.6447,0.0
2022-12-02 13:00:00,ALPINE/USD,Sell,1042540.5586045427,1041279.1188240254,2.6415,2.6447,-0.0012099671040192645
2022-12-02 14:00:00,ALPINE/USD,Sell,1041279.1188240254,1041279.1188240254,2.7047,2.6447,0.0
2022-12-02 15:00:00,ALPINE/USD,Sell,1041279.1188240254,1041279.1188240254,2.7433,2.6447,0.0
2022-12-02 16:00:00,ALPINE/USD,Sell,1041279.1188240254,1041279.1188240254,2.7976,2.6447,0.0
2022-12-02 23:00:00,ALPINE/USD,Sell,1041279.1188240254,1041279.1188240254,2.7553,2.6447,0.0
2022-12-03 01:00:00,ALPINE/USD,Buy,1041279.1188240254,1041279.1188240254,2.7472,2.7472,0.0
2022-12-03 03:00:00,ALPINE/USD,Sell,1041279.1188240254,1054658.9793709416,2.7825,2.7472,0.012849446709376907
2022-12-03 05:00:00,ALPINE/USD,Buy,1054658.9793709416,1054658.9793709416,2.7601,2.7601,0.0
2022-12-03 07:00:00,ALPINE/USD,Buy,1054658.9793709416,1054658.9793709416,2.753,2.7601,0.0
2022-12-03 09:00:00,ALPINE/USD,Sell,1054658.9793709416,1054009.3941149977,2.7584,2.7601,-0.0006159197130539643
2022-12-03 11:00:00,ALPINE/USD,Sell,1054009.3941149977,1054009.3941149977,2.7625,2.7601,0.0
2022-12-03 20:00:00,ALPINE/USD,Sell,1054009.3941149977,1054009.3941149977,2.7473,2.7601,0.0
2022-12-03 21:00:00,ALPINE/USD,Buy,1054009.3941149977,1054009.3941149977,2.7261,2.7261,0.0
2022-12-04 01:00:00,ALPINE/USD,Buy,1054009.3941149977,1054009.3941149977,2.7065,2.7261,0.0
2022-12-04 08:00:00,ALPINE/USD,Sell,1054009.3941149977,1046469.9850011565,2.7066,2.7261,-0.0071530758226037786
2022-12-04 09:00:00,ALPINE/USD,Sell,1046469.9850011565,1046469.9850011565,2.7734,2.7261,0.0
2022-12-04 14:00:00,ALPINE/USD,Sell,1046469.9850011565,1046469.9850011565,2.7473,2.7261,0.0
2022-12-04 16:00:00,ALPINE/USD,Buy,1046469.9850011565,1046469.9850011565,2.7472,2.7472,0.0
2022-12-05 01:00:00,ALPINE/USD,Sell,1046469.9850011565,1041403.717237428,2.7339,2.7472,-0.004841292952824547
2022-12-05 03:00:00,ALPINE/USD,Buy,1041403.717237428,1041403.717237428,2.7238,2.7238,0.0
2022-12-05 05:00:00,ALPINE/USD,Buy,1041403.717237428,1041403.717237428,2.7236,2.7238,0.0
2022-12-05 07:00:00,ALPINE/USD,Sell,1041403.717237428,1043888.893888446,2.7303,2.7238,0.0023863719803215357
2022-12-05 09:00:00,ALPINE/USD,Sell,1043888.893888446,1043888.893888446,2.7353,2.7238,0.0
2022-12-05 11:00:00,ALPINE/USD,Buy,1043888.893888446,1043888.893888446,2.7256,2.7256,0.0
2022-12-05 12:00:00,ALPINE/USD,Sell,1043888.893888446,1051893.4719198039,2.7465,2.7256,0.007668036395656149
2022-12-05 17:00:00,ALPINE/USD,Sell,1051893.4719198039,1051893.4719198039,2.7304,2.7256,0.0
2022-12-06 07:00:00,ALPINE/USD,Sell,1051893.4719198039,1051893.4719198039,2.6791,2.7256,0.0
2022-12-06 15:00:00,ALPINE/USD,Sell,1051893.4719198039,1051893.4719198039,2.6946,2.7256,0.0
2022-12-06 17:00:00,ALPINE/USD,Buy,1051893.4719198039,1051893.4719198039,2.6814,2.6814,0.0
2022-12-07 19:00:00,ALPINE/USD,Sell,1051893.4719198039,1046087.540919426,2.6666,2.6814,-0.005519504736331807
