Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-07-26 07:00:00,AMP/USD,Sell,1000000.0,1000000.0,0.0084,0.0084,0.0
2022-07-26 08:00:00,AMP/USD,Buy,1000000.0,1000000.0,0.0083,0.0083,0.0
2022-07-26 12:00:00,AMP/USD,Buy,1000000.0,1000000.0,0.0084,0.0083,0.0
2022-07-26 13:00:00,AMP/USD,Buy,1000000.0,1000000.0,0.0082,0.0083,0.0
2022-07-26 14:00:00,AMP/USD,Buy,1000000.0,1000000.0,0.0081,0.0083,0.0
2022-07-26 16:00:00,AMP/USD,Buy,1000000.0,1000000.0,0.0082,0.0083,0.0
2022-07-26 18:00:00,AMP/USD,Sell,1000000.0,1012048.1927710843,0.0084,0.0083,0.012048192771084258
2022-07-26 19:00:00,AMP/USD,Buy,1012048.1927710843,1012048.1927710843,0.0082,0.0082,0.0
2022-07-26 22:00:00,AMP/USD,Sell,1012048.1927710843,1024390.2439024389,0.0083,0.0082,0.012195121951219471
2022-07-27 00:00:00,AMP/USD,Sell,1024390.2439024389,1024390.2439024389,0.0084,0.0082,0.0
2022-07-27 04:00:00,AMP/USD,Buy,1024390.2439024389,1024390.2439024389,0.0082,0.0082,0.0
2022-07-27 05:00:00,AMP/USD,Sell,1024390.2439024389,1049375.3718024981,0.0084,0.0082,0.024390243902438765
2022-07-27 06:00:00,AMP/USD,Sell,1049375.3718024981,1049375.3718024981,0.0083,0.0082,0.0
2022-07-27 10:00:00,AMP/USD,Buy,1049375.3718024981,1049375.3718024981,0.0084,0.0084,0.0
2022-07-27 11:00:00,AMP/USD,Buy,1049375.3718024981,1049375.3718024981,0.0083,0.0084,0.0
2022-07-27 13:00:00,AMP/USD,Sell,1049375.3718024981,1049375.3718024981,0.0084,0.0084,0.0
2022-07-27 14:00:00,AMP/USD,Sell,1049375.3718024981,1049375.3718024981,0.0085,0.0084,0.0
2022-07-27 17:00:00,AMP/USD,Sell,1049375.3718024981,1049375.3718024981,0.0084,0.0084,0.0
2022-07-27 18:00:00,AMP/USD,Sell,1049375.3718024981,1049375.3718024981,0.0085,0.0084,0.0
2022-07-27 19:00:00,AMP/USD,Sell,1049375.3718024981,1049375.3718024981,0.0086,0.0084,0.0
2022-07-27 20:00:00,AMP/USD,Sell,1049375.3718024981,1049375.3718024981,0.0085,0.0084,0.0
2022-07-27 21:00:00,AMP/USD,Sell,1049375.3718024981,1049375.3718024981,0.0086,0.0084,0.0
2022-07-27 22:00:00,AMP/USD,Buy,1049375.3718024981,1049375.3718024981,0.0085,0.0085,0.0
2022-07-28 03:00:00,AMP/USD,Sell,1049375.3718024981,1061720.9644119393,0.0086,0.0085,0.011764705882352929
2022-07-28 08:00:00,AMP/USD,Sell,1061720.9644119393,1061720.9644119393,0.0087,0.0085,0.0
2022-07-28 10:00:00,AMP/USD,Buy,1061720.9644119393,1061720.9644119393,0.0086,0.0086,0.0
2022-07-28 12:00:00,AMP/USD,Sell,1061720.9644119393,1074066.5570213804,0.0087,0.0086,0.011627906976744174
2022-07-28 13:00:00,AMP/USD,Sell,1074066.5570213804,1074066.5570213804,0.0088,0.0086,0.0
2022-07-28 14:00:00,AMP/USD,Sell,1074066.5570213804,1074066.5570213804,0.0089,0.0086,0.0
2022-07-28 15:00:00,AMP/USD,Sell,1074066.5570213804,1074066.5570213804,0.009,0.0086,0.0
2022-07-28 17:00:00,AMP/USD,Buy,1074066.5570213804,1074066.5570213804,0.0089,0.0089,0.0
2022-07-28 18:00:00,AMP/USD,Buy,1074066.5570213804,1074066.5570213804,0.0088,0.0089,0.0
2022-07-28 20:00:00,AMP/USD,Sell,1074066.5570213804,1086134.7205834184,0.009,0.0089,0.011235955056179775
2022-07-28 21:00:00,AMP/USD,Buy,1086134.7205834184,1086134.7205834184,0.0089,0.0089,0.0
2022-07-28 22:00:00,AMP/USD,Sell,1086134.7205834184,1098338.48148885,0.009,0.0089,0.011235955056179699
2022-07-28 23:00:00,AMP/USD,Buy,1098338.48148885,1098338.48148885,0.0089,0.0089,0.0
2022-07-29 03:00:00,AMP/USD,Buy,1098338.48148885,1098338.48148885,0.009,0.0089,0.0
2022-07-29 05:00:00,AMP/USD,Sell,1098338.48148885,1123020.2451178129,0.0091,0.0089,0.022471910112359546
2022-07-29 08:00:00,AMP/USD,Buy,1123020.2451178129,1123020.2451178129,0.009,0.009,0.0
2022-07-29 09:00:00,AMP/USD,Sell,1123020.2451178129,1135498.2478413442,0.0091,0.009,0.011111111111111181
2022-07-29 10:00:00,AMP/USD,Sell,1135498.2478413442,1135498.2478413442,0.009,0.009,0.0
2022-07-29 11:00:00,AMP/USD,Buy,1135498.2478413442,1135498.2478413442,0.0088,0.0088,0.0
2022-07-29 12:00:00,AMP/USD,Buy,1135498.2478413442,1135498.2478413442,0.0087,0.0088,0.0
2022-07-29 15:00:00,AMP/USD,Buy,1135498.2478413442,1135498.2478413442,0.0089,0.0088,0.0
2022-07-29 16:00:00,AMP/USD,Buy,1135498.2478413442,1135498.2478413442,0.0088,0.0088,0.0
2022-07-29 17:00:00,AMP/USD,Buy,1135498.2478413442,1135498.2478413442,0.0087,0.0088,0.0
2022-07-29 18:00:00,AMP/USD,Buy,1135498.2478413442,1135498.2478413442,0.0089,0.0088,0.0
2022-07-29 19:00:00,AMP/USD,Buy,1135498.2478413442,1135498.2478413442,0.0088,0.0088,0.0
2022-07-29 20:00:00,AMP/USD,Sell,1135498.2478413442,1148401.6370213595,0.0089,0.0088,0.011363636363636392
2022-07-30 01:00:00,AMP/USD,Sell,1148401.6370213595,1148401.6370213595,0.009,0.0088,0.0
2022-07-30 02:00:00,AMP/USD,Buy,1148401.6370213595,1148401.6370213595,0.0089,0.0089,0.0
2022-07-30 03:00:00,AMP/USD,Buy,1148401.6370213595,1148401.6370213595,0.009,0.0089,0.0
2022-07-30 04:00:00,AMP/USD,Buy,1148401.6370213595,1148401.6370213595,0.0089,0.0089,0.0
2022-07-30 06:00:00,AMP/USD,Sell,1148401.6370213595,1187111.8045614054,0.0092,0.0089,0.03370786516853941
2022-07-30 10:00:00,AMP/USD,Buy,1187111.8045614054,1187111.8045614054,0.0091,0.0091,0.0
2022-07-30 12:00:00,AMP/USD,Sell,1187111.8045614054,1200156.9892269154,0.0092,0.0091,0.010989010989011002
2022-07-30 13:00:00,AMP/USD,Sell,1200156.9892269154,1200156.9892269154,0.0093,0.0091,0.0
2022-07-30 14:00:00,AMP/USD,Buy,1200156.9892269154,1200156.9892269154,0.0092,0.0092,0.0
2022-07-30 15:00:00,AMP/USD,Buy,1200156.9892269154,1200156.9892269154,0.0091,0.0092,0.0
2022-07-30 17:00:00,AMP/USD,Sell,1200156.9892269154,1213202.1738924254,0.0093,0.0092,0.010869565217391316
2022-07-30 19:00:00,AMP/USD,Buy,1213202.1738924254,1213202.1738924254,0.0092,0.0092,0.0
2022-07-30 20:00:00,AMP/USD,Buy,1213202.1738924254,1213202.1738924254,0.0091,0.0092,0.0
2022-07-30 21:00:00,AMP/USD,Buy,1213202.1738924254,1213202.1738924254,0.0092,0.0092,0.0
2022-07-30 23:00:00,AMP/USD,Buy,1213202.1738924254,1213202.1738924254,0.009,0.0092,0.0
2022-07-31 03:00:00,AMP/USD,Buy,1213202.1738924254,1213202.1738924254,0.0091,0.0092,0.0
2022-07-31 04:00:00,AMP/USD,Sell,1213202.1738924254,1213202.1738924254,0.0092,0.0092,0.0
2022-07-31 05:00:00,AMP/USD,Buy,1213202.1738924254,1213202.1738924254,0.0091,0.0091,0.0
