Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 02:00:00,ANKR/USD,Buy,1000000.0,1000000.0,0.0212,0.0212,0.0
2022-11-17 03:00:00,ANKR/USD,Buy,1000000.0,1000000.0,0.0209,0.0212,0.0
2022-11-17 04:00:00,ANKR/USD,Buy,1000000.0,1000000.0,0.0207,0.0212,0.0
2022-11-17 07:00:00,ANKR/USD,Buy,1000000.0,1000000.0,0.0209,0.0212,0.0
2022-11-17 09:00:00,ANKR/USD,Sell,1000000.0,990566.0377358492,0.021,0.0212,-0.009433962264150846
2022-11-17 10:00:00,ANKR/USD,Buy,990566.0377358492,990566.0377358492,0.0208,0.0208,0.0
2022-11-17 11:00:00,ANKR/USD,Buy,990566.0377358492,990566.0377358492,0.0209,0.0208,0.0
2022-11-17 12:00:00,ANKR/USD,Buy,990566.0377358492,990566.0377358492,0.0208,0.0208,0.0
2022-11-17 14:00:00,ANKR/USD,Buy,990566.0377358492,990566.0377358492,0.0207,0.0208,0.0
2022-11-17 15:00:00,ANKR/USD,Sell,990566.0377358492,1000090.7111756171,0.021,0.0208,0.009615384615384746
2022-11-17 16:00:00,ANKR/USD,Sell,1000090.7111756171,1000090.7111756171,0.0209,0.0208,0.0
2022-11-17 18:00:00,ANKR/USD,Sell,1000090.7111756171,1000090.7111756171,0.0211,0.0208,0.0
2022-11-17 19:00:00,ANKR/USD,Buy,1000090.7111756171,1000090.7111756171,0.021,0.021,0.0
2022-11-17 20:00:00,ANKR/USD,Sell,1000090.7111756171,1004853.0478955009,0.0211,0.021,0.004761904761904709
2022-11-17 23:00:00,ANKR/USD,Buy,1004853.0478955009,1004853.0478955009,0.021,0.021,0.0
2022-11-18 02:00:00,ANKR/USD,Sell,1004853.0478955009,1014423.076923077,0.0212,0.021,0.009523809523809417
2022-11-18 03:00:00,ANKR/USD,Sell,1014423.076923077,1014423.076923077,0.0213,0.021,0.0
2022-11-18 04:00:00,ANKR/USD,Sell,1014423.076923077,1014423.076923077,0.0212,0.021,0.0
2022-11-18 06:00:00,ANKR/USD,Buy,1014423.076923077,1014423.076923077,0.0211,0.0211,0.0
2022-11-18 09:00:00,ANKR/USD,Buy,1014423.076923077,1014423.076923077,0.021,0.0211,0.0
2022-11-18 11:00:00,ANKR/USD,Sell,1014423.076923077,1024038.4615384615,0.0213,0.0211,0.009478672985781884
2022-11-18 12:00:00,ANKR/USD,Sell,1024038.4615384615,1024038.4615384615,0.0212,0.0211,0.0
2022-11-18 13:00:00,ANKR/USD,Buy,1024038.4615384615,1024038.4615384615,0.0213,0.0213,0.0
2022-11-18 15:00:00,ANKR/USD,Buy,1024038.4615384615,1024038.4615384615,0.0212,0.0213,0.0
2022-11-18 18:00:00,ANKR/USD,Buy,1024038.4615384615,1024038.4615384615,0.0209,0.0213,0.0
2022-11-18 19:00:00,ANKR/USD,Buy,1024038.4615384615,1024038.4615384615,0.0208,0.0213,0.0
2022-11-18 20:00:00,ANKR/USD,Buy,1024038.4615384615,1024038.4615384615,0.0209,0.0213,0.0
2022-11-18 22:00:00,ANKR/USD,Sell,1024038.4615384615,1014423.076923077,0.0211,0.0213,-0.009389671361502244
2022-11-18 23:00:00,ANKR/USD,Sell,1014423.076923077,1014423.076923077,0.0212,0.0213,0.0
2022-11-19 00:00:00,ANKR/USD,Sell,1014423.076923077,1014423.076923077,0.0211,0.0213,0.0
2022-11-19 02:00:00,ANKR/USD,Sell,1014423.076923077,1014423.076923077,0.0214,0.0213,0.0
2022-11-19 04:00:00,ANKR/USD,Sell,1014423.076923077,1014423.076923077,0.0216,0.0213,0.0
2022-11-19 06:00:00,ANKR/USD,Buy,1014423.076923077,1014423.076923077,0.0212,0.0212,0.0
2022-11-19 07:00:00,ANKR/USD,Sell,1014423.076923077,1052703.1930333818,0.022,0.0212,0.037735849056603814
2022-11-19 09:00:00,ANKR/USD,Sell,1052703.1930333818,1052703.1930333818,0.0215,0.0212,0.0
2022-11-19 10:00:00,ANKR/USD,Sell,1052703.1930333818,1052703.1930333818,0.0216,0.0212,0.0
2022-11-19 11:00:00,ANKR/USD,Sell,1052703.1930333818,1052703.1930333818,0.0217,0.0212,0.0
2022-11-19 12:00:00,ANKR/USD,Buy,1052703.1930333818,1052703.1930333818,0.0216,0.0216,0.0
2022-11-19 13:00:00,ANKR/USD,Sell,1052703.1930333818,1067324.0707144008,0.0219,0.0216,0.013888888888888723
2022-11-19 14:00:00,ANKR/USD,Sell,1067324.0707144008,1067324.0707144008,0.022,0.0216,0.0
2022-11-19 16:00:00,ANKR/USD,Sell,1067324.0707144008,1067324.0707144008,0.0222,0.0216,0.0
2022-11-19 17:00:00,ANKR/USD,Buy,1067324.0707144008,1067324.0707144008,0.022,0.022,0.0
2022-11-19 19:00:00,ANKR/USD,Sell,1067324.0707144008,1072175.5437631027,0.0221,0.022,0.004545454545454602
2022-11-19 20:00:00,ANKR/USD,Buy,1072175.5437631027,1072175.5437631027,0.0218,0.0218,0.0
2022-11-19 21:00:00,ANKR/USD,Buy,1072175.5437631027,1072175.5437631027,0.0219,0.0218,0.0
2022-11-19 22:00:00,ANKR/USD,Sell,1072175.5437631027,1086930.2530809436,0.0221,0.0218,0.013761467889908261
2022-11-19 23:00:00,ANKR/USD,Buy,1086930.2530809436,1086930.2530809436,0.022,0.022,0.0
2022-11-20 00:00:00,ANKR/USD,Sell,1086930.2530809436,1111633.2133782378,0.0225,0.022,0.022727272727272745
2022-11-20 01:00:00,ANKR/USD,Sell,1111633.2133782378,1111633.2133782378,0.0226,0.022,0.0
2022-11-20 02:00:00,ANKR/USD,Sell,1111633.2133782378,1111633.2133782378,0.0225,0.022,0.0
2022-11-20 03:00:00,ANKR/USD,Sell,1111633.2133782378,1111633.2133782378,0.0228,0.022,0.0
2022-11-20 04:00:00,ANKR/USD,Sell,1111633.2133782378,1111633.2133782378,0.0227,0.022,0.0
2022-11-20 05:00:00,ANKR/USD,Buy,1111633.2133782378,1111633.2133782378,0.0225,0.0225,0.0
2022-11-20 06:00:00,ANKR/USD,Buy,1111633.2133782378,1111633.2133782378,0.0224,0.0225,0.0
2022-11-20 07:00:00,ANKR/USD,Sell,1111633.2133782378,1111633.2133782378,0.0225,0.0225,0.0
2022-11-20 08:00:00,ANKR/USD,Buy,1111633.2133782378,1111633.2133782378,0.0223,0.0223,0.0
2022-11-20 09:00:00,ANKR/USD,Buy,1111633.2133782378,1111633.2133782378,0.0224,0.0223,0.0
2022-11-20 10:00:00,ANKR/USD,Sell,1111633.2133782378,1121603.017982527,0.0225,0.0223,0.008968609865470847
2022-11-20 11:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.0218,0.0218,0.0
2022-11-20 14:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.0216,0.0218,0.0
2022-11-20 17:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.0215,0.0218,0.0
2022-11-20 18:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.0214,0.0218,0.0
2022-11-20 20:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.0213,0.0218,0.0
2022-11-20 21:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.021,0.0218,0.0
2022-11-20 22:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.0206,0.0218,0.0
2022-11-20 23:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.0205,0.0218,0.0
2022-11-21 00:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.0206,0.0218,0.0
2022-11-21 01:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.0203,0.0218,0.0
2022-11-21 02:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.02,0.0218,0.0
2022-11-21 03:00:00,ANKR/USD,Buy,1121603.017982527,1121603.017982527,0.0201,0.0218,0.0
2022-11-21 06:00:00,ANKR/USD,Sell,1121603.017982527,1039283.5304241762,0.0202,0.0218,-0.0733944954128441
2022-11-21 11:00:00,ANKR/USD,Sell,1039283.5304241762,1039283.5304241762,0.0204,0.0218,0.0
2022-11-21 12:00:00,ANKR/USD,Sell,1039283.5304241762,1039283.5304241762,0.0206,0.0218,0.0
2022-11-21 13:00:00,ANKR/USD,Sell,1039283.5304241762,1039283.5304241762,0.0209,0.0218,0.0
2022-11-21 14:00:00,ANKR/USD,Sell,1039283.5304241762,1039283.5304241762,0.0212,0.0218,0.0
2022-11-21 15:00:00,ANKR/USD,Sell,1039283.5304241762,1039283.5304241762,0.0214,0.0218,0.0
2022-11-21 16:00:00,ANKR/USD,Buy,1039283.5304241762,1039283.5304241762,0.0207,0.0207,0.0
2022-11-21 17:00:00,ANKR/USD,Buy,1039283.5304241762,1039283.5304241762,0.0209,0.0207,0.0
2022-11-21 18:00:00,ANKR/USD,Buy,1039283.5304241762,1039283.5304241762,0.0206,0.0207,0.0
2022-11-21 19:00:00,ANKR/USD,Buy,1039283.5304241762,1039283.5304241762,0.0203,0.0207,0.0
2022-11-21 20:00:00,ANKR/USD,Buy,1039283.5304241762,1039283.5304241762,0.021,0.0207,0.0
2022-11-21 22:00:00,ANKR/USD,Sell,1039283.5304241762,1049324.9171915594,0.0209,0.0207,0.00966183574879213
2022-11-21 23:00:00,ANKR/USD,Buy,1049324.9171915594,1049324.9171915594,0.0208,0.0208,0.0
2022-11-22 00:00:00,ANKR/USD,Sell,1049324.9171915594,1064459.4111895147,0.0211,0.0208,0.014423076923076966
2022-11-22 01:00:00,ANKR/USD,Sell,1064459.4111895147,1064459.4111895147,0.0209,0.0208,0.0
2022-11-22 02:00:00,ANKR/USD,Buy,1064459.4111895147,1064459.4111895147,0.0207,0.0207,0.0
2022-11-22 03:00:00,ANKR/USD,Buy,1064459.4111895147,1064459.4111895147,0.0209,0.0207,0.0
2022-11-22 06:00:00,ANKR/USD,Buy,1064459.4111895147,1064459.4111895147,0.0206,0.0207,0.0
2022-11-22 07:00:00,ANKR/USD,Buy,1064459.4111895147,1064459.4111895147,0.0204,0.0207,0.0
2022-11-22 09:00:00,ANKR/USD,Buy,1064459.4111895147,1064459.4111895147,0.0203,0.0207,0.0
2022-11-22 11:00:00,ANKR/USD,Sell,1064459.4111895147,1049032.463201261,0.0204,0.0207,-0.014492753623188357
2022-11-22 12:00:00,ANKR/USD,Sell,1049032.463201261,1049032.463201261,0.0205,0.0207,0.0
2022-11-22 13:00:00,ANKR/USD,Sell,1049032.463201261,1049032.463201261,0.0209,0.0207,0.0
2022-11-22 14:00:00,ANKR/USD,Sell,1049032.463201261,1049032.463201261,0.0211,0.0207,0.0
2022-11-22 15:00:00,ANKR/USD,Sell,1049032.463201261,1049032.463201261,0.0212,0.0207,0.0
2022-11-22 16:00:00,ANKR/USD,Sell,1049032.463201261,1049032.463201261,0.0213,0.0207,0.0
2022-11-22 17:00:00,ANKR/USD,Buy,1049032.463201261,1049032.463201261,0.0211,0.0211,0.0
2022-11-22 18:00:00,ANKR/USD,Sell,1049032.463201261,1054004.181036338,0.0212,0.0211,0.004739336492891013
2022-11-22 19:00:00,ANKR/USD,Sell,1054004.181036338,1054004.181036338,0.0214,0.0211,0.0
2022-11-22 20:00:00,ANKR/USD,Sell,1054004.181036338,1054004.181036338,0.0213,0.0211,0.0
2022-11-22 21:00:00,ANKR/USD,Sell,1054004.181036338,1054004.181036338,0.0214,0.0211,0.0
2022-11-22 22:00:00,ANKR/USD,Sell,1054004.181036338,1054004.181036338,0.0215,0.0211,0.0
2022-11-23 00:00:00,ANKR/USD,Sell,1054004.181036338,1054004.181036338,0.0216,0.0211,0.0
2022-11-23 01:00:00,ANKR/USD,Sell,1054004.181036338,1054004.181036338,0.0221,0.0211,0.0
