Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,ANT/USD,Sell,1000000.0,1000000.0,1.976,1.976,0.0
2022-11-17 02:00:00,ANT/USD,Sell,1000000.0,1000000.0,1.979,1.976,0.0
2022-11-17 03:00:00,ANT/USD,Buy,1000000.0,1000000.0,1.955,1.955,0.0
2022-11-17 04:00:00,ANT/USD,Buy,1000000.0,1000000.0,1.937,1.955,0.0
2022-11-17 05:00:00,ANT/USD,Buy,1000000.0,1000000.0,1.959,1.955,0.0
2022-11-17 14:00:00,ANT/USD,Sell,1000000.0,1006138.1074168799,1.967,1.955,0.006138107416879851
2022-11-17 15:00:00,ANT/USD,Sell,1006138.1074168799,1006138.1074168799,1.973,1.955,0.0
2022-11-17 16:00:00,ANT/USD,Sell,1006138.1074168799,1006138.1074168799,1.974,1.955,0.0
2022-11-17 18:00:00,ANT/USD,Sell,1006138.1074168799,1006138.1074168799,1.993,1.955,0.0
2022-11-17 19:00:00,ANT/USD,Sell,1006138.1074168799,1006138.1074168799,2.001,1.955,0.0
2022-11-17 20:00:00,ANT/USD,Sell,1006138.1074168799,1006138.1074168799,2.052,1.955,0.0
2022-11-17 23:00:00,ANT/USD,Sell,1006138.1074168799,1006138.1074168799,2.035,1.955,0.0
2022-11-18 05:00:00,ANT/USD,Sell,1006138.1074168799,1006138.1074168799,2.046,1.955,0.0
2022-11-18 06:00:00,ANT/USD,Sell,1006138.1074168799,1006138.1074168799,2.069,1.955,0.0
2022-11-18 07:00:00,ANT/USD,Sell,1006138.1074168799,1006138.1074168799,2.077,1.955,0.0
2022-11-18 09:00:00,ANT/USD,Sell,1006138.1074168799,1006138.1074168799,2.08,1.955,0.0
2022-11-18 11:00:00,ANT/USD,Buy,1006138.1074168799,1006138.1074168799,2.068,2.068,0.0
2022-11-18 12:00:00,ANT/USD,Sell,1006138.1074168799,1024139.6112729845,2.105,2.068,0.017891682785299772
2022-11-18 14:00:00,ANT/USD,Sell,1024139.6112729845,1024139.6112729845,2.102,2.068,0.0
2022-11-18 16:00:00,ANT/USD,Buy,1024139.6112729845,1024139.6112729845,2.052,2.052,0.0
2022-11-18 21:00:00,ANT/USD,Sell,1024139.6112729845,1030627.8251845579,2.065,2.052,0.00633528265107204
2022-11-18 23:00:00,ANT/USD,Sell,1030627.8251845579,1030627.8251845579,2.088,2.052,0.0
2022-11-19 00:00:00,ANT/USD,Sell,1030627.8251845579,1030627.8251845579,2.209,2.052,0.0
2022-11-19 01:00:00,ANT/USD,Sell,1030627.8251845579,1030627.8251845579,2.163,2.052,0.0
2022-11-19 02:00:00,ANT/USD,Sell,1030627.8251845579,1030627.8251845579,2.148,2.052,0.0
2022-11-19 03:00:00,ANT/USD,Buy,1030627.8251845579,1030627.8251845579,2.139,2.139,0.0
2022-11-19 04:00:00,ANT/USD,Sell,1030627.8251845579,1031591.4790650485,2.141,2.139,0.0009350163627864477
2022-11-19 05:00:00,ANT/USD,Buy,1031591.4790650485,1031591.4790650485,2.126,2.126,0.0
2022-11-19 09:00:00,ANT/USD,Buy,1031591.4790650485,1031591.4790650485,2.13,2.126,0.0
2022-11-19 12:00:00,ANT/USD,Buy,1031591.4790650485,1031591.4790650485,2.129,2.126,0.0
2022-11-19 14:00:00,ANT/USD,Buy,1031591.4790650485,1031591.4790650485,2.116,2.126,0.0
2022-11-19 15:00:00,ANT/USD,Buy,1031591.4790650485,1031591.4790650485,2.122,2.126,0.0
2022-11-19 16:00:00,ANT/USD,Sell,1031591.4790650485,1031591.4790650485,2.126,2.126,0.0
2022-11-19 17:00:00,ANT/USD,Buy,1031591.4790650485,1031591.4790650485,2.103,2.103,0.0
2022-11-19 18:00:00,ANT/USD,Buy,1031591.4790650485,1031591.4790650485,2.085,2.103,0.0
2022-11-19 23:00:00,ANT/USD,Sell,1031591.4790650485,1021290.2802726727,2.082,2.103,-0.00998573466476481
2022-11-20 00:00:00,ANT/USD,Buy,1021290.2802726727,1021290.2802726727,1.993,1.993,0.0
2022-11-20 01:00:00,ANT/USD,Buy,1021290.2802726727,1021290.2802726727,1.971,1.993,0.0
2022-11-20 03:00:00,ANT/USD,Buy,1021290.2802726727,1021290.2802726727,1.97,1.993,0.0
2022-11-20 06:00:00,ANT/USD,Buy,1021290.2802726727,1021290.2802726727,1.962,1.993,0.0
2022-11-20 09:00:00,ANT/USD,Sell,1021290.2802726727,1012578.8227891626,1.976,1.993,-0.008529854490717529
