Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,API3/USD,Sell,1000000.0,1000000.0,1.45,1.45,0.0
2022-11-17 01:00:00,API3/USD,Sell,1000000.0,1000000.0,1.457,1.45,0.0
2022-11-17 02:00:00,API3/USD,Sell,1000000.0,1000000.0,1.445,1.45,0.0
2022-11-17 03:00:00,API3/USD,Buy,1000000.0,1000000.0,1.44,1.44,0.0
2022-11-17 04:00:00,API3/USD,Buy,1000000.0,1000000.0,1.437,1.44,0.0
2022-11-17 05:00:00,API3/USD,Buy,1000000.0,1000000.0,1.443,1.44,0.0
2022-11-17 06:00:00,API3/USD,Sell,1000000.0,1004861.1111111112,1.447,1.44,0.00486111111111124
2022-11-17 08:00:00,API3/USD,Sell,1004861.1111111112,1004861.1111111112,1.45,1.44,0.0
2022-11-17 12:00:00,API3/USD,Buy,1004861.1111111112,1004861.1111111112,1.433,1.433,0.0
2022-11-17 14:00:00,API3/USD,Buy,1004861.1111111112,1004861.1111111112,1.419,1.433,0.0
2022-11-17 15:00:00,API3/USD,Buy,1004861.1111111112,1004861.1111111112,1.426,1.433,0.0
2022-11-17 17:00:00,API3/USD,Sell,1004861.1111111112,1006263.5690470653,1.435,1.433,0.0013956734124214902
2022-11-17 21:00:00,API3/USD,Buy,1006263.5690470653,1006263.5690470653,1.446,1.446,0.0
2022-11-17 22:00:00,API3/USD,Buy,1006263.5690470653,1006263.5690470653,1.436,1.446,0.0
2022-11-17 23:00:00,API3/USD,Buy,1006263.5690470653,1006263.5690470653,1.433,1.446,0.0
2022-11-18 02:00:00,API3/USD,Sell,1006263.5690470653,1006959.4636314686,1.447,1.446,0.0006915629322268629
2022-11-18 04:00:00,API3/USD,Sell,1006959.4636314686,1006959.4636314686,1.45,1.446,0.0
2022-11-18 06:00:00,API3/USD,Sell,1006959.4636314686,1006959.4636314686,1.455,1.446,0.0
2022-11-18 07:00:00,API3/USD,Buy,1006959.4636314686,1006959.4636314686,1.447,1.447,0.0
2022-11-18 08:00:00,API3/USD,Buy,1006959.4636314686,1006959.4636314686,1.433,1.447,0.0
2022-11-18 11:00:00,API3/USD,Buy,1006959.4636314686,1006959.4636314686,1.435,1.447,0.0
2022-11-18 13:00:00,API3/USD,Sell,1006959.4636314686,1006959.4636314686,1.447,1.447,0.0
2022-11-18 14:00:00,API3/USD,Buy,1006959.4636314686,1006959.4636314686,1.426,1.426,0.0
2022-11-18 15:00:00,API3/USD,Buy,1006959.4636314686,1006959.4636314686,1.424,1.426,0.0
2022-11-18 16:00:00,API3/USD,Buy,1006959.4636314686,1006959.4636314686,1.412,1.426,0.0
2022-11-18 17:00:00,API3/USD,Buy,1006959.4636314686,1006959.4636314686,1.399,1.426,0.0
2022-11-18 19:00:00,API3/USD,Buy,1006959.4636314686,1006959.4636314686,1.401,1.426,0.0
2022-11-18 22:00:00,API3/USD,Sell,1006959.4636314686,994955.0380482043,1.409,1.426,-0.01192145862552592
2022-11-19 01:00:00,API3/USD,Sell,994955.0380482043,994955.0380482043,1.421,1.426,0.0
2022-11-19 04:00:00,API3/USD,Buy,994955.0380482043,994955.0380482043,1.412,1.412,0.0
2022-11-19 08:00:00,API3/USD,Buy,994955.0380482043,994955.0380482043,1.4,1.412,0.0
2022-11-19 14:00:00,API3/USD,Sell,994955.0380482043,992136.4685353198,1.408,1.412,-0.0028328611898017506
2022-11-19 15:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.414,1.412,0.0
2022-11-19 16:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.428,1.412,0.0
2022-11-19 18:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.419,1.412,0.0
2022-11-19 21:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.422,1.412,0.0
2022-11-19 22:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.435,1.412,0.0
2022-11-20 00:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.426,1.412,0.0
2022-11-20 01:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.435,1.412,0.0
2022-11-20 02:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.433,1.412,0.0
2022-11-20 03:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.443,1.412,0.0
2022-11-20 04:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.45,1.412,0.0
2022-11-20 05:00:00,API3/USD,Sell,992136.4685353198,992136.4685353198,1.445,1.412,0.0
