Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,APT/USD,Buy,1000000.0,1000000.0,4.5117,4.5117,0.0
2022-11-17 01:00:00,APT/USD,Buy,1000000.0,1000000.0,4.4813,4.5117,0.0
2022-11-17 02:00:00,APT/USD,Buy,1000000.0,1000000.0,4.5176,4.5117,0.0
2022-11-17 03:00:00,APT/USD,Buy,1000000.0,1000000.0,4.462,4.5117,0.0
2022-11-17 04:00:00,APT/USD,Buy,1000000.0,1000000.0,4.4099,4.5117,0.0
2022-11-17 06:00:00,APT/USD,Sell,1000000.0,992153.7336259059,4.4763,4.5117,-0.007846266374094062
2022-11-17 07:00:00,APT/USD,Sell,992153.7336259059,992153.7336259059,4.4688,4.5117,0.0
2022-11-17 08:00:00,APT/USD,Sell,992153.7336259059,992153.7336259059,4.5522,4.5117,0.0
2022-11-17 09:00:00,APT/USD,Sell,992153.7336259059,992153.7336259059,4.5586,4.5117,0.0
2022-11-17 10:00:00,APT/USD,Sell,992153.7336259059,992153.7336259059,4.6953,4.5117,0.0
2022-11-17 11:00:00,APT/USD,Sell,992153.7336259059,992153.7336259059,4.7344,4.5117,0.0
2022-11-17 12:00:00,APT/USD,Sell,992153.7336259059,992153.7336259059,4.7485,4.5117,0.0
2022-11-17 13:00:00,APT/USD,Buy,992153.7336259059,992153.7336259059,4.6179,4.6179,0.0
2022-11-17 14:00:00,APT/USD,Buy,992153.7336259059,992153.7336259059,4.6148,4.6179,0.0
2022-11-17 15:00:00,APT/USD,Buy,992153.7336259059,992153.7336259059,4.5593,4.6179,0.0
2022-11-17 17:00:00,APT/USD,Buy,992153.7336259059,992153.7336259059,4.6113,4.6179,0.0
2022-11-17 18:00:00,APT/USD,Sell,992153.7336259059,996794.4838903811,4.6395,4.6179,0.004677450789319842
2022-11-17 19:00:00,APT/USD,Sell,996794.4838903811,996794.4838903811,4.666,4.6179,0.0
2022-11-17 20:00:00,APT/USD,Sell,996794.4838903811,996794.4838903811,4.7259,4.6179,0.0
2022-11-17 21:00:00,APT/USD,Sell,996794.4838903811,996794.4838903811,4.6853,4.6179,0.0
2022-11-17 22:00:00,APT/USD,Sell,996794.4838903811,996794.4838903811,4.694,4.6179,0.0
2022-11-17 23:00:00,APT/USD,Buy,996794.4838903811,996794.4838903811,4.66,4.66,0.0
2022-11-18 00:00:00,APT/USD,Buy,996794.4838903811,996794.4838903811,4.6217,4.66,0.0
2022-11-18 01:00:00,APT/USD,Buy,996794.4838903811,996794.4838903811,4.6315,4.66,0.0
2022-11-18 02:00:00,APT/USD,Sell,996794.4838903811,1030569.9879689843,4.8179,4.66,0.0338841201716738
2022-11-18 03:00:00,APT/USD,Sell,1030569.9879689843,1030569.9879689843,4.9101,4.66,0.0
2022-11-18 04:00:00,APT/USD,Sell,1030569.9879689843,1030569.9879689843,4.885,4.66,0.0
2022-11-18 05:00:00,APT/USD,Buy,1030569.9879689843,1030569.9879689843,4.7434,4.7434,0.0
2022-11-18 06:00:00,APT/USD,Buy,1030569.9879689843,1030569.9879689843,4.7776,4.7434,0.0
2022-11-18 07:00:00,APT/USD,Buy,1030569.9879689843,1030569.9879689843,4.73,4.7434,0.0
2022-11-18 08:00:00,APT/USD,Buy,1030569.9879689843,1030569.9879689843,4.7295,4.7434,0.0
2022-11-18 09:00:00,APT/USD,Buy,1030569.9879689843,1030569.9879689843,4.7613,4.7434,0.0
2022-11-18 10:00:00,APT/USD,Sell,1030569.9879689843,1029722.6584262344,4.7395,4.7434,-0.0008221950499643422
2022-11-18 12:00:00,APT/USD,Sell,1029722.6584262344,1029722.6584262344,4.7569,4.7434,0.0
2022-11-18 13:00:00,APT/USD,Buy,1029722.6584262344,1029722.6584262344,4.6876,4.6876,0.0
2022-11-18 14:00:00,APT/USD,Buy,1029722.6584262344,1029722.6584262344,4.7548,4.6876,0.0
2022-11-18 15:00:00,APT/USD,Sell,1029722.6584262344,1047911.2914405046,4.7704,4.6876,0.017663623176039093
2022-11-18 17:00:00,APT/USD,Buy,1047911.2914405046,1047911.2914405046,4.729,4.729,0.0
2022-11-18 19:00:00,APT/USD,Buy,1047911.2914405046,1047911.2914405046,4.5794,4.729,0.0
2022-11-18 20:00:00,APT/USD,Buy,1047911.2914405046,1047911.2914405046,4.64,4.729,0.0
2022-11-18 22:00:00,APT/USD,Buy,1047911.2914405046,1047911.2914405046,4.636,4.729,0.0
2022-11-18 23:00:00,APT/USD,Sell,1047911.2914405046,1045385.1360752219,4.7176,4.729,-0.0024106576443222653
2022-11-19 01:00:00,APT/USD,Sell,1045385.1360752219,1045385.1360752219,4.7548,4.729,0.0
2022-11-19 02:00:00,APT/USD,Buy,1045385.1360752219,1045385.1360752219,4.7489,4.7489,0.0
2022-11-19 04:00:00,APT/USD,Buy,1045385.1360752219,1045385.1360752219,4.7135,4.7489,0.0
2022-11-19 06:00:00,APT/USD,Buy,1045385.1360752219,1045385.1360752219,4.5632,4.7489,0.0
2022-11-19 08:00:00,APT/USD,Buy,1045385.1360752219,1045385.1360752219,4.5669,4.7489,0.0
2022-11-19 12:00:00,APT/USD,Buy,1045385.1360752219,1045385.1360752219,4.581,4.7489,0.0
2022-11-19 14:00:00,APT/USD,Buy,1045385.1360752219,1045385.1360752219,4.5539,4.7489,0.0
2022-11-19 15:00:00,APT/USD,Sell,1045385.1360752219,1011947.076278253,4.597,4.7489,-0.031986354734780606
2022-11-19 16:00:00,APT/USD,Sell,1011947.076278253,1011947.076278253,4.5718,4.7489,0.0
2022-11-19 17:00:00,APT/USD,Buy,1011947.076278253,1011947.076278253,4.5779,4.5779,0.0
2022-11-19 19:00:00,APT/USD,Sell,1011947.076278253,1012256.5469759069,4.5793,4.5779,0.00030581707769947744
2022-11-19 20:00:00,APT/USD,Buy,1012256.5469759069,1012256.5469759069,4.5728,4.5728,0.0
2022-11-19 21:00:00,APT/USD,Sell,1012256.5469759069,1014935.0599697856,4.5849,4.5728,0.0026460811756473007
2022-11-19 22:00:00,APT/USD,Sell,1014935.0599697856,1014935.0599697856,4.6116,4.5728,0.0
2022-11-19 23:00:00,APT/USD,Sell,1014935.0599697856,1014935.0599697856,4.6233,4.5728,0.0
2022-11-20 00:00:00,APT/USD,Sell,1014935.0599697856,1014935.0599697856,4.6136,4.5728,0.0
