Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,AVAX/USD,Sell,1000000.0,1000000.0,13.11,13.11,0.0
2022-11-17 01:00:00,AVAX/USD,Sell,1000000.0,1000000.0,13.16,13.11,0.0
2022-11-17 02:00:00,AVAX/USD,Sell,1000000.0,1000000.0,13.1,13.11,0.0
2022-11-17 03:00:00,AVAX/USD,Buy,1000000.0,1000000.0,13.09,13.09,0.0
2022-11-17 04:00:00,AVAX/USD,Sell,1000000.0,1002291.8258212375,13.12,13.09,0.0022918258212375224
2022-11-17 05:00:00,AVAX/USD,Sell,1002291.8258212375,1002291.8258212375,13.23,13.09,0.0
2022-11-17 06:00:00,AVAX/USD,Sell,1002291.8258212375,1002291.8258212375,13.1,13.09,0.0
2022-11-17 07:00:00,AVAX/USD,Sell,1002291.8258212375,1002291.8258212375,13.16,13.09,0.0
2022-11-17 08:00:00,AVAX/USD,Sell,1002291.8258212375,1002291.8258212375,13.1,13.09,0.0
2022-11-17 10:00:00,AVAX/USD,Buy,1002291.8258212375,1002291.8258212375,13.04,13.04,0.0
2022-11-17 11:00:00,AVAX/USD,Sell,1002291.8258212375,1005366.3406243703,13.08,13.04,0.0030674846625767973
2022-11-17 12:00:00,AVAX/USD,Buy,1005366.3406243703,1005366.3406243703,13.05,13.05,0.0
2022-11-17 13:00:00,AVAX/USD,Buy,1005366.3406243703,1005366.3406243703,12.89,13.05,0.0
2022-11-17 14:00:00,AVAX/USD,Buy,1005366.3406243703,1005366.3406243703,12.77,13.05,0.0
2022-11-17 15:00:00,AVAX/USD,Buy,1005366.3406243703,1005366.3406243703,12.79,13.05,0.0
2022-11-17 16:00:00,AVAX/USD,Sell,1005366.3406243703,999973.5709811744,12.98,13.05,-0.005363984674329551
2022-11-17 18:00:00,AVAX/USD,Sell,999973.5709811744,999973.5709811744,13.04,13.05,0.0
2022-11-17 19:00:00,AVAX/USD,Buy,999973.5709811744,999973.5709811744,12.99,12.99,0.0
2022-11-17 20:00:00,AVAX/USD,Buy,999973.5709811744,999973.5709811744,12.97,12.99,0.0
2022-11-17 21:00:00,AVAX/USD,Sell,999973.5709811744,999973.5709811744,12.99,12.99,0.0
2022-11-17 22:00:00,AVAX/USD,Sell,999973.5709811744,999973.5709811744,13.02,12.99,0.0
2022-11-17 23:00:00,AVAX/USD,Buy,999973.5709811744,999973.5709811744,12.87,12.87,0.0
2022-11-18 00:00:00,AVAX/USD,Sell,999973.5709811744,1020952.0375052551,13.14,12.87,0.020979020979021122
2022-11-18 01:00:00,AVAX/USD,Sell,1020952.0375052551,1020952.0375052551,13.13,12.87,0.0
2022-11-18 02:00:00,AVAX/USD,Sell,1020952.0375052551,1020952.0375052551,13.23,12.87,0.0
2022-11-18 03:00:00,AVAX/USD,Sell,1020952.0375052551,1020952.0375052551,13.25,12.87,0.0
2022-11-18 04:00:00,AVAX/USD,Sell,1020952.0375052551,1020952.0375052551,13.18,12.87,0.0
2022-11-18 05:00:00,AVAX/USD,Buy,1020952.0375052551,1020952.0375052551,13.21,13.21,0.0
2022-11-18 06:00:00,AVAX/USD,Buy,1020952.0375052551,1020952.0375052551,13.17,13.21,0.0
2022-11-18 07:00:00,AVAX/USD,Buy,1020952.0375052551,1020952.0375052551,13.13,13.21,0.0
2022-11-18 08:00:00,AVAX/USD,Buy,1020952.0375052551,1020952.0375052551,13.05,13.21,0.0
2022-11-18 09:00:00,AVAX/USD,Buy,1020952.0375052551,1020952.0375052551,13.08,13.21,0.0
2022-11-18 11:00:00,AVAX/USD,Sell,1020952.0375052551,1017087.7224503525,13.16,13.21,-0.0037850113550340837
2022-11-18 12:00:00,AVAX/USD,Buy,1017087.7224503525,1017087.7224503525,13.15,13.15,0.0
2022-11-18 13:00:00,AVAX/USD,Sell,1017087.7224503525,1017861.1731898584,13.16,13.15,0.0007604562737642213
2022-11-18 14:00:00,AVAX/USD,Buy,1017861.1731898584,1017861.1731898584,13.11,13.11,0.0
2022-11-18 15:00:00,AVAX/USD,Buy,1017861.1731898584,1017861.1731898584,13.13,13.11,0.0
2022-11-18 16:00:00,AVAX/USD,Buy,1017861.1731898584,1017861.1731898584,13.08,13.11,0.0
2022-11-18 17:00:00,AVAX/USD,Buy,1017861.1731898584,1017861.1731898584,12.98,13.11,0.0
2022-11-18 18:00:00,AVAX/USD,Buy,1017861.1731898584,1017861.1731898584,12.89,13.11,0.0
2022-11-18 19:00:00,AVAX/USD,Buy,1017861.1731898584,1017861.1731898584,12.95,13.11,0.0
2022-11-18 20:00:00,AVAX/USD,Buy,1017861.1731898584,1017861.1731898584,12.94,13.11,0.0
2022-11-18 22:00:00,AVAX/USD,Buy,1017861.1731898584,1017861.1731898584,12.92,13.11,0.0
2022-11-18 23:00:00,AVAX/USD,Sell,1017861.1731898584,1007767.9655228348,12.98,13.11,-0.00991609458428668
2022-11-19 00:00:00,AVAX/USD,Buy,1007767.9655228348,1007767.9655228348,12.85,12.85,0.0
2022-11-19 01:00:00,AVAX/USD,Buy,1007767.9655228348,1007767.9655228348,12.88,12.85,0.0
2022-11-19 03:00:00,AVAX/USD,Buy,1007767.9655228348,1007767.9655228348,12.82,12.85,0.0
2022-11-19 04:00:00,AVAX/USD,Buy,1007767.9655228348,1007767.9655228348,12.74,12.85,0.0
2022-11-19 05:00:00,AVAX/USD,Buy,1007767.9655228348,1007767.9655228348,12.6,12.85,0.0
2022-11-19 06:00:00,AVAX/USD,Buy,1007767.9655228348,1007767.9655228348,12.65,12.85,0.0
2022-11-19 07:00:00,AVAX/USD,Buy,1007767.9655228348,1007767.9655228348,12.68,12.85,0.0
2022-11-19 08:00:00,AVAX/USD,Sell,1007767.9655228348,996788.3923576055,12.71,12.85,-0.010894941634241206
2022-11-19 09:00:00,AVAX/USD,Buy,996788.3923576055,996788.3923576055,12.75,12.75,0.0
2022-11-19 10:00:00,AVAX/USD,Sell,996788.3923576055,992879.4182699285,12.7,12.75,-0.003921568627451061
2022-11-19 11:00:00,AVAX/USD,Sell,992879.4182699285,992879.4182699285,12.76,12.75,0.0
2022-11-19 12:00:00,AVAX/USD,Sell,992879.4182699285,992879.4182699285,12.73,12.75,0.0
2022-11-19 13:00:00,AVAX/USD,Sell,992879.4182699285,992879.4182699285,12.74,12.75,0.0
2022-11-19 14:00:00,AVAX/USD,Buy,992879.4182699285,992879.4182699285,12.72,12.72,0.0
2022-11-19 15:00:00,AVAX/USD,Sell,992879.4182699285,999904.5084935365,12.81,12.72,0.007075471698113179
2022-11-19 16:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,12.88,12.72,0.0
2022-11-19 17:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,12.79,12.72,0.0
2022-11-19 19:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,12.81,12.72,0.0
2022-11-19 20:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,12.8,12.72,0.0
2022-11-19 21:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,12.85,12.72,0.0
2022-11-19 23:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,12.88,12.72,0.0
2022-11-20 00:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,12.98,12.72,0.0
2022-11-20 01:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,12.92,12.72,0.0
2022-11-20 02:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,12.95,12.72,0.0
2022-11-20 03:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,12.96,12.72,0.0
2022-11-20 04:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,13.11,12.72,0.0
2022-11-20 05:00:00,AVAX/USD,Sell,999904.5084935365,999904.5084935365,13.01,12.72,0.0
2022-11-20 06:00:00,AVAX/USD,Buy,999904.5084935365,999904.5084935365,12.98,12.98,0.0
