Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,AXL/USD,Sell,1000000.0,1000000.0,0.631,0.631,0.0
2022-11-17 03:00:00,AXL/USD,Buy,1000000.0,1000000.0,0.629,0.629,0.0
2022-11-17 04:00:00,AXL/USD,Sell,1000000.0,1006359.3004769476,0.633,0.629,0.0063593004769475665
2022-11-17 05:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.636,0.629,0.0
2022-11-17 07:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.639,0.629,0.0
2022-11-17 08:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.638,0.629,0.0
2022-11-17 09:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.64,0.629,0.0
2022-11-17 16:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.635,0.629,0.0
2022-11-18 00:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.646,0.629,0.0
2022-11-18 01:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.655,0.629,0.0
2022-11-18 02:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.652,0.629,0.0
2022-11-18 03:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.656,0.629,0.0
2022-11-18 04:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.66,0.629,0.0
2022-11-18 07:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.662,0.629,0.0
2022-11-18 13:00:00,AXL/USD,Sell,1006359.3004769476,1006359.3004769476,0.66,0.629,0.0
2022-11-18 17:00:00,AXL/USD,Buy,1006359.3004769476,1006359.3004769476,0.626,0.626,0.0
2022-11-19 07:00:00,AXL/USD,Sell,1006359.3004769476,1009574.5059097813,0.628,0.626,0.003194888178913794
2022-11-19 17:00:00,AXL/USD,Sell,1009574.5059097813,1009574.5059097813,0.619,0.626,0.0
2022-11-19 18:00:00,AXL/USD,Sell,1009574.5059097813,1009574.5059097813,0.709,0.626,0.0
2022-11-19 19:00:00,AXL/USD,Sell,1009574.5059097813,1009574.5059097813,0.682,0.626,0.0
2022-11-19 20:00:00,AXL/USD,Sell,1009574.5059097813,1009574.5059097813,0.686,0.626,0.0
2022-11-19 21:00:00,AXL/USD,Buy,1009574.5059097813,1009574.5059097813,0.645,0.645,0.0
2022-11-19 22:00:00,AXL/USD,Sell,1009574.5059097813,1000183.1151571322,0.639,0.645,-0.009302325581395387
2022-11-19 23:00:00,AXL/USD,Buy,1000183.1151571322,1000183.1151571322,0.64,0.64,0.0
2022-11-20 01:00:00,AXL/USD,Buy,1000183.1151571322,1000183.1151571322,0.634,0.64,0.0
2022-11-20 02:00:00,AXL/USD,Buy,1000183.1151571322,1000183.1151571322,0.598,0.64,0.0
2022-11-20 03:00:00,AXL/USD,Buy,1000183.1151571322,1000183.1151571322,0.567,0.64,0.0
2022-11-20 04:00:00,AXL/USD,Buy,1000183.1151571322,1000183.1151571322,0.562,0.64,0.0
2022-11-20 05:00:00,AXL/USD,Buy,1000183.1151571322,1000183.1151571322,0.567,0.64,0.0
2022-11-20 06:00:00,AXL/USD,Sell,1000183.1151571322,922043.8092854811,0.59,0.64,-0.0781250000000001
2022-11-20 08:00:00,AXL/USD,Sell,922043.8092854811,922043.8092854811,0.594,0.64,0.0
2022-11-20 11:00:00,AXL/USD,Sell,922043.8092854811,922043.8092854811,0.604,0.64,0.0
2022-11-20 12:00:00,AXL/USD,Buy,922043.8092854811,922043.8092854811,0.598,0.598,0.0
2022-11-20 17:00:00,AXL/USD,Sell,922043.8092854811,915876.2921665147,0.594,0.598,-0.006688963210702353
2022-11-20 18:00:00,AXL/USD,Buy,915876.2921665147,915876.2921665147,0.586,0.586,0.0
2022-11-20 21:00:00,AXL/USD,Buy,915876.2921665147,915876.2921665147,0.592,0.586,0.0
2022-11-20 23:00:00,AXL/USD,Buy,915876.2921665147,915876.2921665147,0.567,0.586,0.0
2022-11-21 00:00:00,AXL/USD,Buy,915876.2921665147,915876.2921665147,0.571,0.586,0.0
2022-11-21 01:00:00,AXL/USD,Sell,915876.2921665147,903372.8615567329,0.578,0.586,-0.013651877133105792
2022-11-21 02:00:00,AXL/USD,Sell,903372.8615567329,903372.8615567329,0.58,0.586,0.0
2022-11-21 03:00:00,AXL/USD,Sell,903372.8615567329,903372.8615567329,0.579,0.586,0.0
2022-11-21 04:00:00,AXL/USD,Buy,903372.8615567329,903372.8615567329,0.576,0.576,0.0
2022-11-21 13:00:00,AXL/USD,Sell,903372.8615567329,906509.5728815827,0.578,0.576,0.003472222222222201
2022-11-21 14:00:00,AXL/USD,Buy,906509.5728815827,906509.5728815827,0.535,0.535,0.0
