Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,AXS/USD,Sell,1000000.0,1000000.0,7.24,7.24,0.0
2022-11-17 02:00:00,AXS/USD,Buy,1000000.0,1000000.0,7.13,7.13,0.0
2022-11-17 03:00:00,AXS/USD,Buy,1000000.0,1000000.0,7.09,7.13,0.0
2022-11-17 04:00:00,AXS/USD,Buy,1000000.0,1000000.0,7.03,7.13,0.0
2022-11-17 05:00:00,AXS/USD,Buy,1000000.0,1000000.0,7.06,7.13,0.0
2022-11-17 06:00:00,AXS/USD,Sell,1000000.0,994389.9018232819,7.09,7.13,-0.005610098176718107
2022-11-17 08:00:00,AXS/USD,Buy,994389.9018232819,994389.9018232819,7.02,7.02,0.0
2022-11-17 09:00:00,AXS/USD,Buy,994389.9018232819,994389.9018232819,7.01,7.02,0.0
2022-11-17 11:00:00,AXS/USD,Sell,994389.9018232819,998639.4313182532,7.05,7.02,0.004273504273504253
2022-11-17 12:00:00,AXS/USD,Sell,998639.4313182532,998639.4313182532,7.1,7.02,0.0
2022-11-17 13:00:00,AXS/USD,Buy,998639.4313182532,998639.4313182532,6.95,6.95,0.0
2022-11-17 14:00:00,AXS/USD,Sell,998639.4313182532,1011571.4527310075,7.04,6.95,0.012949640287769742
2022-11-17 15:00:00,AXS/USD,Buy,1011571.4527310075,1011571.4527310075,7.08,7.08,0.0
2022-11-17 16:00:00,AXS/USD,Buy,1011571.4527310075,1011571.4527310075,7.1,7.08,0.0
2022-11-17 18:00:00,AXS/USD,Sell,1011571.4527310075,1024430.4118758931,7.17,7.08,0.012711864406779625
2022-11-17 20:00:00,AXS/USD,Sell,1024430.4118758931,1024430.4118758931,7.22,7.08,0.0
2022-11-17 21:00:00,AXS/USD,Sell,1024430.4118758931,1024430.4118758931,7.23,7.08,0.0
2022-11-17 22:00:00,AXS/USD,Buy,1024430.4118758931,1024430.4118758931,7.18,7.18,0.0
2022-11-17 23:00:00,AXS/USD,Buy,1024430.4118758931,1024430.4118758931,7.13,7.18,0.0
2022-11-18 00:00:00,AXS/USD,Sell,1024430.4118758931,1034417.8950000315,7.25,7.18,0.009749303621170002
2022-11-18 01:00:00,AXS/USD,Sell,1034417.8950000315,1034417.8950000315,7.17,7.18,0.0
2022-11-18 02:00:00,AXS/USD,Sell,1034417.8950000315,1034417.8950000315,7.15,7.18,0.0
2022-11-18 03:00:00,AXS/USD,Sell,1034417.8950000315,1034417.8950000315,7.24,7.18,0.0
2022-11-18 04:00:00,AXS/USD,Sell,1034417.8950000315,1034417.8950000315,7.21,7.18,0.0
2022-11-18 05:00:00,AXS/USD,Buy,1034417.8950000315,1034417.8950000315,7.23,7.23,0.0
2022-11-18 06:00:00,AXS/USD,Buy,1034417.8950000315,1034417.8950000315,7.2,7.23,0.0
2022-11-18 08:00:00,AXS/USD,Sell,1034417.8950000315,1031556.4347095749,7.21,7.23,-0.002766251728907351
2022-11-18 10:00:00,AXS/USD,Buy,1031556.4347095749,1031556.4347095749,7.17,7.17,0.0
2022-11-18 13:00:00,AXS/USD,Sell,1031556.4347095749,1037311.2823230175,7.21,7.17,0.005578800557880089
2022-11-18 14:00:00,AXS/USD,Buy,1037311.2823230175,1037311.2823230175,7.15,7.15,0.0
2022-11-18 15:00:00,AXS/USD,Buy,1037311.2823230175,1037311.2823230175,7.13,7.15,0.0
2022-11-18 16:00:00,AXS/USD,Buy,1037311.2823230175,1037311.2823230175,7.14,7.15,0.0
2022-11-18 18:00:00,AXS/USD,Buy,1037311.2823230175,1037311.2823230175,7.09,7.15,0.0
2022-11-18 19:00:00,AXS/USD,Buy,1037311.2823230175,1037311.2823230175,7.02,7.15,0.0
2022-11-18 21:00:00,AXS/USD,Buy,1037311.2823230175,1037311.2823230175,7.05,7.15,0.0
2022-11-18 23:00:00,AXS/USD,Sell,1037311.2823230175,1027155.7872513236,7.08,7.15,-0.009790209790209817
2022-11-19 02:00:00,AXS/USD,Sell,1027155.7872513236,1027155.7872513236,7.17,7.15,0.0
2022-11-19 03:00:00,AXS/USD,Buy,1027155.7872513236,1027155.7872513236,7.08,7.08,0.0
2022-11-19 04:00:00,AXS/USD,Buy,1027155.7872513236,1027155.7872513236,7.06,7.08,0.0
2022-11-19 05:00:00,AXS/USD,Buy,1027155.7872513236,1027155.7872513236,6.93,7.08,0.0
