Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,BAL/USD,Sell,1000000.0,1000000.0,5.2,5.2,0.0
2022-11-17 08:00:00,BAL/USD,Sell,1000000.0,1000000.0,5.219,5.2,0.0
2022-11-17 12:00:00,BAL/USD,Buy,1000000.0,1000000.0,5.218,5.218,0.0
2022-11-17 14:00:00,BAL/USD,Sell,1000000.0,1029896.5120735914,5.374,5.218,0.029896512073591352
2022-11-17 15:00:00,BAL/USD,Sell,1029896.5120735914,1029896.5120735914,5.534,5.218,0.0
2022-11-17 18:00:00,BAL/USD,Sell,1029896.5120735914,1029896.5120735914,5.501,5.218,0.0
2022-11-17 19:00:00,BAL/USD,Sell,1029896.5120735914,1029896.5120735914,5.468,5.218,0.0
2022-11-17 22:00:00,BAL/USD,Sell,1029896.5120735914,1029896.5120735914,5.503,5.218,0.0
2022-11-17 23:00:00,BAL/USD,Buy,1029896.5120735914,1029896.5120735914,5.459,5.459,0.0
2022-11-18 01:00:00,BAL/USD,Sell,1029896.5120735914,1040461.4882003767,5.515,5.459,0.010258289063931182
2022-11-18 02:00:00,BAL/USD,Sell,1040461.4882003767,1040461.4882003767,5.63,5.459,0.0
2022-11-18 05:00:00,BAL/USD,Buy,1040461.4882003767,1040461.4882003767,5.66,5.66,0.0
2022-11-18 12:00:00,BAL/USD,Sell,1040461.4882003767,1032373.095005886,5.616,5.66,-0.007773851590106135
2022-11-18 16:00:00,BAL/USD,Buy,1032373.095005886,1032373.095005886,5.582,5.582,0.0
2022-11-18 19:00:00,BAL/USD,Buy,1032373.095005886,1032373.095005886,5.543,5.582,0.0
2022-11-19 02:00:00,BAL/USD,Sell,1032373.095005886,1037181.7120732728,5.608,5.582,0.004657828735220312
2022-11-19 04:00:00,BAL/USD,Buy,1037181.7120732728,1037181.7120732728,5.48,5.48,0.0
2022-11-19 12:00:00,BAL/USD,Sell,1037181.7120732728,1038506.5792237313,5.487,5.48,0.0012773722627736717
2022-11-19 13:00:00,BAL/USD,Sell,1038506.5792237313,1038506.5792237313,5.506,5.48,0.0
2022-11-19 18:00:00,BAL/USD,Sell,1038506.5792237313,1038506.5792237313,5.493,5.48,0.0
2022-11-19 19:00:00,BAL/USD,Sell,1038506.5792237313,1038506.5792237313,5.503,5.48,0.0
2022-11-20 02:00:00,BAL/USD,Sell,1038506.5792237313,1038506.5792237313,5.506,5.48,0.0
2022-11-20 08:00:00,BAL/USD,Sell,1038506.5792237313,1038506.5792237313,5.657,5.48,0.0
2022-11-20 12:00:00,BAL/USD,Buy,1038506.5792237313,1038506.5792237313,5.558,5.558,0.0
2022-11-21 02:00:00,BAL/USD,Sell,1038506.5792237313,1028603.583775934,5.505,5.558,-0.009535804246131688
2022-11-21 03:00:00,BAL/USD,Buy,1028603.583775934,1028603.583775934,5.276,5.276,0.0
2022-11-21 05:00:00,BAL/USD,Buy,1028603.583775934,1028603.583775934,5.309,5.276,0.0
2022-11-21 13:00:00,BAL/USD,Sell,1028603.583775934,1029578.3786809528,5.281,5.276,0.0009476876421531319
2022-11-21 19:00:00,BAL/USD,Sell,1029578.3786809528,1029578.3786809528,5.263,5.276,0.0
2022-11-21 22:00:00,BAL/USD,Buy,1029578.3786809528,1029578.3786809528,5.119,5.119,0.0
2022-11-22 09:00:00,BAL/USD,Sell,1029578.3786809528,1025555.8024798161,5.099,5.119,-0.003907013088493782
2022-11-22 10:00:00,BAL/USD,Buy,1025555.8024798161,1025555.8024798161,4.951,4.951,0.0
2022-11-22 12:00:00,BAL/USD,Buy,1025555.8024798161,1025555.8024798161,4.973,4.951,0.0
2022-11-22 15:00:00,BAL/USD,Sell,1025555.8024798161,1051448.4454428493,5.076,4.951,0.025247424762674248
2022-11-22 19:00:00,BAL/USD,Buy,1051448.4454428493,1051448.4454428493,5.25,5.25,0.0
2022-11-22 20:00:00,BAL/USD,Sell,1051448.4454428493,1058257.8258514316,5.284,5.25,0.006476190476190491
2022-11-22 21:00:00,BAL/USD,Sell,1058257.8258514316,1058257.8258514316,5.328,5.25,0.0
2022-11-23 00:00:00,BAL/USD,Buy,1058257.8258514316,1058257.8258514316,5.319,5.319,0.0
2022-11-23 04:00:00,BAL/USD,Buy,1058257.8258514316,1058257.8258514316,5.34,5.319,0.0
2022-11-23 05:00:00,BAL/USD,Sell,1058257.8258514316,1092876.5251742648,5.493,5.319,0.03271291596164706
2022-11-23 06:00:00,BAL/USD,Sell,1092876.5251742648,1092876.5251742648,5.55,5.319,0.0
2022-11-23 11:00:00,BAL/USD,Sell,1092876.5251742648,1092876.5251742648,5.541,5.319,0.0
2022-11-23 15:00:00,BAL/USD,Buy,1092876.5251742648,1092876.5251742648,5.529,5.529,0.0
2022-11-23 17:00:00,BAL/USD,Buy,1092876.5251742648,1092876.5251742648,5.511,5.529,0.0
2022-11-23 18:00:00,BAL/USD,Buy,1092876.5251742648,1092876.5251742648,5.498,5.529,0.0
2022-11-24 00:00:00,BAL/USD,Sell,1092876.5251742648,1082202.7446788026,5.475,5.529,-0.009766684753119984
2022-11-24 01:00:00,BAL/USD,Sell,1082202.7446788026,1082202.7446788026,5.498,5.529,0.0
2022-11-24 14:00:00,BAL/USD,Sell,1082202.7446788026,1082202.7446788026,5.53,5.529,0.0
2022-11-24 15:00:00,BAL/USD,Buy,1082202.7446788026,1082202.7446788026,5.501,5.501,0.0
2022-11-24 16:00:00,BAL/USD,Sell,1082202.7446788026,1106006.877037671,5.622,5.501,0.02199600072714049
2022-11-24 17:00:00,BAL/USD,Sell,1106006.877037671,1106006.877037671,5.922,5.501,0.0
2022-11-24 18:00:00,BAL/USD,Sell,1106006.877037671,1106006.877037671,6.344,5.501,0.0
2022-11-24 19:00:00,BAL/USD,Sell,1106006.877037671,1106006.877037671,6.173,5.501,0.0
2022-11-24 20:00:00,BAL/USD,Buy,1106006.877037671,1106006.877037671,6.126,6.126,0.0
2022-11-24 21:00:00,BAL/USD,Buy,1106006.877037671,1106006.877037671,6.153,6.126,0.0
2022-11-24 22:00:00,BAL/USD,Sell,1106006.877037671,1096799.1802161036,6.075,6.126,-0.00832517140058773
2022-11-24 23:00:00,BAL/USD,Buy,1096799.1802161036,1096799.1802161036,6.147,6.147,0.0
2022-11-25 00:00:00,BAL/USD,Buy,1096799.1802161036,1096799.1802161036,6.07,6.147,0.0
2022-11-25 01:00:00,BAL/USD,Buy,1096799.1802161036,1096799.1802161036,6.048,6.147,0.0
2022-11-25 02:00:00,BAL/USD,Buy,1096799.1802161036,1096799.1802161036,6.031,6.147,0.0
2022-11-25 03:00:00,BAL/USD,Sell,1096799.1802161036,1085201.3362736849,6.082,6.147,-0.010574263868553911
2022-11-25 04:00:00,BAL/USD,Buy,1085201.3362736849,1085201.3362736849,6.036,6.036,0.0
2022-11-25 05:00:00,BAL/USD,Buy,1085201.3362736849,1085201.3362736849,6.033,6.036,0.0
2022-11-25 06:00:00,BAL/USD,Buy,1085201.3362736849,1085201.3362736849,5.995,6.036,0.0
2022-11-25 07:00:00,BAL/USD,Sell,1085201.3362736849,1085381.1244341014,6.037,6.036,0.00016567263088145364
2022-11-25 08:00:00,BAL/USD,Buy,1085381.1244341014,1085381.1244341014,5.968,5.968,0.0
2022-11-25 10:00:00,BAL/USD,Buy,1085381.1244341014,1085381.1244341014,5.963,5.968,0.0
2022-11-25 11:00:00,BAL/USD,Sell,1085381.1244341014,1093565.130901852,6.013,5.968,0.007540214477211888
2022-11-25 12:00:00,BAL/USD,Sell,1093565.130901852,1093565.130901852,5.992,5.968,0.0
2022-11-25 14:00:00,BAL/USD,Sell,1093565.130901852,1093565.130901852,5.99,5.968,0.0
2022-11-25 15:00:00,BAL/USD,Sell,1093565.130901852,1093565.130901852,5.991,5.968,0.0
2022-11-25 16:00:00,BAL/USD,Buy,1093565.130901852,1093565.130901852,5.953,5.953,0.0
2022-11-25 18:00:00,BAL/USD,Buy,1093565.130901852,1093565.130901852,5.942,5.953,0.0
2022-11-25 19:00:00,BAL/USD,Sell,1093565.130901852,1094299.9302506857,5.957,5.953,0.0006719301192675707
2022-11-26 00:00:00,BAL/USD,Sell,1094299.9302506857,1094299.9302506857,5.979,5.953,0.0
2022-11-26 02:00:00,BAL/USD,Sell,1094299.9302506857,1094299.9302506857,6.066,5.953,0.0
2022-11-26 06:00:00,BAL/USD,Buy,1094299.9302506857,1094299.9302506857,6.048,6.048,0.0
2022-11-26 08:00:00,BAL/USD,Sell,1094299.9302506857,1106784.502867633,6.117,6.048,0.011408730158730198
2022-11-26 09:00:00,BAL/USD,Sell,1106784.502867633,1106784.502867633,6.127,6.048,0.0
2022-11-26 15:00:00,BAL/USD,Sell,1106784.502867633,1106784.502867633,6.156,6.048,0.0
2022-11-26 16:00:00,BAL/USD,Buy,1106784.502867633,1106784.502867633,6.073,6.073,0.0
2022-11-26 17:00:00,BAL/USD,Buy,1106784.502867633,1106784.502867633,6.075,6.073,0.0
2022-11-26 20:00:00,BAL/USD,Buy,1106784.502867633,1106784.502867633,6.117,6.073,0.0
2022-11-26 21:00:00,BAL/USD,Buy,1106784.502867633,1106784.502867633,6.013,6.073,0.0
2022-11-26 22:00:00,BAL/USD,Buy,1106784.502867633,1106784.502867633,5.937,6.073,0.0
2022-11-27 01:00:00,BAL/USD,Buy,1106784.502867633,1106784.502867633,5.991,6.073,0.0
2022-11-27 07:00:00,BAL/USD,Sell,1106784.502867633,1114803.3597960335,6.117,6.073,0.007245183599538966
2022-11-27 09:00:00,BAL/USD,Sell,1114803.3597960335,1114803.3597960335,6.201,6.073,0.0
2022-11-27 10:00:00,BAL/USD,Sell,1114803.3597960335,1114803.3597960335,6.172,6.073,0.0
2022-11-27 16:00:00,BAL/USD,Sell,1114803.3597960335,1114803.3597960335,6.199,6.073,0.0
2022-11-27 20:00:00,BAL/USD,Buy,1114803.3597960335,1114803.3597960335,6.074,6.074,0.0
2022-11-27 22:00:00,BAL/USD,Buy,1114803.3597960335,1114803.3597960335,6.072,6.074,0.0
2022-11-28 01:00:00,BAL/USD,Buy,1114803.3597960335,1114803.3597960335,5.952,6.074,0.0
2022-11-28 08:00:00,BAL/USD,Sell,1114803.3597960335,1083969.1542567292,5.906,6.074,-0.02765887388870606
2022-11-29 04:00:00,BAL/USD,Sell,1083969.1542567292,1083969.1542567292,5.943,6.074,0.0
2022-11-29 18:00:00,BAL/USD,Sell,1083969.1542567292,1083969.1542567292,5.923,6.074,0.0
2022-11-29 19:00:00,BAL/USD,Sell,1083969.1542567292,1083969.1542567292,5.931,6.074,0.0
2022-11-29 23:00:00,BAL/USD,Buy,1083969.1542567292,1083969.1542567292,5.913,5.913,0.0
2022-11-30 00:00:00,BAL/USD,Sell,1083969.1542567292,1110000.54608904,6.055,5.913,0.024014882462370896
2022-11-30 05:00:00,BAL/USD,Sell,1110000.54608904,1110000.54608904,6.156,5.913,0.0
2022-11-30 08:00:00,BAL/USD,Sell,1110000.54608904,1110000.54608904,6.184,5.913,0.0
2022-11-30 18:00:00,BAL/USD,Sell,1110000.54608904,1110000.54608904,6.23,5.913,0.0
2022-12-01 02:00:00,BAL/USD,Sell,1110000.54608904,1110000.54608904,6.2,5.913,0.0
2022-12-01 03:00:00,BAL/USD,Sell,1110000.54608904,1110000.54608904,6.294,5.913,0.0
2022-12-01 04:00:00,BAL/USD,Sell,1110000.54608904,1110000.54608904,6.214,5.913,0.0
2022-12-01 06:00:00,BAL/USD,Sell,1110000.54608904,1110000.54608904,6.228,5.913,0.0
2022-12-01 11:00:00,BAL/USD,Sell,1110000.54608904,1110000.54608904,6.309,5.913,0.0
2022-12-01 14:00:00,BAL/USD,Buy,1110000.54608904,1110000.54608904,6.308,6.308,0.0
2022-12-02 00:00:00,BAL/USD,Sell,1110000.54608904,1092227.8677195106,6.207,6.308,-0.016011414077361983
2022-12-02 01:00:00,BAL/USD,Sell,1092227.8677195106,1092227.8677195106,6.273,6.308,0.0
2022-12-02 02:00:00,BAL/USD,Sell,1092227.8677195106,1092227.8677195106,6.287,6.308,0.0
2022-12-02 05:00:00,BAL/USD,Buy,1092227.8677195106,1092227.8677195106,6.23,6.23,0.0
2022-12-02 08:00:00,BAL/USD,Buy,1092227.8677195106,1092227.8677195106,6.189,6.23,0.0
2022-12-02 10:00:00,BAL/USD,Buy,1092227.8677195106,1092227.8677195106,6.155,6.23,0.0
2022-12-02 13:00:00,BAL/USD,Sell,1092227.8677195106,1095909.5346893517,6.251,6.23,0.0033707865168539934
2022-12-02 16:00:00,BAL/USD,Sell,1095909.5346893517,1095909.5346893517,6.337,6.23,0.0
2022-12-03 00:00:00,BAL/USD,Sell,1095909.5346893517,1095909.5346893517,6.305,6.23,0.0
2022-12-03 02:00:00,BAL/USD,Buy,1095909.5346893517,1095909.5346893517,6.266,6.266,0.0
2022-12-03 03:00:00,BAL/USD,Buy,1095909.5346893517,1095909.5346893517,6.235,6.266,0.0
2022-12-03 06:00:00,BAL/USD,Buy,1095909.5346893517,1095909.5346893517,6.238,6.266,0.0
