Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,BCH/USD,Sell,1000000.0,1000000.0,104.91,104.91,0.0
2022-11-17 01:00:00,BCH/USD,Sell,1000000.0,1000000.0,104.7,104.91,0.0
2022-11-17 02:00:00,BCH/USD,Buy,1000000.0,1000000.0,103.54,103.54,0.0
2022-11-17 03:00:00,BCH/USD,Buy,1000000.0,1000000.0,103.34,103.54,0.0
2022-11-17 04:00:00,BCH/USD,Buy,1000000.0,1000000.0,102.42,103.54,0.0
2022-11-17 05:00:00,BCH/USD,Buy,1000000.0,1000000.0,102.94,103.54,0.0
2022-11-17 06:00:00,BCH/USD,Buy,1000000.0,1000000.0,102.68,103.54,0.0
2022-11-17 07:00:00,BCH/USD,Sell,1000000.0,997102.5690554375,103.24,103.54,-0.0028974309445625405
2022-11-17 08:00:00,BCH/USD,Sell,997102.5690554375,997102.5690554375,103.19,103.54,0.0
2022-11-17 09:00:00,BCH/USD,Buy,997102.5690554375,997102.5690554375,101.93,101.93,0.0
2022-11-17 10:00:00,BCH/USD,Buy,997102.5690554375,997102.5690554375,102.12,101.93,0.0
2022-11-17 11:00:00,BCH/USD,Sell,997102.5690554375,1004732.7074235649,102.71,101.93,0.007652310409104138
2022-11-17 12:00:00,BCH/USD,Sell,1004732.7074235649,1004732.7074235649,102.79,101.93,0.0
2022-11-17 13:00:00,BCH/USD,Buy,1004732.7074235649,1004732.7074235649,101.86,101.86,0.0
2022-11-17 14:00:00,BCH/USD,Sell,1004732.7074235649,1010453.7458125857,102.44,101.86,0.005694089927351211
2022-11-17 15:00:00,BCH/USD,Buy,1010453.7458125857,1010453.7458125857,101.77,101.77,0.0
2022-11-17 16:00:00,BCH/USD,Sell,1010453.7458125857,1021176.8473697989,102.85,101.77,0.010612164685074168
2022-11-17 17:00:00,BCH/USD,Sell,1021176.8473697989,1021176.8473697989,103.16,101.77,0.0
2022-11-17 18:00:00,BCH/USD,Sell,1021176.8473697989,1021176.8473697989,103.09,101.77,0.0
2022-11-17 19:00:00,BCH/USD,Buy,1021176.8473697989,1021176.8473697989,102.92,102.92,0.0
2022-11-17 20:00:00,BCH/USD,Sell,1021176.8473697989,1032487.9784036268,104.06,102.92,0.01107656432180331
2022-11-17 21:00:00,BCH/USD,Sell,1032487.9784036268,1032487.9784036268,103.9,102.92,0.0
2022-11-17 22:00:00,BCH/USD,Sell,1032487.9784036268,1032487.9784036268,103.94,102.92,0.0
2022-11-17 23:00:00,BCH/USD,Buy,1032487.9784036268,1032487.9784036268,103.77,103.77,0.0
2022-11-18 00:00:00,BCH/USD,Sell,1032487.9784036268,1043930.2177325676,104.92,103.77,0.011082201021489933
2022-11-18 01:00:00,BCH/USD,Sell,1043930.2177325676,1043930.2177325676,104.61,103.77,0.0
2022-11-18 02:00:00,BCH/USD,Sell,1043930.2177325676,1043930.2177325676,105.33,103.77,0.0
2022-11-18 03:00:00,BCH/USD,Sell,1043930.2177325676,1043930.2177325676,104.77,103.77,0.0
2022-11-18 05:00:00,BCH/USD,Buy,1043930.2177325676,1043930.2177325676,104.61,104.61,0.0
2022-11-18 06:00:00,BCH/USD,Sell,1043930.2177325676,1045926.0694058925,104.81,104.61,0.00191186311060136
2022-11-18 08:00:00,BCH/USD,Buy,1045926.0694058925,1045926.0694058925,104.14,104.14,0.0
2022-11-18 09:00:00,BCH/USD,Buy,1045926.0694058925,1045926.0694058925,104.25,104.14,0.0
2022-11-18 10:00:00,BCH/USD,Sell,1045926.0694058925,1046729.5463172855,104.22,104.14,0.0007681966583444904
2022-11-18 11:00:00,BCH/USD,Sell,1046729.5463172855,1046729.5463172855,104.37,104.14,0.0
2022-11-18 12:00:00,BCH/USD,Sell,1046729.5463172855,1046729.5463172855,104.49,104.14,0.0
2022-11-18 13:00:00,BCH/USD,Sell,1046729.5463172855,1046729.5463172855,104.53,104.14,0.0
2022-11-18 14:00:00,BCH/USD,Buy,1046729.5463172855,1046729.5463172855,104.48,104.48,0.0
2022-11-18 15:00:00,BCH/USD,Sell,1046729.5463172855,1048833.4246167364,104.69,104.48,0.0020099540581929097
2022-11-18 16:00:00,BCH/USD,Buy,1048833.4246167364,1048833.4246167364,104.49,104.49,0.0
2022-11-18 17:00:00,BCH/USD,Buy,1048833.4246167364,1048833.4246167364,104.25,104.49,0.0
2022-11-18 18:00:00,BCH/USD,Buy,1048833.4246167364,1048833.4246167364,103.88,104.49,0.0
2022-11-18 19:00:00,BCH/USD,Buy,1048833.4246167364,1048833.4246167364,104.03,104.49,0.0
2022-11-18 20:00:00,BCH/USD,Buy,1048833.4246167364,1048833.4246167364,104.04,104.49,0.0
2022-11-18 21:00:00,BCH/USD,Sell,1048833.4246167364,1046926.2722511782,104.3,104.49,-0.0018183558235237481
2022-11-18 22:00:00,BCH/USD,Sell,1046926.2722511782,1046926.2722511782,104.29,104.49,0.0
2022-11-18 23:00:00,BCH/USD,Sell,1046926.2722511782,1046926.2722511782,104.67,104.49,0.0
2022-11-19 00:00:00,BCH/USD,Sell,1046926.2722511782,1046926.2722511782,104.5,104.49,0.0
2022-11-19 01:00:00,BCH/USD,Sell,1046926.2722511782,1046926.2722511782,104.45,104.49,0.0
2022-11-19 02:00:00,BCH/USD,Sell,1046926.2722511782,1046926.2722511782,104.48,104.49,0.0
2022-11-19 03:00:00,BCH/USD,Sell,1046926.2722511782,1046926.2722511782,104.95,104.49,0.0
2022-11-19 04:00:00,BCH/USD,Sell,1046926.2722511782,1046926.2722511782,105.87,104.49,0.0
2022-11-19 05:00:00,BCH/USD,Buy,1046926.2722511782,1046926.2722511782,104.14,104.14,0.0
2022-11-19 06:00:00,BCH/USD,Buy,1046926.2722511782,1046926.2722511782,103.89,104.14,0.0
2022-11-19 07:00:00,BCH/USD,Sell,1046926.2722511782,1051751.7438344369,104.62,104.14,0.004609179950067185
2022-11-19 08:00:00,BCH/USD,Sell,1051751.7438344369,1051751.7438344369,104.61,104.14,0.0
2022-11-19 10:00:00,BCH/USD,Buy,1051751.7438344369,1051751.7438344369,104.51,104.51,0.0
2022-11-19 11:00:00,BCH/USD,Buy,1051751.7438344369,1051751.7438344369,104.47,104.51,0.0
2022-11-19 12:00:00,BCH/USD,Sell,1051751.7438344369,1055877.8390882127,104.92,104.51,0.003923069562721203
2022-11-19 13:00:00,BCH/USD,Sell,1055877.8390882127,1055877.8390882127,104.87,104.51,0.0
2022-11-19 14:00:00,BCH/USD,Buy,1055877.8390882127,1055877.8390882127,104.55,104.55,0.0
2022-11-19 15:00:00,BCH/USD,Sell,1055877.8390882127,1060927.4700738091,105.05,104.55,0.004782400765184145
2022-11-19 17:00:00,BCH/USD,Sell,1060927.4700738091,1060927.4700738091,105.19,104.55,0.0
2022-11-19 18:00:00,BCH/USD,Buy,1060927.4700738091,1060927.4700738091,105.15,105.15,0.0
2022-11-19 19:00:00,BCH/USD,Buy,1060927.4700738091,1060927.4700738091,104.59,105.15,0.0
