Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 02:00:00,BICO/USD,Buy,1000000.0,1000000.0,0.302,0.302,0.0
2022-11-17 03:00:00,BICO/USD,Buy,1000000.0,1000000.0,0.299,0.302,0.0
2022-11-17 04:00:00,BICO/USD,Buy,1000000.0,1000000.0,0.296,0.302,0.0
2022-11-17 07:00:00,BICO/USD,Sell,1000000.0,983443.7086092716,0.297,0.302,-0.01655629139072844
2022-11-17 12:00:00,BICO/USD,Sell,983443.7086092716,983443.7086092716,0.3,0.302,0.0
2022-11-17 14:00:00,BICO/USD,Buy,983443.7086092716,983443.7086092716,0.297,0.297,0.0
2022-11-17 17:00:00,BICO/USD,Buy,983443.7086092716,983443.7086092716,0.294,0.297,0.0
2022-11-17 23:00:00,BICO/USD,Sell,983443.7086092716,986754.9668874172,0.298,0.297,0.003367003367003359
2022-11-18 05:00:00,BICO/USD,Sell,986754.9668874172,986754.9668874172,0.299,0.297,0.0
2022-11-18 07:00:00,BICO/USD,Buy,986754.9668874172,986754.9668874172,0.293,0.293,0.0
2022-11-18 13:00:00,BICO/USD,Sell,986754.9668874172,983387.20249531,0.292,0.293,-0.0034129692832764844
2022-11-18 14:00:00,BICO/USD,Buy,983387.20249531,983387.20249531,0.289,0.289,0.0
2022-11-18 15:00:00,BICO/USD,Buy,983387.20249531,983387.20249531,0.287,0.289,0.0
2022-11-18 16:00:00,BICO/USD,Buy,983387.20249531,983387.20249531,0.288,0.289,0.0
2022-11-18 22:00:00,BICO/USD,Sell,983387.20249531,969776.3069590427,0.285,0.289,-0.013840830449827039
2022-11-19 02:00:00,BICO/USD,Buy,969776.3069590427,969776.3069590427,0.287,0.287,0.0
2022-11-19 07:00:00,BICO/USD,Sell,969776.3069590427,963018.2839140319,0.285,0.287,-0.006968641114982577
2022-11-19 11:00:00,BICO/USD,Buy,963018.2839140319,963018.2839140319,0.281,0.281,0.0
2022-11-19 13:00:00,BICO/USD,Buy,963018.2839140319,963018.2839140319,0.279,0.281,0.0
2022-11-19 15:00:00,BICO/USD,Sell,963018.2839140319,959591.172583377,0.28,0.281,-0.003558718861209985
2022-11-19 16:00:00,BICO/USD,Sell,959591.172583377,959591.172583377,0.281,0.281,0.0
2022-11-19 19:00:00,BICO/USD,Sell,959591.172583377,959591.172583377,0.283,0.281,0.0
2022-11-19 21:00:00,BICO/USD,Buy,959591.172583377,959591.172583377,0.28,0.28,0.0
2022-11-20 01:00:00,BICO/USD,Sell,959591.172583377,973299.6179059965,0.284,0.28,0.014285714285714126
2022-11-20 02:00:00,BICO/USD,Buy,973299.6179059965,973299.6179059965,0.283,0.283,0.0
2022-11-20 04:00:00,BICO/USD,Sell,973299.6179059965,980178.0604353675,0.285,0.283,0.007067137809187288
2022-11-20 06:00:00,BICO/USD,Sell,980178.0604353675,980178.0604353675,0.288,0.283,0.0
2022-11-20 07:00:00,BICO/USD,Sell,980178.0604353675,980178.0604353675,0.289,0.283,0.0
2022-11-20 08:00:00,BICO/USD,Buy,980178.0604353675,980178.0604353675,0.286,0.286,0.0
2022-11-20 11:00:00,BICO/USD,Buy,980178.0604353675,980178.0604353675,0.284,0.286,0.0
2022-11-20 12:00:00,BICO/USD,Buy,980178.0604353675,980178.0604353675,0.277,0.286,0.0
2022-11-20 15:00:00,BICO/USD,Sell,980178.0604353675,959614.884342318,0.28,0.286,-0.02097902097902077
2022-11-20 16:00:00,BICO/USD,Buy,959614.884342318,959614.884342318,0.279,0.279,0.0
2022-11-20 17:00:00,BICO/USD,Sell,959614.884342318,969933.3239589019,0.282,0.279,0.010752688172042807
2022-11-20 18:00:00,BICO/USD,Sell,969933.3239589019,969933.3239589019,0.281,0.279,0.0
2022-11-20 19:00:00,BICO/USD,Sell,969933.3239589019,969933.3239589019,0.284,0.279,0.0
2022-11-20 20:00:00,BICO/USD,Sell,969933.3239589019,969933.3239589019,0.287,0.279,0.0
2022-11-20 22:00:00,BICO/USD,Buy,969933.3239589019,969933.3239589019,0.272,0.272,0.0
2022-11-20 23:00:00,BICO/USD,Sell,969933.3239589019,998460.7746635756,0.28,0.272,0.029411764705882422
2022-11-21 01:00:00,BICO/USD,Buy,998460.7746635756,998460.7746635756,0.278,0.278,0.0
2022-11-21 02:00:00,BICO/USD,Buy,998460.7746635756,998460.7746635756,0.267,0.278,0.0
2022-11-21 03:00:00,BICO/USD,Buy,998460.7746635756,998460.7746635756,0.269,0.278,0.0
2022-11-21 04:00:00,BICO/USD,Buy,998460.7746635756,998460.7746635756,0.27,0.278,0.0
2022-11-21 05:00:00,BICO/USD,Sell,998460.7746635756,980502.8470617126,0.273,0.278,-0.01798561151079143
2022-11-21 06:00:00,BICO/USD,Buy,980502.8470617126,980502.8470617126,0.271,0.271,0.0
2022-11-21 10:00:00,BICO/USD,Buy,980502.8470617126,980502.8470617126,0.27,0.271,0.0
2022-11-21 11:00:00,BICO/USD,Sell,980502.8470617126,980502.8470617126,0.271,0.271,0.0
2022-11-21 12:00:00,BICO/USD,Sell,980502.8470617126,980502.8470617126,0.272,0.271,0.0
2022-11-21 13:00:00,BICO/USD,Sell,980502.8470617126,980502.8470617126,0.277,0.271,0.0
2022-11-21 14:00:00,BICO/USD,Sell,980502.8470617126,980502.8470617126,0.279,0.271,0.0
2022-11-21 15:00:00,BICO/USD,Sell,980502.8470617126,980502.8470617126,0.285,0.271,0.0
2022-11-21 17:00:00,BICO/USD,Buy,980502.8470617126,980502.8470617126,0.272,0.272,0.0
2022-11-21 18:00:00,BICO/USD,Buy,980502.8470617126,980502.8470617126,0.27,0.272,0.0
2022-11-21 19:00:00,BICO/USD,Buy,980502.8470617126,980502.8470617126,0.267,0.272,0.0
2022-11-21 20:00:00,BICO/USD,Sell,980502.8470617126,984107.636940616,0.273,0.272,0.0036764705882352438
2022-11-21 23:00:00,BICO/USD,Sell,984107.636940616,984107.636940616,0.27,0.272,0.0
2022-11-22 03:00:00,BICO/USD,Buy,984107.636940616,984107.636940616,0.274,0.274,0.0
2022-11-22 05:00:00,BICO/USD,Sell,984107.636940616,987699.2706520781,0.275,0.274,0.003649635036496391
2022-11-22 09:00:00,BICO/USD,Buy,987699.2706520781,987699.2706520781,0.269,0.269,0.0
