Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,BNT/USD,Sell,1000000.0,1000000.0,0.357,0.357,0.0
2022-11-17 11:00:00,BNT/USD,Sell,1000000.0,1000000.0,0.356,0.357,0.0
2022-11-17 15:00:00,BNT/USD,Buy,1000000.0,1000000.0,0.357,0.357,0.0
2022-11-18 12:00:00,BNT/USD,Sell,1000000.0,1005602.2408963585,0.359,0.357,0.0056022408963585036
2022-11-18 14:00:00,BNT/USD,Sell,1005602.2408963585,1005602.2408963585,0.362,0.357,0.0
2022-11-18 18:00:00,BNT/USD,Buy,1005602.2408963585,1005602.2408963585,0.357,0.357,0.0
2022-11-19 13:00:00,BNT/USD,Sell,1005602.2408963585,997151.8018972294,0.354,0.357,-0.008403361344537862
2022-11-20 12:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.356,0.357,0.0
2022-11-20 17:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.354,0.357,0.0
2022-11-20 20:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.356,0.357,0.0
2022-11-21 02:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.351,0.357,0.0
2022-11-21 03:00:00,BNT/USD,Buy,997151.8018972294,997151.8018972294,0.34,0.34,0.0
2022-11-21 04:00:00,BNT/USD,Buy,997151.8018972294,997151.8018972294,0.347,0.34,0.0
2022-11-21 05:00:00,BNT/USD,Buy,997151.8018972294,997151.8018972294,0.341,0.34,0.0
2022-11-21 23:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.34,0.34,0.0
2022-11-22 00:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.342,0.34,0.0
2022-11-22 07:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.337,0.34,0.0
2022-11-22 12:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.334,0.34,0.0
2022-11-23 01:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.326,0.34,0.0
2022-11-23 02:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.352,0.34,0.0
2022-11-23 03:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.354,0.34,0.0
2022-11-23 08:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.357,0.34,0.0
2022-11-23 18:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.356,0.34,0.0
2022-11-23 23:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.361,0.34,0.0
2022-11-24 00:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.362,0.34,0.0
2022-11-24 01:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.363,0.34,0.0
2022-11-24 04:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.364,0.34,0.0
2022-11-24 09:00:00,BNT/USD,Sell,997151.8018972294,997151.8018972294,0.365,0.34,0.0
2022-11-24 10:00:00,BNT/USD,Buy,997151.8018972294,997151.8018972294,0.361,0.361,0.0
2022-11-24 15:00:00,BNT/USD,Sell,997151.8018972294,991627.4151831173,0.359,0.361,-0.005540166204986205
2022-11-24 17:00:00,BNT/USD,Sell,991627.4151831173,991627.4151831173,0.364,0.361,0.0
2022-11-24 18:00:00,BNT/USD,Sell,991627.4151831173,991627.4151831173,0.373,0.361,0.0
2022-11-25 10:00:00,BNT/USD,Sell,991627.4151831173,991627.4151831173,0.364,0.361,0.0
2022-11-25 11:00:00,BNT/USD,Sell,991627.4151831173,991627.4151831173,0.365,0.361,0.0
2022-11-25 16:00:00,BNT/USD,Sell,991627.4151831173,991627.4151831173,0.367,0.361,0.0
2022-11-25 17:00:00,BNT/USD,Buy,991627.4151831173,991627.4151831173,0.366,0.366,0.0
2022-11-25 23:00:00,BNT/USD,Sell,991627.4151831173,999755.508750192,0.369,0.366,0.00819672131147542
2022-11-26 00:00:00,BNT/USD,Buy,999755.508750192,999755.508750192,0.368,0.368,0.0
