Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,BTRST/USD,Buy,1000000.0,1000000.0,0.954,0.954,0.0
2022-11-17 05:00:00,BTRST/USD,Sell,1000000.0,994758.9098532494,0.949,0.954,-0.005241090146750561
2022-11-17 10:00:00,BTRST/USD,Sell,994758.9098532494,994758.9098532494,0.954,0.954,0.0
2022-11-17 12:00:00,BTRST/USD,Buy,994758.9098532494,994758.9098532494,0.945,0.945,0.0
2022-11-17 14:00:00,BTRST/USD,Buy,994758.9098532494,994758.9098532494,0.936,0.945,0.0
2022-11-17 16:00:00,BTRST/USD,Buy,994758.9098532494,994758.9098532494,0.927,0.945,0.0
2022-11-17 18:00:00,BTRST/USD,Buy,994758.9098532494,994758.9098532494,0.913,0.945,0.0
2022-11-17 20:00:00,BTRST/USD,Sell,994758.9098532494,964231.916852462,0.916,0.945,-0.030687830687830587
2022-11-18 01:00:00,BTRST/USD,Sell,964231.916852462,964231.916852462,0.906,0.945,0.0
2022-11-18 09:00:00,BTRST/USD,Sell,964231.916852462,964231.916852462,0.911,0.945,0.0
2022-11-18 19:00:00,BTRST/USD,Sell,964231.916852462,964231.916852462,0.937,0.945,0.0
2022-11-18 20:00:00,BTRST/USD,Sell,964231.916852462,964231.916852462,0.972,0.945,0.0
2022-11-18 21:00:00,BTRST/USD,Buy,964231.916852462,964231.916852462,0.924,0.924,0.0
2022-11-18 22:00:00,BTRST/USD,Buy,964231.916852462,964231.916852462,0.913,0.924,0.0
2022-11-19 02:00:00,BTRST/USD,Sell,964231.916852462,949622.3423546974,0.91,0.924,-0.015151515151515157
2022-11-19 09:00:00,BTRST/USD,Sell,949622.3423546974,949622.3423546974,0.894,0.924,0.0
2022-11-19 10:00:00,BTRST/USD,Buy,949622.3423546974,949622.3423546974,0.888,0.888,0.0
2022-11-19 11:00:00,BTRST/USD,Sell,949622.3423546974,961385.6821811632,0.899,0.888,0.012387387387387356
2022-11-19 16:00:00,BTRST/USD,Sell,961385.6821811632,961385.6821811632,0.884,0.888,0.0
2022-11-19 17:00:00,BTRST/USD,Buy,961385.6821811632,961385.6821811632,0.881,0.881,0.0
2022-11-19 18:00:00,BTRST/USD,Sell,961385.6821811632,986484.2868238043,0.904,0.881,0.02610669693530079
2022-11-19 20:00:00,BTRST/USD,Buy,986484.2868238043,986484.2868238043,0.892,0.892,0.0
2022-11-19 22:00:00,BTRST/USD,Sell,986484.2868238043,1014132.3890329916,0.917,0.892,0.02802690582959642
2022-11-19 23:00:00,BTRST/USD,Buy,1014132.3890329916,1014132.3890329916,0.901,0.901,0.0
2022-11-20 00:00:00,BTRST/USD,Buy,1014132.3890329916,1014132.3890329916,0.879,0.901,0.0
2022-11-20 01:00:00,BTRST/USD,Sell,1014132.3890329916,1043397.0306699037,0.927,0.901,0.028856825749167644
2022-11-20 02:00:00,BTRST/USD,Sell,1043397.0306699037,1043397.0306699037,0.902,0.901,0.0
2022-11-20 03:00:00,BTRST/USD,Sell,1043397.0306699037,1043397.0306699037,0.944,0.901,0.0
2022-11-20 14:00:00,BTRST/USD,Sell,1043397.0306699037,1043397.0306699037,0.924,0.901,0.0
2022-11-20 15:00:00,BTRST/USD,Buy,1043397.0306699037,1043397.0306699037,0.889,0.889,0.0
2022-11-20 19:00:00,BTRST/USD,Sell,1043397.0306699037,1030486.6062184201,0.878,0.889,-0.012373453318335231
2022-11-20 22:00:00,BTRST/USD,Buy,1030486.6062184201,1030486.6062184201,0.865,0.865,0.0
2022-11-20 23:00:00,BTRST/USD,Buy,1030486.6062184201,1030486.6062184201,0.808,0.865,0.0
2022-11-21 00:00:00,BTRST/USD,Buy,1030486.6062184201,1030486.6062184201,0.81,0.865,0.0
2022-11-21 02:00:00,BTRST/USD,Sell,1030486.6062184201,979260.104406406,0.822,0.865,-0.04971098265895962
2022-11-21 03:00:00,BTRST/USD,Buy,979260.104406406,979260.104406406,0.813,0.813,0.0
2022-11-21 04:00:00,BTRST/USD,Sell,979260.104406406,1016599.6655830342,0.844,0.813,0.03813038130381312
2022-11-21 06:00:00,BTRST/USD,Buy,1016599.6655830342,1016599.6655830342,0.805,0.805,0.0
2022-11-21 12:00:00,BTRST/USD,Sell,1016599.6655830342,996393.9579441167,0.789,0.805,-0.01987577639751557
2022-11-21 15:00:00,BTRST/USD,Sell,996393.9579441167,996393.9579441167,0.791,0.805,0.0
2022-11-21 17:00:00,BTRST/USD,Sell,996393.9579441167,996393.9579441167,0.798,0.805,0.0
2022-11-21 18:00:00,BTRST/USD,Sell,996393.9579441167,996393.9579441167,0.797,0.805,0.0
