Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,CHZ/USD,Sell,1000000.0,1000000.0,0.2318,0.2318,0.0
2022-11-17 01:00:00,CHZ/USD,Sell,1000000.0,1000000.0,0.2322,0.2318,0.0
2022-11-17 02:00:00,CHZ/USD,Buy,1000000.0,1000000.0,0.2268,0.2268,0.0
2022-11-17 03:00:00,CHZ/USD,Buy,1000000.0,1000000.0,0.2255,0.2268,0.0
2022-11-17 04:00:00,CHZ/USD,Buy,1000000.0,1000000.0,0.2239,0.2268,0.0
2022-11-17 05:00:00,CHZ/USD,Buy,1000000.0,1000000.0,0.2263,0.2268,0.0
2022-11-17 06:00:00,CHZ/USD,Buy,1000000.0,1000000.0,0.2256,0.2268,0.0
2022-11-17 07:00:00,CHZ/USD,Sell,1000000.0,1002645.5026455026,0.2274,0.2268,0.0026455026455025656
2022-11-17 08:00:00,CHZ/USD,Sell,1002645.5026455026,1002645.5026455026,0.2275,0.2268,0.0
2022-11-17 09:00:00,CHZ/USD,Buy,1002645.5026455026,1002645.5026455026,0.2239,0.2239,0.0
2022-11-17 10:00:00,CHZ/USD,Buy,1002645.5026455026,1002645.5026455026,0.2232,0.2239,0.0
2022-11-17 11:00:00,CHZ/USD,Sell,1002645.5026455026,1013392.9309900725,0.2263,0.2239,0.010719071013845526
2022-11-17 12:00:00,CHZ/USD,Sell,1013392.9309900725,1013392.9309900725,0.2264,0.2239,0.0
2022-11-17 13:00:00,CHZ/USD,Buy,1013392.9309900725,1013392.9309900725,0.2232,0.2232,0.0
2022-11-17 14:00:00,CHZ/USD,Sell,1013392.9309900725,1022019.4837180346,0.2251,0.2232,0.008512544802867327
2022-11-17 15:00:00,CHZ/USD,Sell,1022019.4837180346,1022019.4837180346,0.2267,0.2232,0.0
2022-11-17 16:00:00,CHZ/USD,Sell,1022019.4837180346,1022019.4837180346,0.2297,0.2232,0.0
2022-11-17 17:00:00,CHZ/USD,Sell,1022019.4837180346,1022019.4837180346,0.2302,0.2232,0.0
2022-11-17 18:00:00,CHZ/USD,Sell,1022019.4837180346,1022019.4837180346,0.2341,0.2232,0.0
2022-11-17 19:00:00,CHZ/USD,Sell,1022019.4837180346,1022019.4837180346,0.2312,0.2232,0.0
2022-11-17 20:00:00,CHZ/USD,Sell,1022019.4837180346,1022019.4837180346,0.2349,0.2232,0.0
2022-11-17 21:00:00,CHZ/USD,Sell,1022019.4837180346,1022019.4837180346,0.2362,0.2232,0.0
2022-11-17 22:00:00,CHZ/USD,Sell,1022019.4837180346,1022019.4837180346,0.2359,0.2232,0.0
2022-11-17 23:00:00,CHZ/USD,Buy,1022019.4837180346,1022019.4837180346,0.2345,0.2345,0.0
2022-11-18 00:00:00,CHZ/USD,Sell,1022019.4837180346,1028992.750984341,0.2361,0.2345,0.006823027718550131
2022-11-18 01:00:00,CHZ/USD,Buy,1028992.750984341,1028992.750984341,0.2355,0.2355,0.0
2022-11-18 02:00:00,CHZ/USD,Sell,1028992.750984341,1044722.5764770954,0.2391,0.2355,0.015286624203821741
2022-11-18 03:00:00,CHZ/USD,Sell,1044722.5764770954,1044722.5764770954,0.2442,0.2355,0.0
2022-11-18 04:00:00,CHZ/USD,Sell,1044722.5764770954,1044722.5764770954,0.2421,0.2355,0.0
2022-11-18 05:00:00,CHZ/USD,Buy,1044722.5764770954,1044722.5764770954,0.2414,0.2414,0.0
2022-11-18 06:00:00,CHZ/USD,Buy,1044722.5764770954,1044722.5764770954,0.2408,0.2414,0.0
2022-11-18 07:00:00,CHZ/USD,Sell,1044722.5764770954,1046886.459195565,0.2419,0.2414,0.0020712510356255707
2022-11-18 08:00:00,CHZ/USD,Sell,1046886.459195565,1046886.459195565,0.244,0.2414,0.0
2022-11-18 09:00:00,CHZ/USD,Sell,1046886.459195565,1046886.459195565,0.2441,0.2414,0.0
2022-11-18 10:00:00,CHZ/USD,Sell,1046886.459195565,1046886.459195565,0.2454,0.2414,0.0
2022-11-18 11:00:00,CHZ/USD,Sell,1046886.459195565,1046886.459195565,0.246,0.2414,0.0
2022-11-18 12:00:00,CHZ/USD,Sell,1046886.459195565,1046886.459195565,0.2498,0.2414,0.0
2022-11-18 13:00:00,CHZ/USD,Sell,1046886.459195565,1046886.459195565,0.2543,0.2414,0.0
2022-11-18 14:00:00,CHZ/USD,Sell,1046886.459195565,1046886.459195565,0.2522,0.2414,0.0
2022-11-18 15:00:00,CHZ/USD,Sell,1046886.459195565,1046886.459195565,0.2545,0.2414,0.0
2022-11-18 16:00:00,CHZ/USD,Sell,1046886.459195565,1046886.459195565,0.2548,0.2414,0.0
2022-11-18 17:00:00,CHZ/USD,Sell,1046886.459195565,1046886.459195565,0.2552,0.2414,0.0
2022-11-18 18:00:00,CHZ/USD,Buy,1046886.459195565,1046886.459195565,0.2524,0.2524,0.0
2022-11-18 19:00:00,CHZ/USD,Sell,1046886.459195565,1071772.825103542,0.2584,0.2524,0.023771790808241003
2022-11-18 20:00:00,CHZ/USD,Sell,1071772.825103542,1071772.825103542,0.266,0.2524,0.0
2022-11-18 21:00:00,CHZ/USD,Sell,1071772.825103542,1071772.825103542,0.2667,0.2524,0.0
2022-11-18 22:00:00,CHZ/USD,Buy,1071772.825103542,1071772.825103542,0.264,0.264,0.0
2022-11-18 23:00:00,CHZ/USD,Sell,1071772.825103542,1091665.5782967515,0.2689,0.264,0.01856060606060581
2022-11-19 00:00:00,CHZ/USD,Sell,1091665.5782967515,1091665.5782967515,0.2685,0.264,0.0
2022-11-19 02:00:00,CHZ/USD,Buy,1091665.5782967515,1091665.5782967515,0.2649,0.2649,0.0
2022-11-19 03:00:00,CHZ/USD,Sell,1091665.5782967515,1104852.931450959,0.2681,0.2649,0.012080030200075443
2022-11-19 04:00:00,CHZ/USD,Buy,1104852.931450959,1104852.931450959,0.2644,0.2644,0.0
2022-11-19 05:00:00,CHZ/USD,Buy,1104852.931450959,1104852.931450959,0.2529,0.2644,0.0
2022-11-19 06:00:00,CHZ/USD,Buy,1104852.931450959,1104852.931450959,0.2512,0.2644,0.0
2022-11-19 07:00:00,CHZ/USD,Buy,1104852.931450959,1104852.931450959,0.2463,0.2644,0.0
2022-11-19 08:00:00,CHZ/USD,Buy,1104852.931450959,1104852.931450959,0.254,0.2644,0.0
2022-11-19 09:00:00,CHZ/USD,Buy,1104852.931450959,1104852.931450959,0.2531,0.2644,0.0
2022-11-19 10:00:00,CHZ/USD,Sell,1104852.931450959,1053454.70506349,0.2521,0.2644,-0.04652042360060526
