Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,COMP/USD,Sell,1000000.0,1000000.0,39.85,39.85,0.0
2022-11-17 01:00:00,COMP/USD,Sell,1000000.0,1000000.0,40.01,39.85,0.0
2022-11-17 03:00:00,COMP/USD,Buy,1000000.0,1000000.0,39.82,39.82,0.0
2022-11-17 04:00:00,COMP/USD,Buy,1000000.0,1000000.0,39.52,39.82,0.0
2022-11-17 05:00:00,COMP/USD,Buy,1000000.0,1000000.0,39.91,39.82,0.0
2022-11-17 06:00:00,COMP/USD,Sell,1000000.0,1018081.3661476645,40.54,39.82,0.018081366147664493
2022-11-17 07:00:00,COMP/USD,Sell,1018081.3661476645,1018081.3661476645,40.42,39.82,0.0
2022-11-17 08:00:00,COMP/USD,Sell,1018081.3661476645,1018081.3661476645,40.65,39.82,0.0
2022-11-17 09:00:00,COMP/USD,Buy,1018081.3661476645,1018081.3661476645,40.22,40.22,0.0
2022-11-17 10:00:00,COMP/USD,Buy,1018081.3661476645,1018081.3661476645,39.52,40.22,0.0
2022-11-17 11:00:00,COMP/USD,Buy,1018081.3661476645,1018081.3661476645,39.73,40.22,0.0
2022-11-17 12:00:00,COMP/USD,Buy,1018081.3661476645,1018081.3661476645,39.62,40.22,0.0
2022-11-17 13:00:00,COMP/USD,Buy,1018081.3661476645,1018081.3661476645,39.25,40.22,0.0
2022-11-17 14:00:00,COMP/USD,Buy,1018081.3661476645,1018081.3661476645,39.12,40.22,0.0
2022-11-17 15:00:00,COMP/USD,Sell,1018081.3661476645,1000362.3965727425,39.52,40.22,-0.01740427647936344
2022-11-17 16:00:00,COMP/USD,Buy,1000362.3965727425,1000362.3965727425,39.2,39.2,0.0
2022-11-17 17:00:00,COMP/USD,Buy,1000362.3965727425,1000362.3965727425,39.42,39.2,0.0
2022-11-17 18:00:00,COMP/USD,Sell,1000362.3965727425,1010059.7871517639,39.58,39.2,0.009693877551020344
2022-11-17 19:00:00,COMP/USD,Sell,1010059.7871517639,1010059.7871517639,39.33,39.2,0.0
2022-11-17 20:00:00,COMP/USD,Buy,1010059.7871517639,1010059.7871517639,39.28,39.28,0.0
2022-11-17 21:00:00,COMP/USD,Buy,1010059.7871517639,1010059.7871517639,39.26,39.28,0.0
2022-11-17 22:00:00,COMP/USD,Buy,1010059.7871517639,1010059.7871517639,39.3,39.28,0.0
2022-11-17 23:00:00,COMP/USD,Buy,1010059.7871517639,1010059.7871517639,38.63,39.28,0.0
2022-11-18 01:00:00,COMP/USD,Buy,1010059.7871517639,1010059.7871517639,39.18,39.28,0.0
2022-11-18 02:00:00,COMP/USD,Sell,1010059.7871517639,1023431.2507291293,39.8,39.28,0.013238289205702525
2022-11-18 04:00:00,COMP/USD,Sell,1023431.2507291293,1023431.2507291293,40.18,39.28,0.0
2022-11-18 05:00:00,COMP/USD,Buy,1023431.2507291293,1023431.2507291293,39.92,39.92,0.0
2022-11-18 06:00:00,COMP/USD,Buy,1023431.2507291293,1023431.2507291293,39.75,39.92,0.0
2022-11-18 07:00:00,COMP/USD,Buy,1023431.2507291293,1023431.2507291293,39.95,39.92,0.0
2022-11-18 08:00:00,COMP/USD,Buy,1023431.2507291293,1023431.2507291293,39.66,39.92,0.0
2022-11-18 09:00:00,COMP/USD,Buy,1023431.2507291293,1023431.2507291293,39.76,39.92,0.0
2022-11-18 10:00:00,COMP/USD,Buy,1023431.2507291293,1023431.2507291293,39.64,39.92,0.0
2022-11-18 11:00:00,COMP/USD,Sell,1023431.2507291293,1019072.9513147016,39.75,39.92,-0.004258517034068198
2022-11-18 12:00:00,COMP/USD,Buy,1019072.9513147016,1019072.9513147016,39.65,39.65,0.0
2022-11-18 13:00:00,COMP/USD,Buy,1019072.9513147016,1019072.9513147016,39.64,39.65,0.0
2022-11-18 14:00:00,COMP/USD,Buy,1019072.9513147016,1019072.9513147016,39.29,39.65,0.0
2022-11-18 15:00:00,COMP/USD,Buy,1019072.9513147016,1019072.9513147016,39.17,39.65,0.0
2022-11-18 16:00:00,COMP/USD,Buy,1019072.9513147016,1019072.9513147016,38.78,39.65,0.0
2022-11-18 17:00:00,COMP/USD,Buy,1019072.9513147016,1019072.9513147016,38.37,39.65,0.0
2022-11-18 18:00:00,COMP/USD,Buy,1019072.9513147016,1019072.9513147016,38.16,39.65,0.0
2022-11-18 19:00:00,COMP/USD,Buy,1019072.9513147016,1019072.9513147016,38.09,39.65,0.0
2022-11-18 20:00:00,COMP/USD,Sell,1019072.9513147016,993628.254674057,38.66,39.65,-0.024968474148802086
2022-11-18 21:00:00,COMP/USD,Sell,993628.254674057,993628.254674057,38.65,39.65,0.0
2022-11-18 23:00:00,COMP/USD,Sell,993628.254674057,993628.254674057,38.83,39.65,0.0
2022-11-19 01:00:00,COMP/USD,Sell,993628.254674057,993628.254674057,38.87,39.65,0.0
2022-11-19 02:00:00,COMP/USD,Buy,993628.254674057,993628.254674057,38.75,38.75,0.0
2022-11-19 04:00:00,COMP/USD,Buy,993628.254674057,993628.254674057,38.68,38.75,0.0
2022-11-19 05:00:00,COMP/USD,Buy,993628.254674057,993628.254674057,37.93,38.75,0.0
2022-11-19 06:00:00,COMP/USD,Buy,993628.254674057,993628.254674057,38.21,38.75,0.0
2022-11-19 08:00:00,COMP/USD,Buy,993628.254674057,993628.254674057,38.36,38.75,0.0
2022-11-19 09:00:00,COMP/USD,Sell,993628.254674057,989012.6911684743,38.57,38.75,-0.004645161290322609
2022-11-19 10:00:00,COMP/USD,Sell,989012.6911684743,989012.6911684743,38.56,38.75,0.0
2022-11-19 11:00:00,COMP/USD,Sell,989012.6911684743,989012.6911684743,38.71,38.75,0.0
2022-11-19 14:00:00,COMP/USD,Buy,989012.6911684743,989012.6911684743,38.75,38.75,0.0
2022-11-19 15:00:00,COMP/USD,Buy,989012.6911684743,989012.6911684743,38.76,38.75,0.0
2022-11-19 16:00:00,COMP/USD,Sell,989012.6911684743,994882.960045087,38.98,38.75,0.00593548387096763
2022-11-19 17:00:00,COMP/USD,Sell,994882.960045087,994882.960045087,39.12,38.75,0.0
2022-11-19 18:00:00,COMP/USD,Sell,994882.960045087,994882.960045087,39.06,38.75,0.0
2022-11-19 19:00:00,COMP/USD,Sell,994882.960045087,994882.960045087,39.13,38.75,0.0
2022-11-19 20:00:00,COMP/USD,Sell,994882.960045087,994882.960045087,39.18,38.75,0.0
2022-11-19 21:00:00,COMP/USD,Sell,994882.960045087,994882.960045087,39.38,38.75,0.0
2022-11-19 22:00:00,COMP/USD,Sell,994882.960045087,994882.960045087,39.69,38.75,0.0
2022-11-19 23:00:00,COMP/USD,Sell,994882.960045087,994882.960045087,39.74,38.75,0.0
2022-11-20 00:00:00,COMP/USD,Sell,994882.960045087,994882.960045087,39.87,38.75,0.0
2022-11-20 01:00:00,COMP/USD,Sell,994882.960045087,994882.960045087,39.79,38.75,0.0
2022-11-20 03:00:00,COMP/USD,Buy,994882.960045087,994882.960045087,39.55,39.55,0.0
2022-11-20 04:00:00,COMP/USD,Sell,994882.960045087,1000668.6258051471,39.78,39.55,0.005815423514538709
2022-11-20 05:00:00,COMP/USD,Sell,1000668.6258051471,1000668.6258051471,39.69,39.55,0.0
2022-11-20 06:00:00,COMP/USD,Sell,1000668.6258051471,1000668.6258051471,39.68,39.55,0.0
2022-11-20 07:00:00,COMP/USD,Sell,1000668.6258051471,1000668.6258051471,39.92,39.55,0.0
2022-11-20 08:00:00,COMP/USD,Buy,1000668.6258051471,1000668.6258051471,39.08,39.08,0.0
2022-11-20 10:00:00,COMP/USD,Buy,1000668.6258051471,1000668.6258051471,39.3,39.08,0.0
2022-11-20 11:00:00,COMP/USD,Buy,1000668.6258051471,1000668.6258051471,38.49,39.08,0.0
2022-11-20 13:00:00,COMP/USD,Buy,1000668.6258051471,1000668.6258051471,38.45,39.08,0.0
2022-11-20 14:00:00,COMP/USD,Sell,1000668.6258051471,988890.0288790886,38.62,39.08,-0.011770726714431922
2022-11-20 15:00:00,COMP/USD,Sell,988890.0288790886,988890.0288790886,38.77,39.08,0.0
2022-11-20 16:00:00,COMP/USD,Sell,988890.0288790886,988890.0288790886,38.9,39.08,0.0
2022-11-20 17:00:00,COMP/USD,Buy,988890.0288790886,988890.0288790886,38.63,38.63,0.0
2022-11-20 18:00:00,COMP/USD,Sell,988890.0288790886,1002201.5177482867,39.15,38.63,0.013461040641988034
2022-11-20 19:00:00,COMP/USD,Sell,1002201.5177482867,1002201.5177482867,39.8,38.63,0.0
2022-11-20 20:00:00,COMP/USD,Sell,1002201.5177482867,1002201.5177482867,38.89,38.63,0.0
2022-11-20 21:00:00,COMP/USD,Buy,1002201.5177482867,1002201.5177482867,37.93,37.93,0.0
2022-11-20 22:00:00,COMP/USD,Buy,1002201.5177482867,1002201.5177482867,38.03,37.93,0.0
2022-11-20 23:00:00,COMP/USD,Buy,1002201.5177482867,1002201.5177482867,37.68,37.93,0.0
2022-11-21 00:00:00,COMP/USD,Buy,1002201.5177482867,1002201.5177482867,37.49,37.93,0.0
2022-11-21 01:00:00,COMP/USD,Buy,1002201.5177482867,1002201.5177482867,36.99,37.93,0.0
2022-11-21 02:00:00,COMP/USD,Buy,1002201.5177482867,1002201.5177482867,37.04,37.93,0.0
2022-11-21 03:00:00,COMP/USD,Buy,1002201.5177482867,1002201.5177482867,37.14,37.93,0.0
2022-11-21 04:00:00,COMP/USD,Sell,1002201.5177482867,989254.5432242514,37.44,37.93,-0.012918534141840242
2022-11-21 05:00:00,COMP/USD,Sell,989254.5432242514,989254.5432242514,37.51,37.93,0.0
2022-11-21 06:00:00,COMP/USD,Sell,989254.5432242514,989254.5432242514,37.71,37.93,0.0
2022-11-21 07:00:00,COMP/USD,Sell,989254.5432242514,989254.5432242514,37.78,37.93,0.0
2022-11-21 08:00:00,COMP/USD,Sell,989254.5432242514,989254.5432242514,37.61,37.93,0.0
2022-11-21 09:00:00,COMP/USD,Buy,989254.5432242514,989254.5432242514,37.52,37.52,0.0
2022-11-21 12:00:00,COMP/USD,Sell,989254.5432242514,995318.7368527581,37.75,37.52,0.006130063965884724
2022-11-21 15:00:00,COMP/USD,Sell,995318.7368527581,995318.7368527581,38.19,37.52,0.0
2022-11-21 16:00:00,COMP/USD,Buy,995318.7368527581,995318.7368527581,37.75,37.75,0.0
2022-11-21 17:00:00,COMP/USD,Buy,995318.7368527581,995318.7368527581,37.18,37.75,0.0
