Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,ENJ/USD,Sell,1000000.0,1000000.0,0.311,0.311,0.0
2022-11-17 01:00:00,ENJ/USD,Sell,1000000.0,1000000.0,0.3112,0.311,0.0
2022-11-17 02:00:00,ENJ/USD,Buy,1000000.0,1000000.0,0.3099,0.3099,0.0
2022-11-17 03:00:00,ENJ/USD,Buy,1000000.0,1000000.0,0.307,0.3099,0.0
2022-11-17 04:00:00,ENJ/USD,Buy,1000000.0,1000000.0,0.3072,0.3099,0.0
2022-11-17 05:00:00,ENJ/USD,Buy,1000000.0,1000000.0,0.3078,0.3099,0.0
2022-11-17 06:00:00,ENJ/USD,Sell,1000000.0,998063.8915779284,0.3093,0.3099,-0.0019361084220715565
2022-11-17 07:00:00,ENJ/USD,Buy,998063.8915779284,998063.8915779284,0.3071,0.3071,0.0
2022-11-17 08:00:00,ENJ/USD,Sell,998063.8915779284,1005213.8119995223,0.3093,0.3071,0.0071637902963204835
2022-11-17 09:00:00,ENJ/USD,Buy,1005213.8119995223,1005213.8119995223,0.3052,0.3052,0.0
2022-11-17 10:00:00,ENJ/USD,Buy,1005213.8119995223,1005213.8119995223,0.3053,0.3052,0.0
2022-11-17 11:00:00,ENJ/USD,Buy,1005213.8119995223,1005213.8119995223,0.3071,0.3052,0.0
2022-11-17 12:00:00,ENJ/USD,Sell,1005213.8119995223,1010483.6091790742,0.3068,0.3052,0.0052424639580603135
2022-11-17 13:00:00,ENJ/USD,Buy,1010483.6091790742,1010483.6091790742,0.3025,0.3025,0.0
2022-11-17 14:00:00,ENJ/USD,Buy,1010483.6091790742,1010483.6091790742,0.3044,0.3025,0.0
2022-11-17 15:00:00,ENJ/USD,Buy,1010483.6091790742,1010483.6091790742,0.3038,0.3025,0.0
2022-11-17 16:00:00,ENJ/USD,Sell,1010483.6091790742,1022175.1550704023,0.306,0.3025,0.011570247933884299
2022-11-17 17:00:00,ENJ/USD,Sell,1022175.1550704023,1022175.1550704023,0.3074,0.3025,0.0
2022-11-17 18:00:00,ENJ/USD,Sell,1022175.1550704023,1022175.1550704023,0.3057,0.3025,0.0
2022-11-17 19:00:00,ENJ/USD,Buy,1022175.1550704023,1022175.1550704023,0.3056,0.3056,0.0
2022-11-17 20:00:00,ENJ/USD,Sell,1022175.1550704023,1025854.4504584174,0.3067,0.3056,0.00359947643979049
2022-11-17 21:00:00,ENJ/USD,Sell,1025854.4504584174,1025854.4504584174,0.3063,0.3056,0.0
2022-11-17 23:00:00,ENJ/USD,Buy,1025854.4504584174,1025854.4504584174,0.3053,0.3053,0.0
2022-11-18 00:00:00,ENJ/USD,Sell,1025854.4504584174,1038623.0286167599,0.3091,0.3053,0.012446773665247242
2022-11-18 01:00:00,ENJ/USD,Sell,1038623.0286167599,1038623.0286167599,0.3094,0.3053,0.0
2022-11-18 02:00:00,ENJ/USD,Sell,1038623.0286167599,1038623.0286167599,0.3119,0.3053,0.0
2022-11-18 03:00:00,ENJ/USD,Sell,1038623.0286167599,1038623.0286167599,0.3115,0.3053,0.0
2022-11-18 04:00:00,ENJ/USD,Sell,1038623.0286167599,1038623.0286167599,0.3104,0.3053,0.0
2022-11-18 05:00:00,ENJ/USD,Buy,1038623.0286167599,1038623.0286167599,0.3098,0.3098,0.0
