Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,FET/USD,Sell,1000000.0,1000000.0,0.0608,0.0608,0.0
2022-11-17 04:00:00,FET/USD,Buy,1000000.0,1000000.0,0.0609,0.0609,0.0
2022-11-17 08:00:00,FET/USD,Buy,1000000.0,1000000.0,0.0612,0.0609,0.0
2022-11-17 12:00:00,FET/USD,Buy,1000000.0,1000000.0,0.0606,0.0609,0.0
2022-11-17 13:00:00,FET/USD,Buy,1000000.0,1000000.0,0.0604,0.0609,0.0
2022-11-17 14:00:00,FET/USD,Buy,1000000.0,1000000.0,0.06,0.0609,0.0
2022-11-17 16:00:00,FET/USD,Buy,1000000.0,1000000.0,0.0602,0.0609,0.0
2022-11-18 02:00:00,FET/USD,Sell,1000000.0,995073.8916256158,0.0606,0.0609,-0.004926108374384232
2022-11-18 08:00:00,FET/USD,Sell,995073.8916256158,995073.8916256158,0.0613,0.0609,0.0
2022-11-18 12:00:00,FET/USD,Sell,995073.8916256158,995073.8916256158,0.0611,0.0609,0.0
2022-11-18 13:00:00,FET/USD,Sell,995073.8916256158,995073.8916256158,0.0615,0.0609,0.0
2022-11-18 15:00:00,FET/USD,Buy,995073.8916256158,995073.8916256158,0.0608,0.0608,0.0
2022-11-18 17:00:00,FET/USD,Buy,995073.8916256158,995073.8916256158,0.0606,0.0608,0.0
2022-11-18 20:00:00,FET/USD,Buy,995073.8916256158,995073.8916256158,0.06,0.0608,0.0
2022-11-18 21:00:00,FET/USD,Buy,995073.8916256158,995073.8916256158,0.0594,0.0608,0.0
2022-11-18 23:00:00,FET/USD,Buy,995073.8916256158,995073.8916256158,0.0597,0.0608,0.0
2022-11-19 02:00:00,FET/USD,Sell,995073.8916256158,983617.4487943999,0.0601,0.0608,-0.011513157894736786
2022-11-19 04:00:00,FET/USD,Buy,983617.4487943999,983617.4487943999,0.0594,0.0594,0.0
2022-11-19 14:00:00,FET/USD,Sell,983617.4487943999,991897.0569492349,0.0599,0.0594,0.008417508417508466
2022-11-19 15:00:00,FET/USD,Buy,991897.0569492349,991897.0569492349,0.0596,0.0596,0.0
2022-11-19 16:00:00,FET/USD,Sell,991897.0569492349,1000218.3409840439,0.0601,0.0596,0.008389261744966407
2022-11-19 17:00:00,FET/USD,Buy,1000218.3409840439,1000218.3409840439,0.0597,0.0597,0.0
2022-11-19 20:00:00,FET/USD,Buy,1000218.3409840439,1000218.3409840439,0.0596,0.0597,0.0
2022-11-19 21:00:00,FET/USD,Sell,1000218.3409840439,1006919.9714093975,0.0601,0.0597,0.006700167504187528
2022-11-20 03:00:00,FET/USD,Sell,1006919.9714093975,1006919.9714093975,0.0603,0.0597,0.0
2022-11-20 05:00:00,FET/USD,Sell,1006919.9714093975,1006919.9714093975,0.0605,0.0597,0.0
2022-11-20 06:00:00,FET/USD,Buy,1006919.9714093975,1006919.9714093975,0.0603,0.0603,0.0
2022-11-20 07:00:00,FET/USD,Sell,1006919.9714093975,1021948.62769909,0.0612,0.0603,0.01492537313432836
2022-11-20 08:00:00,FET/USD,Sell,1021948.62769909,1021948.62769909,0.0605,0.0603,0.0
2022-11-20 09:00:00,FET/USD,Sell,1021948.62769909,1021948.62769909,0.0608,0.0603,0.0
2022-11-20 10:00:00,FET/USD,Sell,1021948.62769909,1021948.62769909,0.061,0.0603,0.0
2022-11-20 11:00:00,FET/USD,Sell,1021948.62769909,1021948.62769909,0.0604,0.0603,0.0
2022-11-20 16:00:00,FET/USD,Sell,1021948.62769909,1021948.62769909,0.06,0.0603,0.0
2022-11-20 17:00:00,FET/USD,Buy,1021948.62769909,1021948.62769909,0.0596,0.0596,0.0
2022-11-20 18:00:00,FET/USD,Buy,1021948.62769909,1021948.62769909,0.0598,0.0596,0.0
2022-11-20 19:00:00,FET/USD,Buy,1021948.62769909,1021948.62769909,0.0589,0.0596,0.0
2022-11-21 00:00:00,FET/USD,Sell,1021948.62769909,1011660.5542658777,0.059,0.0596,-0.010067114093959769
2022-11-21 02:00:00,FET/USD,Buy,1011660.5542658777,1011660.5542658777,0.0583,0.0583,0.0
2022-11-21 03:00:00,FET/USD,Buy,1011660.5542658777,1011660.5542658777,0.0584,0.0583,0.0
2022-11-21 05:00:00,FET/USD,Buy,1011660.5542658777,1011660.5542658777,0.0559,0.0583,0.0
2022-11-21 07:00:00,FET/USD,Buy,1011660.5542658777,1011660.5542658777,0.0558,0.0583,0.0
2022-11-21 10:00:00,FET/USD,Buy,1011660.5542658777,1011660.5542658777,0.0553,0.0583,0.0
2022-11-21 13:00:00,FET/USD,Sell,1011660.5542658777,970014.1506597352,0.0559,0.0583,-0.04116638078902232
2022-11-21 15:00:00,FET/USD,Sell,970014.1506597352,970014.1506597352,0.056,0.0583,0.0
2022-11-21 16:00:00,FET/USD,Buy,970014.1506597352,970014.1506597352,0.0557,0.0557,0.0
2022-11-21 17:00:00,FET/USD,Buy,970014.1506597352,970014.1506597352,0.0554,0.0557,0.0
2022-11-21 19:00:00,FET/USD,Buy,970014.1506597352,970014.1506597352,0.0552,0.0557,0.0
2022-11-21 20:00:00,FET/USD,Buy,970014.1506597352,970014.1506597352,0.0553,0.0557,0.0
2022-11-21 22:00:00,FET/USD,Buy,970014.1506597352,970014.1506597352,0.0551,0.0557,0.0
2022-11-21 23:00:00,FET/USD,Buy,970014.1506597352,970014.1506597352,0.055,0.0557,0.0
2022-11-22 00:00:00,FET/USD,Sell,970014.1506597352,963048.160349791,0.0553,0.0557,-0.007181328545780872
2022-11-22 03:00:00,FET/USD,Buy,963048.160349791,963048.160349791,0.0546,0.0546,0.0
2022-11-22 05:00:00,FET/USD,Sell,963048.160349791,970103.4582278115,0.055,0.0546,0.007326007326007322
2022-11-22 08:00:00,FET/USD,Buy,970103.4582278115,970103.4582278115,0.0533,0.0533,0.0
2022-11-22 09:00:00,FET/USD,Buy,970103.4582278115,970103.4582278115,0.0532,0.0533,0.0
2022-11-22 12:00:00,FET/USD,Sell,970103.4582278115,971923.5397629482,0.0534,0.0533,0.0018761726078799965
2022-11-22 14:00:00,FET/USD,Sell,971923.5397629482,971923.5397629482,0.0546,0.0533,0.0
2022-11-22 15:00:00,FET/USD,Sell,971923.5397629482,971923.5397629482,0.0554,0.0533,0.0
2022-11-22 17:00:00,FET/USD,Sell,971923.5397629482,971923.5397629482,0.055,0.0533,0.0
2022-11-22 18:00:00,FET/USD,Sell,971923.5397629482,971923.5397629482,0.0551,0.0533,0.0
2022-11-22 21:00:00,FET/USD,Sell,971923.5397629482,971923.5397629482,0.0558,0.0533,0.0
2022-11-22 22:00:00,FET/USD,Sell,971923.5397629482,971923.5397629482,0.0562,0.0533,0.0
2022-11-23 01:00:00,FET/USD,Sell,971923.5397629482,971923.5397629482,0.057,0.0533,0.0
2022-11-23 02:00:00,FET/USD,Sell,971923.5397629482,971923.5397629482,0.0572,0.0533,0.0
2022-11-23 03:00:00,FET/USD,Sell,971923.5397629482,971923.5397629482,0.0581,0.0533,0.0
2022-11-23 04:00:00,FET/USD,Sell,971923.5397629482,971923.5397629482,0.058,0.0533,0.0
2022-11-23 06:00:00,FET/USD,Buy,971923.5397629482,971923.5397629482,0.0578,0.0578,0.0
2022-11-23 08:00:00,FET/USD,Sell,971923.5397629482,980331.1828404823,0.0583,0.0578,0.008650519031141873
2022-11-23 09:00:00,FET/USD,Buy,980331.1828404823,980331.1828404823,0.0579,0.0579,0.0
2022-11-23 11:00:00,FET/USD,Sell,980331.1828404823,990490.0552015237,0.0585,0.0579,0.010362694300518241
2022-11-23 12:00:00,FET/USD,Sell,990490.0552015237,990490.0552015237,0.0583,0.0579,0.0
2022-11-23 13:00:00,FET/USD,Sell,990490.0552015237,990490.0552015237,0.0672,0.0579,0.0
2022-11-23 14:00:00,FET/USD,Sell,990490.0552015237,990490.0552015237,0.0697,0.0579,0.0
2022-11-23 15:00:00,FET/USD,Sell,990490.0552015237,990490.0552015237,0.0663,0.0579,0.0
2022-11-23 16:00:00,FET/USD,Sell,990490.0552015237,990490.0552015237,0.0676,0.0579,0.0
2022-11-23 17:00:00,FET/USD,Sell,990490.0552015237,990490.0552015237,0.0671,0.0579,0.0
2022-11-23 18:00:00,FET/USD,Sell,990490.0552015237,990490.0552015237,0.0665,0.0579,0.0
2022-11-23 19:00:00,FET/USD,Buy,990490.0552015237,990490.0552015237,0.0656,0.0656,0.0
2022-11-23 20:00:00,FET/USD,Sell,990490.0552015237,999549.4154625131,0.0662,0.0656,0.009146341463414488
2022-11-23 21:00:00,FET/USD,Buy,999549.4154625131,999549.4154625131,0.0633,0.0633,0.0
2022-11-23 22:00:00,FET/USD,Buy,999549.4154625131,999549.4154625131,0.0628,0.0633,0.0
2022-11-23 23:00:00,FET/USD,Buy,999549.4154625131,999549.4154625131,0.0635,0.0633,0.0
2022-11-24 00:00:00,FET/USD,Buy,999549.4154625131,999549.4154625131,0.0632,0.0633,0.0
2022-11-24 01:00:00,FET/USD,Buy,999549.4154625131,999549.4154625131,0.0625,0.0633,0.0
2022-11-24 02:00:00,FET/USD,Buy,999549.4154625131,999549.4154625131,0.0617,0.0633,0.0
2022-11-24 03:00:00,FET/USD,Buy,999549.4154625131,999549.4154625131,0.0608,0.0633,0.0
2022-11-24 04:00:00,FET/USD,Buy,999549.4154625131,999549.4154625131,0.0612,0.0633,0.0
2022-11-24 08:00:00,FET/USD,Buy,999549.4154625131,999549.4154625131,0.0623,0.0633,0.0
2022-11-24 09:00:00,FET/USD,Sell,999549.4154625131,1013761.0185259611,0.0642,0.0633,0.014218009478672916
2022-11-24 11:00:00,FET/USD,Sell,1013761.0185259611,1013761.0185259611,0.0634,0.0633,0.0
2022-11-24 12:00:00,FET/USD,Sell,1013761.0185259611,1013761.0185259611,0.0672,0.0633,0.0
2022-11-24 13:00:00,FET/USD,Sell,1013761.0185259611,1013761.0185259611,0.065,0.0633,0.0
2022-11-24 14:00:00,FET/USD,Buy,1013761.0185259611,1013761.0185259611,0.0641,0.0641,0.0
2022-11-24 15:00:00,FET/USD,Buy,1013761.0185259611,1013761.0185259611,0.064,0.0641,0.0
2022-11-24 16:00:00,FET/USD,Buy,1013761.0185259611,1013761.0185259611,0.0635,0.0641,0.0
2022-11-24 17:00:00,FET/USD,Buy,1013761.0185259611,1013761.0185259611,0.0634,0.0641,0.0
2022-11-24 19:00:00,FET/USD,Buy,1013761.0185259611,1013761.0185259611,0.0633,0.0641,0.0
2022-11-24 21:00:00,FET/USD,Buy,1013761.0185259611,1013761.0185259611,0.0627,0.0641,0.0
2022-11-24 22:00:00,FET/USD,Buy,1013761.0185259611,1013761.0185259611,0.0624,0.0641,0.0
2022-11-24 23:00:00,FET/USD,Buy,1013761.0185259611,1013761.0185259611,0.0628,0.0641,0.0
