Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,FLUX/USD,Sell,1000000.0,1000000.0,0.444,0.444,0.0
2022-11-17 02:00:00,FLUX/USD,Sell,1000000.0,1000000.0,0.447,0.444,0.0
2022-11-17 03:00:00,FLUX/USD,Sell,1000000.0,1000000.0,0.445,0.444,0.0
2022-11-17 05:00:00,FLUX/USD,Buy,1000000.0,1000000.0,0.44,0.44,0.0
2022-11-17 08:00:00,FLUX/USD,Buy,1000000.0,1000000.0,0.443,0.44,0.0
2022-11-17 09:00:00,FLUX/USD,Sell,1000000.0,1029545.4545454546,0.453,0.44,0.029545454545454587
2022-11-17 11:00:00,FLUX/USD,Sell,1029545.4545454546,1029545.4545454546,0.463,0.44,0.0
2022-11-17 12:00:00,FLUX/USD,Buy,1029545.4545454546,1029545.4545454546,0.458,0.458,0.0
2022-11-17 13:00:00,FLUX/USD,Buy,1029545.4545454546,1029545.4545454546,0.449,0.458,0.0
2022-11-17 14:00:00,FLUX/USD,Buy,1029545.4545454546,1029545.4545454546,0.447,0.458,0.0
2022-11-17 15:00:00,FLUX/USD,Buy,1029545.4545454546,1029545.4545454546,0.454,0.458,0.0
2022-11-17 16:00:00,FLUX/USD,Sell,1029545.4545454546,1040785.0337435491,0.463,0.458,0.010917030567685655
2022-11-17 17:00:00,FLUX/USD,Sell,1040785.0337435491,1040785.0337435491,0.46,0.458,0.0
2022-11-17 19:00:00,FLUX/USD,Sell,1040785.0337435491,1040785.0337435491,0.459,0.458,0.0
2022-11-17 21:00:00,FLUX/USD,Buy,1040785.0337435491,1040785.0337435491,0.457,0.457,0.0
2022-11-17 22:00:00,FLUX/USD,Buy,1040785.0337435491,1040785.0337435491,0.455,0.457,0.0
2022-11-17 23:00:00,FLUX/USD,Buy,1040785.0337435491,1040785.0337435491,0.454,0.457,0.0
2022-11-18 01:00:00,FLUX/USD,Sell,1040785.0337435491,1052172.1785328658,0.462,0.457,0.010940919037199088
2022-11-18 02:00:00,FLUX/USD,Sell,1052172.1785328658,1052172.1785328658,0.469,0.457,0.0
2022-11-18 04:00:00,FLUX/USD,Sell,1052172.1785328658,1052172.1785328658,0.465,0.457,0.0
2022-11-18 05:00:00,FLUX/USD,Sell,1052172.1785328658,1052172.1785328658,0.473,0.457,0.0
2022-11-18 06:00:00,FLUX/USD,Sell,1052172.1785328658,1052172.1785328658,0.48,0.457,0.0
2022-11-18 07:00:00,FLUX/USD,Sell,1052172.1785328658,1052172.1785328658,0.473,0.457,0.0
2022-11-18 08:00:00,FLUX/USD,Sell,1052172.1785328658,1052172.1785328658,0.475,0.457,0.0
2022-11-18 09:00:00,FLUX/USD,Sell,1052172.1785328658,1052172.1785328658,0.476,0.457,0.0
