Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,FTM/USD,Sell,1000000.0,1000000.0,0.1824,0.1824,0.0
2022-11-17 01:00:00,FTM/USD,Sell,1000000.0,1000000.0,0.1828,0.1824,0.0
2022-11-17 02:00:00,FTM/USD,Buy,1000000.0,1000000.0,0.1816,0.1816,0.0
2022-11-17 03:00:00,FTM/USD,Buy,1000000.0,1000000.0,0.18,0.1816,0.0
2022-11-17 04:00:00,FTM/USD,Buy,1000000.0,1000000.0,0.1802,0.1816,0.0
2022-11-17 05:00:00,FTM/USD,Sell,1000000.0,997797.3568281938,0.1812,0.1816,-0.002202643171806238
2022-11-17 06:00:00,FTM/USD,Sell,997797.3568281938,997797.3568281938,0.181,0.1816,0.0
2022-11-17 07:00:00,FTM/USD,Sell,997797.3568281938,997797.3568281938,0.1812,0.1816,0.0
2022-11-17 08:00:00,FTM/USD,Sell,997797.3568281938,997797.3568281938,0.1815,0.1816,0.0
2022-11-17 10:00:00,FTM/USD,Buy,997797.3568281938,997797.3568281938,0.1796,0.1796,0.0
2022-11-17 11:00:00,FTM/USD,Buy,997797.3568281938,997797.3568281938,0.1803,0.1796,0.0
2022-11-17 12:00:00,FTM/USD,Buy,997797.3568281938,997797.3568281938,0.1794,0.1796,0.0
2022-11-17 13:00:00,FTM/USD,Buy,997797.3568281938,997797.3568281938,0.1769,0.1796,0.0
2022-11-17 14:00:00,FTM/USD,Buy,997797.3568281938,997797.3568281938,0.1768,0.1796,0.0
2022-11-17 15:00:00,FTM/USD,Buy,997797.3568281938,997797.3568281938,0.1769,0.1796,0.0
2022-11-17 16:00:00,FTM/USD,Sell,997797.3568281938,996686.2239141312,0.1794,0.1796,-0.0011135857461024629
2022-11-17 17:00:00,FTM/USD,Sell,996686.2239141312,996686.2239141312,0.1802,0.1796,0.0
2022-11-17 18:00:00,FTM/USD,Sell,996686.2239141312,996686.2239141312,0.18,0.1796,0.0
2022-11-17 19:00:00,FTM/USD,Buy,996686.2239141312,996686.2239141312,0.179,0.179,0.0
2022-11-17 20:00:00,FTM/USD,Buy,996686.2239141312,996686.2239141312,0.1788,0.179,0.0
2022-11-17 21:00:00,FTM/USD,Sell,996686.2239141312,1000027.0715920557,0.1796,0.179,0.003351955307262662
2022-11-17 22:00:00,FTM/USD,Buy,1000027.0715920557,1000027.0715920557,0.1788,0.1788,0.0
2022-11-17 23:00:00,FTM/USD,Buy,1000027.0715920557,1000027.0715920557,0.1779,0.1788,0.0
2022-11-18 00:00:00,FTM/USD,Sell,1000027.0715920557,1007297.9619336089,0.1801,0.1788,0.0072706935123044115
2022-11-18 01:00:00,FTM/USD,Sell,1007297.9619336089,1007297.9619336089,0.1804,0.1788,0.0
2022-11-18 02:00:00,FTM/USD,Sell,1007297.9619336089,1007297.9619336089,0.1819,0.1788,0.0
2022-11-18 03:00:00,FTM/USD,Sell,1007297.9619336089,1007297.9619336089,0.1812,0.1788,0.0
2022-11-18 04:00:00,FTM/USD,Sell,1007297.9619336089,1007297.9619336089,0.1808,0.1788,0.0
2022-11-18 06:00:00,FTM/USD,Sell,1007297.9619336089,1007297.9619336089,0.1812,0.1788,0.0
2022-11-18 07:00:00,FTM/USD,Buy,1007297.9619336089,1007297.9619336089,0.1795,0.1795,0.0
2022-11-18 08:00:00,FTM/USD,Buy,1007297.9619336089,1007297.9619336089,0.179,0.1795,0.0
2022-11-18 09:00:00,FTM/USD,Buy,1007297.9619336089,1007297.9619336089,0.1796,0.1795,0.0
2022-11-18 10:00:00,FTM/USD,Buy,1007297.9619336089,1007297.9619336089,0.179,0.1795,0.0
2022-11-18 11:00:00,FTM/USD,Buy,1007297.9619336089,1007297.9619336089,0.1793,0.1795,0.0
2022-11-18 12:00:00,FTM/USD,Sell,1007297.9619336089,1016837.8312109746,0.1812,0.1795,0.009470752089136574
2022-11-18 13:00:00,FTM/USD,Sell,1016837.8312109746,1016837.8312109746,0.1804,0.1795,0.0
2022-11-18 15:00:00,FTM/USD,Buy,1016837.8312109746,1016837.8312109746,0.1794,0.1794,0.0
2022-11-18 16:00:00,FTM/USD,Buy,1016837.8312109746,1016837.8312109746,0.1786,0.1794,0.0
2022-11-18 17:00:00,FTM/USD,Buy,1016837.8312109746,1016837.8312109746,0.1774,0.1794,0.0
2022-11-18 18:00:00,FTM/USD,Buy,1016837.8312109746,1016837.8312109746,0.177,0.1794,0.0
2022-11-18 19:00:00,FTM/USD,Buy,1016837.8312109746,1016837.8312109746,0.178,0.1794,0.0
2022-11-18 21:00:00,FTM/USD,Sell,1016837.8312109746,1016271.0319739562,0.1793,0.1794,-0.0005574136008919311
2022-11-18 22:00:00,FTM/USD,Sell,1016271.0319739562,1016271.0319739562,0.1791,0.1794,0.0
2022-11-18 23:00:00,FTM/USD,Sell,1016271.0319739562,1016271.0319739562,0.181,0.1794,0.0
2022-11-19 00:00:00,FTM/USD,Sell,1016271.0319739562,1016271.0319739562,0.1796,0.1794,0.0
2022-11-19 01:00:00,FTM/USD,Sell,1016271.0319739562,1016271.0319739562,0.1797,0.1794,0.0
2022-11-19 02:00:00,FTM/USD,Sell,1016271.0319739562,1016271.0319739562,0.1795,0.1794,0.0
2022-11-19 04:00:00,FTM/USD,Buy,1016271.0319739562,1016271.0319739562,0.1798,0.1798,0.0
2022-11-19 05:00:00,FTM/USD,Buy,1016271.0319739562,1016271.0319739562,0.1782,0.1798,0.0
2022-11-19 07:00:00,FTM/USD,Buy,1016271.0319739562,1016271.0319739562,0.1785,0.1798,0.0
2022-11-19 08:00:00,FTM/USD,Sell,1016271.0319739562,1013444.9167571209,0.1793,0.1798,-0.002780867630700813
2022-11-19 09:00:00,FTM/USD,Buy,1013444.9167571209,1013444.9167571209,0.1785,0.1785,0.0
