Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,GLM/USD,Sell,1000000.0,1000000.0,0.2097,0.2097,0.0
2022-11-17 03:00:00,GLM/USD,Buy,1000000.0,1000000.0,0.2062,0.2062,0.0
2022-11-17 04:00:00,GLM/USD,Buy,1000000.0,1000000.0,0.2026,0.2062,0.0
2022-11-17 12:00:00,GLM/USD,Sell,1000000.0,984966.0523763337,0.2031,0.2062,-0.01503394762366626
2022-11-17 15:00:00,GLM/USD,Buy,984966.0523763337,984966.0523763337,0.1978,0.1978,0.0
2022-11-18 05:00:00,GLM/USD,Sell,984966.0523763337,997415.0671940326,0.2003,0.1978,0.012639029322548028
2022-11-18 06:00:00,GLM/USD,Sell,997415.0671940326,997415.0671940326,0.2059,0.1978,0.0
2022-11-18 07:00:00,GLM/USD,Sell,997415.0671940326,997415.0671940326,0.2143,0.1978,0.0
2022-11-18 12:00:00,GLM/USD,Sell,997415.0671940326,997415.0671940326,0.2104,0.1978,0.0
2022-11-18 13:00:00,GLM/USD,Sell,997415.0671940326,997415.0671940326,0.2134,0.1978,0.0
2022-11-18 14:00:00,GLM/USD,Sell,997415.0671940326,997415.0671940326,0.2106,0.1978,0.0
2022-11-18 17:00:00,GLM/USD,Buy,997415.0671940326,997415.0671940326,0.207,0.207,0.0
2022-11-18 18:00:00,GLM/USD,Buy,997415.0671940326,997415.0671940326,0.2069,0.207,0.0
2022-11-18 19:00:00,GLM/USD,Buy,997415.0671940326,997415.0671940326,0.2062,0.207,0.0
2022-11-18 22:00:00,GLM/USD,Sell,997415.0671940326,1005124.5556361121,0.2086,0.207,0.007729468599033851
2022-11-19 00:00:00,GLM/USD,Sell,1005124.5556361121,1005124.5556361121,0.2094,0.207,0.0
2022-11-19 02:00:00,GLM/USD,Buy,1005124.5556361121,1005124.5556361121,0.209,0.209,0.0
2022-11-19 03:00:00,GLM/USD,Sell,1005124.5556361121,1008491.0015162331,0.2097,0.209,0.0033492822966507373
2022-11-19 04:00:00,GLM/USD,Buy,1008491.0015162331,1008491.0015162331,0.2081,0.2081,0.0
2022-11-19 07:00:00,GLM/USD,Buy,1008491.0015162331,1008491.0015162331,0.2064,0.2081,0.0
2022-11-19 09:00:00,GLM/USD,Sell,1008491.0015162331,1023998.792024892,0.2113,0.2081,0.015377222489187827
2022-11-19 12:00:00,GLM/USD,Buy,1023998.792024892,1023998.792024892,0.2109,0.2109,0.0
2022-11-19 13:00:00,GLM/USD,Buy,1023998.792024892,1023998.792024892,0.2107,0.2109,0.0
