Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,HNT/USD,Sell,1000000.0,1000000.0,2.4173,2.4173,0.0
2022-11-17 01:00:00,HNT/USD,Sell,1000000.0,1000000.0,2.4081,2.4173,0.0
2022-11-17 02:00:00,HNT/USD,Sell,1000000.0,1000000.0,2.4312,2.4173,0.0
2022-11-17 03:00:00,HNT/USD,Buy,1000000.0,1000000.0,2.3832,2.3832,0.0
2022-11-17 04:00:00,HNT/USD,Buy,1000000.0,1000000.0,2.3924,2.3832,0.0
2022-11-17 05:00:00,HNT/USD,Sell,1000000.0,1014476.3343403827,2.4177,2.3832,0.014476334340382717
2022-11-17 06:00:00,HNT/USD,Sell,1014476.3343403827,1014476.3343403827,2.4284,2.3832,0.0
2022-11-17 07:00:00,HNT/USD,Sell,1014476.3343403827,1014476.3343403827,2.4273,2.3832,0.0
2022-11-17 08:00:00,HNT/USD,Sell,1014476.3343403827,1014476.3343403827,2.4372,2.3832,0.0
2022-11-17 09:00:00,HNT/USD,Buy,1014476.3343403827,1014476.3343403827,2.3793,2.3793,0.0
2022-11-17 10:00:00,HNT/USD,Buy,1014476.3343403827,1014476.3343403827,2.4172,2.3793,0.0
2022-11-17 11:00:00,HNT/USD,Buy,1014476.3343403827,1014476.3343403827,2.4282,2.3793,0.0
2022-11-17 12:00:00,HNT/USD,Sell,1014476.3343403827,1066494.2021122174,2.5013,2.3793,0.051275585256167634
2022-11-17 13:00:00,HNT/USD,Sell,1066494.2021122174,1066494.2021122174,2.4882,2.3793,0.0
2022-11-17 14:00:00,HNT/USD,Buy,1066494.2021122174,1066494.2021122174,2.4666,2.4666,0.0
2022-11-17 15:00:00,HNT/USD,Buy,1066494.2021122174,1066494.2021122174,2.4791,2.4666,0.0
2022-11-17 16:00:00,HNT/USD,Sell,1066494.2021122174,1067272.4756725035,2.4684,2.4666,0.0007297494526877355
2022-11-17 17:00:00,HNT/USD,Sell,1067272.4756725035,1067272.4756725035,2.4913,2.4666,0.0
2022-11-17 18:00:00,HNT/USD,Buy,1067272.4756725035,1067272.4756725035,2.4608,2.4608,0.0
2022-11-17 19:00:00,HNT/USD,Buy,1067272.4756725035,1067272.4756725035,2.4533,2.4608,0.0
2022-11-17 20:00:00,HNT/USD,Buy,1067272.4756725035,1067272.4756725035,2.4503,2.4608,0.0
2022-11-17 21:00:00,HNT/USD,Sell,1067272.4756725035,1063976.2830460768,2.4532,2.4608,-0.0030884265279583056
2022-11-17 22:00:00,HNT/USD,Sell,1063976.2830460768,1063976.2830460768,2.4683,2.4608,0.0
2022-11-17 23:00:00,HNT/USD,Buy,1063976.2830460768,1063976.2830460768,2.4159,2.4159,0.0
2022-11-18 00:00:00,HNT/USD,Sell,1063976.2830460768,1078201.389193843,2.4482,2.4159,0.013369758682064605
2022-11-18 01:00:00,HNT/USD,Sell,1078201.389193843,1078201.389193843,2.4487,2.4159,0.0
2022-11-18 02:00:00,HNT/USD,Sell,1078201.389193843,1078201.389193843,2.4671,2.4159,0.0
2022-11-18 03:00:00,HNT/USD,Sell,1078201.389193843,1078201.389193843,2.4964,2.4159,0.0
2022-11-18 04:00:00,HNT/USD,Sell,1078201.389193843,1078201.389193843,2.4795,2.4159,0.0
2022-11-18 05:00:00,HNT/USD,Buy,1078201.389193843,1078201.389193843,2.459,2.459,0.0
2022-11-18 06:00:00,HNT/USD,Sell,1078201.389193843,1081796.855396116,2.4672,2.459,0.00333468889792594
2022-11-18 07:00:00,HNT/USD,Sell,1081796.855396116,1081796.855396116,2.487,2.459,0.0
2022-11-18 08:00:00,HNT/USD,Buy,1081796.855396116,1081796.855396116,2.4666,2.4666,0.0
2022-11-18 09:00:00,HNT/USD,Buy,1081796.855396116,1081796.855396116,2.4675,2.4666,0.0
2022-11-18 10:00:00,HNT/USD,Buy,1081796.855396116,1081796.855396116,2.4682,2.4666,0.0
2022-11-18 11:00:00,HNT/USD,Sell,1081796.855396116,1084384.466458646,2.4725,2.4666,0.00239195653936589
2022-11-18 12:00:00,HNT/USD,Sell,1084384.466458646,1084384.466458646,2.4718,2.4666,0.0
2022-11-18 13:00:00,HNT/USD,Buy,1084384.466458646,1084384.466458646,2.4513,2.4513,0.0
2022-11-18 14:00:00,HNT/USD,Buy,1084384.466458646,1084384.466458646,2.4381,2.4513,0.0
2022-11-18 15:00:00,HNT/USD,Buy,1084384.466458646,1084384.466458646,2.4403,2.4513,0.0
2022-11-18 16:00:00,HNT/USD,Sell,1084384.466458646,1079385.6721572622,2.44,2.4513,-0.004609798882225623
2022-11-18 17:00:00,HNT/USD,Buy,1079385.6721572622,1079385.6721572622,2.4363,2.4363,0.0
2022-11-18 18:00:00,HNT/USD,Buy,1079385.6721572622,1079385.6721572622,2.4366,2.4363,0.0
2022-11-18 19:00:00,HNT/USD,Sell,1079385.6721572622,1081024.9312743584,2.44,2.4363,0.0015186963838606181
2022-11-18 20:00:00,HNT/USD,Sell,1081024.9312743584,1081024.9312743584,2.4394,2.4363,0.0
2022-11-18 21:00:00,HNT/USD,Sell,1081024.9312743584,1081024.9312743584,2.4417,2.4363,0.0
2022-11-18 22:00:00,HNT/USD,Buy,1081024.9312743584,1081024.9312743584,2.4418,2.4418,0.0
2022-11-18 23:00:00,HNT/USD,Sell,1081024.9312743584,1093509.5340517918,2.47,2.4418,0.011548857400278424
2022-11-19 00:00:00,HNT/USD,Sell,1093509.5340517918,1093509.5340517918,2.4581,2.4418,0.0
