Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,ILV/USD,Sell,1000000.0,1000000.0,43.9,43.9,0.0
2022-11-17 02:00:00,ILV/USD,Sell,1000000.0,1000000.0,44.2,43.9,0.0
2022-11-17 03:00:00,ILV/USD,Buy,1000000.0,1000000.0,43.8,43.8,0.0
2022-11-17 04:00:00,ILV/USD,Buy,1000000.0,1000000.0,43.1,43.8,0.0
2022-11-17 07:00:00,ILV/USD,Sell,1000000.0,1004566.2100456621,44.0,43.8,0.004566210045662126
2022-11-17 08:00:00,ILV/USD,Buy,1004566.2100456621,1004566.2100456621,43.6,43.6,0.0
2022-11-17 10:00:00,ILV/USD,Buy,1004566.2100456621,1004566.2100456621,43.1,43.6,0.0
2022-11-17 12:00:00,ILV/USD,Sell,1004566.2100456621,997654.0572242469,43.3,43.6,-0.006880733944954242
2022-11-17 13:00:00,ILV/USD,Buy,997654.0572242469,997654.0572242469,43.0,43.0,0.0
2022-11-17 14:00:00,ILV/USD,Buy,997654.0572242469,997654.0572242469,43.1,43.0,0.0
2022-11-17 17:00:00,ILV/USD,Sell,997654.0572242469,1011574.8115110969,43.6,43.0,0.013953488372093054
2022-11-17 19:00:00,ILV/USD,Sell,1011574.8115110969,1011574.8115110969,43.9,43.0,0.0
2022-11-17 20:00:00,ILV/USD,Sell,1011574.8115110969,1011574.8115110969,43.8,43.0,0.0
2022-11-17 22:00:00,ILV/USD,Sell,1011574.8115110969,1011574.8115110969,44.0,43.0,0.0
2022-11-17 23:00:00,ILV/USD,Buy,1011574.8115110969,1011574.8115110969,43.7,43.7,0.0
2022-11-18 06:00:00,ILV/USD,Sell,1011574.8115110969,1020834.0775203517,44.1,43.7,0.009153318077803159
2022-11-18 10:00:00,ILV/USD,Sell,1020834.0775203517,1020834.0775203517,43.9,43.7,0.0
2022-11-18 12:00:00,ILV/USD,Sell,1020834.0775203517,1020834.0775203517,44.1,43.7,0.0
2022-11-18 13:00:00,ILV/USD,Sell,1020834.0775203517,1020834.0775203517,44.2,43.7,0.0
2022-11-18 14:00:00,ILV/USD,Buy,1020834.0775203517,1020834.0775203517,43.9,43.9,0.0
2022-11-18 15:00:00,ILV/USD,Buy,1020834.0775203517,1020834.0775203517,43.6,43.9,0.0
2022-11-18 18:00:00,ILV/USD,Buy,1020834.0775203517,1020834.0775203517,43.2,43.9,0.0
2022-11-18 20:00:00,ILV/USD,Buy,1020834.0775203517,1020834.0775203517,43.1,43.9,0.0
2022-11-18 21:00:00,ILV/USD,Sell,1020834.0775203517,1009207.2657034913,43.4,43.9,-0.011389521640091075
2022-11-18 22:00:00,ILV/USD,Sell,1009207.2657034913,1009207.2657034913,43.2,43.9,0.0
2022-11-18 23:00:00,ILV/USD,Sell,1009207.2657034913,1009207.2657034913,43.6,43.9,0.0
2022-11-19 02:00:00,ILV/USD,Buy,1009207.2657034913,1009207.2657034913,43.4,43.4,0.0
2022-11-19 05:00:00,ILV/USD,Buy,1009207.2657034913,1009207.2657034913,43.3,43.4,0.0
2022-11-19 06:00:00,ILV/USD,Buy,1009207.2657034913,1009207.2657034913,43.2,43.4,0.0
2022-11-19 07:00:00,ILV/USD,Buy,1009207.2657034913,1009207.2657034913,42.9,43.4,0.0
2022-11-19 14:00:00,ILV/USD,Sell,1009207.2657034913,1006881.9033401192,43.3,43.4,-0.0023041474654378028
2022-11-19 17:00:00,ILV/USD,Buy,1006881.9033401192,1006881.9033401192,43.1,43.1,0.0
2022-11-19 19:00:00,ILV/USD,Buy,1006881.9033401192,1006881.9033401192,42.9,43.1,0.0
2022-11-19 20:00:00,ILV/USD,Sell,1006881.9033401192,1011554.2091560825,43.3,43.1,0.004640371229698254
2022-11-19 21:00:00,ILV/USD,Sell,1011554.2091560825,1011554.2091560825,42.9,43.1,0.0
2022-11-19 22:00:00,ILV/USD,Sell,1011554.2091560825,1011554.2091560825,43.4,43.1,0.0
2022-11-20 02:00:00,ILV/USD,Buy,1011554.2091560825,1011554.2091560825,43.8,43.8,0.0
