Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 02:00:00,KAVA/USD,Buy,1000000.0,1000000.0,0.912,0.912,0.0
2022-11-17 03:00:00,KAVA/USD,Buy,1000000.0,1000000.0,0.902,0.912,0.0
2022-11-17 04:00:00,KAVA/USD,Buy,1000000.0,1000000.0,0.89,0.912,0.0
2022-11-17 06:00:00,KAVA/USD,Buy,1000000.0,1000000.0,0.896,0.912,0.0
2022-11-17 13:00:00,KAVA/USD,Sell,1000000.0,984649.1228070175,0.898,0.912,-0.015350877192982473
2022-11-17 14:00:00,KAVA/USD,Buy,984649.1228070175,984649.1228070175,0.896,0.896,0.0
2022-11-17 16:00:00,KAVA/USD,Sell,984649.1228070175,987945.939066416,0.899,0.896,0.0033482142857142634
2022-11-17 17:00:00,KAVA/USD,Sell,987945.939066416,987945.939066416,0.901,0.896,0.0
2022-11-17 18:00:00,KAVA/USD,Buy,987945.939066416,987945.939066416,0.896,0.896,0.0
2022-11-17 19:00:00,KAVA/USD,Sell,987945.939066416,997869.5031865027,0.905,0.896,0.010044642857142813
2022-11-17 20:00:00,KAVA/USD,Sell,997869.5031865027,997869.5031865027,0.924,0.896,0.0
2022-11-17 21:00:00,KAVA/USD,Sell,997869.5031865027,997869.5031865027,0.938,0.896,0.0
2022-11-17 22:00:00,KAVA/USD,Sell,997869.5031865027,997869.5031865027,0.953,0.896,0.0
2022-11-18 02:00:00,KAVA/USD,Buy,997869.5031865027,997869.5031865027,0.958,0.958,0.0
2022-11-18 05:00:00,KAVA/USD,Buy,997869.5031865027,997869.5031865027,0.951,0.958,0.0
2022-11-18 07:00:00,KAVA/USD,Buy,997869.5031865027,997869.5031865027,0.927,0.958,0.0
2022-11-18 10:00:00,KAVA/USD,Sell,997869.5031865027,966620.9801222073,0.928,0.958,-0.03131524008350722
2022-11-18 11:00:00,KAVA/USD,Sell,966620.9801222073,966620.9801222073,0.941,0.958,0.0
2022-11-18 12:00:00,KAVA/USD,Sell,966620.9801222073,966620.9801222073,0.947,0.958,0.0
2022-11-18 15:00:00,KAVA/USD,Buy,966620.9801222073,966620.9801222073,0.946,0.946,0.0
2022-11-18 16:00:00,KAVA/USD,Buy,966620.9801222073,966620.9801222073,0.928,0.946,0.0
2022-11-18 18:00:00,KAVA/USD,Buy,966620.9801222073,966620.9801222073,0.927,0.946,0.0
2022-11-18 19:00:00,KAVA/USD,Buy,966620.9801222073,966620.9801222073,0.91,0.946,0.0
2022-11-18 22:00:00,KAVA/USD,Buy,966620.9801222073,966620.9801222073,0.901,0.946,0.0
2022-11-19 00:00:00,KAVA/USD,Sell,966620.9801222073,932901.6436063164,0.913,0.946,-0.0348837209302325
2022-11-19 01:00:00,KAVA/USD,Buy,932901.6436063164,932901.6436063164,0.903,0.903,0.0
2022-11-19 06:00:00,KAVA/USD,Sell,932901.6436063164,937034.0982845282,0.907,0.903,0.004429678848283516
2022-11-19 14:00:00,KAVA/USD,Sell,937034.0982845282,937034.0982845282,0.898,0.903,0.0
2022-11-19 15:00:00,KAVA/USD,Buy,937034.0982845282,937034.0982845282,0.889,0.889,0.0
2022-11-19 19:00:00,KAVA/USD,Sell,937034.0982845282,949682.4775639594,0.901,0.889,0.013498312710911122
2022-11-20 01:00:00,KAVA/USD,Sell,949682.4775639594,949682.4775639594,0.899,0.889,0.0
2022-11-20 04:00:00,KAVA/USD,Buy,949682.4775639594,949682.4775639594,0.881,0.881,0.0
2022-11-20 08:00:00,KAVA/USD,Buy,949682.4775639594,949682.4775639594,0.884,0.881,0.0
2022-11-20 10:00:00,KAVA/USD,Buy,949682.4775639594,949682.4775639594,0.878,0.881,0.0
2022-11-20 11:00:00,KAVA/USD,Buy,949682.4775639594,949682.4775639594,0.855,0.881,0.0
2022-11-20 12:00:00,KAVA/USD,Buy,949682.4775639594,949682.4775639594,0.851,0.881,0.0
2022-11-20 15:00:00,KAVA/USD,Buy,949682.4775639594,949682.4775639594,0.86,0.881,0.0
2022-11-20 16:00:00,KAVA/USD,Buy,949682.4775639594,949682.4775639594,0.856,0.881,0.0
2022-11-20 17:00:00,KAVA/USD,Sell,949682.4775639594,930279.2033345028,0.863,0.881,-0.02043132803632243
2022-11-20 18:00:00,KAVA/USD,Buy,930279.2033345028,930279.2033345028,0.843,0.843,0.0
2022-11-20 19:00:00,KAVA/USD,Buy,930279.2033345028,930279.2033345028,0.852,0.843,0.0
2022-11-20 20:00:00,KAVA/USD,Buy,930279.2033345028,930279.2033345028,0.846,0.843,0.0
2022-11-20 21:00:00,KAVA/USD,Buy,930279.2033345028,930279.2033345028,0.848,0.843,0.0
2022-11-20 22:00:00,KAVA/USD,Buy,930279.2033345028,930279.2033345028,0.832,0.843,0.0
2022-11-20 23:00:00,KAVA/USD,Buy,930279.2033345028,930279.2033345028,0.829,0.843,0.0
2022-11-21 00:00:00,KAVA/USD,Buy,930279.2033345028,930279.2033345028,0.828,0.843,0.0
2022-11-21 01:00:00,KAVA/USD,Buy,930279.2033345028,930279.2033345028,0.829,0.843,0.0
2022-11-21 02:00:00,KAVA/USD,Buy,930279.2033345028,930279.2033345028,0.819,0.843,0.0
2022-11-21 07:00:00,KAVA/USD,Sell,930279.2033345028,900483.7840106218,0.816,0.843,-0.032028469750889736
2022-11-21 11:00:00,KAVA/USD,Buy,900483.7840106218,900483.7840106218,0.814,0.814,0.0
2022-11-21 13:00:00,KAVA/USD,Sell,900483.7840106218,933671.1470576964,0.844,0.814,0.03685503685503687
2022-11-21 14:00:00,KAVA/USD,Sell,933671.1470576964,933671.1470576964,0.843,0.814,0.0
2022-11-21 15:00:00,KAVA/USD,Sell,933671.1470576964,933671.1470576964,0.86,0.814,0.0
2022-11-21 17:00:00,KAVA/USD,Sell,933671.1470576964,933671.1470576964,0.875,0.814,0.0
2022-11-21 18:00:00,KAVA/USD,Sell,933671.1470576964,933671.1470576964,0.878,0.814,0.0
2022-11-21 19:00:00,KAVA/USD,Buy,933671.1470576964,933671.1470576964,0.874,0.874,0.0
