Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,KDA/USD,Buy,1000000.0,1000000.0,0.874,0.874,0.0
2022-11-17 01:00:00,KDA/USD,Sell,1000000.0,1008009.1533180778,0.881,0.874,0.008009153318077791
2022-11-17 03:00:00,KDA/USD,Buy,1008009.1533180778,1008009.1533180778,0.873,0.873,0.0
2022-11-17 04:00:00,KDA/USD,Buy,1008009.1533180778,1008009.1533180778,0.869,0.873,0.0
2022-11-17 05:00:00,KDA/USD,Sell,1008009.1533180778,1017246.3505993431,0.881,0.873,0.009163802978235932
2022-11-17 06:00:00,KDA/USD,Sell,1017246.3505993431,1017246.3505993431,0.878,0.873,0.0
2022-11-17 07:00:00,KDA/USD,Buy,1017246.3505993431,1017246.3505993431,0.871,0.871,0.0
2022-11-17 09:00:00,KDA/USD,Sell,1017246.3505993431,1026589.6006622532,0.879,0.871,0.009184845005740514
2022-11-17 10:00:00,KDA/USD,Sell,1026589.6006622532,1026589.6006622532,0.904,0.871,0.0
2022-11-17 11:00:00,KDA/USD,Sell,1026589.6006622532,1026589.6006622532,0.903,0.871,0.0
2022-11-17 12:00:00,KDA/USD,Sell,1026589.6006622532,1026589.6006622532,0.894,0.871,0.0
2022-11-17 14:00:00,KDA/USD,Buy,1026589.6006622532,1026589.6006622532,0.882,0.882,0.0
2022-11-17 15:00:00,KDA/USD,Buy,1026589.6006622532,1026589.6006622532,0.89,0.882,0.0
2022-11-17 16:00:00,KDA/USD,Buy,1026589.6006622532,1026589.6006622532,0.886,0.882,0.0
2022-11-17 17:00:00,KDA/USD,Buy,1026589.6006622532,1026589.6006622532,0.888,0.882,0.0
2022-11-17 18:00:00,KDA/USD,Sell,1026589.6006622532,1040556.8061134403,0.894,0.882,0.013605442176870725
2022-11-17 19:00:00,KDA/USD,Sell,1040556.8061134403,1040556.8061134403,0.892,0.882,0.0
2022-11-17 20:00:00,KDA/USD,Sell,1040556.8061134403,1040556.8061134403,0.894,0.882,0.0
2022-11-17 21:00:00,KDA/USD,Sell,1040556.8061134403,1040556.8061134403,0.896,0.882,0.0
2022-11-17 22:00:00,KDA/USD,Sell,1040556.8061134403,1040556.8061134403,0.894,0.882,0.0
2022-11-17 23:00:00,KDA/USD,Sell,1040556.8061134403,1040556.8061134403,0.895,0.882,0.0
2022-11-18 00:00:00,KDA/USD,Sell,1040556.8061134403,1040556.8061134403,0.904,0.882,0.0
2022-11-18 01:00:00,KDA/USD,Sell,1040556.8061134403,1040556.8061134403,0.907,0.882,0.0
2022-11-18 02:00:00,KDA/USD,Sell,1040556.8061134403,1040556.8061134403,0.904,0.882,0.0
2022-11-18 03:00:00,KDA/USD,Buy,1040556.8061134403,1040556.8061134403,0.899,0.899,0.0
2022-11-18 04:00:00,KDA/USD,Buy,1040556.8061134403,1040556.8061134403,0.894,0.899,0.0
2022-11-18 05:00:00,KDA/USD,Buy,1040556.8061134403,1040556.8061134403,0.893,0.899,0.0
2022-11-18 06:00:00,KDA/USD,Buy,1040556.8061134403,1040556.8061134403,0.889,0.899,0.0
2022-11-18 07:00:00,KDA/USD,Buy,1040556.8061134403,1040556.8061134403,0.894,0.899,0.0
2022-11-18 08:00:00,KDA/USD,Buy,1040556.8061134403,1040556.8061134403,0.89,0.899,0.0
2022-11-18 09:00:00,KDA/USD,Buy,1040556.8061134403,1040556.8061134403,0.888,0.899,0.0
2022-11-18 10:00:00,KDA/USD,Buy,1040556.8061134403,1040556.8061134403,0.891,0.899,0.0
2022-11-18 13:00:00,KDA/USD,Buy,1040556.8061134403,1040556.8061134403,0.893,0.899,0.0
2022-11-18 15:00:00,KDA/USD,Sell,1040556.8061134403,1035926.9649293983,0.895,0.899,-0.004449388209121286
2022-11-18 17:00:00,KDA/USD,Buy,1035926.9649293983,1035926.9649293983,0.874,0.874,0.0
2022-11-18 18:00:00,KDA/USD,Buy,1035926.9649293983,1035926.9649293983,0.871,0.874,0.0
2022-11-18 19:00:00,KDA/USD,Buy,1035926.9649293983,1035926.9649293983,0.873,0.874,0.0
2022-11-18 20:00:00,KDA/USD,Sell,1035926.9649293983,1045409.1339447703,0.882,0.874,0.009153318077803193
2022-11-18 21:00:00,KDA/USD,Sell,1045409.1339447703,1045409.1339447703,0.877,0.874,0.0
2022-11-18 22:00:00,KDA/USD,Sell,1045409.1339447703,1045409.1339447703,0.882,0.874,0.0
2022-11-18 23:00:00,KDA/USD,Sell,1045409.1339447703,1045409.1339447703,0.893,0.874,0.0
2022-11-19 00:00:00,KDA/USD,Sell,1045409.1339447703,1045409.1339447703,0.898,0.874,0.0
2022-11-19 01:00:00,KDA/USD,Sell,1045409.1339447703,1045409.1339447703,0.894,0.874,0.0
2022-11-19 02:00:00,KDA/USD,Sell,1045409.1339447703,1045409.1339447703,0.895,0.874,0.0
2022-11-19 03:00:00,KDA/USD,Sell,1045409.1339447703,1045409.1339447703,0.9,0.874,0.0
2022-11-19 04:00:00,KDA/USD,Sell,1045409.1339447703,1045409.1339447703,0.898,0.874,0.0
2022-11-19 05:00:00,KDA/USD,Buy,1045409.1339447703,1045409.1339447703,0.896,0.896,0.0
2022-11-19 06:00:00,KDA/USD,Buy,1045409.1339447703,1045409.1339447703,0.892,0.896,0.0
2022-11-19 07:00:00,KDA/USD,Sell,1045409.1339447703,1041908.8801480803,0.893,0.896,-0.003348214285714236
2022-11-19 08:00:00,KDA/USD,Buy,1041908.8801480803,1041908.8801480803,0.891,0.891,0.0
2022-11-19 10:00:00,KDA/USD,Buy,1041908.8801480803,1041908.8801480803,0.894,0.891,0.0
2022-11-19 12:00:00,KDA/USD,Sell,1041908.8801480803,1050094.4717990754,0.898,0.891,0.007856341189674577
2022-11-19 13:00:00,KDA/USD,Sell,1050094.4717990754,1050094.4717990754,0.896,0.891,0.0
2022-11-19 15:00:00,KDA/USD,Buy,1050094.4717990754,1050094.4717990754,0.89,0.89,0.0
2022-11-19 16:00:00,KDA/USD,Buy,1050094.4717990754,1050094.4717990754,0.888,0.89,0.0
2022-11-19 17:00:00,KDA/USD,Sell,1050094.4717990754,1052454.2346570508,0.892,0.89,0.0022471910112359435
