Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,LDO/USD,Sell,1000000.0,1000000.0,1.229,1.229,0.0
2022-11-17 02:00:00,LDO/USD,Sell,1000000.0,1000000.0,1.223,1.229,0.0
2022-11-17 03:00:00,LDO/USD,Buy,1000000.0,1000000.0,1.226,1.226,0.0
2022-11-17 04:00:00,LDO/USD,Sell,1000000.0,1012234.9102773247,1.241,1.226,0.012234910277324729
2022-11-17 05:00:00,LDO/USD,Sell,1012234.9102773247,1012234.9102773247,1.251,1.226,0.0
2022-11-17 06:00:00,LDO/USD,Sell,1012234.9102773247,1012234.9102773247,1.241,1.226,0.0
2022-11-17 08:00:00,LDO/USD,Sell,1012234.9102773247,1012234.9102773247,1.248,1.226,0.0
2022-11-17 10:00:00,LDO/USD,Buy,1012234.9102773247,1012234.9102773247,1.232,1.232,0.0
2022-11-17 11:00:00,LDO/USD,Buy,1012234.9102773247,1012234.9102773247,1.219,1.232,0.0
2022-11-17 12:00:00,LDO/USD,Buy,1012234.9102773247,1012234.9102773247,1.198,1.232,0.0
2022-11-17 13:00:00,LDO/USD,Buy,1012234.9102773247,1012234.9102773247,1.174,1.232,0.0
2022-11-17 14:00:00,LDO/USD,Buy,1012234.9102773247,1012234.9102773247,1.176,1.232,0.0
2022-11-17 15:00:00,LDO/USD,Sell,1012234.9102773247,986764.7136713207,1.201,1.232,-0.02516233766233758
2022-11-17 16:00:00,LDO/USD,Sell,986764.7136713207,986764.7136713207,1.203,1.232,0.0
2022-11-17 17:00:00,LDO/USD,Sell,986764.7136713207,986764.7136713207,1.223,1.232,0.0
2022-11-17 18:00:00,LDO/USD,Sell,986764.7136713207,986764.7136713207,1.215,1.232,0.0
2022-11-17 19:00:00,LDO/USD,Sell,986764.7136713207,986764.7136713207,1.208,1.232,0.0
2022-11-17 20:00:00,LDO/USD,Sell,986764.7136713207,986764.7136713207,1.219,1.232,0.0
2022-11-17 21:00:00,LDO/USD,Sell,986764.7136713207,986764.7136713207,1.249,1.232,0.0
2022-11-17 22:00:00,LDO/USD,Sell,986764.7136713207,986764.7136713207,1.248,1.232,0.0
2022-11-17 23:00:00,LDO/USD,Sell,986764.7136713207,986764.7136713207,1.236,1.232,0.0
2022-11-18 00:00:00,LDO/USD,Sell,986764.7136713207,986764.7136713207,1.258,1.232,0.0
2022-11-18 01:00:00,LDO/USD,Sell,986764.7136713207,986764.7136713207,1.261,1.232,0.0
2022-11-18 02:00:00,LDO/USD,Buy,986764.7136713207,986764.7136713207,1.249,1.249,0.0
2022-11-18 03:00:00,LDO/USD,Sell,986764.7136713207,1012836.1592687215,1.282,1.249,0.026421136909527607
2022-11-18 04:00:00,LDO/USD,Sell,1012836.1592687215,1012836.1592687215,1.271,1.249,0.0
2022-11-18 05:00:00,LDO/USD,Sell,1012836.1592687215,1012836.1592687215,1.278,1.249,0.0
2022-11-18 06:00:00,LDO/USD,Buy,1012836.1592687215,1012836.1592687215,1.27,1.27,0.0
2022-11-18 09:00:00,LDO/USD,Buy,1012836.1592687215,1012836.1592687215,1.273,1.27,0.0
2022-11-18 10:00:00,LDO/USD,Buy,1012836.1592687215,1012836.1592687215,1.25,1.27,0.0
2022-11-18 11:00:00,LDO/USD,Buy,1012836.1592687215,1012836.1592687215,1.259,1.27,0.0
2022-11-18 12:00:00,LDO/USD,Buy,1012836.1592687215,1012836.1592687215,1.266,1.27,0.0
2022-11-18 13:00:00,LDO/USD,Buy,1012836.1592687215,1012836.1592687215,1.25,1.27,0.0
2022-11-18 14:00:00,LDO/USD,Sell,1012836.1592687215,999278.5098926834,1.253,1.27,-0.01338582677165365
2022-11-18 15:00:00,LDO/USD,Buy,999278.5098926834,999278.5098926834,1.239,1.239,0.0
2022-11-18 16:00:00,LDO/USD,Buy,999278.5098926834,999278.5098926834,1.235,1.239,0.0
2022-11-18 18:00:00,LDO/USD,Buy,999278.5098926834,999278.5098926834,1.229,1.239,0.0
2022-11-18 19:00:00,LDO/USD,Sell,999278.5098926834,1010569.7924903407,1.253,1.239,0.011299435028248442
2022-11-18 20:00:00,LDO/USD,Sell,1010569.7924903407,1010569.7924903407,1.24,1.239,0.0
2022-11-18 22:00:00,LDO/USD,Buy,1010569.7924903407,1010569.7924903407,1.228,1.228,0.0
2022-11-18 23:00:00,LDO/USD,Buy,1010569.7924903407,1010569.7924903407,1.222,1.228,0.0
2022-11-19 00:00:00,LDO/USD,Buy,1010569.7924903407,1010569.7924903407,1.209,1.228,0.0
2022-11-19 01:00:00,LDO/USD,Buy,1010569.7924903407,1010569.7924903407,1.204,1.228,0.0
