Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 02:00:00,LSK/USD,Buy,1000000.0,1000000.0,0.743,0.743,0.0
2022-11-18 00:00:00,LSK/USD,Sell,1000000.0,987886.9448183042,0.734,0.743,-0.012113055181695847
2022-11-18 06:00:00,LSK/USD,Sell,987886.9448183042,987886.9448183042,0.74,0.743,0.0
2022-11-18 12:00:00,LSK/USD,Sell,987886.9448183042,987886.9448183042,0.786,0.743,0.0
2022-11-18 20:00:00,LSK/USD,Sell,987886.9448183042,987886.9448183042,0.773,0.743,0.0
2022-11-18 23:00:00,LSK/USD,Buy,987886.9448183042,987886.9448183042,0.755,0.755,0.0
2022-11-19 03:00:00,LSK/USD,Buy,987886.9448183042,987886.9448183042,0.771,0.755,0.0
2022-11-19 07:00:00,LSK/USD,Buy,987886.9448183042,987886.9448183042,0.782,0.755,0.0
2022-11-19 12:00:00,LSK/USD,Sell,987886.9448183042,1020598.4330573209,0.78,0.755,0.03311258278145699
2022-11-19 13:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.787,0.755,0.0
2022-11-19 14:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.789,0.755,0.0
2022-11-19 23:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.79,0.755,0.0
2022-11-20 10:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.786,0.755,0.0
2022-11-20 21:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.787,0.755,0.0
2022-11-21 02:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.757,0.755,0.0
2022-11-21 12:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.729,0.755,0.0
2022-11-21 18:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.741,0.755,0.0
2022-11-22 23:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.738,0.755,0.0
2022-11-23 01:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.776,0.755,0.0
2022-11-23 23:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.791,0.755,0.0
2022-11-24 05:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.801,0.755,0.0
2022-11-24 07:00:00,LSK/USD,Sell,1020598.4330573209,1020598.4330573209,0.808,0.755,0.0
