Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 03:00:00,LTO/USD,Sell,1000000.0,1000000.0,0.0692,0.0692,0.0
2022-11-17 04:00:00,LTO/USD,Sell,1000000.0,1000000.0,0.0698,0.0692,0.0
2022-11-17 05:00:00,LTO/USD,Sell,1000000.0,1000000.0,0.07,0.0692,0.0
2022-11-17 07:00:00,LTO/USD,Sell,1000000.0,1000000.0,0.0702,0.0692,0.0
2022-11-17 08:00:00,LTO/USD,Sell,1000000.0,1000000.0,0.071,0.0692,0.0
2022-11-17 11:00:00,LTO/USD,Sell,1000000.0,1000000.0,0.0717,0.0692,0.0
2022-11-17 12:00:00,LTO/USD,Sell,1000000.0,1000000.0,0.072,0.0692,0.0
2022-11-17 13:00:00,LTO/USD,Sell,1000000.0,1000000.0,0.073,0.0692,0.0
2022-11-17 14:00:00,LTO/USD,Sell,1000000.0,1000000.0,0.0762,0.0692,0.0
2022-11-17 15:00:00,LTO/USD,Sell,1000000.0,1000000.0,0.0779,0.0692,0.0
2022-11-17 17:00:00,LTO/USD,Buy,1000000.0,1000000.0,0.0749,0.0749,0.0
2022-11-17 18:00:00,LTO/USD,Sell,1000000.0,995994.6595460615,0.0746,0.0749,-0.0040053404539384645
2022-11-17 19:00:00,LTO/USD,Sell,995994.6595460615,995994.6595460615,0.0748,0.0749,0.0
2022-11-17 20:00:00,LTO/USD,Sell,995994.6595460615,995994.6595460615,0.0778,0.0749,0.0
2022-11-17 21:00:00,LTO/USD,Sell,995994.6595460615,995994.6595460615,0.0763,0.0749,0.0
2022-11-17 22:00:00,LTO/USD,Sell,995994.6595460615,995994.6595460615,0.0758,0.0749,0.0
2022-11-17 23:00:00,LTO/USD,Buy,995994.6595460615,995994.6595460615,0.0752,0.0752,0.0
2022-11-18 01:00:00,LTO/USD,Buy,995994.6595460615,995994.6595460615,0.0749,0.0752,0.0
2022-11-18 05:00:00,LTO/USD,Buy,995994.6595460615,995994.6595460615,0.0742,0.0752,0.0
2022-11-18 08:00:00,LTO/USD,Buy,995994.6595460615,995994.6595460615,0.0724,0.0752,0.0
2022-11-18 09:00:00,LTO/USD,Sell,995994.6595460615,964207.5959435276,0.0728,0.0752,-0.03191489361702129
2022-11-18 10:00:00,LTO/USD,Sell,964207.5959435276,964207.5959435276,0.0733,0.0752,0.0
2022-11-18 11:00:00,LTO/USD,Sell,964207.5959435276,964207.5959435276,0.0736,0.0752,0.0
2022-11-18 13:00:00,LTO/USD,Sell,964207.5959435276,964207.5959435276,0.0741,0.0752,0.0
2022-11-18 16:00:00,LTO/USD,Buy,964207.5959435276,964207.5959435276,0.0733,0.0733,0.0
2022-11-18 21:00:00,LTO/USD,Sell,964207.5959435276,958945.8900993611,0.0729,0.0733,-0.005457025920873106
2022-11-18 23:00:00,LTO/USD,Sell,958945.8900993611,958945.8900993611,0.0735,0.0733,0.0
2022-11-19 01:00:00,LTO/USD,Buy,958945.8900993611,958945.8900993611,0.0728,0.0728,0.0
2022-11-19 06:00:00,LTO/USD,Sell,958945.8900993611,953676.9566372767,0.0724,0.0728,-0.00549450549450548
2022-11-19 08:00:00,LTO/USD,Buy,953676.9566372767,953676.9566372767,0.0721,0.0721,0.0
2022-11-19 09:00:00,LTO/USD,Sell,953676.9566372767,978808.5269231411,0.074,0.0721,0.02635228848821079
2022-11-19 10:00:00,LTO/USD,Sell,978808.5269231411,978808.5269231411,0.0735,0.0721,0.0
2022-11-19 15:00:00,LTO/USD,Sell,978808.5269231411,978808.5269231411,0.0739,0.0721,0.0
2022-11-19 16:00:00,LTO/USD,Buy,978808.5269231411,978808.5269231411,0.0737,0.0737,0.0
2022-11-19 17:00:00,LTO/USD,Buy,978808.5269231411,978808.5269231411,0.0735,0.0737,0.0
2022-11-19 18:00:00,LTO/USD,Buy,978808.5269231411,978808.5269231411,0.0732,0.0737,0.0
2022-11-19 19:00:00,LTO/USD,Buy,978808.5269231411,978808.5269231411,0.0729,0.0737,0.0
2022-11-20 01:00:00,LTO/USD,Sell,978808.5269231411,964199.4444317509,0.0726,0.0737,-0.014925373134328367
2022-11-20 07:00:00,LTO/USD,Sell,964199.4444317509,964199.4444317509,0.0744,0.0737,0.0
2022-11-20 08:00:00,LTO/USD,Buy,964199.4444317509,964199.4444317509,0.0743,0.0743,0.0
2022-11-20 09:00:00,LTO/USD,Buy,964199.4444317509,964199.4444317509,0.0735,0.0743,0.0
2022-11-20 15:00:00,LTO/USD,Sell,964199.4444317509,990153.6690463338,0.0763,0.0743,0.02691790040376855
2022-11-20 16:00:00,LTO/USD,Buy,990153.6690463338,990153.6690463338,0.0748,0.0748,0.0
2022-11-20 17:00:00,LTO/USD,Buy,990153.6690463338,990153.6690463338,0.0744,0.0748,0.0
2022-11-20 20:00:00,LTO/USD,Buy,990153.6690463338,990153.6690463338,0.0729,0.0748,0.0
2022-11-20 21:00:00,LTO/USD,Buy,990153.6690463338,990153.6690463338,0.0725,0.0748,0.0
2022-11-20 22:00:00,LTO/USD,Buy,990153.6690463338,990153.6690463338,0.0703,0.0748,0.0
2022-11-21 01:00:00,LTO/USD,Buy,990153.6690463338,990153.6690463338,0.0699,0.0748,0.0
2022-11-21 02:00:00,LTO/USD,Buy,990153.6690463338,990153.6690463338,0.0698,0.0748,0.0
2022-11-21 03:00:00,LTO/USD,Sell,990153.6690463338,931909.33557302,0.0704,0.0748,-0.05882352941176467
2022-11-21 05:00:00,LTO/USD,Buy,931909.33557302,931909.33557302,0.0695,0.0695,0.0
2022-11-21 07:00:00,LTO/USD,Sell,931909.33557302,952022.4867004951,0.071,0.0695,0.021582733812949458
2022-11-21 10:00:00,LTO/USD,Buy,952022.4867004951,952022.4867004951,0.0706,0.0706,0.0
2022-11-21 11:00:00,LTO/USD,Sell,952022.4867004951,987082.8049075956,0.0732,0.0706,0.03682719546742221
2022-11-21 12:00:00,LTO/USD,Sell,987082.8049075956,987082.8049075956,0.0746,0.0706,0.0
2022-11-21 13:00:00,LTO/USD,Sell,987082.8049075956,987082.8049075956,0.0747,0.0706,0.0
2022-11-21 15:00:00,LTO/USD,Buy,987082.8049075956,987082.8049075956,0.0732,0.0732,0.0
2022-11-21 17:00:00,LTO/USD,Buy,987082.8049075956,987082.8049075956,0.0713,0.0732,0.0
2022-11-21 18:00:00,LTO/USD,Buy,987082.8049075956,987082.8049075956,0.07,0.0732,0.0
2022-11-21 19:00:00,LTO/USD,Buy,987082.8049075956,987082.8049075956,0.0688,0.0732,0.0
2022-11-21 23:00:00,LTO/USD,Buy,987082.8049075956,987082.8049075956,0.0699,0.0732,0.0
2022-11-22 00:00:00,LTO/USD,Sell,987082.8049075956,947977.0653689067,0.0703,0.0732,-0.03961748633879783
2022-11-22 01:00:00,LTO/USD,Sell,947977.0653689067,947977.0653689067,0.0706,0.0732,0.0
2022-11-22 05:00:00,LTO/USD,Sell,947977.0653689067,947977.0653689067,0.072,0.0732,0.0
2022-11-22 06:00:00,LTO/USD,Buy,947977.0653689067,947977.0653689067,0.0705,0.0705,0.0
2022-11-22 11:00:00,LTO/USD,Sell,947977.0653689067,945287.7687295624,0.0703,0.0705,-0.002836879432623997
2022-11-22 12:00:00,LTO/USD,Sell,945287.7687295624,945287.7687295624,0.0704,0.0705,0.0
2022-11-22 13:00:00,LTO/USD,Sell,945287.7687295624,945287.7687295624,0.0716,0.0705,0.0
2022-11-22 14:00:00,LTO/USD,Sell,945287.7687295624,945287.7687295624,0.0713,0.0705,0.0
2022-11-22 15:00:00,LTO/USD,Sell,945287.7687295624,945287.7687295624,0.0727,0.0705,0.0
2022-11-22 18:00:00,LTO/USD,Sell,945287.7687295624,945287.7687295624,0.0726,0.0705,0.0
2022-11-22 20:00:00,LTO/USD,Buy,945287.7687295624,945287.7687295624,0.0715,0.0715,0.0
2022-11-22 23:00:00,LTO/USD,Sell,945287.7687295624,959830.657479248,0.0726,0.0715,0.015384615384615415
2022-11-23 01:00:00,LTO/USD,Buy,959830.657479248,959830.657479248,0.0725,0.0725,0.0
2022-11-23 05:00:00,LTO/USD,Sell,959830.657479248,983660.9358718364,0.0743,0.0725,0.024827586206896703
2022-11-23 08:00:00,LTO/USD,Sell,983660.9358718364,983660.9358718364,0.0747,0.0725,0.0
2022-11-23 11:00:00,LTO/USD,Sell,983660.9358718364,983660.9358718364,0.075,0.0725,0.0
2022-11-23 15:00:00,LTO/USD,Sell,983660.9358718364,983660.9358718364,0.074,0.0725,0.0
2022-11-23 16:00:00,LTO/USD,Buy,983660.9358718364,983660.9358718364,0.0735,0.0735,0.0
2022-11-23 17:00:00,LTO/USD,Sell,983660.9358718364,1009088.9056426729,0.0754,0.0735,0.02585034013605436
2022-11-23 18:00:00,LTO/USD,Sell,1009088.9056426729,1009088.9056426729,0.074,0.0735,0.0
2022-11-23 22:00:00,LTO/USD,Buy,1009088.9056426729,1009088.9056426729,0.0743,0.0743,0.0
2022-11-23 23:00:00,LTO/USD,Sell,1009088.9056426729,1011805.1611087365,0.0745,0.0743,0.002691790040376752
