Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-23 16:00:00,MASK/USD,Buy,1000000.0,1000000.0,2.57,2.57,0.0
2022-11-23 17:00:00,MASK/USD,Buy,1000000.0,1000000.0,2.614,2.57,0.0
2022-11-23 18:00:00,MASK/USD,Sell,1000000.0,1021400.7782101168,2.625,2.57,0.021400778210116784
2022-11-23 19:00:00,MASK/USD,Buy,1021400.7782101168,1021400.7782101168,2.623,2.623,0.0
2022-11-23 22:00:00,MASK/USD,Sell,1021400.7782101168,1022568.9834463462,2.626,2.623,0.0011437285550894175
2022-11-23 23:00:00,MASK/USD,Sell,1022568.9834463462,1022568.9834463462,2.665,2.623,0.0
2022-11-24 00:00:00,MASK/USD,Buy,1022568.9834463462,1022568.9834463462,2.631,2.631,0.0
2022-11-24 01:00:00,MASK/USD,Buy,1022568.9834463462,1022568.9834463462,2.59,2.631,0.0
2022-11-24 02:00:00,MASK/USD,Sell,1022568.9834463462,1033062.8498671184,2.658,2.631,0.010262257696693347
2022-11-24 03:00:00,MASK/USD,Sell,1033062.8498671184,1033062.8498671184,2.673,2.631,0.0
2022-11-24 04:00:00,MASK/USD,Sell,1033062.8498671184,1033062.8498671184,2.63,2.631,0.0
2022-11-24 05:00:00,MASK/USD,Buy,1033062.8498671184,1033062.8498671184,2.626,2.626,0.0
2022-11-24 08:00:00,MASK/USD,Buy,1033062.8498671184,1033062.8498671184,2.642,2.626,0.0
2022-11-24 09:00:00,MASK/USD,Sell,1033062.8498671184,1060207.3040334668,2.695,2.626,0.026275704493526217
2022-11-24 10:00:00,MASK/USD,Sell,1060207.3040334668,1060207.3040334668,2.66,2.626,0.0
2022-11-24 13:00:00,MASK/USD,Buy,1060207.3040334668,1060207.3040334668,2.657,2.657,0.0
2022-11-24 14:00:00,MASK/USD,Sell,1060207.3040334668,1086941.9255503062,2.724,2.657,0.025216409484380854
2022-11-24 15:00:00,MASK/USD,Sell,1086941.9255503062,1086941.9255503062,2.706,2.657,0.0
2022-11-24 17:00:00,MASK/USD,Buy,1086941.9255503062,1086941.9255503062,2.686,2.686,0.0
2022-11-24 18:00:00,MASK/USD,Buy,1086941.9255503062,1086941.9255503062,2.633,2.686,0.0
2022-11-24 19:00:00,MASK/USD,Buy,1086941.9255503062,1086941.9255503062,2.619,2.686,0.0
2022-11-24 20:00:00,MASK/USD,Buy,1086941.9255503062,1086941.9255503062,2.642,2.686,0.0
2022-11-24 21:00:00,MASK/USD,Buy,1086941.9255503062,1086941.9255503062,2.624,2.686,0.0
2022-11-24 22:00:00,MASK/USD,Sell,1086941.9255503062,1071159.8201532615,2.647,2.686,-0.0145197319434103
2022-11-24 23:00:00,MASK/USD,Sell,1071159.8201532615,1071159.8201532615,2.682,2.686,0.0
2022-11-25 00:00:00,MASK/USD,Sell,1071159.8201532615,1071159.8201532615,2.669,2.686,0.0
2022-11-25 01:00:00,MASK/USD,Sell,1071159.8201532615,1071159.8201532615,2.717,2.686,0.0
2022-11-25 02:00:00,MASK/USD,Buy,1071159.8201532615,1071159.8201532615,2.59,2.59,0.0
2022-11-25 03:00:00,MASK/USD,Buy,1071159.8201532615,1071159.8201532615,2.601,2.59,0.0
2022-11-25 04:00:00,MASK/USD,Buy,1071159.8201532615,1071159.8201532615,2.532,2.59,0.0
2022-11-25 07:00:00,MASK/USD,Buy,1071159.8201532615,1071159.8201532615,2.579,2.59,0.0
2022-11-25 09:00:00,MASK/USD,Buy,1071159.8201532615,1071159.8201532615,2.522,2.59,0.0
2022-11-25 10:00:00,MASK/USD,Sell,1071159.8201532615,1097628.6342419907,2.654,2.59,0.02471042471042468
2022-11-25 11:00:00,MASK/USD,Sell,1097628.6342419907,1097628.6342419907,2.82,2.59,0.0
2022-11-25 12:00:00,MASK/USD,Sell,1097628.6342419907,1097628.6342419907,2.844,2.59,0.0
2022-11-25 13:00:00,MASK/USD,Sell,1097628.6342419907,1097628.6342419907,2.802,2.59,0.0
2022-11-25 15:00:00,MASK/USD,Sell,1097628.6342419907,1097628.6342419907,2.862,2.59,0.0
2022-11-25 16:00:00,MASK/USD,Buy,1097628.6342419907,1097628.6342419907,2.838,2.838,0.0
2022-11-25 17:00:00,MASK/USD,Sell,1097628.6342419907,1144426.7543065718,2.959,2.838,0.04263565891472872
2022-11-25 18:00:00,MASK/USD,Sell,1144426.7543065718,1144426.7543065718,3.04,2.838,0.0
2022-11-25 19:00:00,MASK/USD,Sell,1144426.7543065718,1144426.7543065718,3.027,2.838,0.0
2022-11-25 21:00:00,MASK/USD,Buy,1144426.7543065718,1144426.7543065718,3.032,3.032,0.0
2022-11-25 22:00:00,MASK/USD,Buy,1144426.7543065718,1144426.7543065718,2.974,3.032,0.0
2022-11-25 23:00:00,MASK/USD,Buy,1144426.7543065718,1144426.7543065718,3.008,3.032,0.0
2022-11-26 00:00:00,MASK/USD,Sell,1144426.7543065718,1206328.465291492,3.196,3.032,0.054089709762533016
2022-11-26 01:00:00,MASK/USD,Sell,1206328.465291492,1206328.465291492,3.117,3.032,0.0
2022-11-26 02:00:00,MASK/USD,Buy,1206328.465291492,1206328.465291492,3.112,3.112,0.0
2022-11-26 03:00:00,MASK/USD,Buy,1206328.465291492,1206328.465291492,3.071,3.112,0.0
