Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,NEAR/USD,Sell,1000000.0,1000000.0,1.929,1.929,0.0
2022-11-17 01:00:00,NEAR/USD,Buy,1000000.0,1000000.0,1.919,1.919,0.0
2022-11-17 02:00:00,NEAR/USD,Buy,1000000.0,1000000.0,1.9,1.919,0.0
2022-11-17 03:00:00,NEAR/USD,Buy,1000000.0,1000000.0,1.885,1.919,0.0
2022-11-17 04:00:00,NEAR/USD,Buy,1000000.0,1000000.0,1.88,1.919,0.0
2022-11-17 05:00:00,NEAR/USD,Buy,1000000.0,1000000.0,1.879,1.919,0.0
2022-11-17 06:00:00,NEAR/USD,Buy,1000000.0,1000000.0,1.869,1.919,0.0
2022-11-17 07:00:00,NEAR/USD,Buy,1000000.0,1000000.0,1.872,1.919,0.0
2022-11-17 08:00:00,NEAR/USD,Sell,1000000.0,977071.3913496613,1.875,1.919,-0.02292860865033872
2022-11-17 09:00:00,NEAR/USD,Buy,977071.3913496613,977071.3913496613,1.855,1.855,0.0
2022-11-17 10:00:00,NEAR/USD,Buy,977071.3913496613,977071.3913496613,1.858,1.855,0.0
2022-11-17 11:00:00,NEAR/USD,Buy,977071.3913496613,977071.3913496613,1.867,1.855,0.0
2022-11-17 12:00:00,NEAR/USD,Buy,977071.3913496613,977071.3913496613,1.861,1.855,0.0
2022-11-17 13:00:00,NEAR/USD,Buy,977071.3913496613,977071.3913496613,1.828,1.855,0.0
2022-11-17 14:00:00,NEAR/USD,Buy,977071.3913496613,977071.3913496613,1.833,1.855,0.0
2022-11-17 15:00:00,NEAR/USD,Buy,977071.3913496613,977071.3913496613,1.829,1.855,0.0
2022-11-17 16:00:00,NEAR/USD,Sell,977071.3913496613,970223.9907633833,1.842,1.855,-0.007008086253369268
2022-11-17 17:00:00,NEAR/USD,Sell,970223.9907633833,970223.9907633833,1.846,1.855,0.0
2022-11-17 18:00:00,NEAR/USD,Sell,970223.9907633833,970223.9907633833,1.848,1.855,0.0
2022-11-17 19:00:00,NEAR/USD,Buy,970223.9907633833,970223.9907633833,1.835,1.835,0.0
2022-11-17 20:00:00,NEAR/USD,Buy,970223.9907633833,970223.9907633833,1.83,1.835,0.0
2022-11-17 21:00:00,NEAR/USD,Buy,970223.9907633833,970223.9907633833,1.833,1.835,0.0
2022-11-17 22:00:00,NEAR/USD,Sell,970223.9907633833,970223.9907633833,1.835,1.835,0.0
2022-11-17 23:00:00,NEAR/USD,Buy,970223.9907633833,970223.9907633833,1.83,1.83,0.0
2022-11-18 00:00:00,NEAR/USD,Sell,970223.9907633833,982948.2398225752,1.854,1.83,0.013114754098360647
2022-11-18 01:00:00,NEAR/USD,Sell,982948.2398225752,982948.2398225752,1.843,1.83,0.0
2022-11-18 02:00:00,NEAR/USD,Sell,982948.2398225752,982948.2398225752,1.865,1.83,0.0
2022-11-18 03:00:00,NEAR/USD,Sell,982948.2398225752,982948.2398225752,1.856,1.83,0.0
2022-11-18 04:00:00,NEAR/USD,Sell,982948.2398225752,982948.2398225752,1.847,1.83,0.0
2022-11-18 05:00:00,NEAR/USD,Buy,982948.2398225752,982948.2398225752,1.843,1.843,0.0
2022-11-18 06:00:00,NEAR/USD,Buy,982948.2398225752,982948.2398225752,1.84,1.843,0.0
2022-11-18 07:00:00,NEAR/USD,Buy,982948.2398225752,982948.2398225752,1.835,1.843,0.0
2022-11-18 08:00:00,NEAR/USD,Buy,982948.2398225752,982948.2398225752,1.829,1.843,0.0
2022-11-18 09:00:00,NEAR/USD,Buy,982948.2398225752,982948.2398225752,1.832,1.843,0.0
2022-11-18 10:00:00,NEAR/USD,Sell,982948.2398225752,980814.8741365795,1.839,1.843,-0.0021703743895821644
