Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,OGN/USD,Sell,1000000.0,1000000.0,0.1042,0.1042,0.0
2022-11-17 02:00:00,OGN/USD,Buy,1000000.0,1000000.0,0.1038,0.1038,0.0
2022-11-17 05:00:00,OGN/USD,Buy,1000000.0,1000000.0,0.1024,0.1038,0.0
2022-11-17 07:00:00,OGN/USD,Sell,1000000.0,1002890.1734104046,0.1041,0.1038,0.00289017341040459
2022-11-17 08:00:00,OGN/USD,Sell,1002890.1734104046,1002890.1734104046,0.1049,0.1038,0.0
2022-11-17 10:00:00,OGN/USD,Buy,1002890.1734104046,1002890.1734104046,0.1037,0.1037,0.0
2022-11-17 11:00:00,OGN/USD,Buy,1002890.1734104046,1002890.1734104046,0.1041,0.1037,0.0
2022-11-17 12:00:00,OGN/USD,Sell,1002890.1734104046,1009659.9238577266,0.1044,0.1037,0.006750241080038684
2022-11-17 13:00:00,OGN/USD,Buy,1009659.9238577266,1009659.9238577266,0.1022,0.1022,0.0
2022-11-17 14:00:00,OGN/USD,Buy,1009659.9238577266,1009659.9238577266,0.1026,0.1022,0.0
2022-11-17 16:00:00,OGN/USD,Sell,1009659.9238577266,1027442.5839648098,0.104,0.1022,0.017612524461839436
2022-11-17 19:00:00,OGN/USD,Buy,1027442.5839648098,1027442.5839648098,0.1031,0.1031,0.0
2022-11-17 20:00:00,OGN/USD,Buy,1027442.5839648098,1027442.5839648098,0.1029,0.1031,0.0
2022-11-17 22:00:00,OGN/USD,Buy,1027442.5839648098,1027442.5839648098,0.103,0.1031,0.0
2022-11-17 23:00:00,OGN/USD,Buy,1027442.5839648098,1027442.5839648098,0.1024,0.1031,0.0
2022-11-18 00:00:00,OGN/USD,Sell,1027442.5839648098,1031428.7821567198,0.1035,0.1031,0.0038797284190106914
2022-11-18 01:00:00,OGN/USD,Sell,1031428.7821567198,1031428.7821567198,0.1037,0.1031,0.0
2022-11-18 03:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1038,0.1038,0.0
2022-11-18 05:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.104,0.1038,0.0
2022-11-18 06:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1034,0.1038,0.0
2022-11-18 07:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1036,0.1038,0.0
2022-11-18 08:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1027,0.1038,0.0
2022-11-18 09:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1034,0.1038,0.0
2022-11-18 13:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1036,0.1038,0.0
2022-11-18 15:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1024,0.1038,0.0
2022-11-18 16:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1012,0.1038,0.0
2022-11-18 20:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.101,0.1038,0.0
2022-11-18 21:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1006,0.1038,0.0
2022-11-19 01:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1011,0.1038,0.0
2022-11-19 04:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1004,0.1038,0.0
2022-11-19 05:00:00,OGN/USD,Buy,1031428.7821567198,1031428.7821567198,0.1001,0.1038,0.0
2022-11-19 07:00:00,OGN/USD,Sell,1031428.7821567198,997644.0243596788,0.1004,0.1038,-0.032755298651252464
2022-11-19 08:00:00,OGN/USD,Sell,997644.0243596788,997644.0243596788,0.1012,0.1038,0.0
2022-11-19 11:00:00,OGN/USD,Buy,997644.0243596788,997644.0243596788,0.101,0.101,0.0
2022-11-19 13:00:00,OGN/USD,Sell,997644.0243596788,998631.7907204309,0.1011,0.101,0.0009900990099008843
2022-11-19 14:00:00,OGN/USD,Sell,998631.7907204309,998631.7907204309,0.1014,0.101,0.0
2022-11-19 15:00:00,OGN/USD,Sell,998631.7907204309,998631.7907204309,0.1026,0.101,0.0
2022-11-19 16:00:00,OGN/USD,Sell,998631.7907204309,998631.7907204309,0.1034,0.101,0.0
2022-11-19 18:00:00,OGN/USD,Buy,998631.7907204309,998631.7907204309,0.1029,0.1029,0.0
2022-11-19 19:00:00,OGN/USD,Buy,998631.7907204309,998631.7907204309,0.1024,0.1029,0.0
2022-11-19 23:00:00,OGN/USD,Buy,998631.7907204309,998631.7907204309,0.102,0.1029,0.0
2022-11-20 01:00:00,OGN/USD,Sell,998631.7907204309,1010277.642507258,0.1041,0.1029,0.011661807580174832
2022-11-20 03:00:00,OGN/USD,Sell,1010277.642507258,1010277.642507258,0.1048,0.1029,0.0
2022-11-20 04:00:00,OGN/USD,Sell,1010277.642507258,1010277.642507258,0.105,0.1029,0.0
2022-11-20 05:00:00,OGN/USD,Buy,1010277.642507258,1010277.642507258,0.1042,0.1042,0.0
2022-11-20 06:00:00,OGN/USD,Buy,1010277.642507258,1010277.642507258,0.1035,0.1042,0.0
2022-11-20 07:00:00,OGN/USD,Buy,1010277.642507258,1010277.642507258,0.1039,0.1042,0.0
2022-11-20 08:00:00,OGN/USD,Buy,1010277.642507258,1010277.642507258,0.1025,0.1042,0.0
2022-11-20 09:00:00,OGN/USD,Buy,1010277.642507258,1010277.642507258,0.1035,0.1042,0.0
2022-11-20 10:00:00,OGN/USD,Sell,1010277.642507258,1009308.0862284602,0.1041,0.1042,-0.0009596928982725977
2022-11-20 11:00:00,OGN/USD,Buy,1009308.0862284602,1009308.0862284602,0.1024,0.1024,0.0
2022-11-20 13:00:00,OGN/USD,Buy,1009308.0862284602,1009308.0862284602,0.1028,0.1024,0.0
2022-11-20 15:00:00,OGN/USD,Sell,1009308.0862284602,1018178.9580800775,0.1033,0.1024,0.008789062500000028
2022-11-20 16:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.1018,0.1018,0.0
2022-11-20 17:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.1009,0.1018,0.0
2022-11-20 18:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.1012,0.1018,0.0
2022-11-20 19:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.101,0.1018,0.0
2022-11-20 20:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.1,0.1018,0.0
2022-11-20 21:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.0983,0.1018,0.0
2022-11-20 22:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.0984,0.1018,0.0
2022-11-20 23:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.0971,0.1018,0.0
2022-11-21 00:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.097,0.1018,0.0
2022-11-21 01:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.0962,0.1018,0.0
2022-11-21 02:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.0946,0.1018,0.0
2022-11-21 03:00:00,OGN/USD,Buy,1018178.9580800775,1018178.9580800775,0.095,0.1018,0.0
2022-11-21 04:00:00,OGN/USD,Sell,1018178.9580800775,953167.5314836089,0.0953,0.1018,-0.06385068762278984
2022-11-21 05:00:00,OGN/USD,Sell,953167.5314836089,953167.5314836089,0.0966,0.1018,0.0
2022-11-21 07:00:00,OGN/USD,Sell,953167.5314836089,953167.5314836089,0.096,0.1018,0.0
