Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 02:00:00,ONE/USD,Sell,1000000.0,1000000.0,0.0141,0.0141,0.0
2022-11-17 04:00:00,ONE/USD,Buy,1000000.0,1000000.0,0.014,0.014,0.0
2022-11-17 07:00:00,ONE/USD,Sell,1000000.0,1007142.857142857,0.0141,0.014,0.007142857142857043
2022-11-17 08:00:00,ONE/USD,Sell,1007142.857142857,1007142.857142857,0.0142,0.014,0.0
2022-11-17 09:00:00,ONE/USD,Sell,1007142.857142857,1007142.857142857,0.0141,0.014,0.0
2022-11-17 11:00:00,ONE/USD,Buy,1007142.857142857,1007142.857142857,0.0142,0.0142,0.0
2022-11-17 12:00:00,ONE/USD,Buy,1007142.857142857,1007142.857142857,0.0141,0.0142,0.0
2022-11-17 13:00:00,ONE/USD,Buy,1007142.857142857,1007142.857142857,0.014,0.0142,0.0
2022-11-17 15:00:00,ONE/USD,Buy,1007142.857142857,1007142.857142857,0.0139,0.0142,0.0
2022-11-17 16:00:00,ONE/USD,Sell,1007142.857142857,992957.7464788731,0.014,0.0142,-0.014084507042253589
2022-11-17 18:00:00,ONE/USD,Sell,992957.7464788731,992957.7464788731,0.0141,0.0142,0.0
2022-11-17 22:00:00,ONE/USD,Sell,992957.7464788731,992957.7464788731,0.014,0.0142,0.0
2022-11-17 23:00:00,ONE/USD,Buy,992957.7464788731,992957.7464788731,0.0139,0.0139,0.0
2022-11-18 00:00:00,ONE/USD,Sell,992957.7464788731,1014388.4892086331,0.0142,0.0139,0.021582733812949798
2022-11-18 01:00:00,ONE/USD,Sell,1014388.4892086331,1014388.4892086331,0.014,0.0139,0.0
2022-11-18 03:00:00,ONE/USD,Sell,1014388.4892086331,1014388.4892086331,0.0143,0.0139,0.0
2022-11-18 04:00:00,ONE/USD,Sell,1014388.4892086331,1014388.4892086331,0.0141,0.0139,0.0
2022-11-18 05:00:00,ONE/USD,Sell,1014388.4892086331,1014388.4892086331,0.0142,0.0139,0.0
2022-11-18 06:00:00,ONE/USD,Sell,1014388.4892086331,1014388.4892086331,0.0143,0.0139,0.0
2022-11-18 07:00:00,ONE/USD,Buy,1014388.4892086331,1014388.4892086331,0.0142,0.0142,0.0
2022-11-18 08:00:00,ONE/USD,Buy,1014388.4892086331,1014388.4892086331,0.0141,0.0142,0.0
2022-11-18 09:00:00,ONE/USD,Buy,1014388.4892086331,1014388.4892086331,0.014,0.0142,0.0
2022-11-18 10:00:00,ONE/USD,Buy,1014388.4892086331,1014388.4892086331,0.0141,0.0142,0.0
2022-11-18 15:00:00,ONE/USD,Sell,1014388.4892086331,1000101.3273887931,0.014,0.0142,-0.014084507042253584
2022-11-18 16:00:00,ONE/USD,Buy,1000101.3273887931,1000101.3273887931,0.0139,0.0139,0.0
2022-11-18 19:00:00,ONE/USD,Buy,1000101.3273887931,1000101.3273887931,0.0137,0.0139,0.0
2022-11-18 22:00:00,ONE/USD,Sell,1000101.3273887931,992906.3538104565,0.0138,0.0139,-0.007194244604316554
2022-11-18 23:00:00,ONE/USD,Sell,992906.3538104565,992906.3538104565,0.014,0.0139,0.0
2022-11-19 01:00:00,ONE/USD,Sell,992906.3538104565,992906.3538104565,0.0139,0.0139,0.0
2022-11-19 04:00:00,ONE/USD,Buy,992906.3538104565,992906.3538104565,0.0138,0.0138,0.0
2022-11-19 07:00:00,ONE/USD,Buy,992906.3538104565,992906.3538104565,0.0137,0.0138,0.0
2022-11-19 08:00:00,ONE/USD,Sell,992906.3538104565,992906.3538104565,0.0138,0.0138,0.0
2022-11-19 11:00:00,ONE/USD,Sell,992906.3538104565,992906.3538104565,0.0137,0.0138,0.0
2022-11-19 12:00:00,ONE/USD,Sell,992906.3538104565,992906.3538104565,0.0138,0.0138,0.0
