Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,OP/USD,Sell,1000000.0,1000000.0,0.9,0.9,0.0
2022-11-17 01:00:00,OP/USD,Sell,1000000.0,1000000.0,0.899,0.9,0.0
2022-11-17 02:00:00,OP/USD,Buy,1000000.0,1000000.0,0.898,0.898,0.0
2022-11-17 03:00:00,OP/USD,Buy,1000000.0,1000000.0,0.896,0.898,0.0
2022-11-17 04:00:00,OP/USD,Buy,1000000.0,1000000.0,0.884,0.898,0.0
2022-11-17 05:00:00,OP/USD,Buy,1000000.0,1000000.0,0.888,0.898,0.0
2022-11-17 06:00:00,OP/USD,Buy,1000000.0,1000000.0,0.89,0.898,0.0
2022-11-17 07:00:00,OP/USD,Sell,1000000.0,994432.0712694877,0.893,0.898,-0.005567928730512271
2022-11-17 08:00:00,OP/USD,Sell,994432.0712694877,994432.0712694877,0.894,0.898,0.0
2022-11-17 09:00:00,OP/USD,Buy,994432.0712694877,994432.0712694877,0.883,0.883,0.0
2022-11-17 12:00:00,OP/USD,Buy,994432.0712694877,994432.0712694877,0.885,0.883,0.0
2022-11-17 13:00:00,OP/USD,Buy,994432.0712694877,994432.0712694877,0.882,0.883,0.0
2022-11-17 14:00:00,OP/USD,Buy,994432.0712694877,994432.0712694877,0.867,0.883,0.0
2022-11-17 15:00:00,OP/USD,Buy,994432.0712694877,994432.0712694877,0.89,0.883,0.0
2022-11-17 16:00:00,OP/USD,Sell,994432.0712694877,1001189.254086721,0.889,0.883,0.0067950169875425175
2022-11-17 17:00:00,OP/USD,Sell,1001189.254086721,1001189.254086721,0.893,0.883,0.0
2022-11-17 18:00:00,OP/USD,Sell,1001189.254086721,1001189.254086721,0.895,0.883,0.0
2022-11-17 21:00:00,OP/USD,Sell,1001189.254086721,1001189.254086721,0.891,0.883,0.0
2022-11-17 22:00:00,OP/USD,Sell,1001189.254086721,1001189.254086721,0.9,0.883,0.0
2022-11-17 23:00:00,OP/USD,Sell,1001189.254086721,1001189.254086721,0.899,0.883,0.0
2022-11-18 00:00:00,OP/USD,Sell,1001189.254086721,1001189.254086721,0.901,0.883,0.0
2022-11-18 01:00:00,OP/USD,Buy,1001189.254086721,1001189.254086721,0.9,0.9,0.0
2022-11-18 02:00:00,OP/USD,Sell,1001189.254086721,1018988.1741593739,0.916,0.9,0.017777777777777826
2022-11-18 03:00:00,OP/USD,Sell,1018988.1741593739,1018988.1741593739,0.922,0.9,0.0
2022-11-18 04:00:00,OP/USD,Sell,1018988.1741593739,1018988.1741593739,0.908,0.9,0.0
2022-11-18 05:00:00,OP/USD,Buy,1018988.1741593739,1018988.1741593739,0.915,0.915,0.0
2022-11-18 07:00:00,OP/USD,Buy,1018988.1741593739,1018988.1741593739,0.909,0.915,0.0
2022-11-18 08:00:00,OP/USD,Buy,1018988.1741593739,1018988.1741593739,0.898,0.915,0.0
2022-11-18 11:00:00,OP/USD,Buy,1018988.1741593739,1018988.1741593739,0.9,0.915,0.0
2022-11-18 12:00:00,OP/USD,Sell,1018988.1741593739,1007851.6913816758,0.905,0.915,-0.010928961748633887
2022-11-18 13:00:00,OP/USD,Sell,1007851.6913816758,1007851.6913816758,0.9,0.915,0.0
2022-11-18 14:00:00,OP/USD,Buy,1007851.6913816758,1007851.6913816758,0.894,0.894,0.0
2022-11-18 15:00:00,OP/USD,Sell,1007851.6913816758,1022507.252889463,0.907,0.894,0.014541387024608476
2022-11-18 16:00:00,OP/USD,Sell,1022507.252889463,1022507.252889463,0.915,0.894,0.0
