Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,PORTO/USD,Buy,1000000.0,1000000.0,5.3713,5.3713,0.0
2022-11-17 01:00:00,PORTO/USD,Sell,1000000.0,1126133.3382979913,6.0488,5.3713,0.1261333382979913
2022-11-17 02:00:00,PORTO/USD,Sell,1126133.3382979913,1126133.3382979913,5.7898,5.3713,0.0
2022-11-17 03:00:00,PORTO/USD,Buy,1126133.3382979913,1126133.3382979913,5.3662,5.3662,0.0
2022-11-17 04:00:00,PORTO/USD,Buy,1126133.3382979913,1126133.3382979913,5.5358,5.3662,0.0
2022-11-17 05:00:00,PORTO/USD,Sell,1126133.3382979913,1182018.193127993,5.6325,5.3662,0.04962543326748912
2022-11-17 06:00:00,PORTO/USD,Sell,1182018.193127993,1182018.193127993,5.9001,5.3662,0.0
2022-11-17 07:00:00,PORTO/USD,Sell,1182018.193127993,1182018.193127993,5.7986,5.3662,0.0
2022-11-17 08:00:00,PORTO/USD,Sell,1182018.193127993,1182018.193127993,5.7757,5.3662,0.0
2022-11-17 10:00:00,PORTO/USD,Buy,1182018.193127993,1182018.193127993,5.6659,5.6659,0.0
2022-11-17 11:00:00,PORTO/USD,Buy,1182018.193127993,1182018.193127993,5.6459,5.6659,0.0
2022-11-17 12:00:00,PORTO/USD,Sell,1182018.193127993,1207219.4493679304,5.7867,5.6659,0.02132053160133425
2022-11-17 13:00:00,PORTO/USD,Buy,1207219.4493679304,1207219.4493679304,5.619,5.619,0.0
2022-11-17 14:00:00,PORTO/USD,Sell,1207219.4493679304,1234118.163562781,5.7442,5.619,0.022281544758853924
2022-11-17 15:00:00,PORTO/USD,Sell,1234118.163562781,1234118.163562781,5.8073,5.619,0.0
2022-11-17 16:00:00,PORTO/USD,Buy,1234118.163562781,1234118.163562781,5.7068,5.7068,0.0
2022-11-17 17:00:00,PORTO/USD,Buy,1234118.163562781,1234118.163562781,5.69,5.7068,0.0
2022-11-17 18:00:00,PORTO/USD,Sell,1234118.163562781,1222937.8332452306,5.6551,5.7068,-0.009059367771781105
2022-11-17 19:00:00,PORTO/USD,Buy,1222937.8332452306,1222937.8332452306,5.5811,5.5811,0.0
2022-11-17 20:00:00,PORTO/USD,Sell,1222937.8332452306,1247523.2420159236,5.6933,5.5811,0.02010356381358511
2022-11-17 22:00:00,PORTO/USD,Sell,1247523.2420159236,1247523.2420159236,5.7367,5.5811,0.0
2022-11-17 23:00:00,PORTO/USD,Sell,1247523.2420159236,1247523.2420159236,5.7868,5.5811,0.0
2022-11-18 00:00:00,PORTO/USD,Sell,1247523.2420159236,1247523.2420159236,5.8769,5.5811,0.0
2022-11-18 01:00:00,PORTO/USD,Sell,1247523.2420159236,1247523.2420159236,5.8027,5.5811,0.0
2022-11-18 02:00:00,PORTO/USD,Buy,1247523.2420159236,1247523.2420159236,5.7443,5.7443,0.0
2022-11-18 03:00:00,PORTO/USD,Buy,1247523.2420159236,1247523.2420159236,5.7809,5.7443,0.0
2022-11-18 05:00:00,PORTO/USD,Buy,1247523.2420159236,1247523.2420159236,5.7494,5.7443,0.0
2022-11-18 12:00:00,PORTO/USD,Sell,1247523.2420159236,1231582.5345382555,5.6709,5.7443,-0.01277788416343156
2022-11-18 13:00:00,PORTO/USD,Sell,1231582.5345382555,1231582.5345382555,6.2251,5.7443,0.0
2022-11-18 14:00:00,PORTO/USD,Sell,1231582.5345382555,1231582.5345382555,6.2219,5.7443,0.0
2022-11-18 15:00:00,PORTO/USD,Sell,1231582.5345382555,1231582.5345382555,6.17,5.7443,0.0
2022-11-18 16:00:00,PORTO/USD,Buy,1231582.5345382555,1231582.5345382555,6.1952,6.1952,0.0
2022-11-18 18:00:00,PORTO/USD,Sell,1231582.5345382555,1235797.0150606295,6.2164,6.1952,0.003422004132231394
2022-11-18 19:00:00,PORTO/USD,Buy,1235797.0150606295,1235797.0150606295,6.1817,6.1817,0.0
2022-11-18 20:00:00,PORTO/USD,Buy,1235797.0150606295,1235797.0150606295,6.1739,6.1817,0.0
2022-11-18 21:00:00,PORTO/USD,Sell,1235797.0150606295,1240275.0475011165,6.2041,6.1817,0.0036235986864455775
2022-11-18 22:00:00,PORTO/USD,Sell,1240275.0475011165,1240275.0475011165,6.219,6.1817,0.0
2022-11-18 23:00:00,PORTO/USD,Buy,1240275.0475011165,1240275.0475011165,6.1576,6.1576,0.0
2022-11-19 00:00:00,PORTO/USD,Buy,1240275.0475011165,1240275.0475011165,5.9981,6.1576,0.0
2022-11-19 01:00:00,PORTO/USD,Buy,1240275.0475011165,1240275.0475011165,6.077,6.1576,0.0
2022-11-19 02:00:00,PORTO/USD,Buy,1240275.0475011165,1240275.0475011165,5.8618,6.1576,0.0
2022-11-19 03:00:00,PORTO/USD,Buy,1240275.0475011165,1240275.0475011165,5.9254,6.1576,0.0
2022-11-19 04:00:00,PORTO/USD,Buy,1240275.0475011165,1240275.0475011165,5.8489,6.1576,0.0
