Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,QTUM/USD,Sell,1000000.0,1000000.0,2.051,2.051,0.0
2022-11-17 01:00:00,QTUM/USD,Sell,1000000.0,1000000.0,2.064,2.051,0.0
2022-11-17 02:00:00,QTUM/USD,Sell,1000000.0,1000000.0,2.063,2.051,0.0
2022-11-17 03:00:00,QTUM/USD,Buy,1000000.0,1000000.0,2.049,2.049,0.0
2022-11-17 04:00:00,QTUM/USD,Buy,1000000.0,1000000.0,2.034,2.049,0.0
2022-11-17 08:00:00,QTUM/USD,Buy,1000000.0,1000000.0,2.058,2.049,0.0
2022-11-17 11:00:00,QTUM/USD,Buy,1000000.0,1000000.0,2.031,2.049,0.0
2022-11-17 12:00:00,QTUM/USD,Sell,1000000.0,997559.7852611031,2.044,2.049,-0.0024402147388969315
2022-11-17 13:00:00,QTUM/USD,Buy,997559.7852611031,997559.7852611031,2.013,2.013,0.0
2022-11-17 14:00:00,QTUM/USD,Buy,997559.7852611031,997559.7852611031,2.01,2.013,0.0
2022-11-17 17:00:00,QTUM/USD,Sell,997559.7852611031,1003506.4903893361,2.025,2.013,0.005961251862891169
2022-11-17 20:00:00,QTUM/USD,Sell,1003506.4903893361,1003506.4903893361,2.037,2.013,0.0
2022-11-17 23:00:00,QTUM/USD,Sell,1003506.4903893361,1003506.4903893361,2.043,2.013,0.0
2022-11-18 00:00:00,QTUM/USD,Sell,1003506.4903893361,1003506.4903893361,2.055,2.013,0.0
2022-11-18 02:00:00,QTUM/USD,Sell,1003506.4903893361,1003506.4903893361,2.056,2.013,0.0
2022-11-18 03:00:00,QTUM/USD,Sell,1003506.4903893361,1003506.4903893361,2.08,2.013,0.0
2022-11-18 08:00:00,QTUM/USD,Sell,1003506.4903893361,1003506.4903893361,2.067,2.013,0.0
2022-11-18 09:00:00,QTUM/USD,Buy,1003506.4903893361,1003506.4903893361,2.064,2.064,0.0
2022-11-18 12:00:00,QTUM/USD,Sell,1003506.4903893361,1006909.8554245713,2.071,2.064,0.003391472868217086
2022-11-18 14:00:00,QTUM/USD,Sell,1006909.8554245713,1006909.8554245713,2.108,2.064,0.0
2022-11-18 17:00:00,QTUM/USD,Buy,1006909.8554245713,1006909.8554245713,2.07,2.07,0.0
2022-11-18 18:00:00,QTUM/USD,Buy,1006909.8554245713,1006909.8554245713,2.045,2.07,0.0
2022-11-18 19:00:00,QTUM/USD,Buy,1006909.8554245713,1006909.8554245713,2.04,2.07,0.0
2022-11-18 20:00:00,QTUM/USD,Buy,1006909.8554245713,1006909.8554245713,2.053,2.07,0.0
2022-11-18 22:00:00,QTUM/USD,Sell,1006909.8554245713,999126.9773150095,2.054,2.07,-0.007729468599033775
2022-11-19 03:00:00,QTUM/USD,Sell,999126.9773150095,999126.9773150095,2.059,2.07,0.0
2022-11-19 05:00:00,QTUM/USD,Buy,999126.9773150095,999126.9773150095,2.057,2.057,0.0
2022-11-19 06:00:00,QTUM/USD,Buy,999126.9773150095,999126.9773150095,2.044,2.057,0.0
