Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 04:00:00,RAD/USD,Sell,1000000.0,1000000.0,1.564,1.564,0.0
2022-11-17 09:00:00,RAD/USD,Sell,1000000.0,1000000.0,1.563,1.564,0.0
2022-11-18 01:00:00,RAD/USD,Sell,1000000.0,1000000.0,1.552,1.564,0.0
2022-11-18 02:00:00,RAD/USD,Sell,1000000.0,1000000.0,1.563,1.564,0.0
2022-11-19 12:00:00,RAD/USD,Sell,1000000.0,1000000.0,1.554,1.564,0.0
2022-11-19 13:00:00,RAD/USD,Buy,1000000.0,1000000.0,1.534,1.534,0.0
2022-11-19 15:00:00,RAD/USD,Buy,1000000.0,1000000.0,1.545,1.534,0.0
2022-11-19 18:00:00,RAD/USD,Buy,1000000.0,1000000.0,1.543,1.534,0.0
2022-11-20 05:00:00,RAD/USD,Sell,1000000.0,1014341.590612777,1.556,1.534,0.014341590612777044
2022-11-20 08:00:00,RAD/USD,Buy,1014341.590612777,1014341.590612777,1.538,1.538,0.0
2022-11-20 13:00:00,RAD/USD,Sell,1014341.590612777,1032148.6276391392,1.565,1.538,0.017555266579973992
2022-11-20 14:00:00,RAD/USD,Sell,1032148.6276391392,1032148.6276391392,1.633,1.538,0.0
2022-11-21 01:00:00,RAD/USD,Sell,1032148.6276391392,1032148.6276391392,1.591,1.538,0.0
2022-11-21 02:00:00,RAD/USD,Buy,1032148.6276391392,1032148.6276391392,1.466,1.466,0.0
2022-11-21 04:00:00,RAD/USD,Buy,1032148.6276391392,1032148.6276391392,1.46,1.466,0.0
2022-11-21 13:00:00,RAD/USD,Sell,1032148.6276391392,1042005.435815775,1.48,1.466,0.009549795361528021
2022-11-21 14:00:00,RAD/USD,Sell,1042005.435815775,1042005.435815775,1.488,1.466,0.0
2022-11-21 15:00:00,RAD/USD,Sell,1042005.435815775,1042005.435815775,1.485,1.466,0.0
2022-11-21 18:00:00,RAD/USD,Buy,1042005.435815775,1042005.435815775,1.449,1.449,0.0
2022-11-21 21:00:00,RAD/USD,Buy,1042005.435815775,1042005.435815775,1.441,1.449,0.0
2022-11-21 23:00:00,RAD/USD,Buy,1042005.435815775,1042005.435815775,1.436,1.449,0.0
2022-11-22 01:00:00,RAD/USD,Sell,1042005.435815775,1070770.2511592056,1.489,1.449,0.02760524499654932
2022-11-22 02:00:00,RAD/USD,Buy,1070770.2511592056,1070770.2511592056,1.44,1.44,0.0
2022-11-22 12:00:00,RAD/USD,Sell,1070770.2511592056,1068539.4798026239,1.437,1.44,-0.0020833333333333632
2022-11-22 14:00:00,RAD/USD,Sell,1068539.4798026239,1068539.4798026239,1.486,1.44,0.0
2022-11-22 15:00:00,RAD/USD,Sell,1068539.4798026239,1068539.4798026239,1.49,1.44,0.0
2022-11-23 00:00:00,RAD/USD,Sell,1068539.4798026239,1068539.4798026239,1.478,1.44,0.0
2022-11-23 05:00:00,RAD/USD,Sell,1068539.4798026239,1068539.4798026239,1.499,1.44,0.0
2022-11-23 17:00:00,RAD/USD,Sell,1068539.4798026239,1068539.4798026239,1.524,1.44,0.0
2022-11-23 18:00:00,RAD/USD,Sell,1068539.4798026239,1068539.4798026239,1.565,1.44,0.0
2022-11-23 20:00:00,RAD/USD,Sell,1068539.4798026239,1068539.4798026239,1.592,1.44,0.0
2022-11-24 02:00:00,RAD/USD,Sell,1068539.4798026239,1068539.4798026239,1.577,1.44,0.0
2022-11-24 06:00:00,RAD/USD,Buy,1068539.4798026239,1068539.4798026239,1.604,1.604,0.0
2022-11-24 07:00:00,RAD/USD,Buy,1068539.4798026239,1068539.4798026239,1.602,1.604,0.0
2022-11-24 12:00:00,RAD/USD,Sell,1068539.4798026239,1066540.9645660853,1.601,1.604,-0.0018703241895262114
2022-11-24 13:00:00,RAD/USD,Sell,1066540.9645660853,1066540.9645660853,1.606,1.604,0.0
2022-11-24 19:00:00,RAD/USD,Sell,1066540.9645660853,1066540.9645660853,1.63,1.604,0.0
2022-11-24 23:00:00,RAD/USD,Buy,1066540.9645660853,1066540.9645660853,1.572,1.572,0.0
2022-11-25 02:00:00,RAD/USD,Buy,1066540.9645660853,1066540.9645660853,1.548,1.572,0.0
2022-11-25 09:00:00,RAD/USD,Sell,1066540.9645660853,1053650.2022717113,1.553,1.572,-0.01208651399491107
2022-11-25 16:00:00,RAD/USD,Sell,1053650.2022717113,1053650.2022717113,1.573,1.572,0.0
2022-11-25 22:00:00,RAD/USD,Sell,1053650.2022717113,1053650.2022717113,1.578,1.572,0.0
2022-11-25 23:00:00,RAD/USD,Sell,1053650.2022717113,1053650.2022717113,1.604,1.572,0.0
2022-11-26 00:00:00,RAD/USD,Sell,1053650.2022717113,1053650.2022717113,1.59,1.572,0.0
2022-11-26 02:00:00,RAD/USD,Buy,1053650.2022717113,1053650.2022717113,1.599,1.599,0.0
