Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,REN/USD,Sell,1000000.0,1000000.0,0.0786,0.0786,0.0
2022-11-17 01:00:00,REN/USD,Sell,1000000.0,1000000.0,0.0787,0.0786,0.0
2022-11-17 02:00:00,REN/USD,Buy,1000000.0,1000000.0,0.0785,0.0785,0.0
2022-11-17 07:00:00,REN/USD,Sell,1000000.0,1001273.8853503185,0.0786,0.0785,0.0012738853503185092
2022-11-17 10:00:00,REN/USD,Buy,1001273.8853503185,1001273.8853503185,0.0785,0.0785,0.0
2022-11-17 12:00:00,REN/USD,Buy,1001273.8853503185,1001273.8853503185,0.0773,0.0785,0.0
2022-11-17 13:00:00,REN/USD,Buy,1001273.8853503185,1001273.8853503185,0.0749,0.0785,0.0
2022-11-17 16:00:00,REN/USD,Buy,1001273.8853503185,1001273.8853503185,0.0755,0.0785,0.0
2022-11-17 20:00:00,REN/USD,Buy,1001273.8853503185,1001273.8853503185,0.0765,0.0785,0.0
2022-11-17 21:00:00,REN/USD,Buy,1001273.8853503185,1001273.8853503185,0.0764,0.0785,0.0
2022-11-17 22:00:00,REN/USD,Sell,1001273.8853503185,980865.7552030508,0.0769,0.0785,-0.020382165605095617
2022-11-18 07:00:00,REN/USD,Sell,980865.7552030508,980865.7552030508,0.0763,0.0785,0.0
2022-11-18 11:00:00,REN/USD,Buy,980865.7552030508,980865.7552030508,0.0778,0.0778,0.0
2022-11-18 12:00:00,REN/USD,Sell,980865.7552030508,988430.2725953623,0.0784,0.0778,0.00771208226221083
2022-11-18 14:00:00,REN/USD,Sell,988430.2725953623,988430.2725953623,0.0781,0.0778,0.0
2022-11-18 15:00:00,REN/USD,Buy,988430.2725953623,988430.2725953623,0.0765,0.0765,0.0
2022-11-18 16:00:00,REN/USD,Buy,988430.2725953623,988430.2725953623,0.0754,0.0765,0.0
2022-11-18 17:00:00,REN/USD,Buy,988430.2725953623,988430.2725953623,0.0757,0.0765,0.0
2022-11-18 19:00:00,REN/USD,Buy,988430.2725953623,988430.2725953623,0.0755,0.0765,0.0
2022-11-18 20:00:00,REN/USD,Sell,988430.2725953623,989722.3383111733,0.0766,0.0765,0.001307189542483712
2022-11-19 00:00:00,REN/USD,Buy,989722.3383111733,989722.3383111733,0.0755,0.0755,0.0
2022-11-19 03:00:00,REN/USD,Buy,989722.3383111733,989722.3383111733,0.0756,0.0755,0.0
