Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,RLC/USD,Sell,1000000.0,1000000.0,0.87,0.87,0.0
2022-11-17 07:00:00,RLC/USD,Sell,1000000.0,1000000.0,0.874,0.87,0.0
2022-11-17 11:00:00,RLC/USD,Buy,1000000.0,1000000.0,0.878,0.878,0.0
2022-11-17 14:00:00,RLC/USD,Sell,1000000.0,1004555.8086560365,0.882,0.878,0.004555808656036504
2022-11-17 15:00:00,RLC/USD,Sell,1004555.8086560365,1004555.8086560365,0.89,0.878,0.0
2022-11-18 02:00:00,RLC/USD,Sell,1004555.8086560365,1004555.8086560365,0.886,0.878,0.0
2022-11-19 01:00:00,RLC/USD,Sell,1004555.8086560365,1004555.8086560365,0.89,0.878,0.0
2022-11-19 04:00:00,RLC/USD,Buy,1004555.8086560365,1004555.8086560365,0.847,0.847,0.0
2022-11-19 10:00:00,RLC/USD,Sell,1004555.8086560365,991509.6293228412,0.836,0.847,-0.012987012987013031
2022-11-19 14:00:00,RLC/USD,Buy,991509.6293228412,991509.6293228412,0.859,0.859,0.0
2022-11-19 23:00:00,RLC/USD,Sell,991509.6293228412,990355.3689860277,0.858,0.859,-0.0011641443538998482
2022-11-20 02:00:00,RLC/USD,Sell,990355.3689860277,990355.3689860277,0.865,0.859,0.0
2022-11-20 06:00:00,RLC/USD,Buy,990355.3689860277,990355.3689860277,0.906,0.906,0.0
2022-11-20 07:00:00,RLC/USD,Sell,990355.3689860277,1060314.247148396,0.97,0.906,0.07064017660044142
2022-11-20 08:00:00,RLC/USD,Sell,1060314.247148396,1060314.247148396,1.066,0.906,0.0
2022-11-20 09:00:00,RLC/USD,Sell,1060314.247148396,1060314.247148396,1.123,0.906,0.0
2022-11-20 10:00:00,RLC/USD,Sell,1060314.247148396,1060314.247148396,1.35,0.906,0.0
2022-11-20 12:00:00,RLC/USD,Sell,1060314.247148396,1060314.247148396,1.177,0.906,0.0
2022-11-20 13:00:00,RLC/USD,Buy,1060314.247148396,1060314.247148396,1.127,1.127,0.0
2022-11-20 14:00:00,RLC/USD,Buy,1060314.247148396,1060314.247148396,1.08,1.127,0.0
2022-11-20 15:00:00,RLC/USD,Buy,1060314.247148396,1060314.247148396,1.064,1.127,0.0
2022-11-20 16:00:00,RLC/USD,Buy,1060314.247148396,1060314.247148396,1.105,1.127,0.0
2022-11-20 17:00:00,RLC/USD,Buy,1060314.247148396,1060314.247148396,1.093,1.127,0.0
2022-11-20 18:00:00,RLC/USD,Sell,1060314.247148396,1071604.1947666574,1.139,1.127,0.010647737355811804
2022-11-20 19:00:00,RLC/USD,Sell,1071604.1947666574,1071604.1947666574,1.157,1.127,0.0
2022-11-20 20:00:00,RLC/USD,Sell,1071604.1947666574,1071604.1947666574,1.112,1.127,0.0
2022-11-20 21:00:00,RLC/USD,Buy,1071604.1947666574,1071604.1947666574,1.093,1.093,0.0
2022-11-20 22:00:00,RLC/USD,Buy,1071604.1947666574,1071604.1947666574,1.038,1.093,0.0
2022-11-20 23:00:00,RLC/USD,Buy,1071604.1947666574,1071604.1947666574,1.032,1.093,0.0
2022-11-21 00:00:00,RLC/USD,Sell,1071604.1947666574,1064741.2218816013,1.086,1.093,-0.0064043915827994525
2022-11-21 01:00:00,RLC/USD,Buy,1064741.2218816013,1064741.2218816013,1.046,1.046,0.0
2022-11-21 02:00:00,RLC/USD,Buy,1064741.2218816013,1064741.2218816013,1.019,1.046,0.0
2022-11-21 03:00:00,RLC/USD,Buy,1064741.2218816013,1064741.2218816013,1.018,1.046,0.0
2022-11-21 04:00:00,RLC/USD,Sell,1064741.2218816013,1217428.77760076,1.196,1.046,0.14340344168260036
2022-11-21 05:00:00,RLC/USD,Sell,1217428.77760076,1217428.77760076,1.239,1.046,0.0
2022-11-21 06:00:00,RLC/USD,Sell,1217428.77760076,1217428.77760076,1.145,1.046,0.0
2022-11-21 07:00:00,RLC/USD,Buy,1217428.77760076,1217428.77760076,1.069,1.069,0.0
2022-11-21 09:00:00,RLC/USD,Sell,1217428.77760076,1255010.7697998483,1.102,1.069,0.030869971936389316
2022-11-21 12:00:00,RLC/USD,Buy,1255010.7697998483,1255010.7697998483,1.073,1.073,0.0
2022-11-21 13:00:00,RLC/USD,Sell,1255010.7697998483,1301795.8870337664,1.113,1.073,0.03727865796831324
2022-11-21 14:00:00,RLC/USD,Sell,1301795.8870337664,1301795.8870337664,1.132,1.073,0.0
2022-11-21 15:00:00,RLC/USD,Sell,1301795.8870337664,1301795.8870337664,1.229,1.073,0.0
2022-11-21 16:00:00,RLC/USD,Sell,1301795.8870337664,1301795.8870337664,1.266,1.073,0.0
2022-11-21 17:00:00,RLC/USD,Sell,1301795.8870337664,1301795.8870337664,1.278,1.073,0.0
2022-11-21 18:00:00,RLC/USD,Buy,1301795.8870337664,1301795.8870337664,1.163,1.163,0.0
2022-11-21 19:00:00,RLC/USD,Buy,1301795.8870337664,1301795.8870337664,1.144,1.163,0.0
2022-11-21 20:00:00,RLC/USD,Buy,1301795.8870337664,1301795.8870337664,1.179,1.163,0.0
2022-11-21 21:00:00,RLC/USD,Sell,1301795.8870337664,1332018.147523802,1.19,1.163,0.023215821152192444
2022-11-21 22:00:00,RLC/USD,Buy,1332018.147523802,1332018.147523802,1.153,1.153,0.0
2022-11-21 23:00:00,RLC/USD,Buy,1332018.147523802,1332018.147523802,1.177,1.153,0.0
2022-11-22 00:00:00,RLC/USD,Buy,1332018.147523802,1332018.147523802,1.173,1.153,0.0
2022-11-22 01:00:00,RLC/USD,Buy,1332018.147523802,1332018.147523802,1.135,1.153,0.0
2022-11-22 02:00:00,RLC/USD,Buy,1332018.147523802,1332018.147523802,1.13,1.153,0.0
2022-11-22 03:00:00,RLC/USD,Buy,1332018.147523802,1332018.147523802,1.133,1.153,0.0
2022-11-22 04:00:00,RLC/USD,Buy,1332018.147523802,1332018.147523802,1.115,1.153,0.0
2022-11-22 05:00:00,RLC/USD,Buy,1332018.147523802,1332018.147523802,1.125,1.153,0.0
2022-11-22 07:00:00,RLC/USD,Sell,1332018.147523802,1362054.9834610256,1.179,1.153,0.0225498699045967
2022-11-22 08:00:00,RLC/USD,Sell,1362054.9834610256,1362054.9834610256,1.169,1.153,0.0
2022-11-22 09:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.147,1.147,0.0
2022-11-22 10:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.115,1.147,0.0
2022-11-22 11:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.12,1.147,0.0
2022-11-22 12:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.128,1.147,0.0
2022-11-22 13:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.113,1.147,0.0
2022-11-22 14:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.096,1.147,0.0
2022-11-22 15:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.1,1.147,0.0
2022-11-22 16:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.073,1.147,0.0
2022-11-22 17:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.063,1.147,0.0
2022-11-22 18:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.051,1.147,0.0
2022-11-22 19:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.046,1.147,0.0
2022-11-22 20:00:00,RLC/USD,Buy,1362054.9834610256,1362054.9834610256,1.052,1.147,0.0
2022-11-22 21:00:00,RLC/USD,Sell,1362054.9834610256,1252805.5863569153,1.055,1.147,-0.08020924149956421
2022-11-22 22:00:00,RLC/USD,Buy,1252805.5863569153,1252805.5863569153,1.049,1.049,0.0
2022-11-22 23:00:00,RLC/USD,Buy,1252805.5863569153,1252805.5863569153,1.056,1.049,0.0
2022-11-23 00:00:00,RLC/USD,Buy,1252805.5863569153,1252805.5863569153,1.049,1.049,0.0
2022-11-23 01:00:00,RLC/USD,Sell,1252805.5863569153,1262359.8710955763,1.057,1.049,0.007626310772164035
2022-11-23 02:00:00,RLC/USD,Sell,1262359.8710955763,1262359.8710955763,1.079,1.049,0.0
2022-11-23 03:00:00,RLC/USD,Sell,1262359.8710955763,1262359.8710955763,1.161,1.049,0.0
2022-11-23 05:00:00,RLC/USD,Sell,1262359.8710955763,1262359.8710955763,1.154,1.049,0.0
2022-11-23 07:00:00,RLC/USD,Buy,1262359.8710955763,1262359.8710955763,1.121,1.121,0.0
2022-11-23 08:00:00,RLC/USD,Sell,1262359.8710955763,1345691.3880100034,1.195,1.121,0.0660124888492418
2022-11-23 09:00:00,RLC/USD,Sell,1345691.3880100034,1345691.3880100034,1.145,1.121,0.0
2022-11-23 10:00:00,RLC/USD,Buy,1345691.3880100034,1345691.3880100034,1.141,1.141,0.0
2022-11-23 11:00:00,RLC/USD,Buy,1345691.3880100034,1345691.3880100034,1.13,1.141,0.0
2022-11-23 12:00:00,RLC/USD,Buy,1345691.3880100034,1345691.3880100034,1.138,1.141,0.0
2022-11-23 13:00:00,RLC/USD,Buy,1345691.3880100034,1345691.3880100034,1.107,1.141,0.0
2022-11-23 14:00:00,RLC/USD,Buy,1345691.3880100034,1345691.3880100034,1.111,1.141,0.0
2022-11-23 15:00:00,RLC/USD,Buy,1345691.3880100034,1345691.3880100034,1.083,1.141,0.0
2022-11-23 16:00:00,RLC/USD,Buy,1345691.3880100034,1345691.3880100034,1.084,1.141,0.0
2022-11-23 17:00:00,RLC/USD,Buy,1345691.3880100034,1345691.3880100034,1.086,1.141,0.0
2022-11-23 18:00:00,RLC/USD,Sell,1345691.3880100034,1298515.5286582066,1.101,1.141,-0.035056967572305
2022-11-23 20:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.096,1.141,0.0
2022-11-23 23:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.099,1.141,0.0
2022-11-24 00:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.133,1.141,0.0
2022-11-24 01:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.147,1.141,0.0
2022-11-24 02:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.129,1.141,0.0
2022-11-24 03:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.177,1.141,0.0
2022-11-24 04:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.147,1.141,0.0
2022-11-24 05:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.166,1.141,0.0
2022-11-24 06:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.286,1.141,0.0
2022-11-24 07:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.273,1.141,0.0
2022-11-24 08:00:00,RLC/USD,Sell,1298515.5286582066,1298515.5286582066,1.248,1.141,0.0
2022-11-24 09:00:00,RLC/USD,Buy,1298515.5286582066,1298515.5286582066,1.24,1.24,0.0
2022-11-24 10:00:00,RLC/USD,Sell,1298515.5286582066,1284902.0594061448,1.227,1.24,-0.0104838709677419
2022-11-24 11:00:00,RLC/USD,Buy,1284902.0594061448,1284902.0594061448,1.21,1.21,0.0
2022-11-24 12:00:00,RLC/USD,Buy,1284902.0594061448,1284902.0594061448,1.227,1.21,0.0
2022-11-24 13:00:00,RLC/USD,Buy,1284902.0594061448,1284902.0594061448,1.218,1.21,0.0
2022-11-24 14:00:00,RLC/USD,Buy,1284902.0594061448,1284902.0594061448,1.204,1.21,0.0
2022-11-24 15:00:00,RLC/USD,Buy,1284902.0594061448,1284902.0594061448,1.197,1.21,0.0
2022-11-24 16:00:00,RLC/USD,Sell,1284902.0594061448,1302954.402389537,1.227,1.21,0.014049586776859647
2022-11-24 17:00:00,RLC/USD,Buy,1302954.402389537,1302954.402389537,1.165,1.165,0.0
2022-11-24 18:00:00,RLC/USD,Buy,1302954.402389537,1302954.402389537,1.167,1.165,0.0
2022-11-24 19:00:00,RLC/USD,Buy,1302954.402389537,1302954.402389537,1.153,1.165,0.0
