Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,SAND/USD,Sell,1000000.0,1000000.0,0.5904,0.5904,0.0
2022-11-17 01:00:00,SAND/USD,Sell,1000000.0,1000000.0,0.5853,0.5904,0.0
2022-11-17 02:00:00,SAND/USD,Sell,1000000.0,1000000.0,0.5868,0.5904,0.0
2022-11-17 03:00:00,SAND/USD,Buy,1000000.0,1000000.0,0.5786,0.5786,0.0
2022-11-17 04:00:00,SAND/USD,Buy,1000000.0,1000000.0,0.579,0.5786,0.0
2022-11-17 05:00:00,SAND/USD,Buy,1000000.0,1000000.0,0.5823,0.5786,0.0
2022-11-17 06:00:00,SAND/USD,Sell,1000000.0,1009160.0414794331,0.5839,0.5786,0.009160041479433072
2022-11-17 08:00:00,SAND/USD,Sell,1009160.0414794331,1009160.0414794331,0.5824,0.5786,0.0
2022-11-17 09:00:00,SAND/USD,Buy,1009160.0414794331,1009160.0414794331,0.576,0.576,0.0
2022-11-17 10:00:00,SAND/USD,Buy,1009160.0414794331,1009160.0414794331,0.5753,0.576,0.0
2022-11-17 11:00:00,SAND/USD,Buy,1009160.0414794331,1009160.0414794331,0.5773,0.576,0.0
2022-11-17 12:00:00,SAND/USD,Buy,1009160.0414794331,1009160.0414794331,0.5723,0.576,0.0
2022-11-17 13:00:00,SAND/USD,Buy,1009160.0414794331,1009160.0414794331,0.5689,0.576,0.0
2022-11-17 14:00:00,SAND/USD,Buy,1009160.0414794331,1009160.0414794331,0.5666,0.576,0.0
2022-11-17 15:00:00,SAND/USD,Buy,1009160.0414794331,1009160.0414794331,0.569,0.576,0.0
2022-11-17 16:00:00,SAND/USD,Sell,1009160.0414794331,1007933.6317068019,0.5753,0.576,-0.0012152777777776535
2022-11-17 17:00:00,SAND/USD,Sell,1007933.6317068019,1007933.6317068019,0.5784,0.576,0.0
2022-11-17 18:00:00,SAND/USD,Sell,1007933.6317068019,1007933.6317068019,0.5793,0.576,0.0
2022-11-17 19:00:00,SAND/USD,Sell,1007933.6317068019,1007933.6317068019,0.5797,0.576,0.0
2022-11-17 20:00:00,SAND/USD,Sell,1007933.6317068019,1007933.6317068019,0.582,0.576,0.0
2022-11-17 21:00:00,SAND/USD,Sell,1007933.6317068019,1007933.6317068019,0.5795,0.576,0.0
2022-11-17 22:00:00,SAND/USD,Buy,1007933.6317068019,1007933.6317068019,0.5793,0.5793,0.0
2022-11-17 23:00:00,SAND/USD,Buy,1007933.6317068019,1007933.6317068019,0.577,0.5793,0.0
2022-11-18 01:00:00,SAND/USD,Sell,1007933.6317068019,1021156.9971495287,0.5869,0.5793,0.013119281891938407
2022-11-18 02:00:00,SAND/USD,Sell,1021156.9971495287,1021156.9971495287,0.5874,0.5793,0.0
2022-11-18 03:00:00,SAND/USD,Buy,1021156.9971495287,1021156.9971495287,0.5866,0.5866,0.0
2022-11-18 04:00:00,SAND/USD,Buy,1021156.9971495287,1021156.9971495287,0.5832,0.5866,0.0
2022-11-18 05:00:00,SAND/USD,Buy,1021156.9971495287,1021156.9971495287,0.5853,0.5866,0.0
2022-11-18 07:00:00,SAND/USD,Sell,1021156.9971495287,1015760.4975055404,0.5835,0.5866,-0.005284691442209363
2022-11-18 09:00:00,SAND/USD,Buy,1015760.4975055404,1015760.4975055404,0.5832,0.5832,0.0
2022-11-18 10:00:00,SAND/USD,Sell,1015760.4975055404,1020463.0924013993,0.5859,0.5832,0.004629629629629547
2022-11-18 12:00:00,SAND/USD,Sell,1020463.0924013993,1020463.0924013993,0.5868,0.5832,0.0
2022-11-18 13:00:00,SAND/USD,Buy,1020463.0924013993,1020463.0924013993,0.5867,0.5867,0.0
2022-11-18 14:00:00,SAND/USD,Buy,1020463.0924013993,1020463.0924013993,0.5845,0.5867,0.0
