Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,SKL/USD,Sell,1000000.0,1000000.0,0.0286,0.0286,0.0
2022-11-17 01:00:00,SKL/USD,Sell,1000000.0,1000000.0,0.0288,0.0286,0.0
2022-11-17 04:00:00,SKL/USD,Buy,1000000.0,1000000.0,0.0286,0.0286,0.0
2022-11-17 05:00:00,SKL/USD,Buy,1000000.0,1000000.0,0.0282,0.0286,0.0
2022-11-17 07:00:00,SKL/USD,Sell,1000000.0,1003496.5034965035,0.0287,0.0286,0.0034965034965034575
2022-11-17 08:00:00,SKL/USD,Buy,1003496.5034965035,1003496.5034965035,0.0281,0.0281,0.0
2022-11-17 09:00:00,SKL/USD,Buy,1003496.5034965035,1003496.5034965035,0.0274,0.0281,0.0
2022-11-17 11:00:00,SKL/USD,Buy,1003496.5034965035,1003496.5034965035,0.0271,0.0281,0.0
2022-11-17 12:00:00,SKL/USD,Buy,1003496.5034965035,1003496.5034965035,0.0273,0.0281,0.0
2022-11-17 13:00:00,SKL/USD,Buy,1003496.5034965035,1003496.5034965035,0.0268,0.0281,0.0
2022-11-17 14:00:00,SKL/USD,Buy,1003496.5034965035,1003496.5034965035,0.0267,0.0281,0.0
2022-11-17 16:00:00,SKL/USD,Sell,1003496.5034965035,964213.7222208396,0.027,0.0281,-0.03914590747330965
2022-11-17 17:00:00,SKL/USD,Sell,964213.7222208396,964213.7222208396,0.0269,0.0281,0.0
2022-11-17 18:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0268,0.0268,0.0
2022-11-17 19:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0266,0.0268,0.0
2022-11-17 20:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0267,0.0268,0.0
2022-11-17 21:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0265,0.0268,0.0
2022-11-17 22:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0266,0.0268,0.0
2022-11-17 23:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0264,0.0268,0.0
2022-11-18 00:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0267,0.0268,0.0
2022-11-18 01:00:00,SKL/USD,Sell,964213.7222208396,964213.7222208396,0.0268,0.0268,0.0
2022-11-18 03:00:00,SKL/USD,Sell,964213.7222208396,964213.7222208396,0.027,0.0268,0.0
2022-11-18 07:00:00,SKL/USD,Sell,964213.7222208396,964213.7222208396,0.0269,0.0268,0.0
2022-11-18 11:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0267,0.0267,0.0
2022-11-18 12:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0265,0.0267,0.0
2022-11-18 14:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0266,0.0267,0.0
2022-11-18 15:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0264,0.0267,0.0
2022-11-18 16:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0261,0.0267,0.0
2022-11-18 18:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.026,0.0267,0.0
2022-11-18 20:00:00,SKL/USD,Buy,964213.7222208396,964213.7222208396,0.0258,0.0267,0.0
2022-11-18 22:00:00,SKL/USD,Sell,964213.7222208396,942545.9981259892,0.0261,0.0267,-0.022471910112359585
2022-11-19 01:00:00,SKL/USD,Sell,942545.9981259892,942545.9981259892,0.0263,0.0267,0.0
2022-11-19 03:00:00,SKL/USD,Buy,942545.9981259892,942545.9981259892,0.026,0.026,0.0
2022-11-19 05:00:00,SKL/USD,Sell,942545.9981259892,953421.5288735968,0.0263,0.026,0.011538461538461555
2022-11-19 06:00:00,SKL/USD,Buy,953421.5288735968,953421.5288735968,0.0259,0.0259,0.0
2022-11-19 07:00:00,SKL/USD,Buy,953421.5288735968,953421.5288735968,0.026,0.0259,0.0
2022-11-19 08:00:00,SKL/USD,Buy,953421.5288735968,953421.5288735968,0.0258,0.0259,0.0
2022-11-19 11:00:00,SKL/USD,Sell,953421.5288735968,953421.5288735968,0.0259,0.0259,0.0
2022-11-19 13:00:00,SKL/USD,Sell,953421.5288735968,953421.5288735968,0.0261,0.0259,0.0
2022-11-19 14:00:00,SKL/USD,Buy,953421.5288735968,953421.5288735968,0.0257,0.0257,0.0
2022-11-19 15:00:00,SKL/USD,Buy,953421.5288735968,953421.5288735968,0.026,0.0257,0.0
2022-11-19 16:00:00,SKL/USD,Sell,953421.5288735968,975680.3972519687,0.0263,0.0257,0.023346303501945546
2022-11-19 17:00:00,SKL/USD,Sell,975680.3972519687,975680.3972519687,0.0262,0.0257,0.0
2022-11-19 18:00:00,SKL/USD,Buy,975680.3972519687,975680.3972519687,0.026,0.026,0.0
2022-11-19 21:00:00,SKL/USD,Sell,975680.3972519687,979433.0141644764,0.0261,0.026,0.0038461538461539617
2022-11-19 22:00:00,SKL/USD,Sell,979433.0141644764,979433.0141644764,0.0262,0.026,0.0
2022-11-19 23:00:00,SKL/USD,Sell,979433.0141644764,979433.0141644764,0.0261,0.026,0.0
2022-11-20 00:00:00,SKL/USD,Sell,979433.0141644764,979433.0141644764,0.0263,0.026,0.0
2022-11-20 01:00:00,SKL/USD,Sell,979433.0141644764,979433.0141644764,0.0264,0.026,0.0
2022-11-20 08:00:00,SKL/USD,Sell,979433.0141644764,979433.0141644764,0.0263,0.026,0.0
2022-11-20 11:00:00,SKL/USD,Buy,979433.0141644764,979433.0141644764,0.0261,0.0261,0.0
2022-11-20 12:00:00,SKL/USD,Buy,979433.0141644764,979433.0141644764,0.0256,0.0261,0.0
2022-11-20 13:00:00,SKL/USD,Buy,979433.0141644764,979433.0141644764,0.026,0.0261,0.0
2022-11-20 16:00:00,SKL/USD,Sell,979433.0141644764,971927.7803394612,0.0259,0.0261,-0.007662835249042256
2022-11-20 17:00:00,SKL/USD,Buy,971927.7803394612,971927.7803394612,0.0255,0.0255,0.0
2022-11-20 18:00:00,SKL/USD,Buy,971927.7803394612,971927.7803394612,0.0257,0.0255,0.0
2022-11-20 19:00:00,SKL/USD,Buy,971927.7803394612,971927.7803394612,0.0256,0.0255,0.0
2022-11-20 20:00:00,SKL/USD,Buy,971927.7803394612,971927.7803394612,0.0253,0.0255,0.0
2022-11-20 21:00:00,SKL/USD,Buy,971927.7803394612,971927.7803394612,0.025,0.0255,0.0
2022-11-20 22:00:00,SKL/USD,Buy,971927.7803394612,971927.7803394612,0.0248,0.0255,0.0
2022-11-20 23:00:00,SKL/USD,Buy,971927.7803394612,971927.7803394612,0.0247,0.0255,0.0
2022-11-21 00:00:00,SKL/USD,Buy,971927.7803394612,971927.7803394612,0.0246,0.0255,0.0
2022-11-21 01:00:00,SKL/USD,Buy,971927.7803394612,971927.7803394612,0.0247,0.0255,0.0
2022-11-21 02:00:00,SKL/USD,Buy,971927.7803394612,971927.7803394612,0.0241,0.0255,0.0
2022-11-21 05:00:00,SKL/USD,Sell,971927.7803394612,926190.0024411336,0.0243,0.0255,-0.04705882352941174
2022-11-21 07:00:00,SKL/USD,Sell,926190.0024411336,926190.0024411336,0.0245,0.0255,0.0
2022-11-21 10:00:00,SKL/USD,Buy,926190.0024411336,926190.0024411336,0.0243,0.0243,0.0
2022-11-21 12:00:00,SKL/USD,Sell,926190.0024411336,933812.9654241883,0.0245,0.0243,0.00823045267489722
2022-11-21 15:00:00,SKL/USD,Sell,933812.9654241883,933812.9654241883,0.0246,0.0243,0.0
2022-11-21 18:00:00,SKL/USD,Buy,933812.9654241883,933812.9654241883,0.0245,0.0245,0.0
2022-11-21 19:00:00,SKL/USD,Buy,933812.9654241883,933812.9654241883,0.0239,0.0245,0.0
2022-11-21 20:00:00,SKL/USD,Buy,933812.9654241883,933812.9654241883,0.0244,0.0245,0.0
2022-11-21 22:00:00,SKL/USD,Sell,933812.9654241883,937624.4469157156,0.0246,0.0245,0.004081632653061212
2022-11-21 23:00:00,SKL/USD,Buy,937624.4469157156,937624.4469157156,0.0244,0.0244,0.0
2022-11-22 02:00:00,SKL/USD,Sell,937624.4469157156,952995.3394881042,0.0248,0.0244,0.016393442622950664
2022-11-22 03:00:00,SKL/USD,Sell,952995.3394881042,952995.3394881042,0.0249,0.0244,0.0
2022-11-22 04:00:00,SKL/USD,Sell,952995.3394881042,952995.3394881042,0.025,0.0244,0.0
2022-11-22 07:00:00,SKL/USD,Buy,952995.3394881042,952995.3394881042,0.0246,0.0246,0.0
2022-11-22 11:00:00,SKL/USD,Buy,952995.3394881042,952995.3394881042,0.0238,0.0246,0.0
2022-11-22 12:00:00,SKL/USD,Sell,952995.3394881042,925877.5859254346,0.0239,0.0246,-0.028455284552845513
2022-11-22 13:00:00,SKL/USD,Sell,925877.5859254346,925877.5859254346,0.0244,0.0246,0.0
2022-11-22 15:00:00,SKL/USD,Sell,925877.5859254346,925877.5859254346,0.0248,0.0246,0.0
2022-11-22 16:00:00,SKL/USD,Sell,925877.5859254346,925877.5859254346,0.0249,0.0246,0.0
2022-11-22 19:00:00,SKL/USD,Buy,925877.5859254346,925877.5859254346,0.0247,0.0247,0.0
2022-11-22 21:00:00,SKL/USD,Sell,925877.5859254346,937123.0626775655,0.025,0.0247,0.012145748987854373
2022-11-23 00:00:00,SKL/USD,Sell,937123.0626775655,937123.0626775655,0.0253,0.0247,0.0
2022-11-23 01:00:00,SKL/USD,Buy,937123.0626775655,937123.0626775655,0.0248,0.0248,0.0
2022-11-23 02:00:00,SKL/USD,Sell,937123.0626775655,967352.8388929709,0.0256,0.0248,0.032258064516129135
2022-11-23 03:00:00,SKL/USD,Sell,967352.8388929709,967352.8388929709,0.0258,0.0248,0.0
2022-11-23 07:00:00,SKL/USD,Sell,967352.8388929709,967352.8388929709,0.0257,0.0248,0.0
2022-11-23 11:00:00,SKL/USD,Buy,967352.8388929709,967352.8388929709,0.026,0.026,0.0
2022-11-23 12:00:00,SKL/USD,Buy,967352.8388929709,967352.8388929709,0.0255,0.026,0.0
