Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,SLP/USD,Buy,1000000.0,1000000.0,0.0024,0.0024,0.0
2022-11-17 01:00:00,SLP/USD,Sell,1000000.0,1041666.6666666667,0.0025,0.0024,0.04166666666666675
2022-11-17 05:00:00,SLP/USD,Buy,1041666.6666666667,1041666.6666666667,0.0024,0.0024,0.0
2022-11-17 18:00:00,SLP/USD,Sell,1041666.6666666667,1085069.4444444447,0.0025,0.0024,0.041666666666666866
2022-11-17 20:00:00,SLP/USD,Buy,1085069.4444444447,1085069.4444444447,0.0024,0.0024,0.0
2022-11-17 23:00:00,SLP/USD,Sell,1085069.4444444447,1130280.6712962966,0.0025,0.0024,0.04166666666666671
2022-11-18 03:00:00,SLP/USD,Buy,1130280.6712962966,1130280.6712962966,0.0024,0.0024,0.0
2022-11-18 04:00:00,SLP/USD,Sell,1130280.6712962966,1177375.6992669757,0.0025,0.0024,0.041666666666666734
2022-11-18 12:00:00,SLP/USD,Sell,1177375.6992669757,1177375.6992669757,0.0024,0.0024,0.0
2022-11-18 16:00:00,SLP/USD,Buy,1177375.6992669757,1177375.6992669757,0.0026,0.0026,0.0
2022-11-18 18:00:00,SLP/USD,Buy,1177375.6992669757,1177375.6992669757,0.0025,0.0026,0.0
2022-11-18 20:00:00,SLP/USD,Buy,1177375.6992669757,1177375.6992669757,0.0024,0.0026,0.0
2022-11-19 03:00:00,SLP/USD,Sell,1177375.6992669757,1177375.6992669757,0.0026,0.0026,0.0
2022-11-19 05:00:00,SLP/USD,Buy,1177375.6992669757,1177375.6992669757,0.0024,0.0024,0.0
2022-11-19 08:00:00,SLP/USD,Buy,1177375.6992669757,1177375.6992669757,0.0025,0.0024,0.0
2022-11-19 09:00:00,SLP/USD,Sell,1177375.6992669757,1275490.3408725571,0.0026,0.0024,0.0833333333333334
2022-11-19 13:00:00,SLP/USD,Buy,1275490.3408725571,1275490.3408725571,0.0025,0.0025,0.0
2022-11-19 15:00:00,SLP/USD,Buy,1275490.3408725571,1275490.3408725571,0.0024,0.0025,0.0
2022-11-19 16:00:00,SLP/USD,Sell,1275490.3408725571,1326509.9545074594,0.0026,0.0025,0.04
2022-11-19 20:00:00,SLP/USD,Buy,1326509.9545074594,1326509.9545074594,0.0027,0.0027,0.0
2022-11-20 03:00:00,SLP/USD,Sell,1326509.9545074594,1228249.9578772772,0.0025,0.0027,-0.07407407407407414
2022-11-20 04:00:00,SLP/USD,Sell,1228249.9578772772,1228249.9578772772,0.0026,0.0027,0.0
2022-11-20 09:00:00,SLP/USD,Sell,1228249.9578772772,1228249.9578772772,0.0025,0.0027,0.0
2022-11-20 10:00:00,SLP/USD,Sell,1228249.9578772772,1228249.9578772772,0.0026,0.0027,0.0
2022-11-20 18:00:00,SLP/USD,Sell,1228249.9578772772,1228249.9578772772,0.0025,0.0027,0.0
2022-11-20 19:00:00,SLP/USD,Sell,1228249.9578772772,1228249.9578772772,0.0026,0.0027,0.0
2022-11-20 21:00:00,SLP/USD,Buy,1228249.9578772772,1228249.9578772772,0.0025,0.0025,0.0
2022-11-20 22:00:00,SLP/USD,Buy,1228249.9578772772,1228249.9578772772,0.0024,0.0025,0.0
2022-11-20 23:00:00,SLP/USD,Sell,1228249.9578772772,1228249.9578772772,0.0025,0.0025,0.0
2022-11-21 00:00:00,SLP/USD,Buy,1228249.9578772772,1228249.9578772772,0.0023,0.0023,0.0
2022-11-21 01:00:00,SLP/USD,Sell,1228249.9578772772,1335054.3020405187,0.0025,0.0023,0.08695652173913049
2022-11-21 02:00:00,SLP/USD,Buy,1335054.3020405187,1335054.3020405187,0.0023,0.0023,0.0
2022-11-21 03:00:00,SLP/USD,Sell,1335054.3020405187,1451145.9804788248,0.0025,0.0023,0.08695652173913052
2022-11-21 10:00:00,SLP/USD,Sell,1451145.9804788248,1451145.9804788248,0.0024,0.0023,0.0
2022-11-21 14:00:00,SLP/USD,Buy,1451145.9804788248,1451145.9804788248,0.0025,0.0025,0.0
2022-11-21 16:00:00,SLP/USD,Buy,1451145.9804788248,1451145.9804788248,0.0024,0.0025,0.0
2022-11-21 18:00:00,SLP/USD,Sell,1451145.9804788248,1451145.9804788248,0.0025,0.0025,0.0
2022-11-22 08:00:00,SLP/USD,Sell,1451145.9804788248,1451145.9804788248,0.0024,0.0025,0.0
2022-11-22 10:00:00,SLP/USD,Buy,1451145.9804788248,1451145.9804788248,0.0023,0.0023,0.0
2022-11-22 19:00:00,SLP/USD,Sell,1451145.9804788248,1514239.2839779041,0.0024,0.0023,0.043478260869565195
2022-11-23 06:00:00,SLP/USD,Sell,1514239.2839779041,1514239.2839779041,0.0025,0.0023,0.0
2022-11-23 07:00:00,SLP/USD,Sell,1514239.2839779041,1514239.2839779041,0.0026,0.0023,0.0
2022-11-23 11:00:00,SLP/USD,Buy,1514239.2839779041,1514239.2839779041,0.0024,0.0024,0.0
2022-11-23 12:00:00,SLP/USD,Sell,1514239.2839779041,1577332.5874769837,0.0025,0.0024,0.0416666666666668
2022-11-23 15:00:00,SLP/USD,Buy,1577332.5874769837,1577332.5874769837,0.0024,0.0024,0.0
2022-11-23 23:00:00,SLP/USD,Sell,1577332.5874769837,1643054.7786218582,0.0025,0.0024,0.04166666666666682
2022-11-24 12:00:00,SLP/USD,Sell,1643054.7786218582,1643054.7786218582,0.0026,0.0024,0.0
2022-11-24 17:00:00,SLP/USD,Sell,1643054.7786218582,1643054.7786218582,0.0025,0.0024,0.0
2022-11-24 22:00:00,SLP/USD,Sell,1643054.7786218582,1643054.7786218582,0.0026,0.0024,0.0
2022-11-24 23:00:00,SLP/USD,Buy,1643054.7786218582,1643054.7786218582,0.0025,0.0025,0.0
2022-11-25 02:00:00,SLP/USD,Buy,1643054.7786218582,1643054.7786218582,0.0026,0.0025,0.0
2022-11-25 05:00:00,SLP/USD,Buy,1643054.7786218582,1643054.7786218582,0.0024,0.0025,0.0
2022-11-25 06:00:00,SLP/USD,Sell,1643054.7786218582,1643054.7786218582,0.0025,0.0025,0.0
2022-11-25 10:00:00,SLP/USD,Buy,1643054.7786218582,1643054.7786218582,0.0024,0.0024,0.0
2022-11-25 16:00:00,SLP/USD,Sell,1643054.7786218582,1711515.3943977691,0.0025,0.0024,0.041666666666666755
2022-11-25 23:00:00,SLP/USD,Sell,1711515.3943977691,1711515.3943977691,0.0024,0.0024,0.0
2022-11-26 00:00:00,SLP/USD,Sell,1711515.3943977691,1711515.3943977691,0.0026,0.0024,0.0
2022-11-26 03:00:00,SLP/USD,Buy,1711515.3943977691,1711515.3943977691,0.0025,0.0025,0.0
2022-11-26 07:00:00,SLP/USD,Buy,1711515.3943977691,1711515.3943977691,0.0026,0.0025,0.0
2022-11-26 13:00:00,SLP/USD,Sell,1711515.3943977691,1711515.3943977691,0.0025,0.0025,0.0
2022-11-26 18:00:00,SLP/USD,Sell,1711515.3943977691,1711515.3943977691,0.0026,0.0025,0.0
