Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,SUSHI/USD,Sell,1000000.0,1000000.0,1.306,1.306,0.0
2022-11-17 02:00:00,SUSHI/USD,Sell,1000000.0,1000000.0,1.3,1.306,0.0
2022-11-17 03:00:00,SUSHI/USD,Buy,1000000.0,1000000.0,1.288,1.288,0.0
2022-11-17 04:00:00,SUSHI/USD,Sell,1000000.0,1012422.3602484472,1.304,1.288,0.012422360248447162
2022-11-17 05:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.301,1.301,0.0
2022-11-17 06:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.302,1.301,0.0
2022-11-17 07:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.295,1.301,0.0
2022-11-17 08:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.282,1.301,0.0
2022-11-17 09:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.27,1.301,0.0
2022-11-17 10:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.268,1.301,0.0
2022-11-17 11:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.276,1.301,0.0
2022-11-17 12:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.27,1.301,0.0
2022-11-17 13:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.231,1.301,0.0
2022-11-17 14:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.238,1.301,0.0
2022-11-17 15:00:00,SUSHI/USD,Buy,1012422.3602484472,1012422.3602484472,1.229,1.301,0.0
2022-11-17 16:00:00,SUSHI/USD,Sell,1012422.3602484472,968065.6542268011,1.244,1.301,-0.04381245196003075
2022-11-17 17:00:00,SUSHI/USD,Sell,968065.6542268011,968065.6542268011,1.246,1.301,0.0
2022-11-17 18:00:00,SUSHI/USD,Sell,968065.6542268011,968065.6542268011,1.252,1.301,0.0
2022-11-17 19:00:00,SUSHI/USD,Buy,968065.6542268011,968065.6542268011,1.238,1.238,0.0
2022-11-17 20:00:00,SUSHI/USD,Buy,968065.6542268011,968065.6542268011,1.233,1.238,0.0
2022-11-17 21:00:00,SUSHI/USD,Sell,968065.6542268011,974321.3288906254,1.246,1.238,0.0064620355411954995
2022-11-17 22:00:00,SUSHI/USD,Sell,974321.3288906254,974321.3288906254,1.249,1.238,0.0
2022-11-17 23:00:00,SUSHI/USD,Buy,974321.3288906254,974321.3288906254,1.23,1.23,0.0
2022-11-18 00:00:00,SUSHI/USD,Buy,974321.3288906254,974321.3288906254,1.237,1.23,0.0
2022-11-18 01:00:00,SUSHI/USD,Sell,974321.3288906254,984619.0339927216,1.243,1.23,0.01056910569105707
2022-11-18 02:00:00,SUSHI/USD,Sell,984619.0339927216,984619.0339927216,1.251,1.23,0.0
2022-11-18 03:00:00,SUSHI/USD,Sell,984619.0339927216,984619.0339927216,1.253,1.23,0.0
2022-11-18 04:00:00,SUSHI/USD,Buy,984619.0339927216,984619.0339927216,1.245,1.245,0.0
2022-11-18 05:00:00,SUSHI/USD,Buy,984619.0339927216,984619.0339927216,1.241,1.245,0.0
2022-11-18 06:00:00,SUSHI/USD,Buy,984619.0339927216,984619.0339927216,1.237,1.245,0.0
2022-11-18 07:00:00,SUSHI/USD,Buy,984619.0339927216,984619.0339927216,1.229,1.245,0.0
2022-11-18 08:00:00,SUSHI/USD,Buy,984619.0339927216,984619.0339927216,1.217,1.245,0.0
2022-11-18 09:00:00,SUSHI/USD,Buy,984619.0339927216,984619.0339927216,1.225,1.245,0.0
2022-11-18 10:00:00,SUSHI/USD,Buy,984619.0339927216,984619.0339927216,1.231,1.245,0.0
2022-11-18 11:00:00,SUSHI/USD,Sell,984619.0339927216,975919.5887124646,1.234,1.245,-0.0088353413654619
2022-11-18 12:00:00,SUSHI/USD,Sell,975919.5887124646,975919.5887124646,1.233,1.245,0.0
2022-11-18 13:00:00,SUSHI/USD,Buy,975919.5887124646,975919.5887124646,1.226,1.226,0.0
2022-11-18 14:00:00,SUSHI/USD,Buy,975919.5887124646,975919.5887124646,1.219,1.226,0.0
2022-11-18 15:00:00,SUSHI/USD,Buy,975919.5887124646,975919.5887124646,1.206,1.226,0.0
2022-11-18 16:00:00,SUSHI/USD,Buy,975919.5887124646,975919.5887124646,1.198,1.226,0.0
2022-11-18 17:00:00,SUSHI/USD,Buy,975919.5887124646,975919.5887124646,1.2,1.226,0.0
2022-11-18 18:00:00,SUSHI/USD,Buy,975919.5887124646,975919.5887124646,1.195,1.226,0.0
2022-11-18 19:00:00,SUSHI/USD,Sell,975919.5887124646,958407.1654239864,1.204,1.226,-0.01794453507340947
2022-11-18 20:00:00,SUSHI/USD,Sell,958407.1654239864,958407.1654239864,1.213,1.226,0.0
