Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,TFUEL/USD,Sell,1000000.0,1000000.0,0.0433,0.0433,0.0
2022-11-17 01:00:00,TFUEL/USD,Sell,1000000.0,1000000.0,0.0436,0.0433,0.0
2022-11-17 02:00:00,TFUEL/USD,Buy,1000000.0,1000000.0,0.0431,0.0431,0.0
2022-11-17 04:00:00,TFUEL/USD,Buy,1000000.0,1000000.0,0.0427,0.0431,0.0
2022-11-17 05:00:00,TFUEL/USD,Sell,1000000.0,997679.8143851508,0.043,0.0431,-0.002320185614849208
2022-11-17 06:00:00,TFUEL/USD,Buy,997679.8143851508,997679.8143851508,0.0418,0.0418,0.0
2022-11-17 07:00:00,TFUEL/USD,Buy,997679.8143851508,997679.8143851508,0.0425,0.0418,0.0
2022-11-17 08:00:00,TFUEL/USD,Sell,997679.8143851508,1019160.9587140178,0.0427,0.0418,0.021531100478468984
2022-11-17 09:00:00,TFUEL/USD,Buy,1019160.9587140178,1019160.9587140178,0.0421,0.0421,0.0
2022-11-17 10:00:00,TFUEL/USD,Buy,1019160.9587140178,1019160.9587140178,0.0423,0.0421,0.0
2022-11-17 13:00:00,TFUEL/USD,Buy,1019160.9587140178,1019160.9587140178,0.0424,0.0421,0.0
2022-11-17 14:00:00,TFUEL/USD,Buy,1019160.9587140178,1019160.9587140178,0.0418,0.0421,0.0
2022-11-17 17:00:00,TFUEL/USD,Sell,1019160.9587140178,1026423.3883485595,0.0424,0.0421,0.0071258907363420864
2022-11-17 18:00:00,TFUEL/USD,Sell,1026423.3883485595,1026423.3883485595,0.0426,0.0421,0.0
2022-11-17 20:00:00,TFUEL/USD,Sell,1026423.3883485595,1026423.3883485595,0.0428,0.0421,0.0
2022-11-17 22:00:00,TFUEL/USD,Buy,1026423.3883485595,1026423.3883485595,0.0423,0.0423,0.0
2022-11-17 23:00:00,TFUEL/USD,Buy,1026423.3883485595,1026423.3883485595,0.0425,0.0423,0.0
2022-11-18 00:00:00,TFUEL/USD,Sell,1026423.3883485595,1050688.7166783127,0.0433,0.0423,0.023640661938534344
2022-11-18 01:00:00,TFUEL/USD,Sell,1050688.7166783127,1050688.7166783127,0.0442,0.0423,0.0
2022-11-18 03:00:00,TFUEL/USD,Sell,1050688.7166783127,1050688.7166783127,0.0447,0.0423,0.0
2022-11-18 04:00:00,TFUEL/USD,Sell,1050688.7166783127,1050688.7166783127,0.0446,0.0423,0.0
2022-11-18 05:00:00,TFUEL/USD,Sell,1050688.7166783127,1050688.7166783127,0.0465,0.0423,0.0
2022-11-18 06:00:00,TFUEL/USD,Sell,1050688.7166783127,1050688.7166783127,0.0454,0.0423,0.0
2022-11-18 07:00:00,TFUEL/USD,Sell,1050688.7166783127,1050688.7166783127,0.0478,0.0423,0.0
2022-11-18 08:00:00,TFUEL/USD,Sell,1050688.7166783127,1050688.7166783127,0.046,0.0423,0.0
2022-11-18 09:00:00,TFUEL/USD,Sell,1050688.7166783127,1050688.7166783127,0.0468,0.0423,0.0
2022-11-18 10:00:00,TFUEL/USD,Sell,1050688.7166783127,1050688.7166783127,0.0478,0.0423,0.0
2022-11-18 11:00:00,TFUEL/USD,Sell,1050688.7166783127,1050688.7166783127,0.0466,0.0423,0.0
2022-11-18 12:00:00,TFUEL/USD,Buy,1050688.7166783127,1050688.7166783127,0.047,0.047,0.0
2022-11-18 13:00:00,TFUEL/USD,Buy,1050688.7166783127,1050688.7166783127,0.0457,0.047,0.0
2022-11-18 15:00:00,TFUEL/USD,Buy,1050688.7166783127,1050688.7166783127,0.0452,0.047,0.0
2022-11-18 16:00:00,TFUEL/USD,Buy,1050688.7166783127,1050688.7166783127,0.0451,0.047,0.0
2022-11-18 17:00:00,TFUEL/USD,Buy,1050688.7166783127,1050688.7166783127,0.0446,0.047,0.0
2022-11-18 18:00:00,TFUEL/USD,Buy,1050688.7166783127,1050688.7166783127,0.0447,0.047,0.0
2022-11-18 19:00:00,TFUEL/USD,Buy,1050688.7166783127,1050688.7166783127,0.0448,0.047,0.0
2022-11-18 21:00:00,TFUEL/USD,Sell,1050688.7166783127,1014920.5901530937,0.0454,0.047,-0.03404255319148927
2022-11-18 22:00:00,TFUEL/USD,Sell,1014920.5901530937,1014920.5901530937,0.0455,0.047,0.0
2022-11-18 23:00:00,TFUEL/USD,Sell,1014920.5901530937,1014920.5901530937,0.0454,0.047,0.0
2022-11-19 01:00:00,TFUEL/USD,Buy,1014920.5901530937,1014920.5901530937,0.0445,0.0445,0.0
2022-11-19 02:00:00,TFUEL/USD,Buy,1014920.5901530937,1014920.5901530937,0.044,0.0445,0.0
2022-11-19 03:00:00,TFUEL/USD,Buy,1014920.5901530937,1014920.5901530937,0.0446,0.0445,0.0
2022-11-19 04:00:00,TFUEL/USD,Buy,1014920.5901530937,1014920.5901530937,0.0445,0.0445,0.0
2022-11-19 05:00:00,TFUEL/USD,Buy,1014920.5901530937,1014920.5901530937,0.0444,0.0445,0.0
2022-11-19 06:00:00,TFUEL/USD,Buy,1014920.5901530937,1014920.5901530937,0.0433,0.0445,0.0
2022-11-19 07:00:00,TFUEL/USD,Buy,1014920.5901530937,1014920.5901530937,0.0438,0.0445,0.0
2022-11-19 09:00:00,TFUEL/USD,Buy,1014920.5901530937,1014920.5901530937,0.0442,0.0445,0.0
2022-11-19 12:00:00,TFUEL/USD,Buy,1014920.5901530937,1014920.5901530937,0.0439,0.0445,0.0
2022-11-19 13:00:00,TFUEL/USD,Sell,1014920.5901530937,1005797.7084438525,0.0441,0.0445,-0.008988764044943722
2022-11-19 14:00:00,TFUEL/USD,Sell,1005797.7084438525,1005797.7084438525,0.0445,0.0445,0.0
2022-11-19 15:00:00,TFUEL/USD,Sell,1005797.7084438525,1005797.7084438525,0.0449,0.0445,0.0
2022-11-19 17:00:00,TFUEL/USD,Sell,1005797.7084438525,1005797.7084438525,0.0452,0.0445,0.0
2022-11-19 22:00:00,TFUEL/USD,Sell,1005797.7084438525,1005797.7084438525,0.045,0.0445,0.0
2022-11-19 23:00:00,TFUEL/USD,Sell,1005797.7084438525,1005797.7084438525,0.0458,0.0445,0.0
2022-11-20 00:00:00,TFUEL/USD,Sell,1005797.7084438525,1005797.7084438525,0.0455,0.0445,0.0
2022-11-20 02:00:00,TFUEL/USD,Sell,1005797.7084438525,1005797.7084438525,0.0467,0.0445,0.0
2022-11-20 06:00:00,TFUEL/USD,Buy,1005797.7084438525,1005797.7084438525,0.0468,0.0468,0.0
2022-11-20 07:00:00,TFUEL/USD,Buy,1005797.7084438525,1005797.7084438525,0.0461,0.0468,0.0
2022-11-20 08:00:00,TFUEL/USD,Buy,1005797.7084438525,1005797.7084438525,0.0456,0.0468,0.0
2022-11-20 09:00:00,TFUEL/USD,Buy,1005797.7084438525,1005797.7084438525,0.0457,0.0468,0.0
