Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,TUSD/USD,Sell,1000000.0,1000000.0,1.0,1.0,0.0
2022-11-17 20:00:00,TUSD/USD,Sell,1000000.0,1000000.0,0.9997,1.0,0.0
2022-11-17 22:00:00,TUSD/USD,Sell,1000000.0,1000000.0,1.0,1.0,0.0
2022-11-18 01:00:00,TUSD/USD,Buy,1000000.0,1000000.0,0.9997,0.9997,0.0
2022-11-18 07:00:00,TUSD/USD,Sell,1000000.0,1000300.0900270081,1.0,0.9997,0.0003000900270080892
2022-11-20 17:00:00,TUSD/USD,Sell,1000300.0900270081,1000300.0900270081,0.9997,0.9997,0.0
2022-11-21 20:00:00,TUSD/USD,Sell,1000300.0900270081,1000300.0900270081,0.9999,0.9997,0.0
2022-11-21 22:00:00,TUSD/USD,Buy,1000300.0900270081,1000300.0900270081,0.9998,0.9998,0.0
2022-11-22 01:00:00,TUSD/USD,Sell,1000300.0900270081,1000400.1400460146,0.9999,0.9998,0.00010002000400077573
2022-11-24 18:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,0.9998,0.9998,0.0
2022-11-26 14:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,1.0,0.9998,0.0
2022-11-26 15:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,1.0001,0.9998,0.0
2022-11-27 19:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,0.9998,0.9998,0.0
2022-11-28 18:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,1.0001,0.9998,0.0
2022-11-29 03:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,0.9997,0.9998,0.0
2022-11-29 10:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,1.0,0.9998,0.0
2022-11-30 05:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,0.9997,0.9998,0.0
2022-11-30 22:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,0.9998,0.9998,0.0
2022-12-01 14:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,1.0001,0.9998,0.0
2022-12-04 06:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,1.012,0.9998,0.0
2022-12-04 17:00:00,TUSD/USD,Sell,1000400.1400460146,1000400.1400460146,1.0,0.9998,0.0
2022-12-04 21:00:00,TUSD/USD,Buy,1000400.1400460146,1000400.1400460146,1.0003,1.0003,0.0
2022-12-06 07:00:00,TUSD/USD,Sell,1000400.1400460146,1000100.1100130107,1.0,1.0003,-0.0002999100269918873
2022-12-06 16:00:00,TUSD/USD,Sell,1000100.1100130107,1000100.1100130107,1.0003,1.0003,0.0
2022-12-07 00:00:00,TUSD/USD,Sell,1000100.1100130107,1000100.1100130107,0.9999,1.0003,0.0
2022-12-07 19:00:00,TUSD/USD,Sell,1000100.1100130107,1000100.1100130107,1.0002,1.0003,0.0
