Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 00:00:00,UNI/USD,Sell,1000000.0,1000000.0,6.0228,6.0228,0.0
2022-11-17 01:00:00,UNI/USD,Sell,1000000.0,1000000.0,6.0255,6.0228,0.0
2022-11-17 02:00:00,UNI/USD,Buy,1000000.0,1000000.0,5.9731,5.9731,0.0
2022-11-17 03:00:00,UNI/USD,Buy,1000000.0,1000000.0,5.8972,5.9731,0.0
2022-11-17 04:00:00,UNI/USD,Buy,1000000.0,1000000.0,5.9126,5.9731,0.0
2022-11-17 05:00:00,UNI/USD,Sell,1000000.0,997204.1318578294,5.9564,5.9731,-0.0027958681421705986
2022-11-17 06:00:00,UNI/USD,Buy,997204.1318578294,997204.1318578294,5.9071,5.9071,0.0
2022-11-17 07:00:00,UNI/USD,Buy,997204.1318578294,997204.1318578294,5.9152,5.9071,0.0
2022-11-17 08:00:00,UNI/USD,Sell,997204.1318578294,998774.10670611,5.9164,5.9071,0.0015743765976537034
2022-11-17 09:00:00,UNI/USD,Buy,998774.10670611,998774.10670611,5.818,5.818,0.0
2022-11-17 10:00:00,UNI/USD,Buy,998774.10670611,998774.10670611,5.7392,5.818,0.0
2022-11-17 11:00:00,UNI/USD,Buy,998774.10670611,998774.10670611,5.7866,5.818,0.0
2022-11-17 12:00:00,UNI/USD,Buy,998774.10670611,998774.10670611,5.7766,5.818,0.0
2022-11-17 13:00:00,UNI/USD,Buy,998774.10670611,998774.10670611,5.6955,5.818,0.0
2022-11-17 14:00:00,UNI/USD,Buy,998774.10670611,998774.10670611,5.7362,5.818,0.0
2022-11-17 15:00:00,UNI/USD,Sell,998774.10670611,986190.7203153301,5.7447,5.818,-0.012598831213475319
2022-11-17 16:00:00,UNI/USD,Sell,986190.7203153301,986190.7203153301,5.7857,5.818,0.0
2022-11-17 17:00:00,UNI/USD,Sell,986190.7203153301,986190.7203153301,5.766,5.818,0.0
2022-11-17 18:00:00,UNI/USD,Sell,986190.7203153301,986190.7203153301,5.7947,5.818,0.0
2022-11-17 19:00:00,UNI/USD,Sell,986190.7203153301,986190.7203153301,5.7763,5.818,0.0
2022-11-17 20:00:00,UNI/USD,Buy,986190.7203153301,986190.7203153301,5.7616,5.7616,0.0
2022-11-17 21:00:00,UNI/USD,Buy,986190.7203153301,986190.7203153301,5.7644,5.7616,0.0
2022-11-17 22:00:00,UNI/USD,Sell,986190.7203153301,989802.3254595008,5.7827,5.7616,0.0036621771730075705
2022-11-17 23:00:00,UNI/USD,Buy,989802.3254595008,989802.3254595008,5.7232,5.7232,0.0
2022-11-18 00:00:00,UNI/USD,Buy,989802.3254595008,989802.3254595008,5.7634,5.7232,0.0
2022-11-18 01:00:00,UNI/USD,Sell,989802.3254595008,1016418.6551156752,5.8771,5.7232,0.026890550740844316
2022-11-18 02:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,5.939,5.7232,0.0
2022-11-18 03:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,5.8948,5.7232,0.0
2022-11-18 04:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,5.8933,5.7232,0.0
2022-11-18 05:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,5.8966,5.7232,0.0
2022-11-18 06:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,5.9054,5.7232,0.0
2022-11-18 07:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,5.9055,5.7232,0.0
2022-11-18 08:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,5.9661,5.7232,0.0
2022-11-18 09:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,5.9985,5.7232,0.0
2022-11-18 10:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,5.9789,5.7232,0.0
2022-11-18 11:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,6.0222,5.7232,0.0
2022-11-18 12:00:00,UNI/USD,Sell,1016418.6551156752,1016418.6551156752,5.9765,5.7232,0.0
2022-11-18 13:00:00,UNI/USD,Buy,1016418.6551156752,1016418.6551156752,5.9578,5.9578,0.0
2022-11-18 14:00:00,UNI/USD,Buy,1016418.6551156752,1016418.6551156752,5.9359,5.9578,0.0
2022-11-18 15:00:00,UNI/USD,Buy,1016418.6551156752,1016418.6551156752,5.8972,5.9578,0.0
2022-11-18 16:00:00,UNI/USD,Buy,1016418.6551156752,1016418.6551156752,5.8327,5.9578,0.0
2022-11-18 17:00:00,UNI/USD,Buy,1016418.6551156752,1016418.6551156752,5.8005,5.9578,0.0
2022-11-18 18:00:00,UNI/USD,Buy,1016418.6551156752,1016418.6551156752,5.7801,5.9578,0.0
2022-11-18 19:00:00,UNI/USD,Buy,1016418.6551156752,1016418.6551156752,5.7901,5.9578,0.0
2022-11-18 20:00:00,UNI/USD,Sell,1016418.6551156752,993148.4035869602,5.8214,5.9578,-0.022894356977407805
2022-11-18 21:00:00,UNI/USD,Buy,993148.4035869602,993148.4035869602,5.8001,5.8001,0.0
2022-11-18 22:00:00,UNI/USD,Buy,993148.4035869602,993148.4035869602,5.8102,5.8001,0.0
2022-11-18 23:00:00,UNI/USD,Sell,993148.4035869602,998251.0436150446,5.8299,5.8001,0.005137842450992379
2022-11-19 00:00:00,UNI/USD,Sell,998251.0436150446,998251.0436150446,5.8287,5.8001,0.0
2022-11-19 01:00:00,UNI/USD,Buy,998251.0436150446,998251.0436150446,5.7891,5.7891,0.0
2022-11-19 02:00:00,UNI/USD,Buy,998251.0436150446,998251.0436150446,5.7616,5.7891,0.0
2022-11-19 03:00:00,UNI/USD,Buy,998251.0436150446,998251.0436150446,5.7715,5.7891,0.0
2022-11-19 04:00:00,UNI/USD,Buy,998251.0436150446,998251.0436150446,5.7391,5.7891,0.0
2022-11-19 05:00:00,UNI/USD,Buy,998251.0436150446,998251.0436150446,5.7196,5.7891,0.0
2022-11-19 06:00:00,UNI/USD,Buy,998251.0436150446,998251.0436150446,5.7349,5.7891,0.0
2022-11-19 07:00:00,UNI/USD,Sell,998251.0436150446,989577.4972099321,5.7388,5.7891,-0.008688742637024746
