Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-04-14 04:00:00,UST/USD,Buy,1000000.0,1000000.0,1.0013,1.0013,0.0
2022-04-14 05:00:00,UST/USD,Sell,1000000.0,999900.1298312194,1.0012,1.0013,-9.987016878055875e-05
2022-04-14 06:00:00,UST/USD,Sell,999900.1298312194,999900.1298312194,1.0013,1.0013,0.0
2022-04-14 08:00:00,UST/USD,Buy,999900.1298312194,999900.1298312194,1.0012,1.0012,0.0
2022-04-14 09:00:00,UST/USD,Sell,999900.1298312194,1000199.7403375611,1.0015,1.0012,0.00029964043148214184
2022-04-14 11:00:00,UST/USD,Sell,1000199.7403375611,1000199.7403375611,1.0014,1.0012,0.0
2022-04-14 12:00:00,UST/USD,Buy,1000199.7403375611,1000199.7403375611,1.0013,1.0013,0.0
2022-04-14 13:00:00,UST/USD,Sell,1000199.7403375611,1000299.6304544429,1.0014,1.0013,9.987016878058747e-05
2022-04-14 15:00:00,UST/USD,Buy,1000299.6304544429,1000299.6304544429,1.0013,1.0013,0.0
2022-04-14 18:00:00,UST/USD,Buy,1000299.6304544429,1000299.6304544429,1.0012,1.0013,0.0
2022-04-14 19:00:00,UST/USD,Sell,1000299.6304544429,1000299.6304544429,1.0013,1.0013,0.0
2022-04-14 20:00:00,UST/USD,Sell,1000299.6304544429,1000299.6304544429,1.0012,1.0013,0.0
2022-04-15 01:00:00,UST/USD,Sell,1000299.6304544429,1000299.6304544429,1.0013,1.0013,0.0
2022-04-15 03:00:00,UST/USD,Buy,1000299.6304544429,1000299.6304544429,1.0012,1.0012,0.0
2022-04-15 05:00:00,UST/USD,Sell,1000299.6304544429,1000399.5405254032,1.0013,1.0012,9.98801438274087e-05
2022-04-15 11:00:00,UST/USD,Sell,1000399.5405254032,1000399.5405254032,1.0014,1.0012,0.0
2022-04-15 12:00:00,UST/USD,Buy,1000399.5405254032,1000399.5405254032,1.0013,1.0013,0.0
2022-04-15 13:00:00,UST/USD,Buy,1000399.5405254032,1000399.5405254032,1.0014,1.0013,0.0
2022-04-15 16:00:00,UST/USD,Buy,1000399.5405254032,1000399.5405254032,1.0015,1.0013,0.0
