Date,symbol,last_action,old_amount,new_amount,current_price,buy_price,change_percent
2022-11-17 01:00:00,VET/USD,Sell,1000000.0,1000000.0,0.02,0.02,0.0
2022-11-17 02:00:00,VET/USD,Sell,1000000.0,1000000.0,0.0202,0.02,0.0
2022-11-17 03:00:00,VET/USD,Buy,1000000.0,1000000.0,0.0198,0.0198,0.0
2022-11-17 04:00:00,VET/USD,Buy,1000000.0,1000000.0,0.0197,0.0198,0.0
2022-11-17 05:00:00,VET/USD,Sell,1000000.0,1005050.505050505,0.0199,0.0198,0.005050505050505046
2022-11-17 06:00:00,VET/USD,Sell,1005050.505050505,1005050.505050505,0.0198,0.0198,0.0
2022-11-17 07:00:00,VET/USD,Buy,1005050.505050505,1005050.505050505,0.0197,0.0197,0.0
2022-11-17 08:00:00,VET/USD,Buy,1005050.505050505,1005050.505050505,0.0196,0.0197,0.0
2022-11-17 09:00:00,VET/USD,Sell,1005050.505050505,994846.9466235965,0.0195,0.0197,-0.010152284263959277
2022-11-17 10:00:00,VET/USD,Buy,994846.9466235965,994846.9466235965,0.0194,0.0194,0.0
2022-11-17 11:00:00,VET/USD,Buy,994846.9466235965,994846.9466235965,0.0195,0.0194,0.0
2022-11-17 12:00:00,VET/USD,Buy,994846.9466235965,994846.9466235965,0.0193,0.0194,0.0
2022-11-17 13:00:00,VET/USD,Buy,994846.9466235965,994846.9466235965,0.019,0.0194,0.0
2022-11-17 14:00:00,VET/USD,Buy,994846.9466235965,994846.9466235965,0.0192,0.0194,0.0
2022-11-17 15:00:00,VET/USD,Buy,994846.9466235965,994846.9466235965,0.0191,0.0194,0.0
2022-11-17 16:00:00,VET/USD,Buy,994846.9466235965,994846.9466235965,0.0192,0.0194,0.0
2022-11-17 20:00:00,VET/USD,Buy,994846.9466235965,994846.9466235965,0.0193,0.0194,0.0
2022-11-17 23:00:00,VET/USD,Buy,994846.9466235965,994846.9466235965,0.0194,0.0194,0.0
2022-11-18 03:00:00,VET/USD,Sell,994846.9466235965,1005103.1007124995,0.0196,0.0194,0.010309278350515393
2022-11-18 05:00:00,VET/USD,Buy,1005103.1007124995,1005103.1007124995,0.0195,0.0195,0.0
2022-11-18 06:00:00,VET/USD,Buy,1005103.1007124995,1005103.1007124995,0.0194,0.0195,0.0
2022-11-18 10:00:00,VET/USD,Sell,1005103.1007124995,994794.3509616021,0.0193,0.0195,-0.01025641025641023
2022-11-18 11:00:00,VET/USD,Sell,994794.3509616021,994794.3509616021,0.0194,0.0195,0.0
2022-11-18 12:00:00,VET/USD,Sell,994794.3509616021,994794.3509616021,0.0193,0.0195,0.0
2022-11-18 13:00:00,VET/USD,Sell,994794.3509616021,994794.3509616021,0.0194,0.0195,0.0
2022-11-18 14:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.0193,0.0193,0.0
2022-11-18 16:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.0192,0.0193,0.0
2022-11-18 17:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.0189,0.0193,0.0
2022-11-18 18:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.019,0.0193,0.0
2022-11-18 19:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.0191,0.0193,0.0
2022-11-18 23:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.0192,0.0193,0.0
2022-11-19 00:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.0191,0.0193,0.0
2022-11-19 01:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.0192,0.0193,0.0
2022-11-19 02:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.0191,0.0193,0.0
2022-11-19 04:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.019,0.0193,0.0
2022-11-19 06:00:00,VET/USD,Buy,994794.3509616021,994794.3509616021,0.0189,0.0193,0.0
2022-11-19 07:00:00,VET/USD,Sell,994794.3509616021,979331.2263352558,0.019,0.0193,-0.015544041450777339
2022-11-19 08:00:00,VET/USD,Sell,979331.2263352558,979331.2263352558,0.0191,0.0193,0.0
2022-11-19 10:00:00,VET/USD,Sell,979331.2263352558,979331.2263352558,0.019,0.0193,0.0
2022-11-19 14:00:00,VET/USD,Buy,979331.2263352558,979331.2263352558,0.0191,0.0191,0.0
2022-11-19 15:00:00,VET/USD,Sell,979331.2263352558,984458.6149548121,0.0192,0.0191,0.005235602094240849
2022-11-19 16:00:00,VET/USD,Sell,984458.6149548121,984458.6149548121,0.0193,0.0191,0.0
2022-11-19 17:00:00,VET/USD,Sell,984458.6149548121,984458.6149548121,0.0192,0.0191,0.0
2022-11-19 18:00:00,VET/USD,Buy,984458.6149548121,984458.6149548121,0.0191,0.0191,0.0
2022-11-19 21:00:00,VET/USD,Buy,984458.6149548121,984458.6149548121,0.0192,0.0191,0.0
2022-11-19 22:00:00,VET/USD,Sell,984458.6149548121,994767.082127114,0.0193,0.0191,0.01047120418848182
2022-11-19 23:00:00,VET/USD,Buy,994767.082127114,994767.082127114,0.0191,0.0191,0.0
2022-11-20 02:00:00,VET/USD,Sell,994767.082127114,999975.2867455805,0.0192,0.0191,0.005235602094240825
2022-11-20 04:00:00,VET/USD,Buy,999975.2867455805,999975.2867455805,0.0191,0.0191,0.0
2022-11-20 05:00:00,VET/USD,Sell,999975.2867455805,1005210.7594510547,0.0192,0.0191,0.005235602094240834
2022-11-20 06:00:00,VET/USD,Sell,1005210.7594510547,1005210.7594510547,0.0191,0.0191,0.0
2022-11-20 07:00:00,VET/USD,Sell,1005210.7594510547,1005210.7594510547,0.0193,0.0191,0.0
2022-11-20 08:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0189,0.0189,0.0
2022-11-20 09:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0191,0.0189,0.0
2022-11-20 10:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.019,0.0189,0.0
2022-11-20 11:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0187,0.0189,0.0
2022-11-20 12:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0186,0.0189,0.0
2022-11-20 15:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0188,0.0189,0.0
2022-11-20 16:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0187,0.0189,0.0
2022-11-20 17:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0186,0.0189,0.0
2022-11-20 18:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0187,0.0189,0.0
2022-11-20 19:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0186,0.0189,0.0
2022-11-20 20:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0185,0.0189,0.0
2022-11-20 21:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0179,0.0189,0.0
2022-11-20 23:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.018,0.0189,0.0
2022-11-21 01:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0178,0.0189,0.0
2022-11-21 02:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0176,0.0189,0.0
2022-11-21 04:00:00,VET/USD,Buy,1005210.7594510547,1005210.7594510547,0.0177,0.0189,0.0
2022-11-21 05:00:00,VET/USD,Sell,1005210.7594510547,957343.5804295759,0.018,0.0189,-0.047619047619047686
2022-11-21 08:00:00,VET/USD,Sell,957343.5804295759,957343.5804295759,0.0178,0.0189,0.0
2022-11-21 10:00:00,VET/USD,Sell,957343.5804295759,957343.5804295759,0.0179,0.0189,0.0
2022-11-21 11:00:00,VET/USD,Sell,957343.5804295759,957343.5804295759,0.018,0.0189,0.0
2022-11-21 12:00:00,VET/USD,Sell,957343.5804295759,957343.5804295759,0.0179,0.0189,0.0
2022-11-21 15:00:00,VET/USD,Sell,957343.5804295759,957343.5804295759,0.0182,0.0189,0.0
2022-11-21 16:00:00,VET/USD,Buy,957343.5804295759,957343.5804295759,0.0181,0.0181,0.0
2022-11-21 17:00:00,VET/USD,Buy,957343.5804295759,957343.5804295759,0.018,0.0181,0.0
2022-11-21 18:00:00,VET/USD,Buy,957343.5804295759,957343.5804295759,0.0178,0.0181,0.0
2022-11-21 19:00:00,VET/USD,Buy,957343.5804295759,957343.5804295759,0.0176,0.0181,0.0
2022-11-21 20:00:00,VET/USD,Sell,957343.5804295759,952054.3893774786,0.018,0.0181,-0.005524861878453186
2022-11-21 23:00:00,VET/USD,Buy,952054.3893774786,952054.3893774786,0.0177,0.0177,0.0
2022-11-22 00:00:00,VET/USD,Sell,952054.3893774786,962812.0660936083,0.0179,0.0177,0.011299435028248527
2022-11-22 01:00:00,VET/USD,Sell,962812.0660936083,962812.0660936083,0.0178,0.0177,0.0
2022-11-22 02:00:00,VET/USD,Sell,962812.0660936083,962812.0660936083,0.0177,0.0177,0.0
2022-11-22 03:00:00,VET/USD,Sell,962812.0660936083,962812.0660936083,0.0178,0.0177,0.0
2022-11-22 04:00:00,VET/USD,Sell,962812.0660936083,962812.0660936083,0.0177,0.0177,0.0
2022-11-22 05:00:00,VET/USD,Buy,962812.0660936083,962812.0660936083,0.0176,0.0176,0.0
2022-11-22 08:00:00,VET/USD,Buy,962812.0660936083,962812.0660936083,0.0174,0.0176,0.0
2022-11-22 09:00:00,VET/USD,Buy,962812.0660936083,962812.0660936083,0.0173,0.0176,0.0
2022-11-22 11:00:00,VET/USD,Sell,962812.0660936083,957341.5429908037,0.0175,0.0176,-0.00568181818181814
2022-11-22 12:00:00,VET/USD,Sell,957341.5429908037,957341.5429908037,0.0176,0.0176,0.0
2022-11-22 13:00:00,VET/USD,Sell,957341.5429908037,957341.5429908037,0.0181,0.0176,0.0
2022-11-22 15:00:00,VET/USD,Sell,957341.5429908037,957341.5429908037,0.018,0.0176,0.0
2022-11-22 16:00:00,VET/USD,Sell,957341.5429908037,957341.5429908037,0.0181,0.0176,0.0
2022-11-22 18:00:00,VET/USD,Buy,957341.5429908037,957341.5429908037,0.0179,0.0179,0.0
